导演,频次,平均评分,百分比
张艺谋,8,7.43,3.27
周星驰,6,7.28,2.45
宁浩,6,7.63,2.45
冯小刚,6,7.22,2.45
陈凯歌,4,7.88,1.63
姜文,4,8.55,1.63
徐克,4,6.97,1.63
郭敬明,4,4.95,1.63
李安,3,8.43,1.22
郭帆,3,7.43,1.22
 彭大魔,3,7.13,1.22
陈思诚,3,6.53,1.22
韩寒,3,6.97,1.22
徐峥,3,6.37,1.22
韩延,3,7.27,1.22
管虎,3,7.4,1.22
陈可辛,3,7.7,1.22
 邓超,3,5.5,1.22
陈正道,3,7.27,1.22
路阳,3,7.13,1.22
陈木胜,3,7.5,1.22
刘镇伟,2,9.1,0.82
文牧野,2,8.2,0.82
王晶,2,7.95,0.82
忻钰坤,2,8.45,0.82
闫非,2,7.2,0.82
曾国祥,2,7.85,0.82
林超贤,2,8.1,0.82
吴京,2,7.05,0.82
饶晓志,2,7.25,0.82
 徐峥,2,7.3,0.82
周申,2,7.8,0.82
 刘露,2,7.8,0.82
刘伟强,2,7.4,0.82
克里斯托弗·麦奎里,2,8.0,0.82
许诚毅,2,5.8,0.82
薛晓路,2,6.85,0.82
 俞白眉,2,6.6,0.82
曹保平,2,8.25,0.82
张一白,2,5.45,0.82
大鹏,2,6.2,0.82
俞白眉,2,4.75,0.82
苏有朋,2,6.0,0.82
叶伟信,2,7.3,0.82
迈克尔·贝,2,5.8,0.82
程耳,2,7.2,0.82
