,movie_id,movie_title,movie_points,movie_points_people,movie_comments_people,movie_long,movie_want_to_see,movie_have_seen
0,26752088,我不是药神,9.0,2079980,537979,117,892640,5905139
1,26266893,流浪地球,7.9,1909700,717335,125,531907,4080166
2,1291546,霸王别姬,9.6,2118830,451102,171,431111,3587159
3,26794435,哪吒之魔童降世,8.4,1803290,618663,110,184804,3485183
4,27605698,西虹市首富,6.6,1004460,280599,118,424424,3252023
5,3742360,让子弹飞,9.0,1681221,321488,132,226622,3186118
6,27060077,绿皮书,8.9,1629389,392925,130,608394,2962185
7,1292213,大话西游之大圣娶亲,9.2,1519258,256911,95,215229,2873342
8,30166972,少年的你,8.2,1449135,488708,135,202682,2651149
9,1299398,大话西游之月光宝盒,9.0,1209864,137195,88,133143,2501033
10,26861685,红海行动,8.2,1023523,285547,138,129783,2430969
11,26985127,一出好戏,7.1,884935,247139,134,548076,2367280
12,26698897,唐人街探案2,6.6,892236,248734,121,62262,2331532
13,3168101,毒液：致命守护者,7.2,819604,213976,112,624286,2290668
14,25964071,夏洛特烦恼,7.8,972296,256542,104,37158,2240680
15,26363254,战狼2,7.1,898060,308129,123,98809,2215474
16,30163509,飞驰人生,6.9,891701,269393,98,329937,2168768
17,27110296,无名之辈,8.0,1008332,278425,108,367257,2154097
18,1291543,功夫,8.8,1114004,139024,100,69858,2131271
19,32659890,我和我的祖国,7.6,999297,298031,155,128274,2115312
