,movie_id,movie_title,movie_points,movie_points_people,movie_comments_people,movie_long,movie_want_to_see,movie_have_seen
0,1291546,霸王别姬,9.6,2118830,451102,171,431111,3587159
1,1461403,茶馆,9.6,140952,39767,118,115796,215864
2,1307856,背靠背，脸对脸,9.5,129774,41417,148,134741,167517
3,1422283,高山下的花环,9.5,77254,23235,140,68444,94337
4,35430794,山河令生来知己演唱会,9.5,139422,76743,300,5256,149689
5,2037432,太阳伞,9.5,1853,458,85,3592,2061
6,26383524,锁麟囊(京剧),9.5,2401,1021,120,2002,3025
7,35479277,罗大佑 北京-香港演唱会,9.5,154,45,0,84,198
8,1418019,大闹天宫,9.4,431829,55057,113,140316,788836
9,1464526,横空出世,9.4,75252,21142,110,66172,108921
10,34841525,永不消逝的电波(舞剧),9.3,2063,766,114,5128,2422
11,26672579,棱角杯,9.4,693,161,103,3745,854
12,35288735,TME Live 吴青峰「16叶」线上演唱会,9.3,588,125,83,214,756
13,4731050,牡丹亭,9.4,1935,806,122,4552,2427
14,1293172,末代皇帝,9.3,871930,180400,163,451781,1436207
15,1292365,活着,9.3,834554,178121,132,504038,1328389
16,1291858,鬼子来了,9.3,620310,118716,139,354891,971199
17,1297880,芙蓉镇,9.3,133413,41372,164,140477,190767
18,3037329,遥望南方的童年,9.3,36249,13492,91,68797,55134
19,26946612,狐妖小红娘剧场版：王权富贵,9.3,14254,3326,160,7059,28996
