rank,year,name,box
001,2016,女生规则,262.6
002,2022,龙珠超：超级人造人,1115.2
003,2023,流浪地球2,402543.0
004,2023,熊出没·伴我“熊芯”,149018.0
005,2023,满江红,454369.0
006,2023,无名,93069.0
007,2023,深海,91815.0
008,2023,交换人生,39345.6
009,2023,中国乒乓之绝地反击 #上映又撤档,10066.0
010,2023,风再起时,4904.3
011,2023,黑豹2,10622.2
012,2023,不能流泪的悲伤,5534.0
013,2023,可不可以不要离开我,2025.8
014,2023,胡杨林之恋,22.7
015,2023,极速保镖,208.2
016,2023,蚁人与黄蜂女：量子狂潮,27226.9
017,2023,冥绝村,750.0
018,2021,我的初恋十八岁（重映）,0.0
019,2012,印式英语,117.0
020,2023,毒舌律师,18444.0
021,2020,会考试的猛犸象,37.7
022,2022,困在心绪里的儿子,214.0
023,2023,拨浪鼓咚咚响,182.0
024,2023,断网,6487.0
025,2023,荒原,194.7
026,2023,不二兄弟,70.0
027,2023,海湾之遇,50.5
028,2023,敦煌女儿（戏曲）,74.0
029,2023,保你平安,59030.0
030,2023,回廊亭,20174.0
031,2023,雷霆沙赞！众神之怒,4108.0
032,2023,梅根,2152.0
033,2023,我们的岁月,76.0
034,2023,脐带,143.0
035,2023,铃芽之旅,56005.0
036,2023,不止不休,5465.0
037,2023,生无可恋的奥托,166.0
038,2023,望道,2845.0
039,2023,印度制造,5.0
040,2023,哈里斯夫人闯巴黎,12.0
041,2023,龙与地下城：侠盗荣耀,3530.0
042,2023,忠犬八公,6260.0
043,2023,了不起的夜晚,2810.0
044,2023,逃出白垩纪,413.0
045,2023,不能错过的只有你,3130.0
046,2023,宇宙探索编辑部,1540.0
047,2023,一杯上路,11.0
048,2023,梦想森林,3.0
049,1997,泰坦尼克号（重映）,0.0
050,,,0.0
051,,,0.0
052,,,0.0
053,,,0.0
054,,,0.0
055,,,0.0
056,,,0.0
,,,0.0
,,,0.0
