,words,counts
0,电影,248
1,校园,148
2,少年,147
3,冬雨,140
4,周,129
5,千玺,128
7,烊,114
8,真的,113
9,易,106
10,霸凌,96
11,世界,92
12,导演,88
13,更,87
14,说,84
15,高考,83
16,陈念,80
17,演技,79
18,里,79
19,小北,78
20,抄袭,75
21,太,73
22,社会,72
23,演员,72
24,保护,68
25,两个,68
26,中,68
27,故事,66
28,欺凌,65
29,拍,63
30,曾国祥,61
31,青春,61
32,暴力,57
33,表演,56
34,情绪,55
35,没,55
36,题材,55
37,一部,48
38,感觉,47
39,四字,46
40,真实,44
41,哭,44
42,戏,44
43,想,44
44,角色,43
45,镜头,43
46,这部,43
47,做,42
48,影片,42
49,观众,42
50,台词,39
51,现实,38
52,片子,38
53,完,38
54,喜欢,37
55,弟弟,37
56,一种,36
57,希望,36
58,出,36
59,东野,34
60,不错,33
61,真,33
62,结局,32
63,吾,32
64,圭,32
65,人物,32
66,走,31
67,行,31
68,演,30
69,特别,30
70,未来,30
71,感,30
72,作品,29
73,细节,29
74,大人,29
75,好看,29
76,白夜,29
77,脸,28
78,特写,28
79,主演,28
80,那种,28
81,剪辑,28
82,警察,27
83,两位,27
84,孩子,27
85,学生,26
86,两人,26
87,情感,25
88,剧情,25
89,爱,25
90,时,25
91,青春片,25
92,情节,24
93,惊喜,24
94,本片,24
95,剧本,24
96,表现,23
97,挺,23
98,眼泪,23
99,节奏,23
100,原著,23
101,确实,23
102,片,22
103,小说,22
104,终于,22
105,表达,22
106,残酷,22
107,生活,22
108,人生,21
109,这是,21
110,中国,21
111,一星,21
112,成长,21
113,结尾,21
114,大特写,20
115,空间,20
116,老师,20
117,学校,20
118,经历,20
119,压抑,20
120,值得,19
121,主角,19
122,整体,19
123,融梗,19
124,可惜,18
125,对视,18
126,成,18
127,四星,18
128,实在,18
129,地方,18
130,主题,18
131,点,18
132,期待,17
133,东西,17
134,七月,17
135,只能,17
136,光明,17
137,一点,17
138,作者,17
139,华语,17
140,欺负,17
141,安生,17
142,长大,17
143,叙事,17
144,爱情,16
145,式,16
146,分,16
147,影像,16
148,看过,16
149,大陆,16
150,感受,16
151,场景,16
152,讨论,15
153,带,15
154,眼神,15
155,年,15
156,男女,15
157,讲,15
158,家庭,15
159,展现,15
160,事件,15
161,黑暗,15
