,words,counts
0,电影,308
1,题材,115
2,现实,111
3,中国,110
4,说,89
5,故事,81
6,社会,73
7,希望,71
8,一部,63
9,徐峥,63
10,煽情,62
11,中,60
13,真的,58
14,更,57
15,太,55
16,真实,51
17,哭,51
18,没,50
19,药神,47
20,这部,47
21,拍,45
22,达拉斯,44
23,值得,42
24,片子,42
25,药,42
26,里,42
27,王传君,41
28,演员,41
29,想,41
30,俱乐部,38
31,买家,37
32,导演,37
33,表演,36
34,人物,36
35,现实主义,35
36,观众,34
37,做,33
38,病人,32
39,片,31
40,好看,31
41,一种,30
42,演技,30
43,病,30
44,影片,29
45,不错,29
46,角色,28
47,良心,28
48,喜欢,27
49,分,27
50,印度,26
51,黄毛,26
52,意义,26
53,剧本,25
54,上映,25
55,周一围,24
56,确实,24
57,改编,23
58,剧情,23
59,穷病,23
60,程勇,23
61,结尾,23
62,终于,22
63,最佳,22
64,商业,22
65,医保,22
66,国产片,22
67,生命,22
68,活着,21
69,挺,21
70,国产电影,21
71,一点,21
72,感觉,21
73,真,21
74,韩国,21
75,这是,20
76,整体,20
77,事件,20
78,笑,20
79,高,20
80,一句,19
81,后半段,19
82,话,19
83,改变,19
84,感动,19
85,世界,19
86,镜头,19
87,事,19
88,呜呜,19
89,作品,18
90,法律,18
91,讲,18
92,过审,18
93,只能,18
94,戏,18
95,越来越,17
96,罪,17
97,类型,17
98,英雄,17
99,国内,17
100,喜剧,16
101,完,16
102,牧野,16
103,成,15
104,前半段,15
105,几个,15
106,至少,15
107,泪点,15
108,主角,15
109,套路,15
110,国产,15
111,点,15
112,人性,15
113,药厂,15
114,时代,14
115,国家,14
116,水准,14
117,吹,14
118,努力,14
119,实在,14
120,眼泪,14
121,节奏,14
122,感人,14
123,商业片,14
124,出,14
125,票房,14
126,走,13
127,四星,13
128,钱,13
129,地方,13
130,制度,13
131,原型,13
132,审,13
133,利益,13
134,半,13
135,难,12
136,显得,12
137,更好,12
138,情节,12
139,情绪,12
140,文,12
141,特别,12
142,手法,12
143,未来,12
144,看过,12
145,宁浩,12
146,字幕,12
147,表达,12
148,有人,12
149,价值,12
150,五星,12
151,思考,12
152,上海,12
153,口罩,12
154,辩护人,12
155,研发,12
156,吃,12
157,演,11
158,讨论,11
159,表现,11
160,东西,11
161,环境,11
162,观影,11
163,白血病,11
164,角度,11
165,年度,11
166,感受,11
167,影院,11
168,时,11
169,完成度,11
170,道德,11
171,剧作,11
172,鼓励,11
173,前,11
174,成功,11
175,成熟,11
176,生活,11
177,审查,11
178,编剧,11
179,选择,11
180,之间,11
181,三星,10
182,到位,10
183,期待,10
184,一步,10
185,毛病,10
186,现实意义,10
187,在线,10
188,方式,10
189,呈现,10
190,风格,10
191,救世主,10
192,仿制,10
193,优秀,10
194,神,10
195,深刻,10
196,深度,10
197,月,10
198,医药,10
199,叙事,10
200,事情,10
201,艺术,10
202,可惜,9
203,流畅,9
204,没什么,9
205,片尾,9
206,假药,9
207,配角,9
208,批判,9
209,情况,9
210,底层,9
211,陆勇,9
212,算是,9
213,牧师,9
214,年,9
215,理解,9
216,刻意,9
217,力量,9
218,推动,9
219,市场,9
220,残酷,9
221,矛盾,9
222,星,9
223,😭,9
224,患者,9
225,章宇,9
226,谭卓,9
227,依然,9
228,面前,9
229,药企,9
230,出色,9
231,感,9
232,结局,8
233,反派,8
234,情感,8
235,代表,8
236,买,8
237,细节,8
238,人生,8
239,本来,8
240,答案,8
241,妥协,8
242,设定,8
243,2018,8
244,卖,8
245,面对,8
246,是因为,8
247,想起,8
248,算,8
249,生病,8
250,★,8
251,唯一,8
252,警察,8
253,郝蕾,8
254,质量,8
255,立场,8
256,逻辑,8
257,高分,8
258,塑造,8
259,命,8
260,尊严,8
261,两个,8
262,失望,8
263,受益,8
264,本片,8
265,克制,8
266,华语,8
267,直面,8
268,关注,8
269,贵,8
270,救,8
271,打动,8
272,资本,8
273,死,8
274,话题,8
275,吕,8
276,版,8
277,豆瓣,7
278,商人,7
279,冲突,7
280,设置,7
281,过程,7
282,创作,7
283,扎实,7
284,非,7
285,惊喜,7
286,熔炉,7
287,盗版,7
288,逼,7
289,好好,7
290,公司,7
291,歌颂,7
292,小人物,7
293,这片,7
294,新,7
295,正,7
296,一波,7
297,超级,7
298,美国,7
299,总,7
300,普通人,7
301,主创,7
302,黑色幽默,7
303,神像,7
304,医疗,7
305,进,7
306,满分,7
307,尺度,7
308,体验,7
309,也许,7
