,words,counts
0,中国,264
1,电影,259
2,科幻,259
3,地球,234
4,特效,154
6,流浪,126
7,说,123
8,煽情,96
9,科幻电影,88
10,故事,85
11,人类,85
12,科幻片,84
13,人物,84
14,没,83
15,中,79
16,真的,79
17,里,78
18,希望,76
19,更,74
20,国产,73
21,原著,72
22,太,72
23,拍,70
24,台词,70
25,剧情,69
26,好莱坞,69
27,硬,67
28,设定,66
29,吴京,64
30,一部,62
31,这部,58
32,想,58
33,木星,55
34,大片,54
35,刘,53
36,情感,51
37,尴尬,51
38,感觉,51
39,鼓励,50
40,太空,47
41,刘慈欣,47
42,观众,45
43,灾难片,45
44,角色,44
45,做,43
46,宇宙,43
47,不错,43
48,值得,41
49,片子,41
50,完,41
51,三星,40
52,分,40
53,点,40
54,拯救,39
55,细节,38
56,导演,38
57,片,37
58,演技,37
59,叙事,37
60,星际,36
61,影片,36
62,挺,35
63,穿越,35
64,元年,35
65,一点,34
66,战狼,34
67,情节,33
68,小说,33
69,灾难,33
70,类型,33
71,特别,33
72,水平,33
73,演员,33
74,剪辑,33
75,作品,32
76,戏,32
77,意义,31
78,感,31
79,年,30
80,地方,30
81,星,30
82,确实,30
83,喜欢,29
84,世界,29
85,镜头,29
86,画面,29
87,场面,29
88,讲,28
89,一种,28
90,场景,28
91,剧本,28
92,终于,27
93,感动,27
94,节奏,27
95,技术,27
96,宏大,27
97,尬,26
98,水准,26
99,空间站,26
100,只能,26
101,整体,26
102,「,26
103,计划,25
104,精神,25
105,牺牲,25
106,逻辑,25
107,出,25
108,死,25
109,东西,24
110,带,24
111,吹,24
112,好看,24
113,内核,24
114,五星,24
115,救援,24
116,式,23
117,真,23
118,工业,23
119,这是,22
120,硬核,22
121,表演,22
122,制作,22
123,新,22
124,背景,22
125,套路,22
126,想象力,22
127,高,22
128,人性,22
129,春节,21
130,地下城,21
131,预期,21
132,美国,21
133,关系,21
134,前,21
135,文化,21
136,算,20
137,实在,20
138,主角,20
139,文明,20
140,时,20
141,本片,20
142,救,20
143,期待,19
144,标准,19
145,缺点,19
146,理解,19
147,点燃,19
148,一星,19
149,国内,19
150,朵朵,19
151,情绪,18
152,浪漫,18
153,回家,18
154,成功,18
155,逼,17
156,英雄主义,17
157,四星,17
158,全球,17
159,想象,17
160,价值观,17
161,评分,17
162,编剧,17
163,依然,17
164,广播,17
165,差,16
166,情怀,16
167,完整,16
168,生硬,16
169,成,16
170,社会,16
171,地心引力,16
172,视觉,16
173,家庭,16
174,格局,16
175,呈现,16
176,塑造,16
177,视效,16
178,三体,16
179,特色,16
180,笑,16
181,里程碑,15
182,可惜,15
183,表现,15
184,一句,15
185,命运,15
186,钱,15
187,未来,15
188,不好,15
189,肯定,15
190,效果,15
191,英雄,15
192,加,15
193,黑,15
194,科技,15
195,那种,15
196,半,15
197,发动机,14
198,显得,14
199,时代,14
200,本来,14
201,走,14
202,算是,14
203,合格,14
204,够,14
205,科学,14
206,市场,14
207,价值,14
208,绝望,14
209,华语,14
210,硬伤,14
211,孩子,14
212,令人,14
213,选择,14
214,2001,14
215,之间,14
216,泪,13
217,瑕疵,13
218,改编,13
219,漫游,13
220,哭,13
221,配音,13
222,看过,13
223,一半,13
224,两个,13
225,失望,13
226,概念,13
227,电影院,13
228,主题,13
229,郭帆,13
230,元素,13
231,全片,13
232,全世界,12
233,吴孟达,12
234,豆瓣,12
235,过程,12
236,后半段,12
237,国家,12
238,像是,12
239,韩,12
240,几个,12
241,观影,12
242,发展,12
243,致敬,12
244,糟糕,12
245,展现,12
246,层面,12
247,超越,12
248,表达,12
249,第一部,12
250,毁灭,12
251,太阳,12
252,充满,12
253,全程,12
254,票房,12
255,更是,12
256,没什么,11
257,请,11
258,惊喜,11
259,人文,11
260,感情,11
261,前半段,11
262,混乱,11
263,写,11
264,牛,11
265,解决,11
266,至少,11
267,国际,11
268,屈楚,11
269,两行,11
270,完成度,11
271,足够,11
272,震撼,11
273,优点,11
274,男,11
275,倒,11
276,题材,11
277,面前,11
278,没想到,11
279,级,11
280,理性,11
281,那段,11
282,完美,10
283,配乐,10
284,结构,10
285,话,10
286,主旋律,10
287,bug,10
288,核心,10
289,接受,10
290,国产电影,10
291,化,10
292,爆,10
293,能力,10
294,好像,10
295,电影工业,10
296,经典,10
297,后天,10
298,搞,10
299,刻意,10
300,方式,10
301,人类文明,10
302,粗糙,10
303,自我,10
304,末日,10
305,商业,10
