,words,counts
0,电影,245
1,黑人,228
2,白人,131
3,故事,95
4,政治,91
5,…,83
6,正确,81
7,奥斯卡,81
8,种族,80
9,中,80
10,说,78
11,歧视,72
12,太,66
13,里,66
14,公路,64
15,一部,61
16,表演,61
17,美国,58
18,片子,58
19,更,56
20,剧本,56
21,片,55
22,真的,55
23,两个,54
24,喜欢,53
25,角色,51
26,世界,50
27,这部,49
28,套路,48
29,人物,48
30,身份,46
31,司机,45
32,种族歧视,45
33,孤独,44
34,影片,44
35,细节,43
36,工整,42
37,吃,42
38,好看,41
39,绿皮书,38
40,剧情,37
41,挺,36
42,拍,36
43,主题,36
44,冲突,35
45,温暖,35
46,导演,35
47,没,34
48,白,34
49,肤色,34
50,钢琴家,33
51,特别,33
52,演员,33
53,黑,33
54,想,33
55,触,32
56,阿里,31
57,偏见,31
58,两位,30
59,Tony,30
60,题材,30
61,意大利,30
62,阶级,29
63,改变,29
64,做,29
65,理解,29
66,轻松,29
67,开车,28
68,喜剧,28
69,Viggo,28
70,感觉,28
71,男主,28
72,完,28
73,主角,27
74,一种,27
75,不错,27
76,种族问题,27
77,矛盾,27
78,男人,27
79,真实,26
80,社会,26
81,最佳,26
82,笑,26
83,点,26
84,方式,25
85,节奏,25
86,年代,25
87,最佳影片,25
88,台词,24
89,有趣,24
90,平权,24
91,出,24
92,第一步,23
93,音乐,23
94,Don,23
95,警察,23
96,爱,23
97,托尼,23
98,真,23
99,和解,23
100,作品,22
101,炸鸡,22
102,温情,22
103,感动,22
104,同性恋,22
105,维果,21
106,妻子,21
107,写,21
108,年,21
109,历史,21
110,迈出,21
111,本片,21
112,认同,21
113,叙事,21
114,文化,21
115,tony,20
116,★,20
117,最终,20
118,关系,20
119,观众,20
120,希望,20
121,好莱坞,20
122,音乐家,20
123,之间,20
124,底层,19
125,小姐,19
126,讲,19
127,生活,19
128,颁奖,19
129,确实,19
130,编剧,19
131,可爱,19
132,南方,19
133,视角,19
134,Shirley,19
135,演,18
136,类型,18
