,words,counts
0,电影,166
1,笑,164
2,喜剧,112
3,麻花,102
4,开心,100
5,沈腾,99
7,真的,70
8,笑点,69
9,钱,63
10,一部,63
11,太,59
12,没,59
13,讽刺,57
14,里,53
15,挺,52
16,点,51
17,故事,48
18,说,47
19,剧情,44
20,金钱,43
21,尴尬,42
22,想,41
23,搞笑,40
24,好笑,40
25,观众,39
26,夏洛特,39
27,王力宏,37
28,更,37
29,不错,34
30,亿,33
31,低俗,33
32,足球,32
33,二奶,32
34,烦恼,32
35,有钱,31
36,喜欢,30
37,中,30
38,片子,29
39,梗,29
40,做,29
41,感觉,28
42,这部,28
43,好看,26
44,笑料,25
45,哈哈哈,25
46,宋芸桦,24
47,尬,24
48,结尾,24
49,段子,23
50,完,23
51,铁拳,22
53,确实,21
54,价值观,21
55,拍,21
56,羞羞,21
57,十亿,21
58,荒诞,20
59,小品,20
60,马丽,20
61,人性,20
62,越,20
63,女主,20
64,密集,19
65,花钱,19
66,全程,19
67,演员,19
68,恶俗,18
69,台湾,18
70,王多鱼,18
71,现实,18
72,花,18
73,意淫,18
74,中国,18
75,一种,18
76,周星驰,17
77,喜剧片,17
78,首富,17
79,梦想,17
80,成功,17
81,地方,17
82,算是,16
83,作品,16
84,分,16
85,戏,16
86,这是,16
87,角色,16
88,西虹市,16
89,哈哈哈哈,16
90,感,16
91,屌丝,15
92,恶心,15
93,实在,15
94,资本,15
95,不好,15
96,东西,15
97,前,15
98,浮夸,14
99,10,14
100,影片,14
101,社会,14
102,莫名其妙,14
103,那种,14
104,本片,14
105,人物,14
106,电影院,14
107,煽情,14
108,「,14
109,意义,13
110,无聊,13
111,一场,13
112,主题,13
113,剧本,13
114,节奏,13
115,真,13
116,演,12
117,豆瓣,12
118,整体,12
119,一夜,12
120,爱情,12
121,~,12
122,高级,12
123,一个月,12
124,夏洛,12
125,发现,12
126,女性,12
127,一点,12
128,三观,12
129,孩子,12
130,行,12
131,国内,11
132,努力,11
133,难,11
134,足球赛,11
135,感动,11
136,表演,11
137,生活,11
138,特别,11
139,告诉,11
140,烟花,11
141,值得,11
142,式,11
143,总,11
144,时代,11
145,死,11
146,星,11
147,线,11
148,暴富,11
149,有钱人,11
150,设计,11
151,惊喜,11
152,只能,11
153,投资,11
154,感情,11
155,评分,11
156,吃,11
157,设定,11
158,半,11
159,希望,11
160,影院,11
161,三星,10
162,化,10
163,自然,10
164,脂肪,10
165,出,10
166,套路,10
167,买,10
168,观影,10
169,成,10
170,桥段,10
171,夏竹,10
172,继承,10
173,爆笑,10
174,情节,10
175,刻意,10
176,五星,10
177,整部,10
178,幽默,10
179,光,10
180,爱,10
181,改编,10
182,十个,10
183,难看,10
184,暴发户,10
