,words,counts
0,姜文,175
1,电影,113
3,一部,47
4,说,46
5,子弹,45
6,太,40
7,飞,39
8,没,39
9,中国,38
10,逼,35
11,好看,34
12,…,28
13,片子,28
14,懂,28
15,想,26
16,革命,26
17,牛,25
18,里,21
19,惊喜,21
20,搞笑,20
21,喜欢,20
22,剧情,20
23,中,19
24,真的,19
25,故事,19
26,麻子,19
27,笑,19
28,他妈的,19
29,台词,19
30,真,19
31,隐喻,18
32,完,18
33,感觉,18
34,影片,17
35,这是,17
36,情节,17
37,演员,16
38,挺,16
39,拍,16
40,站,16
41,葛优,15
42,张,15
43,导演,15
44,这部,15
45,玩,14
46,政治,14
47,更,14
48,不错,13
49,钱,13
50,观众,13
51,片,13
52,年,13
53,看过,13
54,跪,12
55,国产片,12
56,期待,12
57,结尾,12
58,幽默,12
59,男人,12
60,!,12
61,表演,11
62,年代,11
63,太阳,11
64,五星,11
65,失望,11
66,黑色幽默,11
67,英雄,11
68,翻译,11
69,节奏,11
70,吃,11
71,点,10
72,内涵,10
73,评论,10
74,大爷,10
75,高潮,10
76,社会,10
77,一会儿,10
78,星,10
79,"
",10
80,火锅,10
81,大片,10
82,版,10
83,三星,9
84,豆瓣,9
85,鬼子,9
86,好像,9
87,几个,9
88,作品,9
89,值得,9
90,式,9
91,戏,9
92,国产,9
93,葛,9
94,对白,9
95,人物,9
96,电影院,9
97,过瘾,9
98,前,9
99,霸气,9
100,做,9
101,唱着歌,8
102,10,8
103,蛋,8
104,欣赏,8
105,解释,8
106,挣,8
107,扯,8
108,理解,8
109,东西,8
110,商业片,8
111,发哥,8
112,亮点,7
113,国产电影,7
114,四星,7
115,给力,7
116,永远,7
117,时,7
118,充满,7
119,经典,7
120,有人,7
121,妈,7
122,明白,7
123,群众,7
124,没什么,7
125,演技,7
126,没看,7
127,死,7
128,票房,7
129,讲,7
130,话,7
131,周润发,7
132,申遗,7
133,升起,7
134,讽刺,7
135,人民,7
136,周韵,7
137,黄四郎,6
138,生活,6
139,高,6
140,出,6
141,笑点,6
142,实在,6
143,证明,6
144,一点,6
145,分,6
146,庸众,6
147,商业,6
148,现实,6
149,依然,6
150,成,6
151,搞,6
152,全片,6
153,力,6
154,NB,6
155,记得,6
156,火车,6
157,狂欢,6
158,纯,6
159,爷们,6
160,紧凑,6
161,张牧,6
162,TMD,6
163,精彩,6
164,好笑,6
165,厉害,6
166,神,6
167,爱,6
168,行,6
169,爷们儿,6
170,土匪,6
171,分钟,5
172,震撼,5
173,是因为,5
174,历史,5
175,此片,5
176,演,5
177,世界,5
178,性,5
179,冤,5
180,镜头,5
181,荒诞,5
182,新,5
183,片段,5
184,依旧,5
185,表现,5
186,外露,5
187,那句,5
188,还好,5
189,一群,5
190,情结,5
191,赢,5
192,2010,5
193,时代,5
194,发现,5
195,深刻,5
196,多年,5
197,替身,5
198,完美,5
199,够,5
200,内地,5
201,那种,5
202,一场,5
203,烂片,5
204,四川话,5
205,那场,5
206,公平,5
207,不行,5
208,昆汀,5
209,神作,5
210,影评,5
211,剧本,5
212,形式,5
213,自恋,5
214,成功,5
215,喜剧,5
216,英雄主义,5
217,照常,5
218,春晚,4
219,蛋用,4
220,有趣,4
221,赚钱,4
222,影评人,4
223,满分,4
224,用力,4
225,少,4
226,差,4
227,第二遍,4
228,粗糙,4
229,混乱,4
230,极致,4
231,逻辑,4
232,椅子,4
233,笑料,4
234,智慧,4
235,这片,4
236,整体,4
237,鼔,4
238,告诉,4
239,一身,4
240,代表,4
241,这回,4
242,感冒,4
243,发挥,4
244,总,4
245,太高,4
246,细节,4
247,编剧,4
248,毛,4
249,夸张,4
250,人生,4
251,越,4
252,烂,4
253,★,4
254,冗长,4
255,唯一,4
256,很久没,4
257,首映,4
258,一段,4
259,既得利益,4
260,失败,4
261,师爷,4
262,自由,4
263,一遍,4
264,仪式,4
265,男性,4
266,刻意,4
267,神马,4
268,气场,4
269,面具,4
270,走,4
271,一颗,4
272,硬,4
273,一会,4
274,只能,4
275,作者,4
276,姜,4
277,瞎,4
278,蛮,4
279,跪下,4
280,华语,4
281,足够,4
282,思考,4
283,兄弟,4
284,反正,4
285,上映,4
286,白马,4
287,道理,4
288,感到,4
289,太多,4
290,拍个,4
291,那段,4
292,时间,4
293,全,4
294,形象,4
295,半,4
296,权力,4
297,感,4
298,希望,4
299,艺术,4
300,就让,4
301,地方,4
302,剩下,3
303,国内,3
304,忍不住,3
305,终于,3
306,第一遍,3
307,鲜明,3
308,牺牲,3
309,赚,3
310,汤,3
311,亿,3
312,马,3
313,劲,3
314,菜,3
315,枪,3
316,味道,3
317,看得,3
318,杀,3
319,酣畅淋漓,3
320,记住,3
321,鸡血,3
322,写,3
323,步子,3
324,可惜,3
325,加,3
326,算是,3
327,说实话,3
328,始终,3
329,不失,3
330,姜爷,3
331,特别,3
332,嗨,3
333,头,3
334,事,3
335,小品,3
336,无尿点,3
337,发动群众,3
338,砍掉,3
339,很棒,3
340,两遍,3
341,不枉,3
342,麻匪,3
