,words,counts
0,电影,233
1,程蝶衣,134
2,张国荣,133
3,霸王,117
4,一辈子,94
5,哥哥,90
6,时代,86
8,中国,85
9,蝶衣,84
10,人生,82
11,陈凯歌,78
12,说,75
13,霸王别姬,72
14,虞姬,70
15,这部,66
16,一部,64
17,经典,59
18,疯魔,58
19,戏,58
20,中,56
21,历史,51
22,喜欢,50
23,真的,50
24,成活,50
25,假,47
26,人物,47
27,段小楼,46
28,真虞姬,44
29,菊仙,44
30,太,43
31,故事,42
32,里,42
33,"
",41
34,年,39
35,没,39
36,角色,38
37,永远,37
38,女娇,37
39,差,36
40,爱,36
41,娥,36
42,时,34
43,巩俐,33
44,我本,33
45,一生,33
46,唱,33
47,郎,32
48,片子,32
49,文革,32
50,想,32
51,导演,32
52,男儿,31
53,拍,31
54,看过,31
55,懂,29
56,艺术,29
57,表演,28
58,张丰毅,28
59,一年,27
60,更,27
61,完,27
62,小楼,26
63,时辰,26
64,风华绝代,26
65,悲剧,24
66,两个,24
67,菊,24
68,理解,23
69,演员,23
70,现实,23
71,成全,23
72,命运,22
73,四爷,22
74,戏里,22
75,人性,22
76,演,21
77,作品,21
78,活着,21
79,戏子,21
80,人戏,21
81,感觉,21
82,京剧,21
83,文化,21
84,仙,20
85,说好,20
86,少,20
87,年代,20
88,社会,19
89,从一而终,19
90,新,18
91,之作,18
92,巅峰,18
93,演技,18
94,成,17
95,这是,17
96,一个月,17
97,华语,17
98,不分,17
99,生活,17
100,袁,17
101,终于,16
102,　,16
103,好看,16
104,不算,16
105,第一次,16
106,死,16
107,感情,15
108,哭,15
109,~,15
110,戏如,15
111,优秀,15
112,如戏,15
113,震撼,15
114,深刻,15
115,一出,15
116,京戏,15
117,记得,14
118,东西,14
119,话,14
120,走,14
121,台词,14
122,特别,14
123,值得,14
124,最终,14
125,世界,14
126,葛优,14
127,有人,14
128,结局,13
129,政治,13
130,舞台,13
131,一遍,13
132,变迁,13
133,唯一,13
134,讲,13
135,一种,13
136,也许,13
137,重看,13
138,前,13
139,戏外,13
140,豆子,13
141,日本,12
142,爱情,12
143,真实,12
144,完美,12
145,印象,12
146,师哥,12
147,蒋雯丽,12
148,原著,12
149,真,12
150,出,12
151,小时,12
152,人民,12
153,见,11
154,情感,11
155,师傅,11
156,角儿,11
157,活,11
158,重温,11
159,演出,11
160,演绎,11
161,只能,11
162,镜头,11
163,悲哀,11
164,同性恋,11
165,灵魂,11
166,剧本,11
167,每次,11
168,電影,10
169,细节,10
170,片,10
171,一句,10
172,眼神,10
173,背景,10
174,观影,10
175,惊艳,10
176,剧情,10
177,不错,10
178,发现,10
179,揭发,10
180,五星,10
181,美,10
182,两人,10
183,传统,10
184,小时候,10
185,那段,10
186,明白,9
187,注定,9
188,却是,9
189,情节,9
190,逼,9
191,写,9
192,这片,9
193,影片,9
194,為,9
195,性别,9
196,自杀,9
197,经历,9
198,观众,9
199,洪流,9
200,时期,9
201,第五代,9
202,关注,9
203,倒,9
204,确实,9
205,那种,9
206,选择,9
207,男人,9
208,动荡,8
209,内心,8
210,可惜,8
211,對,8
212,戏份,8
213,戏剧,8
214,时间,8
215,改变,8
216,算是,8
217,正,8
218,实在,8
219,張國榮,8
220,演得,8
221,成就,8
222,依旧,8
223,命,8
224,李碧华,8
225,一点,8
226,老,8
227,女人,8
228,陈导,8
229,妓女,8
230,男儿身,8
231,金棕榈,8
232,事,8
233,心中,8
234,语言,8
235,一段,8
236,生命,8
237,叙事,8
238,影评,8
239,传奇,8
240,感到,8
241,演活,8
242,评论,7
243,後,7
244,背叛,7
245,小说,7
246,剑,7
247,段,7
248,唱戏,7
249,无极,7
250,做,7
251,深深,7
252,自刎,7
253,反复,7
254,想起,7
255,1993,7
256,感动,7
257,始终,7
258,那句,7
259,10,7
260,总,7
261,心,7
262,一场,7
263,理想,7
264,扭曲,7
265,记忆,7
266,性格,7
267,往事,7
268,感受,7
269,发生,7
270,听,7
271,电影院,7
272,便,7
273,心疼,7
274,希望,7
275,同性,7
276,令人,7
277,更是,7
278,活在,7
279,没想到,7
280,怀念,7
281,执着,6
282,永恒,6
283,无情,6
284,文化大革命,6
285,当年,6
286,代表,6
287,讓,6
288,有情有义,6
289,自个,6
290,分,6
291,挺,6
292,戏剧性,6
293,再也,6
294,台下,6
295,善良,6
296,大奖,6
297,是因为,6
298,混乱,6
299,愿,6
300,說,6
301,小四,6
302,主角,6
303,发展,6
304,终究,6
305,经典之作,6
306,不行,6
307,棒,6
308,第一,6
309,婊子,6
310,展现,6
311,不到,6
312,超越,6
313,疯狂,6
314,文艺,6
315,地方,6
316,此片,6
317,塑造,6
318,懦弱,6
319,天,6
320,自我,6
321,忠诚,6
322,残酷,6
323,時代,6
324,结束,6
325,适合,6
326,一笑,6
327,近代史,6
328,史诗,6
329,笑,6
330,个体,6
331,三个,6
332,成功,6
333,压抑,6
334,元素,6
335,原因,6
336,诠释,6
337,揪心,6
338,高,6
339,场景,6
340,风雨,6
341,世纪,6
342,月,6
343,依然,6
344,感触,6
345,革命,6
346,结尾,6
347,淋漓尽致,6
348,四,6
349,间,6
350,一声,5
351,评价,5
352,冲突,5
353,奈何,5
354,表现,5
355,四个,5
356,错,5
357,刻画,5
358,师父,5
359,青年,5
360,带,5
361,戏班,5
362,吴大维,5
363,影响,5
364,看一遍,5
365,之中,5
366,沉浮,5
367,一秒,5
368,忘,5
369,入戏,5
370,配角,5
371,17,5
372,癞子,5
373,站,5
374,批判,5
375,身份,5
376,宝剑,5
377,相比,5
378,幸福,5
379,岁月,5
380,讲述,5
381,红卫兵,5
382,几个,5
383,万古愁,5
384,陪,5
385,悲凉,5
386,不知,5
387,二八,5
388,悲伤,5
389,痛苦,5
390,脸,5
391,戏园,5
392,权力,5
393,戏曲,5
394,风格,5
395,极致,5
396,变,5
397,当初,5
398,最佳,5
399,身上,5
400,久,5
401,想到,5
402,欣赏,5
403,终点,5
404,人得,5
405,才华,5
406,悲歌,5
407,国产,5
408,大部分,5
409,所有人,5
410,本片,5
411,一出戏,5
412,英雄,5
413,骗走,5
414,這部,5
415,万古,5
416,提,5
417,可怜,5
418,少年,5
419,选,5
420,男,5
421,已多,5
422,编剧,5
423,打动,5
424,题材,5
425,资本,5
426,魔,5
427,劳动,5
428,楚霸王,5
429,其實,5
430,一分,5
431,最深,5
432,剧,5
433,体会,5
434,「,5
435,吃,5
436,无奈,5
437,不愧,5
438,仿佛,5
439,错误,4
440,美的,4
441,难受,4
442,近代,4
443,中國,4
444,情怀,4
445,头发,4
446,一颦一笑,4
447,完整,4
448,到位,4
449,终,4
450,很多年,4
451,世道,4
452,旧时代,4
453,显得,4
454,无可挑剔,4
455,戛纳,4
456,关,4
457,兒,4
458,Leslie,4
459,怕,4
460,道,4
461,无论是,4
462,大师,4
463,国民党,4
464,早,4
465,这句,4
466,非,4
467,PS,4
468,青木,4
469,精彩,4
470,环境,4
471,背后,4
472,军队,4
473,吹,4
474,接受,4
475,面对,4
476,理想主义者,4
477,跨越,4
478,这段,4
479,后期,4
480,第二遍,4
481,扮演,4
482,回头,4
483,好像,4
484,当权派,4
485,牛,4
486,小人物,4
487,描写,4
488,自個,4
489,看着,4
490,世人,4
491,历史背景,4
492,绝代,4
493,〈,4
494,多年,4
495,女子,4
496,姐姐,4
497,削去,4
498,难过,4
499,鱼,4
500,春,4
501,小石头,4
502,致敬,4
503,信念,4
504,整部,4
505,聊生,4
506,热爱,4
507,办法,4
508,宇宙,4
509,君王,4
510,听戏,4
511,外,4
512,击倒,4
513,魅力,4
514,节奏,4
515,大陆,4
516,太监,4
517,颠倒,4
518,关系,4
519,想象,4
520,太多,4
521,戏痴,4
522,忘记,4
523,进,4
524,2012,4
525,竟,4
526,最初,4
527,尼姑,4
528,年方,4
529,告诉,4
530,投入,4
531,形容,4
532,出神入化,4
533,活成,4
534,断壁残垣,4
535,汹涌,4
536,群众,4
537,做好,4
538,痴情,4
539,西方,4
540,反思,4
541,早就,4
542,出场,4
543,星,4
544,带来,4
545,血,4
546,自由,4
547,绝望,4
548,心痛,4
549,與,4
550,心理,4
551,三刷,4
552,迷恋,4
553,导致,4
554,30,4
555,几十年,4
556,平庸,4
557,崩溃,4
558,分不清,4
559,风云,4
560,遍,4
561,宮,4
562,世上,4
563,坚守,4
564,门,4
565,还会,4
566,明明,4
567,内涵,4
568,旧社会,4
569,大胆,4
570,光影,4
571,后半部,4
572,国人,4
573,气,4
574,👍,4
575,风情,4
576,恨,4
577,青春,4
578,美好,4
579,聪明,4
580,变换,4
581,台上,4
582,出演,4
583,隐喻,4
584,孩子,4
585,＂,4
586,世事,4
587,一啼,4
588,"
",4
589,梦,4
590,剧中,4
591,不用,4
592,50,4
593,贱妾,4
594,长大,4
595,认同,4
596,近,4
597,未曾,4
598,代表作,4
599,问,4
600,版,4
601,师兄,4
602,讨厌,4
603,慢慢,4
604,剪辑,4
605,之间,4
606,疼痛,3
607,一对,3
608,唯独,3
609,离开,3
610,鲜明,3
611,大话西游,3
612,豆瓣,3
613,大戏,3
614,去世,3
