year,box,times,times1
2000,4.0440,27,1,0.1
2001,4.8400,30,0
2002,8.4564,49,0
2003,7.0830,52,0
2004,12.7030,66,4
2005,15.4761,101,1
2006,20.5568,117,2
2007,22.6049,95,0
2008,34.9715,96,4
2009,56.9047,127,2
2010,95.3070,138,6
2011,125.1192,200,3
2012,165.2297,169,4
2013,107.9592,88,9
2014,294.13300,274,15
2015,443.84345,360,20
2016,450.70763,422,12
2017,568.68459,446,19
2018,546.15761,415,25
2019,623.60548,388,21
2020,279.705021,150,8
2021,464.40326,237,11
2022,290.77439,171,5
2023,148.66464,47,3
