,movie_id,movie_name,movie_vote,movie_voter,movie_5star,movie_4star,movie_3star,movie_2star,movie_1star,movie_shortcom_num
0,10430306,梅兰芳的舞台艺术 上集,8.9,387,61.6%,25.0%,10.5%,1.4%,1.4%,97
1,10430307,梅兰芳的舞台艺术 下集,9.0,372,66.7%,24.5%,5.1%,1.5%,2.2%,73
2,10462938,我爱我爹,8.9,211,55.5%,34.8%,8.5%,0.6%,0.6%,61
3,10535442,北纬三十八度,9.0,186,78.4%,8.8%,5.6%,0.0%,7.2%,50
4,10537853,万箭穿心,8.6,233371,44.3%,44.7%,9.8%,0.8%,0.3%,81189
5,10574468,北京遇上西雅图,7.3,577403,14.9%,41.8%,37.2%,4.9%,1.1%,158865
6,10574622,人再囧途之泰囧,7.5,765828,18.7%,43.2%,32.5%,4.4%,1.2%,187703
7,10600292,尚小云舞台艺术,8.8,149,64.4%,19.2%,11.5%,1.9%,2.9%,41
8,10605978,私人订制,5.9,325796,6.4%,18.6%,46.4%,21.7%,6.9%,90086
9,10727641,碟中谍5：神秘国度 Mission: Impossible - Rogue Nation,7.9,318753,21.3%,52.4%,24.7%,1.4%,0.2%,77162
10,10796588,徐策跑城,8.9,144,66.4%,18.7%,11.2%,0.9%,2.8%,45
11,10807909,智取威虎山,7.7,386293,19.6%,50.8%,26.2%,2.7%,0.8%,106331
12,10831445,百鸟朝凤,8.3,300600,36.9%,44.4%,16.2%,1.9%,0.5%,87321
13,10877448,陆游与唐琬,9.2,317,70.3%,21.9%,6.4%,0.5%,0.9%,93
14,11498192,齐天乐,9.3,1619,75.3%,19.0%,4.2%,0.6%,0.9%,394
15,11500290,西厢记,8.9,164,66.7%,19.4%,9.3%,0.9%,3.7%,41
16,11510624,全民目击,7.8,346240,23.0%,49.2%,24.1%,2.9%,0.8%,98528
17,11529526,中国合伙人,7.6,620589,18.4%,48.3%,29.6%,3.0%,0.7%,162715
18,11584063,荒唐事件,9.1,859,64.1%,28.8%,6.7%,0.4%,0.0%,236
19,11589036,功夫熊猫3 Kung Fu Panda 3,7.8,356534,21.6%,47.7%,28.0%,2.4%,0.4%,82345
20,11593132,游园惊梦,9.0,1329,61.9%,28.9%,8.0%,0.7%,0.5%,409
21,1291543,功夫,8.8,1100957,53.2%,35.0%,10.8%,0.8%,0.2%,135837
22,1291546,霸王别姬,9.6,2102883,82.5%,15.3%,1.9%,0.2%,0.1%,446759
23,1291550,天下无贼,8.1,502053,27.7%,52.1%,18.9%,1.1%,0.2%,64926
24,1291851,小武,8.6,134224,41.5%,46.1%,11.4%,0.9%,0.2%,34000
25,1291858,鬼子来了,9.3,615882,70.7%,24.4%,4.4%,0.3%,0.2%,117826
26,1291875,阳光灿烂的日子,8.9,605169,52.7%,38.1%,8.4%,0.6%,0.2%,115419
27,1292213,大话西游之大圣娶亲 西遊記大結局之仙履奇緣,9.2,1508534,67.0%,26.4%,5.8%,0.5%,0.3%,254257
28,1292287,新龙门客栈 新龍門客棧,8.7,435047,45.0%,44.2%,10.2%,0.5%,0.1%,66324
29,1292365,活着,9.3,828356,70.0%,25.8%,3.9%,0.3%,0.1%,176871
30,1292895,精武英雄,8.6,137877,43.0%,44.8%,11.5%,0.5%,0.1%,19405
31,1293172,末代皇帝 The Last Emperor,9.3,863723,70.3%,25.4%,3.9%,0.3%,0.1%,178453
32,1293237,变脸,9.1,50359,59.6%,34.6%,5.4%,0.3%,0.1%,13170
33,1293323,大红灯笼高高挂,8.7,264973,46.7%,44.3%,8.4%,0.5%,0.1%,57142
34,1296218,过年,8.9,57176,53.8%,38.8%,7.0%,0.3%,0.1%,19278
35,1297518,九品芝麻官,8.7,661249,46.6%,42.9%,10.0%,0.4%,0.1%,67426
36,1297747,少林足球,8.1,408501,32.4%,43.3%,21.6%,2.3%,0.4%,41981
37,1297795,疯狂的小镇,9.0,5510,58.9%,32.8%,7.4%,0.7%,0.3%,2301
38,1297880,芙蓉镇,9.3,130612,67.7%,27.8%,4.1%,0.3%,0.1%,40465
39,1299398,大话西游之月光宝盒 西遊記第壹佰零壹回之月光寶盒,9.0,1201419,60.3%,31.7%,7.3%,0.5%,0.2%,135348
40,1300894,城南旧事,9.1,118740,60.9%,33.6%,5.2%,0.3%,0.1%,36701
41,1301168,卧虎藏龙 臥虎藏龍,8.4,456917,37.6%,45.8%,15.2%,1.2%,0.3%,94272
42,1302210,神女,9.1,32062,62.0%,32.6%,5.0%,0.3%,0.1%,10927
43,1303394,青蛇,8.6,514355,44.8%,42.5%,11.8%,0.8%,0.2%,97892
44,1306160,新警察故事,7.8,324452,21.4%,49.9%,26.6%,1.8%,0.3%,42130
45,1306506,阿Q正传,8.8,35155,48.1%,42.1%,9.1%,0.5%,0.1%,8971
46,1307023,神话,6.9,259993,13.6%,30.2%,45.8%,9.0%,1.5%,31173
47,1307315,哪吒闹海,9.2,254094,65.3%,28.1%,6.2%,0.4%,0.1%,35020
48,1307694,无间道3：终极无间 無間道III 終極無間,8.2,340933,34.2%,44.4%,19.3%,1.8%,0.3%,51012
49,1307729,大决战之平津战役,8.8,16302,56.2%,30.9%,11.2%,0.9%,0.8%,2778
50,1307766,那山那人那狗,8.7,121569,47.9%,42.2%,9.3%,0.5%,0.1%,33549
51,1307856,背靠背，脸对脸,9.5,127924,76.2%,21.5%,2.1%,0.1%,0.1%,40888
52,1308038,牧马人,9.1,75231,63.9%,29.5%,6.0%,0.4%,0.2%,26024
53,1308857,可可西里,8.9,298089,53.4%,37.8%,8.0%,0.5%,0.2%,55290
54,1323746,小城之春,8.7,55848,46.4%,43.0%,9.7%,0.7%,0.2%,19118
