$movie_id$movie_title$comment_user$comment_time$comment_vote$comment_text
0$11589036$功夫熊猫3$翻滚吧！蛋堡$2016-01-23 17:00:54$1303$让跳舞娘的去玩双截棍，不怕被淋淋吸吗
1$11589036$功夫熊猫3$影志$2016-01-24 16:34:16$853$吓死本宝宝、仙熊下凡、小笼包兵团、春卷特工队、面条游击队、双爹八卦阵…翻译下了功夫，逗比贴切又接地气。笑料保持了前两部水准：一紧张就下蛋的鸭、翻滚后呕吐的阿宝、集体喘气的熊猫村民…但是泪点少了，故事也更流水线没有惊喜。老爸穿上犀牛盔甲后，激动尿的阿宝还是那么呆萌浮夸。
2$11589036$功夫熊猫3$徐若风$2016-01-23 17:26:53$601$三星半。视觉梦工厂至今最强，美术很棒，视听盛宴。但是这个完全放弃逻辑，生硬的领悟广场舞真谛是龟派气功的故事是那么幼齿，剧本就像不停在喧华闹腾中插点寻找自己的鸡汤，甚至有种逛庙会的感觉，没节制反而减弱了娱乐性。当然，市场方面肯定会是部卖的不错的成功商业作品。
3$11589036$功夫熊猫3$羚羊的灵魂$2016-01-29 01:54:59$2408$嗯哼  就是比国产的什么大圣归来好看 
4$11589036$功夫熊猫3$咖喱乌冬$2016-01-28 09:12:48$207$恰到好处的煽情 一如既往的欢乐 笑点与萌点齐在 年前最后的观影推荐
5$11589036$功夫熊猫3$momo$2016-01-29 01:01:48$1091$为什么那么多人吐槽国语配音？我觉得很好啊(除了杨幂)，滚滚本来就是中国的嘛，说国语才对啊。还有动画片还要说什么原声版吗？不都是配音版，哪来的原声？而且3本来就是中美合拍啊。PS：滚滚真的太萌了！
6$11589036$功夫熊猫3$汤平$2016-01-29 00:02:29$253$剧情励志大人小孩都能看的合家欢片，风趣幽默色彩亮眼特效比1.2更上一层楼。前一秒气壮山河，后一秒点餐去了“我们要两份春卷……再来一碗香辣面，你的面要多辣的(๑• . •๑)？他变态辣(･ิϖ･ิ)っ，变态辣(ง •̀_•́)ง，变态辣( •̀∀•́ )~
7$11589036$功夫熊猫3$夏了夏天$2016-01-29 00:04:39$244$不愧是梦工厂的加入，画面简直完美~特效也特别给力啊~
8$11589036$功夫熊猫3$伊谢尔伦的风$2016-01-29 22:37:45$536$这个剧情给我的感觉是过气偶像天煞复出之后发现根本没人认识自己于是拼命炒作但最终还是输给了跑回家乡拉人气投票的小肥肉李莲花。
9$11589036$功夫熊猫3$曾经我是一朵花$2016-01-29 09:51:56$142$画面美呆，动作流畅。熊猫简直萌爆全场！很适合合家欢的电影⁄(⁄ ⁄•⁄ω⁄•⁄ ⁄)⁄
10$11589036$功夫熊猫3$卢十四$2016-01-31 12:17:55$88$拒绝核电，用爱发电。
11$11589036$功夫熊猫3$Panda的影音$2016-01-23 17:09:56$378$笑到肚子痛，错了，应该是笑到差点喘不过气来，差点“死”在电影院！尽管家长朋友和一起观影4年级学生全程也是各种笑哈哈，……，但全场看得最爽的还是最爱动画/《功夫熊猫》的我！……对了，灵界的画面让我联想到《少年派》然后美到我眼泪都掉出来。……故事并没多少突破，然并卵，我想看6遍！！
12$11589036$功夫熊猫3$桃桃林林$2016-01-28 19:30:48$192$三星半，更大程度的融入中国元素，视觉部分非常突出，喜剧也维持了一贯的风格 。作为一部合家欢动画片，本片很适合寒假与孩子。不过，作为续集，这个系列大概也只有继承以往设定与模式，没办法有更多突破，缺少些惊喜。
13$11589036$功夫熊猫3$定都峰$2016-01-28 20:54:27$231$潘达君再次回归，阿宝自来水很满意，好萌好萌好萌重要的话说三遍，非常适合小朋友看，看我宝宝重出江湖，熊猫村好美，取景地是四川哦，配音一般，周末二刷看原版。
14$11589036$功夫熊猫3$曾海绵🌈$2016-01-21 17:59:27$78$最直观的感受就是比第二部好看太多。本集剧情虽然还是一如既往的简单粗暴，但增加了很多的萌点与燃点；弱化了盖世五侠的戏份，突出了阿宝回归熊猫村的新生活。转场镜头流畅，增加水墨元素，3D效果惊艳。虽然看的是国语配音版，但口型和本土化都比想象中优秀！可惜本集Boss还是一如既往的弱。
15$11589036$功夫熊猫3$掉线$2016-01-23 18:37:26$55$【B-】其实应该给三星，但得承认看得很开心，视觉设计依旧华丽，多了些快切式幽默使得笑点也更密集了，看得出在精心地迎合内地观众审美。不过都拍到第三集主角还处在自我怀疑的心理成长阶段，seriously？？这种打怪升级的模式拍下去，片名不如改成《功夫熊猫：凡人修仙传》。
16$11589036$功夫熊猫3$一壶浊酒$2016-01-29 00:10:49$145$爽到爆的画质，每个角色都立体。剧情也有升华，并且煽情点把握的不错。还有国语版配音这次终于让人觉得不突兀了！
17$11589036$功夫熊猫3$亵渎电影$2016-02-02 23:25:38$63$节奏简直就是掐着秒表来的，就算是尿点也是为了卖萌，整个观影过程简直全程心里跑着时间轴，应了一句话，不想做字幕组的剪辑不是好编剧。★★★
18$11589036$功夫熊猫3$有只骗子$2016-02-01 02:27:48$267$标出“8岁以下观看”，我会莫大感恩。@太平洋
19$11589036$功夫熊猫3$微风细雨$2016-01-29 00:06:36$131$阿宝，你永远是我最爱的神龙大侠\(^o^)/
20$11589036$功夫熊猫3$米粒$2016-01-29 21:22:56$72$难得和家人一起在国内院线看片，体验还是不错的。就是故事东拉西扯的，有点太糊弄人了嘛
21$11589036$功夫熊猫3$木卫二$2016-02-01 16:10:24$43$用气功延长三百倍生命。
