$movie_id$movie_title$comment_user$comment_time$comment_vote$comment_text
0$1291858$鬼子来了$被迫改名$2009-05-02 23:28:55$9526$十部南京也抵不过一部鬼子来了。
1$1291858$鬼子来了$Sundance小千$2008-09-19 09:12:22$6564$一刀刘、二脖子、马大三、四表姐夫、五舅姥爷、六旺、七爷、八婶子、小碌碡...
2$1291858$鬼子来了$影志$2005-12-16 03:07:42$6741$从此，“大哥大嫂过年好” 在耳边经久回荡……
3$1291858$鬼子来了$Ocap$2016-09-24 16:44:09$2833$姜文：“我拍《鬼子来了》就是试图让观众明白，如果想避免我们大家都知道的那段不愉快的历史，除了过嘴瘾还有什么办法。我不敢说这部电影给出了这个结论，事实上我一个导演和一部影片也做不到，最高的理想也就是有个方向吧！”结果，这是一部能在日本公映的内地禁片。我觉得这基本就说明一切了。→19.2 二刷
4$1291858$鬼子来了$露娜peace$2006-06-12 10:31:48$3757$大哥大嫂过年好~~~~AND 姜文这个人是个天分极高的家伙。
5$1291858$鬼子来了$drunkdoggy$2006-02-26 21:41:35$3458$我有个朋友说他一共看了３０多遍……
6$1291858$鬼子来了$劳戈$2007-08-18 14:25:52$2008$"优秀的如此遗憾. 仿若是黄皮肤的库斯土里卡.

大三背着豆子刚刚进入县城时，姜老师用了一个跟拍的“巡礼”式长镜头为我们展示了一副日据时期小县城的风貌图。仅仅一个镜头 人物呈现之清晰 空间描摹之有力 为十余年来大陆电影之仅见也。"
7$1291858$鬼子来了$谁家的小谁$2011-01-22 21:13:26$8020$大概姜文最后的一笑意思是“幸好我死了，这狗B的世界我可不想活着”
8$1291858$鬼子来了$南 瓜 子$2008-03-11 13:11:08$3856$国产片最高境界!
9$1291858$鬼子来了$有心打扰$2011-06-17 00:15:46$3602$中国农民是善良的，是好人。同时却也是愚笨的，是软弱的。软弱往往导致善良变质成为受欺。
10$1291858$鬼子来了$小米=qdmimi$2007-08-03 13:57:40$2383$留口气活着很重要，可有些事比活着留口气重要
11$1291858$鬼子来了$薇羅尼卡$2006-01-24 23:19:23$2681$心中的点点悲凉，不能一语道尽……
12$1291858$鬼子来了$深红$2010-09-18 15:06:59$2665$就让我一手一个，掐吧死俩！
13$1291858$鬼子来了$蛋蛋$2007-09-23 09:41:39$1557$“你是我的爷，我是你的儿！”这辈份够乱的
14$1291858$鬼子来了$裸踝$2009-05-30 13:27:53$3024$中国最好的电影。
15$1291858$鬼子来了$莫呼洛迦-屁股上的青春在歌唱$2008-12-24 04:21:57$3427$太他妈深刻了
16$1291858$鬼子来了$喻鸣$2014-12-15 11:27:24$1527$国产高峰，姜文是电影界的鲁迅，面对国民的自私、愚昧、软弱、天真，哀其不幸怒其不争，巧妙将此融于荒诞可笑的表现手法中，各方势力皆不能免于嘲弄。国外有《钢琴师》《辛德勒》《美丽人生》，如果要用影像作品面对七十年前那场浩劫，我们只有这部能拿得出手了。已被“大哥大嫂过年好”洗脑。
17$1291858$鬼子来了$Guide$2006-03-17 23:34:37$1897$结尾那颗唯一上色的人头
18$1291858$鬼子来了$Q。$2011-01-07 06:07:08$647$“大哥大嫂过年好” 这是另外一种视角审视战争。姜文通过影片含而不露的揭示了人性的悲凉，黑白以及最后的那一抹彩色的处理都显得别有用意。只有敢于去批判和自省的人，才会有前途，很可惜，我们只有这么一个姜文。★★★★☆
19$1291858$鬼子来了$弥呀$2009-09-27 10:08:17$1763$就冲这片儿，姜叔你是中国最好的导演，没有之一！
20$1291858$鬼子来了$反正要换随便啦$2011-01-18 10:50:57$1149$1.一些意味深长却无法言说的东西。2.众生平等。人性并无美丑之分。渺小的人类个体的行为也无对错可言。是战争和国家这个巨大的利益机器扭曲了人性。3.战争，荣誉，保卫祖国都是公然杀戮的借口而已。4.南京只讲出一分我已觉得满足。姜文简直就是惊喜。
21$1291858$鬼子来了$冰红深蓝$2015-06-17 14:27:12$784$姜文的神作，获戛纳评审团大奖。本片简直是中国人劣根性的百科全书:虚伪,自私,冷漠,看客,奴性,内斗,踢皮球和稀泥...对日本人的两重性也作了深入的刻画，刀刀入骨。凝重的黑白影像与荒诞戏谑的情节形成极大反差，结尾的彩色画面震撼力极强。影片像是鲁迅与库斯图里卡合作拍摄的悲喜剧。（9.5/10）
22$1291858$鬼子来了$米粒$2017-05-05 11:30:28$722$被“大哥大嫂过年好”洗脑了，可真敢写啊，姜文确实是贫到不行，某些段落简直没完没了，可架不住他这横竖都溢的才华啊... 而且不光剧本好，演员一个个也都特有劲儿。结尾更是好上加好，最后吴大维的港台腔呜里哇啦宣扬什么民主和人性，那讽刺力真是max级别的。。 #162min版
23$1291858$鬼子来了$丁一$2018-07-04 11:09:12$638$我问同事：你看过《鬼子来了》么？同事甲：看过！潘长江和郭达演的太他M逗了。同事乙：真是大快人心！看着他们一脸的民Z自豪感，自己心里也像吃了屎一样开心
24$1291858$鬼子来了$Qyy$2020-09-05 01:41:15$645$又是20年过去了，国人还是不欢迎自嘲的电影，不喜欢看到负面的形象。他们还是爱在红海行动、流浪地球、中国机长、攀登者这样的氛围里自嗨并叫嚣着3D打印。如果有人说一句他们不爱听的话，他们还是会群起而攻之乃至封杀这个声音。
25$1291858$鬼子来了$Tuna Bento$2010-12-19 21:45:35$868$在抗战这个题材上，找不到比这部片子做得更好的了。与之相比，陆川简直是坨狗屎。
26$1291858$鬼子来了$李濛Lemon$2014-12-02 12:10:46$570$愚昧狡猾的中国农民，野蛮固执的日本士兵，装腔作势的国民党军，还有蛮横地把俘虏塞到村民手中却推卸责任消失不见的“我”，电影于戏谑中扇了所有人一个响亮的耳光，无一遗漏。涉入抗战题材的导演姜文，没有立场就是最坚定的立场，是普遍人性的代言人。
27$1291858$鬼子来了$大头绿豆$2005-11-16 22:32:51$757$姜文确实聪明。
28$1291858$鬼子来了$kissdemon$2011-11-04 22:02:06$736$热闹的配乐，未开化的村庄，娓娓道来尽是荒唐事。姜文好才情，好视角，此片在堂堂天朝泱泱大国岂有不被禁之理。我磨刀霍霍向鬼神，奈何——“日本投降了，战争结束了，和平降临了”。结束了？结束了。
29$1291858$鬼子来了$今晚超忙$2010-10-31 22:01:46$797$对敌人的仁慈，就是对自己残忍！
30$1291858$鬼子来了$蜉蝣渡海$2017-11-27 23:10:24$439$我奶奶说她小时候上的是日本人开的学校，她印象中的日本人见人都点头哈腰的，并不作恶，作恶的是还乡团。而我姥姥嘴里的日本人可是坏事不少做，难以置信的是她们的娘家才距离几十里路。怀有朴素狭隘价值观的农民面对外来的日本人到底是个怎样的态度，眼下的生存为大啊。
31$1291858$鬼子来了$樹一$2013-05-15 17:32:08$576$令人战栗的故事。那个时代的人，都是到死才能看清这个世界的本色。
32$1291858$鬼子来了$你看起来很美味$2012-04-30 11:55:59$704$我觉得不比《让子弹飞》差，我也终于明白为什么当初会遭到禁播。因为荒诞得真实。
33$1291858$鬼子来了$战国客$2007-12-31 02:55:08$745$前面姜文式的戏谑让人捧腹，真TM有才！后面姜文抡起菜刀让人震撼，真TM爷们！
34$1291858$鬼子来了$youngman$2009-08-08 19:54:47$718$只要心里没鬼，外鬼就无法作祟。
35$1291858$鬼子来了$又又$2012-04-27 19:43:23$266$成也翻譯，敗也翻譯，為翻譯官叫屈！另外，某處日本人和翻譯的嘴極具象徵意義（男女生殖器）。
