$movie_id$movie_title$comment_user$comment_time$comment_vote$comment_text
0$1292213$大话西游之大圣娶亲$罗弘霉素$2010-07-26 18:41:26$14304$一遍烂，两遍笑，三遍哭
1$1292213$大话西游之大圣娶亲$仲楚$2018-01-30 23:44:02$2754$"紫霞仙子眨眼的一瞬惊艳，无忧无虑的至尊宝。
至尊宝面对现实的两条路:
不成大圣，我无法救你。成了大圣，我无法爱你。

"
2$1292213$大话西游之大圣娶亲$Lan~die$2006-10-07 10:48:36$6862$"经历过和正在经历着悟空式的命运和紫霞式的爱情，才发现生命的本质是以最低的姿态出现的。英雄？你为什么不问问做英雄的代价？  
“想不到经过这五百年，我要找的并不是她，而是你。”人生际遇真是难以言喻。"
3$1292213$大话西游之大圣娶亲$woodYA!!en$2011-03-17 23:03:33$1509$鲜花虽会凋谢，但会再开。一生所爱，隐约在白云外。苦海翻起爱恨，在世间难逃避命运。相亲竟不可接近，或我应该相信是命运。
4$1292213$大话西游之大圣娶亲$游牧人·芳汀$2010-10-06 23:17:37$751$#电影院#  第二部就这样活生生地把周星驰塑造成了千古情圣，句句台词都催泪。反应了初恋之后男人遇到真爱（挚爱）的复杂心理。至尊宝其实真的很心软也很善良，怎能因为紫霞流了一滴眼泪就爱上了她，我到现在都还喜欢白晶晶啊。
5$1292213$大话西游之大圣娶亲$Mona Lishark$2008-01-01 19:41:02$8721$有人跟我比赛背台词么
6$1292213$大话西游之大圣娶亲$凉水$2012-10-26 20:49:43$4812$紫霞飘向太阳时、齐天大圣离开城门时，都哭成了傻逼。有多庆幸能踩着五彩祥云做你的盖世英雄，就有多遗憾没办法与你守护终身。喜欢的是五百年前的晶晶、还是给了自己三颗痣的紫霞；喜欢无拘无束敢爱敢恨的至尊宝、还是套上紧箍咒背影像狗的孙悟空？爱的命题究竟太空泛，恐怕还是要交给月光宝盒。
7$1292213$大话西游之大圣娶亲$康报虹$2017-04-14 21:41:11$3903$坐我旁边的那个年近四十、西装革履的男人从电影刚开始就止不住眼泪，有些地方哭着笑出声。而他的年轻女伴从开头就一直低头玩手机、到经典场景就煞有介事地拍张照片、不到一半时一直嚷嚷着无聊，硬是把那个男人拉走了。
8$1292213$大话西游之大圣娶亲$眠去$2007-02-13 12:55:20$7132$为什么越看越觉得悲伤
9$1292213$大话西游之大圣娶亲$小锡兵$2009-02-03 05:27:31$5310$我猜中了开头，却猜不到这结局。/ 20141024 在影院哭死
10$1292213$大话西游之大圣娶亲$Miss Lucky$2006-12-22 20:41:27$1027$其实很伤感
11$1292213$大话西游之大圣娶亲$旅途人生$2017-03-15 09:04:20$184$西游降魔伏妖篇之后，有人说星爷欠我一张电影票，有人说星爷江郎才尽！但是星爷根本没变，这两部秉承前作的风格！但变的是观众，就像电影是老的经典，不是因为前作有多难超越，而是电影给予我们的回忆难以超越！我们的心态不再平静！我们看星爷的角度不断变化，而星爷却从未改变！
12$1292213$大话西游之大圣娶亲$卷子乐子八子$2008-09-27 20:17:54$4302$一生所爱：我的意中人是个盖世英雄，有一天他会穿着金盔金甲，踩着七色的云彩来娶我。我猜中了前头，可是我猜不着这结局…… 
13$1292213$大话西游之大圣娶亲$影志$2006-02-05 18:31:34$4833$任何时候任何场合都可以再看一遍的电影
14$1292213$大话西游之大圣娶亲$momo$2016-09-09 10:35:14$613$我一直不知道她在心里留下了什么，原来是一滴眼泪
15$1292213$大话西游之大圣娶亲$野次馬$2015-12-27 07:08:31$2174$"盗用一句黄姐姐很喜欢的管风琴，""人能这么锲而不舍地轻佻，骨子里一定有哀世伤生的肃穆在支撑。"""
16$1292213$大话西游之大圣娶亲$甜甜甜甜甜甜甜$2013-02-23 01:39:35$3422$小时候看着笑，长大了看着哭。
17$1292213$大话西游之大圣娶亲$瓦达西瓦又又又桑只爱这巧克力$2010-07-06 12:52:25$2064$因为你还没有遇到给你三颗痣的人
18$1292213$大话西游之大圣娶亲$寂地$2006-01-02 15:05:32$925$哈哈,也是我最喜欢的电影之一了.看过好几次,第一次看笑得半死,后来居然又看哭了.其实可以喜欢到不太想得起来.但是是值得永远收藏的.
19$1292213$大话西游之大圣娶亲$大头绿豆$2005-09-12 20:10:13$645$请收藏粤语版。「2010」：1218，这么多年后重看，居然还是湿了。【2014】终于在大荧幕上看了。虽然是普通话。经得起这么多次的反刍，可以确认是经典了。想起东邪西毒重演时提前离场的对比，简直。
20$1292213$大话西游之大圣娶亲$林愈静$2006-04-22 13:09:37$1710$看了不下20遍，彻底看伤了。
21$1292213$大话西游之大圣娶亲$宋阿慕$2008-02-19 15:19:26$731$大话西游成就了一个时代.这句话一点也没错.不管是好的方面还是不好的方面.|人试图化身为天地，这本身就是一种不自量力。
22$1292213$大话西游之大圣娶亲$俗在骨$2017-04-10 06:35:31$452$我真的不欠谁的电影票 别跟我提情怀 你就是想圈钱 
23$1292213$大话西游之大圣娶亲$卡特兰$2006-05-22 08:12:33$841$我想，应该不用说什么才对。
24$1292213$大话西游之大圣娶亲$雨读$2017-04-19 10:01:19$157$这..是..现象级的过度解读吧..周星驰还是那个周星驰，只是我们对于青春和情怀的捍卫过于执拧。说实话，笑不出，哭不出，至于像条狗的总结陈词，不就是周星驰惯用的将主角都打上市井小民烙印的招数？
25$1292213$大话西游之大圣娶亲$西楼尘$2017-04-15 20:55:34$251$那天我凤冠霞帔，你意气风发，驾七彩祥云却没来娶我。那日我大战群魔，你泪水涟涟，戴着紧箍圈却放了手。这一世品尝了所有爱恨苦楚，架着金箍棒转身。从此黄沙漫漫，再没有一个姑娘在脚底点上三颗痣，嚣叫着宣告主权。不会钻进心脏，流下明知南墙偏要撞的眼泪。从此后世流传我们相爱的秘闻，只有开头。
26$1292213$大话西游之大圣娶亲$南笙$2012-01-06 22:58:28$738$我在你心里是个句号还是一个惊叹号？
27$1292213$大话西游之大圣娶亲$阅微草堂$2012-01-17 14:54:07$747$"只是一个应错阳差的片子，至于么？
慢慢理解了流行其实就是一个蝴蝶效应"
28$1292213$大话西游之大圣娶亲$朝暮雪$2012-08-07 16:00:24$254$"《大话西游》好于99%的喜剧片，《仙球大战》好于0%的喜剧片。
