$movie_id$movie_title$comment_user$comment_time$comment_vote$comment_text
0$1306160$新警察故事$安蓝·怪伯爵𓆝𓆟𓆜$2009-08-29 22:03:19$667$看过的吴彦祖的片里形象最好的一部。ps，惊现孙淳
1$1306160$新警察故事$Song³$2008-10-27 13:18:12$1723$吴彦祖演得真好
2$1306160$新警察故事$阿猫$2008-08-05 23:52:34$1274$我为这部戏里吴彦祖的演出喝彩~
3$1306160$新警察故事$梦梦梦梦$2017-03-02 08:44:27$431$喜欢看成龙的电影，打戏特别过瘾，特别真实，谢霆锋痞帅痞帅的，吴彦祖的戏份虽然不多但是他的颜他的坏给观众留下深刻的印象。剧情也特别吸引人，看的时候挺害怕的，但是就是停不下来想继续看，好电影，五星好评。
4$1306160$新警察故事$春生他娘$2010-12-25 04:18:32$545$感谢新警察故事让Daniel得了最佳男配角，远离王晶，走上优质小生的路
5$1306160$新警察故事$沉歌$2009-07-25 22:20:06$811$看了少说也有五六遍
6$1306160$新警察故事$Vicky$2007-05-07 11:46:17$676$杨采妮还是那么玉女...想不通阿~~吴彦祖就是演这种角色最迷人~~
7$1306160$新警察故事$元宝宝$2017-03-23 20:41:36$353$谢霆锋和吴彦祖确实很出色，演技及敬业精神都大大点个赞！
8$1306160$新警察故事$昵称被占不开心$2017-03-15 16:00:36$254$吴彦祖好帅
9$1306160$新警察故事$薇羅尼卡$2006-02-04 20:36:31$514$还不错，喜欢吴彦祖的表演。
10$1306160$新警察故事$猛汉世雄$2008-01-30 13:19:33$309$吴彦祖你几英俊...虽然是心理有问题的儿童TVT
11$1306160$新警察故事$你爹语重心长$2017-04-30 12:39:52$81$吴彦祖演技巅峰……
12$1306160$新警察故事$随风的蒲公英$2017-03-15 19:48:00$272$这个电影最让我印象深刻的是最后，吴彦祖演的那个角色，让人真的有很多的感想，有点伤心！
13$1306160$新警察故事$半城风月$2017-12-22 00:40:30$50$吴彦祖帅得无可挑剔。
14$1306160$新警察故事$打盹的拉布拉多$2008-06-01 11:17:35$18$意淫、蛋逼、自虐，没法对香港剧本指望什么。。。。
15$1306160$新警察故事$littletwo$2007-12-01 12:27:54$277$不知道为什么，就是特别喜欢这部电影~~~
16$1306160$新警察故事$瑶一瑶$2017-12-22 00:38:26$42$吴彦祖真帅
17$1306160$新警察故事$shield$2017-03-02 00:14:00$213$打戏是在拼命啊太敬业了，电影很精彩
18$1306160$新警察故事$花落  思量错$2017-03-02 11:32:47$169$看过好几遍，成龙大哥特别拼，还能带动周围人，这个片子要颜值有颜值要动作有动作，也算个经典之作吧。
19$1306160$新警察故事$高压电$2011-02-19 19:40:29$8$说教味十足。
20$1306160$新警察故事$甜椒Oli$2017-03-30 12:10:51$233$当年我去看的我激情澎湃啊 当年谢霆锋好帅的嘞 
21$1306160$新警察故事$苏幼$2017-03-02 06:54:14$132$动作片的演员都好拼的
22$1306160$新警察故事$大笨象騎士$2017-01-20 18:08:45$107$对游戏和犯罪二者间的联系总是感到十分兴奋，以致于希望最后活下来的是Joe而不是他老爸；此外，对于亚洲银行抢劫案的细节刻画少了些，本来还期待能看到多么惨无人道的虐杀镜头，也许站在牺牲警员的第一人称角度来描述会更让人身临其境；当然了，24岁的霆锋真的很可爱呀，一点也不输给阿祖
23$1306160$新警察故事$萌宠小坏坏$2018-06-19 12:06:45$57$很棒的警匪片，尤其是成龙和吴彦祖比组枪的片段，吴彦祖的起先挑战警察的狂傲和组枪失败后的绝望，情绪转换的很好
24$1306160$新警察故事$爱情海$2017-04-14 15:43:05$131$吴彦祖很适合演反派，演技超赞。
25$1306160$新警察故事$欣欣向荣$2018-06-08 20:04:13$45$吴彦祖好帅的，还有谢霆锋
26$1306160$新警察故事$蓝色啄木鸟$2017-03-29 12:21:21$39$成龙大哥的风格改变了，但动作戏还是挺拼的，谢霆锋也算表演自然，但给人印象最深的是反派帅哥吴彦祖，这里表演真比以前进步多了，感情挺到位，难怪得了奖！
27$1306160$新警察故事$I can fly$2012-02-04 15:10:24$20$成龙演绎生涯终极于此该多好
28$1306160$新警察故事$superliu$2012-05-24 11:28:29$2$成龙已经打不动了
29$1306160$新警察故事$吴邪无忧$2016-07-20 22:14:10$16$行，没想到吴彦祖还挺帅的
30$1306160$新警察故事$小4$2008-08-02 00:25:55$4$其实一般
31$1306160$新警察故事$大浦洞二号$2011-02-11 12:12:16$1$为成龙拍的
32$1306160$新警察故事$找凹的凸$2009-12-23 10:26:32$1$不怎么样，一个复仇的故事。
33$1306160$新警察故事$一條魚佔滿了河$2022-08-04 13:30:47$4$從陳家駒到陳國榮，成龍的警察從橫衝直撞到觸底反彈，打戲依然不少，但是內心戲更多更完整，或許是他時年50歲的知天命吧。即便陳國榮算得上是成龍最好的文戲表演之一，觀眾的目光還是會不自覺被吳彥祖的阿祖吸引，一面是囂張邪魅，一面是童心破碎，可惜袁錦麟把角色寫淺了，一切惡行緣於家庭不幸的設定有些落俗，少了他對於社會規則的認知與不滿，於是角色身上更多是反叛父親而少有反抗父權，不過這終究只是一部動作商業片，要挖掘角色身上更多深度的可能那便是另一部電影了。
34$1306160$新警察故事$Vince♫$2008-03-14 22:41:34$8$为什么这么好看??
35$1306160$新警察故事$木水$2011-01-08 14:01:04$1$喝酒的警察，好颓废，也好假~以前看的~
36$1306160$新警察故事$Lucifer$2010-02-08 19:38:14$2$老矣
37$1306160$新警察故事$洪湖水$2010-03-05 00:08:50$5$罪犯的动机过于简单，还不如没有动机
38$1306160$新警察故事$时间的玫瑰$2006-09-27 17:23:20$13$我的心里只有阿祖，他做大坏蛋我都原谅……
39$1306160$新警察故事$巨牛侠$2011-05-07 23:16:54$0$一般了。
40$1306160$新警察故事$麦乐脚$2008-05-28 21:23:56$2$"很不错~
后期港片难得的经典"
41$1306160$新警察故事$不曾离开$2018-06-03 18:57:23$44$那时候看到吴彦祖真的有被他演的变态吓到
42$1306160$新警察故事$辰星祭$2012-05-11 14:56:53$1$美人呀~~
43$1306160$新警察故事$九尾黑猫$2008-03-04 19:07:02$7$推新人的电影，不好看
44$1306160$新警察故事$幕天席地$2017-04-10 09:14:25$42$吴彦祖帅得一塌糊涂
45$1306160$新警察故事$羽族优伶$2007-12-30 19:55:12$0$打，还是打
46$1306160$新警察故事$豆友1096005$2007-01-16 13:22:30$0$老了。
47$1306160$新警察故事$Fairy🍒$2022-09-15 23:13:23$1$哇没想到这么好看，商业动作片的巅峰之作，卡司强大，融入了游戏元素让影片整体精彩程度大幅提升，仓库的戏残忍堪比大逃杀，给我留下深深阴影，乐高店动作戏肉搏也精彩，顶楼对战更是经典，谢霆锋也好拼。吴彦祖的角色设计很有意思，演得也很好，可以给更多笔墨。虽然在动机和人物描绘上还不够好，但就好看程度来说还是值一个五星~杨采妮真的好靓哦！
48$1306160$新警察故事$Sad Lucy$2010-08-18 15:01:01$0$电影台之类的播放
49$1306160$新警察故事$哪吒男$2021-01-21 01:22:26$15$所有的星都给吴彦祖！一个可以彪炳影史的角色，真正的邪魅狂狷代名词。在“警察故事”这个这个成功的系列里，成龙的风采第一次被配角掩盖，不管结局成龙的角色有多么悲情，观众的注意力全被吴彦祖的一颦一笑吸引。
50$1306160$新警察故事$ᥫ᭡້໌$2017-03-02 09:00:43$22$情节紧凑，剧情精彩。谢霆锋被吊在那的戏青筋暴起很真实，吴彦祖很帅，成龙对比以往没有很出彩。
51$1306160$新警察故事$一起吃地瓜$2018-05-09 19:30:18$23$电影频道总放，拍的还可以，小谢拍打戏挺拼的，孙淳镜头很少但演的很好。
52$1306160$新警察故事$酱爆$2012-06-24 16:53:03$0$看得快吐了。
53$1306160$新警察故事$🧸$2017-05-13 23:12:32$40$吴彦祖演的那个戴面具的反派印象挺深的
54$1306160$新警察故事$blb$2009-09-06 00:41:40$0$成龙老年作品
55$1306160$新警察故事$ANNXXNA$2011-08-24 15:13:37$27$这部片子里属吴彦祖的演技最棒了~把恶贯满盈却心灵脆弱的少年塑造得完美无缺
56$1306160$新警察故事$bing。$2009-06-22 00:22:57$0$安安很帅。
57$1306160$新警察故事$居北望南 9¾$2011-08-26 16:33:56$0$苦逼的成龙
58$1306160$新警察故事$bobobo$2008-02-24 18:21:51$0$很娱乐很好
59$1306160$新警察故事$启明星的指引$2018-03-25 00:30:05$12$看过的经典之一，非常不错的警匪片。
60$1306160$新警察故事$gnitiz$2012-09-19 20:04:44$0$渣
61$1306160$新警察故事$铃儿响叮当$2017-03-31 00:02:01$8$论动作片还是早期港片真的经典。
62$1306160$新警察故事$(๑⁼̴̀д⁼̴́๑)$2017-12-22 00:35:55$15$ 阿荣又遇到那群狠狠打击他的罪犯，与他们斗志斗勇，在警花莎莎（蔡卓妍 饰）的协助下知道匪徒当年的事件被编成了一部游戏，同时也知道了当年为何情报被泄漏的原因
63$1306160$新警察故事$巴喆$2011-12-30 17:30:26$1$成就了吴彦祖和安志杰，陈木胜找不到当年那种感觉了
64$1306160$新警察故事$疯狂的二狗$2012-03-09 15:40:22$2$故事完整  人物塑造成功
65$1306160$新警察故事$双一$2014-06-04 17:18:23$1$到现在还是不喜欢成龙的苦情戏
66$1306160$新警察故事$暴富的女孩是我$2017-03-31 20:02:57$12$真的超级帅啊 好多人的颜颠 演员就是靠影视作品留住自己年轻的模样
67$1306160$新警察故事$kangzhs$2008-12-25 14:36:29$0$淡定，淡定。煽情别过了。
68$1306160$新警察故事$-VeronicaWooo-$2010-11-07 00:28:12$0$故事一般。演员很到位@Home
69$1306160$新警察故事$小岩井$2014-02-03 15:57:23$12$吴彦祖坏起来好帅
70$1306160$新警察故事$有多远走多远$2010-11-04 16:36:59$0$真是没什么意思。。。这种电影太雷同了
71$1306160$新警察故事$麦子$2013-10-17 13:58:49$1$老了这家伙
72$1306160$新警察故事$心之旋影$2007-05-20 20:49:29$0$2005.1.27
73$1306160$新警察故事$我是大皮哥$2016-11-16 14:11:52$11$我猜，绝大多数人的“阿祖”初体验都是从成龙的这部新警察故事开始的吧。那一份亦正亦邪的邪魅和像个大孩子一样让人心疼的哭戏，着迷。
74$1306160$新警察故事$Memento Mori$2010-05-11 21:57:07$0$那时候我没明白他们比枪。
75$1306160$新警察故事$息为$2008-07-03 22:33:35$0$我并不知道要什么评论。
76$1306160$新警察故事$安大帅$2019-10-07 19:12:29$1$至少这部还延续了老港片的动作戏份，跳楼、扒车、爆炸啥都有，再加上帅得令人发指的吴彦祖和美丽的杨小姐~这部新世纪的“警察故事”我还是挺心水的。
77$1306160$新警察故事$私房歌$2011-05-05 08:25:46$0$延续了成龙风格的影片，在这个年纪上，成龙想要有突破已经没可能了。
78$1306160$新警察故事$潇潇暮雨$2017-12-22 03:04:12$14$吴彦祖真的太帅啦，角色发挥空间大，情节紧凑，看过很多遍也不嫌多的电影
79$1306160$新警察故事$ForVictoRi$2017-03-03 10:45:51$2$成龙的正派演得正气凛然，吴彦祖反派演得令人心痛，一部经典到不能再经典的警匪片
80$1306160$新警察故事$White Shadows$2011-08-29 21:04:56$1$谢霆锋演戏怎么总别别扭扭的
81$1306160$新警察故事$九九$2011-04-01 23:13:06$1$冲着杨采妮
82$1306160$新警察故事$叶底藏花$2022-05-30 20:17:31$3$阿祖在这部里无疑当得上邪魅狷狂这一形容词，无论是前面与成龙玩“游戏”的杀人诛心，亦或是最后的内心挣扎，都把这一反派形象演得让人印象深刻。动作戏一如既往地好和拼命，文戏虽少但情感上还是非常动人的。总而言之，我非常喜欢。8.5/10
83$1306160$新警察故事$如错看了都好-$2017-06-18 21:25:42$7$这四个青少年做尽了坏事 可是最后要枪毙阿祖的时候还是希望能给他一个机会 😄
84$1306160$新警察故事$东呆$2008-09-12 18:10:45$0$香港的警匪片进入低谷
85$1306160$新警察故事$mdr skywalker$2020-08-25 17:35:05$5$二刷重温，第一次看的时候真的被吴彦祖的反派气炸肺，这部作品作为陈木胜和成龙大哥新千年后又一次合作，贡献了极高的水准，陈木胜非常擅长写人，尤其是把主角逼入绝境，这部戏也不例外，在前半段大哥的角色完全被动，绝望无助，大哥的表演也非常抓人，谢大厨和杨采妮的角色也塑造的很棒，更不用提让人恨透了的反派吴彦祖，动作戏有成龙大哥保驾护航更是观赏性极强，危险系数绝对不亚于阿汤哥。仓库烟花式爆炸，高台飞车追逐，跳高楼救谢大厨让我印象深刻，非常酣畅淋漓，是新千年香港动作片浓墨重彩的一笔。in memory of Benny.（8.5/10）
86$1306160$新警察故事$Lisaaaaaa$2011-06-12 14:35:35$2$作为消遣还不错啊
