$movie_id$movie_title$comment_user$comment_time$comment_vote$comment_text
0$1307023$神话$蒜 | BOY A✎$2008-07-04 11:30:38$1041$2008.7.3 CCTV6 home 电影歌曲再次超越电影本身的范例。
1$1307023$神话$战国客$2008-09-03 20:23:01$1040$主题曲确实很好听~~
2$1307023$神话$晒晒心情$2017-05-17 17:04:16$3389$这在05年绝对是现象级的电影，7分以下绝对低了，即使到现在，也是一部可以强烈推荐的电影。豆瓣可耻。
3$1307023$神话$假江湖骗子$2017-02-09 10:28:04$1894$看了功夫瑜伽之后，我才惊觉当年这部神话是很好的。
4$1307023$神话$暖鱼$2005-10-14 17:56:35$517$一个等待千年待郎归，一个千年之后迷梦连连回妃旁，见面了却又草草结束，莫名其妙。
5$1307023$神话$芝麻酱$2011-10-05 10:25:14$224$即使在长途车上消磨时光也觉得太烂了
6$1307023$神话$蓝下老婆$2017-03-08 21:10:18$350$神话电视剧版男主是帅哥靓女，神话电影版是大叔和美女，想想如果一个高帅的男的来演蒙放，那是不是更好看了，嘿嘿😁
7$1307023$神话$香水瓶$2006-04-18 00:59:51$492$看过一遍不太想再看第二遍了，不过主题曲真的很好听！
8$1307023$神话$UrthónaD'Mors$2009-01-29 10:46:50$381$额，金喜善在坟墓了活了那么久他吃什么？莫非仙单真的可以羽化登仙
9$1307023$神话$途经一个你$2017-06-22 15:56:42$396$金喜善很美 被悬崖上跳舞那段惊艳到了
10$1307023$神话$文泽尔$2007-09-26 21:15:00$120$千言万语概括成两个字：穿越.. 再加三个字：看，灰机....
11$1307023$神话$随风的蒲公英$2017-02-18 23:09:31$174$这个电影是我在小的时候就看过，但是真的是百看不厌，主演的演技都很棒，真的是让人跟着他们一起悲一起喜，还有主题曲真的也是经典！
12$1307023$神话$haoyang112$2019-01-07 16:12:55$603$多年前看的片子，看完感动得一塌糊涂。看到豆瓣6点几的评分觉得不可思议，好像没有那么差吧？很想再看一遍，却又不敢，毕竟我现在的想法和十年前差太多，也许再看真的觉得没有记忆中那么好了。就像电影中的公主一样，我宁愿保留脑中那个印象，不再去修改，让它永远都是美丽的神话好了。
13$1307023$神话$yocofcjx28$2016-11-26 18:21:35$180$感觉这部电影其实剧情一般，当时看的时候只觉得，和好多年前的古今大战秦俑情差不多但没那部感人。
14$1307023$神话$理想多钱一斤啊$2010-04-15 12:17:18$24$假得惨不忍睹
15$1307023$神话$巴喆$2012-06-27 22:14:29$211$后来是歌远比电影红，这是另外一种悲剧。穿你妹的越啊。。。
16$1307023$神话$刘建明$2010-05-18 22:58:31$19$"几段打戏还是成龙的老风格，剧情BUG太多。
爱情描写还是欠点火后。。。
