$movie_id$movie_title$comment_user$comment_time$comment_vote$comment_text
0$1307694$无间道3：终极无间$Yu-chia$2009-08-27 15:38:38$1296$鬼知道陈道明出来干嘛来了
1$1307694$无间道3：终极无间$润物$2007-03-31 14:22:43$2396$无间道的终结篇，其实就是原版无间道的续作，第二部是前作，第三部是续作，这也是一种模式。但这部续作其实才完美地诠释了所谓“无间地狱”的意义，来自心灵深处的自我惩罚，永远徘徊在心魔之中，不得自拔。剧情也是三部中最错综复杂、扑朔迷离的一部，让人不得不开动脑筋判断着每一个细节的暗示和逻辑，全篇用插叙和人格分裂的幻象的手法很好地达到了导演的目的，剪辑编排十分合理，味道十足。无间道，这三部作品堪称香港黑帮电影的丰碑之作。
2$1307694$无间道3：终极无间$missfaye$2005-12-13 23:17:06$2663$其实黎明可以演坏蛋的
3$1307694$无间道3：终极无间$袁牧$2010-03-05 10:02:45$791$刘德华人格分裂的设计本来应该再挖掘一下，可惜是一部赶工之作
4$1307694$无间道3：终极无间$伊豆$2010-10-30 19:51:54$1344$韩琛像个神啊！什么都被他想到了。黎明死的太不值得了。
5$1307694$无间道3：终极无间$不良生$2016-04-13 09:26:24$391$新加的黎明自带阴冷惊悚气质，刘德华假想自己是梁朝伟的上身还魂也传神。
6$1307694$无间道3：终极无间$薇羅尼卡$2006-01-29 00:27:40$346$人物太多，关系太繁杂，很一般。
7$1307694$无间道3：终极无间$苏晓晓$2017-10-04 09:02:12$306$梁朝伟好帅
8$1307694$无间道3：终极无间$喻鸣$2013-04-07 17:39:39$122$时无间，空无间，时空在这一部是自由穿梭的，反倒使故事叙述更加规整。善恶冲突在刘建明身上极为明显，不断否定自我身份幻想成好警察陈永仁，疗养院里敲击摩斯密码心酸地表现他真的想做个好人。杨锦荣身份成谜也是一看点。结局真好，三个年轻人交错12年的命运，陈与刘并肩享受着怀旧的歌声……
9$1307694$无间道3：终极无间$红豆♥$2018-12-15 23:03:32$106$刘建明就是不能死，才能永远在无间地狱轮回煎熬。
10$1307694$无间道3：终极无间$耳东陳$2021-04-10 20:14:00$91$"阿仁答：“我没瞄。”这一处处理的非常妙。

林国平杀陈永仁，一枪爆头。

刘健明杀倪昆，一枪爆头。

可以得出什么结论？但凡黑社会的使枪高手，一枪爆头是最直接的杀人方式。刘健明和林国平都是黑道“精英”，否则也不会被挑选去警察局卧底"
11$1307694$无间道3：终极无间$飞客流依$2012-01-13 23:23:01$1020$我是三部连着一起看才勉强把3看明白了，不然我想根本看不懂，又是时间线交错，又是人格分裂，出场人物又多，好混乱。但是3确实很经典，我就喜欢这种混乱的片子
12$1307694$无间道3：终极无间$桂唯宁$2009-11-05 20:09:14$873$其实俺看到最后已经不知道在看什么了 额。。。。。
13$1307694$无间道3：终极无间$赫克托尔$2007-11-08 21:10:54$91$黄秋生.赞!
14$1307694$无间道3：终极无间$咸鱼漫游中$2022-06-01 22:20:31$65$"杨锦荣气定神闲，简直是全片第一大佬，居然突然就这么草率地下线了😅
黎明声音好温柔"
15$1307694$无间道3：终极无间$Enjoy🌈Rachel$2017-09-13 22:13:06$780$私心反倒最喜欢这部，有人觉得剪辑混乱，我却觉得乱中有序，解释了很多事，越看到后面越唏嘘。整个故事其实是带有很多轮回和宿命论的，还需要慢慢体会。黎明在这一部里太出彩太出彩了。
16$1307694$无间道3：终极无间$(๑⁼̴̀д⁼̴́๑)$2017-10-03 23:43:57$101$渴望做个好人已久的刘建明开始千辛万苦地找寻一个又一个证据，可是他总在最接近真相时功亏一篑
17$1307694$无间道3：终极无间$苹果开学啦！$2011-08-31 21:01:24$419$几年前看不下去 这三天看完三部之后很难过地掉眼泪了 不知道为什么
18$1307694$无间道3：终极无间$鲸落51.7$2017-02-17 13:42:33$41$其实并不是警察卧底的故事，想说的其实是善恶，其实是人生。还是有BUG，还是有出戏的地方。终于明白为什么会这么火。好吧，我真的很落伍。还是要三部连着看，每一部都很精彩，分开来却都稍显单薄，终于第三部将导演的意图呈现得淋漓尽致。
19$1307694$无间道3：终极无间$yocofcjx28$2017-07-14 09:41:46$342$看到评论有人说，刘德华确实想做好人，黎明为什么这么冷血。我只想说，如果刘真的想做好人，就应该忏悔，而不是为了掩盖而继续作恶。或许黎逼他逼得太紧，但即便没有黎，但凡将来有谁对刘有一点点怀疑，相信刘都会这么做。黎想要的不过是还原真相！
20$1307694$无间道3：终极无间$A-sun*$2010-10-08 12:13:56$640$第三部简直就是大败笔，这个硬生生插入的黎明和陈道明啊。还有到最后也没有交代elva是干嘛的。
21$1307694$无间道3：终极无间$BreadLife$2020-07-02 01:11:42$304$不觉得吃老本，梁朝伟、黎明、陈道明在黑夜中终于相认的时候，我就想，终于，陈永仁不再是孤独一个人。
22$1307694$无间道3：终极无间$fox的summer$2017-10-04 08:19:12$31$勉强及格吧，这么多实力派演员也拯救不了这个烂剧本
23$1307694$无间道3：终极无间$鬼腳七$2013-03-21 23:27:26$507$第一部是写陈永仁，第二部写韩琛，第三部写的是刘建明，递进还是不错的，其实第三部只是对整个故事的查漏补缺而已，圆满的句号。
24$1307694$无间道3：终极无间$大头绿豆$2005-11-28 00:57:20$386$不如不拍。
25$1307694$无间道3：终极无间$巴喆$2012-01-11 18:01:09$245$1是丰碑，2也精彩，3真的很普通，纯粹是为了续集而续集，但也不是说很烂。加入了人格分裂和无间地狱的折磨，赶工的剧情显得很粗糙，如果人格塑造能再深入一点更好，有些没必要的大牌纯粹是来扯蛋的。7.4
26$1307694$无间道3：终极无间$爱吃烤鹅$2017-10-04 00:58:13$19$很好看
27$1307694$无间道3：终极无间$Ocap$2017-05-21 15:01:23$21$理想主题：脱不下的外衣，染不稀的底色，俗世无间，唯死有道。真相版：港片是怎么死的。不烂，但真是看得五味杂陈。其实刘麦的野心和细腻度都在这一部达到峰值，精神分裂并非空穴来风，实际是联系前两部的最佳切入，更使双线对话和两角深挖一步到位。问题出哪了？真不想说两明是最大败笔，可明明就是。
28$1307694$无间道3：终极无间$铎奇$2015-12-17 14:09:08$147$刘德华全身一股用力过猛。
29$1307694$无间道3：终极无间$欢乐分裂$2014-08-03 23:14:46$104$三部中最弱，黎明和陈道明和整体氛围不融，一直盼望黎明是大反派，结果乃警校精英，陈道明满脸都是正义；时间轴的打乱是双刃剑，既脑补前情又自圆其说，但也有拼凑之嫌；刘建明的分裂颇有悲壮感，到了最后一部角色吃重；“往往是事情改变人，人改变不了事情”这句最赞。
30$1307694$无间道3：终极无间$勃立二象性$2017-05-14 21:49:29$262$陈道明，黎明和梁朝伟三人在码头那段真是感人，同是警察，彼此之间建立友谊和信赖不需要任何理由
31$1307694$无间道3：终极无间$囧之女神daisy$2015-09-12 00:30:58$38$政治正确之王。
32$1307694$无间道3：终极无间$dellizheng$2016-10-02 23:08:48$37$弗洛伊德拯救了多少编不下去的编剧！
33$1307694$无间道3：终极无间$深海石$2021-05-03 20:44:28$87$何为无间，《无间道3》终篇做了最后的注解：行走于炼狱，没有归途。陈永仁至死没有在警署得到那间面朝大海的办公室；刘建明杀了假想的自己却也未得到救赎。这不仅是有关卧底的故事，而是每一个找不到身份、定位、未来的人的启示录。人生漫漫，常被左右，凄哉。
34$1307694$无间道3：终极无间$lalalaEmma$2017-08-30 12:26:06$57$陈道明以为自己演地下党员呢？
35$1307694$无间道3：终极无间$脑海里住满乌鸦$2021-07-20 13:32:11$66$不打头的是警察
36$1307694$无间道3：终极无间$xxx$2016-05-27 23:28:26$27$中间突然一段很少女感的异性恋片段我就懵逼了。然后不断把之前的东西搞出来我就觉得不断在吃老本而已。看到后来发现原来是人格错位啊。黎明原来是个好的？还有那个内地的？反正刘建明挂掉了就终于不用再拍了。一二部好好的第三部真是。。我本来以为是安插在警察局的几个黑社会卧底之间的博弈啊！
37$1307694$无间道3：终极无间$高冷的鸡蛋仔$2017-10-04 08:23:15$32$一个普通又精彩的正义战胜邪恶的故事。为道明叔打call！
