$movie_id$movie_title$comment_user$comment_time$comment_vote$comment_text
0$1418019$大闹天宫$战国客$2009-04-23 18:15:42$2774$向中国早期的动画制作人员致敬！
1$1418019$大闹天宫$汪金卫$2012-01-18 18:20:57$400$要看就看影迷修复版，那是最好的版本。比官方的所谓40周年纪念版都好。玉帝的下巴上非常明显的有颗痣我会到处乱说吗？
2$1418019$大闹天宫$Over5$2007-03-17 18:46:20$3770$堪比业界史上的两弹一星，这个猴子是我们国产动画片的骄傲，但到了今天依然得指望着它说事儿～
3$1418019$大闹天宫$有病的乃提乃$2011-04-24 03:57:26$3538$50年过去了，中国动画不进反退，还有比这更可悲的事么。技术上止步不前，创意上才思枯竭。一群羊和两只狼的故事都被反复翻炒出N部，悲矣；当年号称十年巨制制出一部宝莲灯，贻笑大方矣。现在小孩的物质条件比我们好了n倍，但是我仍然觉得当年的我们是幸福的，因为有这么多优秀的动画片陪伴成长。
4$1418019$大闹天宫$Odding$2006-03-26 14:03:45$2124$这个无须评论。
5$1418019$大闹天宫$巴喆$2012-10-17 10:55:56$1925$1961年，中国大陆，全手工，此片原画历时4年，10分钟的动画镜头要画7000到1万张原画。文革时期此片被批斗为牛鬼蛇神，是流氓无赖的化身。当时运动每天都在升级，全国的“猴子戏”都被禁演了，万籁鸣也被关起来了。日本“漫画之神”，动画漫画始祖手冢治虫本人承认正是看了万氏兄弟的《铁扇公主》，他才弃医从事动漫事业，才有了后来的《阿童木》。中国的动画曾经领先亚洲，我绝对没夸张。9.5
6$1418019$大闹天宫$老阿飞—故园$2006-01-08 17:21:11$1351$中国动画=大闹天空，虽然对很多动画来说这样很不公平，但是，你能找出其他这么有代表性的佳作？
7$1418019$大闹天宫$IlTrovatore$2010-02-09 16:34:34$970$中国动画难以逾越的一部
8$1418019$大闹天宫$17950$2006-10-15 14:14:05$866$真纯粹的中国动画
9$1418019$大闹天宫$蓝下老婆$2017-04-04 21:33:20$393$永远的经典
10$1418019$大闹天宫$寒枝雀静$2019-07-20 17:31:26$53$B / 文本内含复杂性，但是叙述的语调缺乏复杂性。几乎是将孙悟空当做一个完全的超级英雄来描绘，且大多只是通过表层的“行动”来描绘，而情绪什么的几乎是不存在的。至于孙悟空为什么总是表面不屑但却内心艳羡天庭，为什么会对“正名”有如此执拗的追求，为什么一个野性难驯的孙悟空还要嫌天庭“暗箭伤人”，都基本没有更深层更隐约的指向。当然，这大概就是截取一段拍出来的劣势所在，毕竟“西游”就是一个孙悟空不断下沉的过程。流光溢彩到最后都有点审美疲劳。
11$1418019$大闹天宫$油漆匠$2008-07-23 23:15:18$729$没有阉割的猴子
12$1418019$大闹天宫$私享史$2005-10-31 16:34:35$686$【武大】从造型设计到人物动作，从脚本到到音乐，每一个镜头拿到现在仍然足以与世界好的动画相比而毫不逊色，这个腰间束着虎皮裙，手舞金箍棒，神采奕奕，勇猛矫健的猴王成人们心目中永远的孙悟空形象。
13$1418019$大闹天宫$同志亦凡人中文站$2012-12-14 22:12:19$610$反抗，反抗，再反抗
14$1418019$大闹天宫$朝暮雪$2012-08-07 15:52:01$491$中国最好的动画片，来自50年前。
15$1418019$大闹天宫$把噗$2011-08-31 20:17:45$12$经典
16$1418019$大闹天宫$流空破刃$2010-07-24 22:54:46$452$一类风格的极致，一种手法的极限与其所能趋至的完美。
17$1418019$大闹天宫$蒼間$2008-09-26 23:21:42$348$“怎么能抵的过我这一锤——呀~”
18$1418019$大闹天宫$我lu不会飞$2017-04-04 21:31:57$41$最早的，也是最好的，向经典致敬
19$1418019$大闹天宫$Luke$2012-10-01 16:26:11$326$中国动画史上的一块金字招牌，当之无愧。
20$1418019$大闹天宫$苏幼$2017-04-30 17:11:53$20$好看！！好看！！好看！！，重要的事情说三遍！
21$1418019$大闹天宫$sharon$2017-03-20 20:32:20$196$特别特别经典的国产动画，真正能体现中国文化的动画片，这是现在那些为迎合市场而各种四不像的国漫没法比的
22$1418019$大闹天宫$元宝宝$2017-04-30 20:06:39$11$中国动画片史上里程碑式的作品！
23$1418019$大闹天宫$沉歌$2008-01-21 21:20:54$164$不朽的近义词
24$1418019$大闹天宫$大耳朵图图_$2017-03-25 16:36:10$88$1961年的中国动画，说是神作也不为过。。唉，加油啊我国的动漫产业
25$1418019$大闹天宫$石头星$2017-03-20 18:56:17$46$致敬。
26$1418019$大闹天宫$掉线$2013-05-12 14:06:14$10$虽然年纪很小，但是对于画面和配乐还是能够感受到震撼，这才是真正具有中国文化的动画，虽然可能它并不适合当下
27$1418019$大闹天宫$琧婯$2006-09-04 01:27:23$71$金猴奋起千钧棒 哪有压迫哪反抗
28$1418019$大闹天宫$梦里诗书$2015-05-24 09:00:28$52$中国动画电影的起步与美日动画是水平的，甚至在某些层面更为超越美国日本，这源于在五十多年前我们就制作出了如《大闹天空》这般精湛的动画电影，古典建筑，音乐，文化在电影特有的中国绘画风格中如行云流水般的一一呈现，令那骁勇矫健的美猴王成为了光影中永恒的经典。
29$1418019$大闹天宫$小A$2014-06-28 19:13:52$44$这节奏，这念白，这轻重缓急，这叙事抒情的搭配……教科书一般的电影，艺术与娱乐的完美结合。
30$1418019$大闹天宫$残响死灭$2018-06-11 15:09:25$34$我不怕那注定不会有结果的反抗，我怕反抗精神的消亡。所以，悲剧的不是被压在五指山下，而是被压下后，这只猴子再也没有想过反抗。所幸，动画没有拍出来，将这个只属于东方的浪漫主义永远定格在荧幕上，也由此，我们看到了一只自始至终都保持着真性情的美猴王。
31$1418019$大闹天宫$润物$2010-05-25 13:30:46$15$这部动画的水平与价值只能用“不解释”来形容，而现在我最关心的是，半个世纪快过去了，中国何时才能再次出现“不解释”的动画？
32$1418019$大闹天宫$杨大志°$2017-04-24 23:33:45$9$61年的动画放到现在看也是很棒的了
33$1418019$大闹天宫$柯里昂$2016-01-11 15:02:21$11$还是手绘有意思
34$1418019$大闹天宫$Panda的影音$2011-08-15 15:30:05$18$曾几何时，中国动画也走在世界前茅！---《大闹天宫》是一部带有强烈民族装饰风格的动画片。人物造型及场景设计汲取了古代壁画、皮影戏及年画、门画等民间工艺美术的特点，人物造型借鉴了京剧脸谱艺术，表演动作汲取了京剧表演的长处，更突出了这部动画片的民族风格。-中国电影博物馆 -2014.04.23：心想着，要是影博-6号厅-大银幕放映的是老版经典无比的《大闹天宫》，而我不去看的话，心里肯定会非常遗憾。于是乎，我还是逼晚睡又累的自己早起大老远赶去去博物馆，果然，放映的确是如我预想的“上下集”版。虽然不确定放映的是否为胶片版，但很多片段是缺失的，尤其是“下集”，剧情跳跃十分明显；虽然如今才注意到电影没有环境音等音效，但那如神一般存在的配乐却极佳地弥补了这些空白，太给力了！…→ 2015.05.01：第一次给小朋友们放映这部动画电影。
35$1418019$大闹天宫$我不绝望$2006-11-12 22:35:11$22$中国动画的顶峰。
36$1418019$大闹天宫$Leon Winters W$2016-01-07 19:20:18$31$据说当年宫崎骏就是看了中国的齐天大圣才下决心干动画的！每个人都象孙大圣那样一身本领，以为生活该是怎样，但时光飞逝，我们也像大圣那样终于变成了悟空，之后哪，之后，就是另一部电影了。
37$1418019$大闹天宫$卡比巴拉的海$2017-04-09 20:47:02$38$经典之作，历久弥新
38$1418019$大闹天宫$焚紙樓$2019-06-22 23:31:46$9$想起前老闆給李瀚祥電影下過的一個形容：巴洛克式東方。
39$1418019$大闹天宫$ᥫ᭡້໌$2017-02-10 11:19:58$15$以前的中国动画别有自己的风格，却走了下坡路
40$1418019$大闹天宫$大奇特(Grinch)$2019-06-22 13:42:03$8$上海大光明重温114分钟修复版，本届观影过程最舒服、放松的一部。
41$1418019$大闹天宫$🧸$2017-05-26 20:09:33$7$最早的一版孙悟空动画了吧
42$1418019$大闹天宫$彌張$2009-08-11 00:08:27$14$当年传统的画工，老一辈经典配音，看看这些令人颤抖的声音（邱岳峰 / 富润生 / 毕克 / 尚华 / 于鼎 / 李梓 / 刘广宁）再也不会有了。我爸迷这只猴子迷了一辈子
43$1418019$大闹天宫$随风的蒲公英$2017-04-10 17:36:35$18$真的是童年的回忆，觉得是中国特色的一部动画片！
44$1418019$大闹天宫$夏日的小西瓜$2022-12-18 23:26:58$2$童年回忆。蟠桃园里的桃子真是又大又红的诱人。
45$1418019$大闹天宫$昵称被占不开心$2017-04-10 17:09:21$16$国产动画顶峰作品 
46$1418019$大闹天宫$你爹语重心长$2017-04-11 14:31:15$6$可以说非常厉害了。
47$1418019$大闹天宫$123456昵称$2016-12-05 11:41:16$8$在当时，制作出如此精良，太厉害了，五星
48$1418019$大闹天宫$游牧人·芳汀$2010-10-24 16:27:47$5$我们中国动画少见的大师之作！
49$1418019$大闹天宫$[己注销]$2010-01-21 18:20:52$6$"终于看了法国二区修复版的，全长110分钟（比原来多了20分钟），太过瘾了！
（《人参果》和《金猴降妖》是本片的续作。）"
50$1418019$大闹天宫$晚不安$2020-10-06 17:01:20$8$重看。只节录西游记中“大闹天宫”一节，从戏曲和古典绘画中汲取灵感，细致地描绘天上人间百般景象，生于经典又长成了经典。极写天庭的哄骗和欺压，衬出猴子的威武和叛逆，最后也断然没有迎来一个反转，不铺开西行-被规训的故事，就停留在这一次属于个体的彻底的胜利与荣耀之中。于是那只冥顽不灵的猴子，就在中国动画的深处站成了不朽的齐天大圣，擎天立地，不可一世，在千千万万动画人心中埋下火种，这其中有一位叫手冢治虫。
51$1418019$大闹天宫$高詩遠$2021-02-10 18:53:50$1$虽然剧情都很熟悉了，可是里面的京剧元素尤为出彩，一板一眼，每一句唱腔，都非常具有中华民族与生俱来的魅力，可惜的是后来的中国动漫没有朝着一条良好的道路上发展，不过历史上有这么一部珍宝就已经足够发光发亮。
52$1418019$大闹天宫$蓝色啄木鸟$2017-04-18 18:52:22$6$原汁原味，中国传统动画片的经典力作。
53$1418019$大闹天宫$旺仔小馒头$2013-04-24 16:41:37$2$无需评价。
54$1418019$大闹天宫$薄荷$2017-04-10 19:17:27$9$很经典制作很用心的动画片，当今国产动画真的在倒退啊
55$1418019$大闹天宫$小忧伤$2012-05-15 12:41:25$0$记忆。
56$1418019$大闹天宫$武侠小王子$2009-08-27 09:32:49$2$经典无以复加。
57$1418019$大闹天宫$徐若风$2012-10-20 15:20:53$8$中国动画的巅峰。
58$1418019$大闹天宫$未命名搪瓷🌈$2022-01-20 13:00:28$4$影片最后停留在齐天大圣砸毁凌霄殿、回到花果山的结局上，和原作中他被如来佛祖压在五指山下的结局不同，自然多了一份荣光。而这份荣光也属于这个时代的中国美术片——1961年，在《大闹天宫》诞生的年代，迪士尼拍出了他们的第十七部动画动画长片《101忠狗》，日本东映则拍出了由日本民间故事改编的《安寿与厨子王丸》。虽然在技术上能明显看出与其他两国的差距，但借助中国民间传统艺术的力量（如《大闹天宫》中的戏曲、《九色鹿》的敦煌壁画、《小蝌蚪找妈妈》的水墨画等），中国美术片却有着自成一派的风格。时至今日，上美的荣光早已消逝，但这个穿着虎皮裙的齐天大圣形象，却如影片结尾一样，站在名为经典的顶峰上屹立不倒。
59$1418019$大闹天宫$SilentTyler$2012-07-30 22:04:35$2$看了当年大闹天空的纪录片, 那个年代的动画电影的制作者太神奇了, 本片素质和隐喻都比较有特色, 此后国产动画就与迪斯尼甚至日本动漫逐渐拉开了差距.
60$1418019$大闹天宫$黑特-007$2012-08-26 00:25:32$2$国产动画的巅峰
61$1418019$大闹天宫$吃坚果的松鼠$2010-07-03 23:09:43$1$国产经典。
62$1418019$大闹天宫$雕刻時光$2008-03-27 21:16:50$0$一去不返
63$1418019$大闹天宫$歆然$2008-04-25 18:47:51$0$感觉还好。画风太写实了，不喜欢。
64$1418019$大闹天宫$虎折$2012-08-23 12:25:16$1$骨灰级开拓者
65$1418019$大闹天宫$大志的小耳朵$2017-05-19 11:58:26$3$国产经典动画，小时候很多贴纸都是这个，孙大圣是很多小孩子心里的英雄。
66$1418019$大闹天宫$老虎$2019-12-16 21:53:37$4$在豆瓣榜单上剩下不多几部电影，今天终于看了，不得不说两个字：真香。情节已经烂熟于心，可是画面的想象力仍然出乎意料。1961年的动画竟然运镜如此流畅，京剧配乐非常惊喜。小时候没有想过，现在重温才意识到孙悟空对传统官僚和规则的彻底反叛，这放到今天可能过不了审吧。
67$1418019$大闹天宫$小变态$2008-05-18 15:04:31$1$OH，Yeah!孙猴子来了
68$1418019$大闹天宫$望仔放弃减肥了$2010-02-03 10:45:18$2$天朝！
69$1418019$大闹天宫$哔呣咣啵の哸啐$2012-12-12 12:42:47$1$啥都不说了，一段传奇。
70$1418019$大闹天宫$geek$2012-02-25 01:22:27$1$那个时候的中国动画已是NB，但是就是从此几乎停滞不前。
71$1418019$大闹天宫$吱吱头$2012-05-22 19:36:24$0$历久弥新。
72$1418019$大闹天宫$亢龙无悔$2008-03-13 16:47:32$0$好看的片子
73$1418019$大闹天宫$良亲$2012-05-22 23:30:20$0$国内动漫的辛苦奖
74$1418019$大闹天宫$ng$2006-03-18 03:40:23$0$前
75$1418019$大闹天宫$littletwo$2008-03-04 11:36:37$0$非常强大。
76$1418019$大闹天宫$Bright Sun$2010-07-08 23:09:00$0$虽然看得过瘾，但从来不想当孙猴子，主要是长得太诡异
77$1418019$大闹天宫$百慕大扣扣$2012-09-29 14:50:00$0$这排名。。。
78$1418019$大闹天宫$-VeronicaWooo-$2011-01-17 13:48:22$0$话说又是一部不看人僧就是不完整的电影！绝对要看啊！@Home
79$1418019$大闹天宫$Moriarty$2012-01-26 21:15:52$0$上海美艺 一代经典 一段历史 一次于尘封记忆的畅游
80$1418019$大闹天宫$胖得来要戏$2010-12-17 12:30:26$0$后来被造反派利用了
81$1418019$大闹天宫$安小洁$2010-01-03 12:00:22$0$国产动画貌似销声匿迹了。
82$1418019$大闹天宫$等一个人$2009-03-05 18:44:40$6$算是动画启蒙之一
83$1418019$大闹天宫$师兄在家$2011-06-14 18:56:53$0$儿时经典
84$1418019$大闹天宫$无力-Jokmatt$2007-12-08 20:59:58$0$这种经典是永远不会忘记的，但是,配音真的好吵啊
85$1418019$大闹天宫$肥壮壮$2013-03-06 05:36:12$0$国产动画的经典之作，这部65年出的动画就是拿到现在来看，依然是部优秀的作品。
86$1418019$大闹天宫$安狄$2011-03-08 14:49:22$0$我珍贵回忆的连环画。就想问一句，中国的动画人现在在做什么？
87$1418019$大闹天宫$jagpumpkin$2010-02-11 16:27:09$0$神作！一看到这四个字，我脑中第一反应是主题曲^_____^
88$1418019$大闹天宫$xiaonanhappy$2011-01-23 11:09:06$0$这个真算是我们国产动画最经典的篇章了！
89$1418019$大闹天宫$暴富的女孩是我$2017-04-05 19:32:21$4$小时候最想成为的是齐天大圣孙悟空
90$1418019$大闹天宫$斑马的故事$2017-04-11 22:16:24$4$这就是经典的魅力
91$1418019$大闹天宫$十个斗的眼窝浅$2011-05-24 16:15:17$0$国产动画可以有。啥时演，啥时必看的动画片，咱们啥时还有如此经典的国产动画片可以无限回味~~~ 
92$1418019$大闹天宫$Helicopter$2020-08-30 13:52:46$2$《大闹建制》还以妖猴大胜、天庭捣毁为结束，反了，反了。这弥久历新的寓言呐。每个角色生气时的表情都好生动。与二郎神之战，无论原著的构思又或动画呈现，都是文化遗产。看这花果山皮色各异的猴子，可是早早懂得diversity😂
93$1418019$大闹天宫$影之男$2009-10-14 12:08:01$0$人才都走了
94$1418019$大闹天宫$发条橙$2019-06-01 16:40:37$3$无法超越，也无心超越，遥看过去，一片辉煌，再看现在，只剩哀叹。借古讽今不可说，还好有原著加持，幸好是建国前的牛鬼蛇神，妖魔鬼怪，不然这题材，这内容，喂！在想什么呢～
95$1418019$大闹天宫$lanca$2012-11-17 16:03:01$0$真不记得是什么时候看的了 就是看过
96$1418019$大闹天宫$披着人皮的鬼$2012-01-09 03:19:37$2$锣鼓喧天鞭炮齐鸣红旗招展银山银海
97$1418019$大闹天宫$放把火烧了$2008-05-10 00:51:32$1$纯属回忆
98$1418019$大闹天宫$回忆与否之$2018-03-23 20:20:40$4$中国艺术的一块瑰宝，它的故事、作画、乐曲，横看精良，竖看讲究，细节丰富，色调浮华，它将浓厚的中华元素完美地还原成效，初看它如此简单，细看却极讲门道，时至今日，说它依旧代表着国漫的最高水准也毫不为过，它是少有的真正尊重原著，尊重观众，尊重创作的作品，也唯有凭着这些信念，我们才会进步
99$1418019$大闹天宫$阿辽莎烤羊斯基$2011-09-01 22:16:07$0$所谓玉帝就是个自然呆
100$1418019$大闹天宫$国家一级小猫$2009-08-07 20:32:48$0$我还要看，我要看大屏幕的！！！！！！！！！！！
101$1418019$大闹天宫$马普尔老姐$2008-07-15 22:40:29$0$经典！！！！！！！！！！！！！！！！
102$1418019$大闹天宫$影之男$2009-10-14 12:08:01$0$人才都走了
103$1418019$大闹天宫$诸葛若见$2012-01-12 09:59:03$3$完美到无懈可击的经典动画
104$1418019$大闹天宫$斯罗·马泽贝$2010-11-07 16:00:18$0$玉帝的配音略显犀利了吧
105$1418019$大闹天宫$张腾讯$2011-05-19 22:43:35$0$我肯定看过
106$1418019$大闹天宫$miaisdreaming$2011-09-16 12:18:47$0$中国动画巅峰之作
107$1418019$大闹天宫$X$2017-05-28 18:34:37$2$那个时候并没有什么技术帮忙，实打实画出来，还在国际上得了很多奖项，骄傲！
108$1418019$大闹天宫$伍迪伦$2011-02-10 23:04:47$0$西游记终会被平反
109$1418019$大闹天宫$南條艾草$2009-12-25 21:51:38$2$算是动画的骄傲了吧。
110$1418019$大闹天宫$发条橙$2019-06-01 16:40:37$3$无法超越，也无心超越，遥看过去，一片辉煌，再看现在，只剩哀叹。借古讽今不可说，还好有原著加持，幸好是建国前的牛鬼蛇神，妖魔鬼怪，不然这题材，这内容，喂！在想什么呢～
111$1418019$大闹天宫$SL_player$2012-11-23 20:50:50$0$前无古人……
112$1418019$大闹天宫$Reynard$2008-08-18 23:28:58$0$中国人的骄傲！
113$1418019$大闹天宫$蠡。$2019-01-06 19:56:56$2$看过上海电影博物馆的原画稿，真的很敬佩前辈们这么认真，一丝不苟的去作画，当时一帧一帧的画真的辛苦了🙏
114$1418019$大闹天宫$醒着夢遊$2021-06-04 20:24:05$2$好久没有眼前一亮的感觉了 太完美的电影！后悔没早点看
115$1418019$大闹天宫$vivien$2010-07-27 19:49:25$0$中国动画的永世经典。。万氏兄弟。。中国名著经典演绎。。
116$1418019$大闹天宫$虫天子$2011-09-11 11:34:06$1$童年最美好的回忆 
117$1418019$大闹天宫$Mr. Infamous$2017-10-04 21:57:00$2$真的是瑰宝。放到当下看，还是那么五彩斑斓趣味盎然。太有想象力，譬如水帘洞，那水真如帘子一般！还有天庭的布置、形象的打造、配乐的点缀，都颇有国学精髓。跌宕起伏，圆了许久未曾想起的绮梦。想想那年，结局还能任这反叛者在花果山逍遥称王，如今恐怕连五百年山刑都嫌无法解气了吧？
118$1418019$大闹天宫$披着人皮的鬼$2012-01-09 03:19:37$2$锣鼓喧天鞭炮齐鸣红旗招展银山银海
119$1418019$大闹天宫$懒狗$2009-09-11 11:20:38$0$"无论想象力，内容，技巧都是当年一等一的。
40年后的今天，我们居然搞出了个喜羊羊……
当然，还有更汗人的《海尔兄弟》"
120$1418019$大闹天宫$Morgan$2011-12-13 21:57:10$0$"国产动画片的骄傲，小时候的不灭记忆，水墨画的巅峰之战 
"
121$1418019$大闹天宫$azure$2007-10-02 16:09:40$1$中国的
122$1418019$大闹天宫$语然小语$2012-03-09 13:56:03$0$世界动画集体向其致敬~！
123$1418019$大闹天宫$薇薇在发光$2011-11-27 00:01:57$0$回到那个年代，让我们为了艺术而活
124$1418019$大闹天宫$落蓝$2012-08-25 10:02:00$0$偷桃子的细节记忆忧新
125$1418019$大闹天宫$晚晴先生夏雨庭$2012-02-04 17:02:56$0$当年中国还有动画
126$1418019$大闹天宫$午夜瞎想$2012-07-20 17:15:48$1$这个有人没看过吗？据说在60年代日本很多漫画家到中国来取经，怎么中国越发展越没文化啦
127$1418019$大闹天宫$sosovipp$2012-04-05 02:05:35$0$场景很美
128$1418019$大闹天宫$卡卡卡卡卡卡卡$2017-04-11 13:04:12$5$经典，棒
129$1418019$大闹天宫$蕉$2009-08-22 15:10:48$0$无上神作
130$1418019$大闹天宫$韦恩斯坦_李$2010-12-29 16:50:04$0$天煞的，海报竟然错了，这么经典的动画怎么能出这种错误？
131$1418019$大闹天宫$䒳$2013-12-02 22:53:43$1$画面如此如醉，神级配乐，从小到大百看不厌。你算个神马东西。
132$1418019$大闹天宫$尘嚣$2021-05-29 07:23:44$5$现在只有大话西游的隐忍，哪来大闹天宫的反抗。
133$1418019$大闹天宫$●,$2011-03-10 21:22:04$0$对不起，我不能打满分~
134$1418019$大闹天宫$听琴思凡$2010-08-31 18:34:58$0$我可能看过不下一百遍。。。
135$1418019$大闹天宫$朱熠$2011-01-26 18:49:47$0$画得真好，就如同经典时代的迪士尼动画，经典到无趣
136$1418019$大闹天宫$德拉库拉拉$2008-07-14 20:54:16$0$2008-7-14 20:53:55
137$1418019$大闹天宫$celestebook$2012-02-09 22:44:10$0$小时候没东西看了只好看这个好吗。。。
138$1418019$大闹天宫$flyingzorro$2008-03-13 22:22:25$0$中国动画永恒的经典!!!
139$1418019$大闹天宫$monica墨$2010-03-01 16:38:02$0$最喜欢的国产动画片
140$1418019$大闹天宫$时间$2009-03-07 10:29:08$0$剧情薄弱，但本片近乎完美的融入了国粹，作画帧数扎实，难得的国产动画。
141$1418019$大闹天宫$只爱这片土地！$2010-02-03 14:44:15$0$一张张画出来的。
142$1418019$大闹天宫$不跑的云云$2010-04-10 19:28:54$0$幼年的最爱
143$1418019$大闹天宫$Rui$2012-02-01 17:35:18$0$过去的辉煌
144$1418019$大闹天宫$巴巴罗莎蠢猫脸$2011-06-11 21:12:39$0$瑰丽浓烈，如梦如幻。男神配音。
145$1418019$大闹天宫$...$2011-05-27 21:17:31$0$支持国货
146$1418019$大闹天宫$Suakisz$2011-07-01 23:11:29$0$童年第一部动画长片！
147$1418019$大闹天宫$孙道德$2014-05-01 16:59:41$0$哎呀这个动作啊好飘逸啊 当时的动画动作真有中国的那种美感
148$1418019$大闹天宫$阿苏$2007-06-16 14:25:49$0$重版后海报很赞，电影就不用说了，连宫都爱死
149$1418019$大闹天宫$Kulty$2010-10-15 23:04:48$0$这才是西游记，这才是动画片，这才是中国的动画片
150$1418019$大闹天宫$烟视媚行$2011-03-04 13:49:50$0$中国动画史上的又一经典，桃园那段还有蟠桃会，真是看不厌。最经典弼马温形象。
151$1418019$大闹天宫$金葡君$2017-11-11 18:30:22$1$那么中国，那么独一无二。
152$1418019$大闹天宫$Out Man$2008-09-05 12:57:17$0$永远的经典
153$1418019$大闹天宫$马匪$2012-06-21 17:24:18$0$经典的！
154$1418019$大闹天宫$Left2$2011-11-02 19:09:32$0$这泼猴
