$movie_id$movie_title$comment_user$comment_time$comment_vote$comment_text
0$1578714$神奇女侠$The 星星$2017-06-03 12:05:59$927$觉得看了个迪士尼公主片。
1$1578714$神奇女侠$桃桃林林$2017-06-01 07:22:35$11723$7分。一部全方位、无死角、慢镜头展示“盖尔·加朵真美啊！“的电影。
2$1578714$神奇女侠$柯里昂$2017-05-31 21:59:35$4189$非常惊喜，这位名不见经传的女导演给所有男性导演上了一课：如何在保证场面和视效的前提下，兼具大爱和小爱。感情戏拿捏的恰到好处，最后的大战效果也不错，旁边的妹子一直在抽泣，这次终于为DC扳回一城。不过最大的缺憾在于，最后反派的扮相真的丑爆了，瞬间出戏…以及，评论里说圣母的都什么思想…
3$1578714$神奇女侠$琦殿$2017-06-02 12:41:35$619$特种女兵手撕鬼子
4$1578714$神奇女侠$同志亦凡人中文站$2017-06-01 09:50:49$3146$是因为DC前几部扑得太惨烈了，所以一点点进步大家就集体高潮了吗？故事其实蛮一般的啊，说好的大女主电影结果被男主硬生生抢了一半的戏。当然加朵女侠实在太美了，不是美而是帅！打斗戏尤其帅！！女侠V587收我膝盖！！！
5$1578714$神奇女侠$掉线$2017-05-31 22:13:51$4257$【B+】沃日太好看了！而且非常难得的是，电影并没有在经历DCEU几番口碑失败后向漫威靠拢，反而是在扎克施耐德打下的原有主题基调下做的更好更成熟。不再功利十足的消费漫画角色，不再急于求成的胡塞海填，从头开始，稳扎稳打认认真真讲述一个异族英雄的成长故事，这TM才是观众想看的DC电影啊！！！
6$1578714$神奇女侠$独行侠杀手阿何$2017-05-31 23:28:10$2201$DC新片头酷炫惊人！Gal Gadot真乃最完美的神奇女侠！古希腊女神般的健硕身材和完美雕琢略带古铜色的脸庞，每处特写都惊艳亮眼，每处战斗都呐喊出女人撼天动地的力量！《Is She With You》配合单打独斗的女侠凌厉迅猛挥斩德军的镜头看得我飙泪了！迫不及待想看神奇女侠单挑超人（啥）和《正义联盟》！派派好催泪QAQ。
7$1578714$神奇女侠$ZeonGin Sou$2017-06-02 03:14:48$1234$容在下说句大实话：这片，极其，烂。满腔热情的0点场，却遭遇连场大雨：拖沓生硬的流水账出场，无聊没趣俗套的世界中心呼唤爱【超蝙设定不是WW对人类的失望？你才不是伟光正的WW！】，强行炫技失败的无谓平行剪辑，四流页游般的BOSS战，从头到尾充斥着低龄的尴尬！这货能对得起盖尔加朵的努力吗？？
8$1578714$神奇女侠$亵渎电影$2017-06-02 16:04:46$519$画面更亮，故事更简单，色彩更绚丽，也不留梗，连神奇女侠也像纸片人一样毫无瑕疵，DC和华纳本来想走黑暗骑士那种现实主义暗黑路线，口碑票房连连失手之后，风格在一步步的调整，现在彻底变成了漫威那种糖水可乐爆米花的路线，普通观众倒是燃了，不知道最开始欣赏DC宇宙暗黑风格的资深粉心里怎么想。
9$1578714$神奇女侠$CyberKnight电子骑士$2017-05-31 23:13:41$1101$太惊喜了！至今为止年度最好看的超级英雄电影！剧本细腻，角色丰满，叙事流畅，场面动作漂亮带感。超级英雄电影拍成这样基本没啥遗憾了。女导演果然气质独特。故事讲得不疾不徐，有大量感情铺垫和细节支撑，丝毫不干瘪。影片特别女性视角，比如女主角救男主角，女主角看男主角洗澡…唯一不足是反派单薄
10$1578714$神奇女侠$Sophie  Z$2017-06-01 10:43:13$348$故事的第一和第二幕节奏真的太好了，可惜了最后的大战…ST三部我都没有get到的你派的颜值，在这部里我get到了，最后我都快泪目了，这个Steve的结局和美队1的结局结合一下多好啊。话说WW前半段总让我想到海洋奇缘里的Moana…
11$1578714$神奇女侠$DEPARTURES$2017-05-31 22:59:43$1933$为什么一部超英片最后拍的如此柔软又煽情TAT 预告片完全没有泄露，最后被击中内心柔软没有一点点防备，第三幕情感上的饱满和升华完全弥补了其余不足，好久没看这种传统超英片，曾经沧海难为水，返璞归真。这才是超英的古典之美！ps：DC新logo赞！完全致敬了正义联盟动画的经典开场
12$1578714$神奇女侠$王大根$2017-06-04 13:29:11$386$这个破故事有什么不能在两个钟头内讲完的？？？
13$1578714$神奇女侠$诸葛袋鼠$2017-05-31 02:44:35$5042$确实好颜好腿，但还是拉不动拖沓生硬的剧情。人物形象单薄，从头到尾大爱无疆，没有弱点没有改变。超级英雄成为英雄之前先站住成为一个有血有肉有感情的人物好吗。出岛前每一段情节过度都非常突兀，一些台词极度中二，即使对英文容忍度较高还是不忍直视。所谓的笑点全场下来笑不过三次。真的不如漫威…
14$1578714$神奇女侠$汪金卫$2017-06-01 13:46:20$3668$一部极度平庸套路的流水账。DC的不思进取让人失望。无任何惊喜可言，相反让人出戏的Bug层出不穷。在孤岛与世隔绝对人类社会一无所知的神奇女侠居然知道土耳其等国家及其语言。其读的书又从何而来？一人一盾就能吸引全部火力？反派身为战神竟如此羸弱不堪，实在大跌眼镜。女主很美但片子很水。两星半
15$1578714$神奇女侠$徐若风$2017-06-02 21:34:55$296$一部完成度高，但无法在人心中掀起任何涟漪的超英片。不仅因其是缺乏“惊奇感”的陈词老调，更因其对战争过度消遣化、娱乐化的阐释而显得愚蠢，如同过家家一般。这个在《地狱男爵》或《美队1》里就存在的问题，同样降临在《神奇女侠》的起源故事中。另外为了分摊戏份，造成的节奏拖沓问题实在太严重了。
16$1578714$神奇女侠$阿朽$2017-05-31 22:10:15$1407$女性导演果然是摸的清女性需求，女主美的没法嫉妒，打架招式漂亮。全程都在脑补“峨眉派掌门救了抗日小将赶跑小日本”的故事。毕竟有点“影迷”包袱，怎么能在“男主赴死前交给女主信物且说了句我爱你”这种场合落泪呢（眼泪珠子打了好几圈滚回去了）。
17$1578714$神奇女侠$谢谢你们的鱼$2017-05-31 21:37:05$209$故事本身真的没啥，就是把《雷神》和《美国队长》融合在了一起，但是好评的是有层次的主题和人物塑造，反而是视觉奇观的部分没多大惊喜。PS：女性观众估计会很爽吧，毕竟大部分男性都被暴揍了一顿。
18$1578714$神奇女侠$无闻$2017-06-02 15:08:30$298$要么说德国人严肃认真呢，旁边俩神打得天雷地火都不带看一眼的继续搬东西
19$1578714$神奇女侠$影志$2017-06-03 01:01:30$289$“人人都有自己的战争” 烂番茄新鲜度也是太感人，这不是什么神奇女侠，而是官人我要。
20$1578714$神奇女侠$frozenmoon$2017-06-04 13:02:40$846$手撕鬼子+伪女权+超级英雄+反战情怀…一切投机元素的集合。女主角被塑造成既性感又呆萌的形象，有着成熟的肉体和连雪花都没见过纯洁，这本身就是男权视角的，还非要表现得特别女权化。
21$1578714$神奇女侠$旧书君$2017-06-01 00:00:13$883$第一感觉是Bright，仿佛不在DCEU。奠定亲民基调。它很好，不仅仅在于女性英超，也好在它就是一部普适改编的起源开篇。这点就值得满分。公主的每套衣服都帅出血、派派全程明目张胆开车、阿瑞斯的人设反差达成预期。对了对了，DC的LOGO新片头甩M家综艺节目片段集锦几条街！
22$1578714$神奇女侠$邓安庆$2017-06-07 16:29:25$178$带两个小侄子看的，生怕有过火镜头，看完可算松了一口气。出来后，我感慨了一下，“女主角还是挺好看的啊！”小侄子大声说：“叔叔，你是个大色狼！”我……
23$1578714$神奇女侠$裘笛$2017-05-30 23:20:26$154$3.5，中規中矩的起源電影。導演調度動作戲也有相當水準。從壕溝打進小鎮那段尤其出彩。但意外的是最豐富的角色與演繹反而不是WW，而是Chris Pine演的Steve，一個凡人，在戰爭中看盡一切，有許多遺憾與無力，也懷疑過，但仍然堅持信念。演得很好，倒是對比下Gal Gadot文戲較為短板，是以武戲彌補
