$movie_id$movie_title$comment_user$comment_time$comment_vote$comment_text
0$1859036$宝贝计划$巽$2007-12-07 16:16:06$1089$我从背背山来..................
1$1859036$宝贝计划$男娼起义$2011-11-20 21:10:54$449$你从哪里来，从背背山来。。。
2$1859036$宝贝计划$heart$2018-07-11 00:18:19$115$"哇咔咔咔。
宝宝好可爱！！
想吧唧一口。"
3$1859036$宝贝计划$战国客$2007-12-29 11:00:32$604$很好看的一部成龙作品，适合全家人一起看。有打斗、有搞笑、有温情，水准颇高的娱乐片~~
4$1859036$宝贝计划$蓝下老婆$2017-03-08 21:12:32$193$电影里的宝宝太好看了，萌娃一个啊，我想说成龙你们抱着宝宝各种翻来翻去，飞来飞去有没有问过宝宝晕了没
5$1859036$宝贝计划$Stark实习生$2018-03-06 22:04:57$139$应该是成龙大哥电影里最喜欢的一部，每次看感觉都有不同发现。小娃娃真是太可爱了，最后救孩子的地方也是特别感人。
6$1859036$宝贝计划$17950$2006-10-25 21:28:30$214$不错的商业片
7$1859036$宝贝计划$欣欣向荣$2018-03-13 09:29:26$92$蛮感人的，用车的电池做心肺复苏，最后贼也进行了改造，没有被死刑
8$1859036$宝贝计划$Chloe$2018-03-07 14:02:23$115$无聊的时候最适合刷成龙的电影，槽点少，可观性强，宝宝太可爱啦😘
9$1859036$宝贝计划$梦询$2018-01-18 14:31:49$69$那个小孩太可爱了，萌翻了，加分。整不戏主要以喜剧为主，最后在冰库那段很感人。
10$1859036$宝贝计划$元宝宝$2017-03-23 20:40:21$339$小宝贝确实很可爱！这次成龙大哥饰演的是个烂赌鬼，而让浪子回头的却是这个小宝宝，是不是很神奇！
11$1859036$宝贝计划$七七$2018-03-06 22:40:51$55$再次重温，感觉时间过的好快，前两天看新闻，宝宝已成小哥哥了
12$1859036$宝贝计划$八贝勒爷$2018-03-07 07:58:57$193$看了很久了，两个硬汉奶爸很可爱，我看完之后就觉得，世界上亲情真的有力量，父母那种爱，才是最无私的，
13$1859036$宝贝计划$扌丁月佥$2017-04-04 19:00:04$55$宝宝差点被冻死的时候我差点哭死，想在想起来都心疼死，幸好救过来了，但是小孩受那么大的罪应该会有后遗症吧，心疼。
14$1859036$宝贝计划$李一桐$2016-11-23 19:27:46$140$电影创意不错，演员阵容非常强大，演技也很好，宝贝萌爱萌爱的是本影片的一大亮点。然而我还是想说一句，我讨厌里面的三个男主，再怎么严重的处罚我都觉得是罪有应得。
15$1859036$宝贝计划$蓝色啄木鸟$2017-04-03 22:28:53$41$剧情假了点，成龙古天乐的组合挺搞笑的，小宝贝真是太可爱了，又很喜庆！
16$1859036$宝贝计划$托尼·王大拿$2013-09-15 07:56:53$9$电视上又扫了一遍，简单合格的动作喜剧；虽然陈宝国演尹子维他爹实在是太让人出戏了。
17$1859036$宝贝计划$👹天神的审判$2018-03-10 15:25:36$42$是部喜剧片，挺搞笑的，成龙和古天乐我都喜欢，里面的小宝贝好可爱啊
18$1859036$宝贝计划$连城易脆$2013-12-06 14:24:53$6$古天乐和成龙的搭配挺不错的，我看着觉得很不错...
19$1859036$宝贝计划$随风的蒲公英$2017-02-17 17:37:47$30$这个电影拍的很好，我看了不止一遍，特别搞笑，那个小孩真的特别可爱，其中还有很多的打戏，成龙很棒啊，最后的结局我觉得也是最完美的，让人也懂得不管是爱情还是亲情都是伟大的！
20$1859036$宝贝计划$杨大志°$2017-03-23 23:25:54$32$当年很火啊，当地电视台后来播过好几次。小宝宝真可爱，没想到里边还有高圆圆，没印象呢？
21$1859036$宝贝计划$萌宠小坏坏$2018-07-10 23:37:23$25$很有教育意义，在照顾宝宝中感知人性善恶，最后良心发现，救护宝宝，在这个改邪归正的过程中感受爱。最后说一句，宝宝超级可爱
22$1859036$宝贝计划$多看电影爱电影$2017-03-30 13:06:56$20$哎呀！那个混血小宝宝太好看啦！
