$movie_id$movie_title$comment_user$comment_time$comment_vote$comment_text
0$1862151$疯狂的石头$浪味仙$2008-06-24 18:53:27$3998$中国最nb的片
1$1862151$疯狂的石头$理想多钱一斤啊$2010-12-18 21:40:35$3677$最可贵的一点是没把观众当傻子。国内电影都指着这样儿拍就行，嗯
2$1862151$疯狂的石头$文泽尔$2007-09-19 22:33:48$1724$学大烟枪学Snatch学得很足嘛..套了国风的外壳，很多内容（比如杀手的山寨货等等）也符合国情，就是画面欠点火候.黄渤为本片中最亮眼的配角.
3$1862151$疯狂的石头$易老邪$2007-11-02 06:33:57$1289$重温。别说，这片还真能经得住考验，也不是简单一句模仿盖里奇或多线叙事就能概括的。特别里面几组的人物都不仅仅是作为结构故事制造笑点等功能性的存在，而是几乎每位出场人物塑造的有头有尾性格鲜明紧扣主线笑果突出，还贴近生活反映现实，这就很难得了，在这方面石头其实做的比烟枪还要好点。
4$1862151$疯狂的石头$小耳朵图吗$2006-08-03 02:24:29$2053$像是中国版的两杆大烟枪。
5$1862151$疯狂的石头$同志亦凡人中文站$2015-03-12 21:41:00$1179$先发散再收敛的网状叙事，难怪老外会看不懂。重庆话版太接地气了，简直笑死爹～～～～～～～～
6$1862151$疯狂的石头$Doublebitch$2008-11-24 22:20:22$1256$从这部开始爱上黄渤
7$1862151$疯狂的石头$高鹏$2006-07-09 01:18:10$769$国内好电影
8$1862151$疯狂的石头$老鸡｜扶立$2008-01-10 16:35:04$1090$聪明的宁浩，能走多远？
9$1862151$疯狂的石头$桃桃林林$2006-07-11 14:41:00$412$真大很有趣
10$1862151$疯狂的石头$朝暮雪$2013-11-19 00:21:35$427$虽然有《两杆大烟枪》的影子，但仍然是中国最优秀的多线叙事电影之一。
11$1862151$疯狂的石头$Kylin$2017-01-06 12:52:47$429$不是那种冲着观众卖力吼着 笑啊 你笑啊 的电影 是实实在在的搞笑
12$1862151$疯狂的石头$elvita$2006-07-14 10:26:20$352$真好玩
13$1862151$疯狂的石头$sharon$2017-03-30 21:34:19$209$宁浩式经典喜剧之一，幽默的不肤浅
14$1862151$疯狂的石头$办公室甜心$2011-11-08 18:16:18$651$终于完整的看了一遍，笑不出来
15$1862151$疯狂的石头$Белка$2007-08-21 22:10:29$142$这才是成功的中国影片
16$1862151$疯狂的石头$美女菜kun$2017-01-05 09:30:00$292$很精彩，算是里程碑式的作品，带火了同类型的各种电影好几年经久不衰
17$1862151$疯狂的石头$西楼尘$2015-06-08 23:15:22$99$群像诙谐而精彩，诸多黑色幽默名导致敬的意味，川普有范，宁浩展现出欣喜的才华，尽管现在的眼光看剪辑摄影布景都略显粗糙，但是质朴的幽默是后来作品都没有的。宁浩走上商业道路开始自掘坟墓，拍了心花路放飘飘然。而石头带给华语电影的惊喜和捧腹是不能磨灭的。一连串的巧合，时空错位的拍法有新意。
18$1862151$疯狂的石头$大头绿豆$2006-07-09 01:07:41$72$这天生日。掌门请我们一共七个人在万象城贵宾厅躺着看的。很奢侈，很舒服，谢谢她和我的朋友们。
19$1862151$疯狂的石头$甜椒Oli$2017-03-11 09:15:19$102$你问我这片看什么我告诉你看世情。
20$1862151$疯狂的石头$多看电影爱电影$2017-03-29 17:19:24$239$宁浩这部小成本喜剧捧红了黄渤，又让郭涛，徐峥迎来了第二春！
21$1862151$疯狂的石头$齐木楠雄$2016-12-27 23:40:13$91$节奏超级紧凑，一环扣一环，黄渤太搞笑了，宁浩差不多是年轻一代最有才华的导演
22$1862151$疯狂的石头$橘猫爱吃鱼$2018-05-13 00:52:57$76$故事情节错综复杂, 无厘头的搞笑中,看出小人物的辛酸。
23$1862151$疯狂的石头$器官坏死$2008-04-08 16:10:33$136$"很经典灰色的电影~
没什么好说的我想你就应该踏实的去看就好了"
24$1862151$疯狂的石头$幕天席地$2017-03-07 08:05:37$121$算比较经典的黑色喜剧片了，影帝真不是盖的
25$1862151$疯狂的石头$托尼·王大拿$2022-01-18 16:14:41$32$这部片子出色的原因不是这个剧本有多牛逼，《两杆大烟枪》的整体思路在前，宁浩所做的只是好好地拷贝；但他把盖·里奇那阴冷的伦敦范儿完美地转化成了火辣的重庆味儿，这才是关键。
26$1862151$疯狂的石头$寒枝雀静$2017-03-07 00:40:39$45$缺点如下：不少稚嫩粗糙的摄影、甚至有些辣眼睛的美学、莫名其妙冒出来的配乐、略显拖沓的结尾。其他过分的戏剧性和巧合还是融合于整体风格的。应该是目前看到的最接地气的关于中国城市文明的探讨，那种藏污纳垢的病态的美简直要溢出了。《全世界》对重庆的呈现多么狭隘愚蠢浅薄……
27$1862151$疯狂的石头$思路乐$2017-11-11 17:59:10$43$"【A－】你要拍的好，你就可以叫借鉴、模仿、致敬等等；
拍的烂，你就只配叫抄袭。
还有，是不是中国最nb的片我不敢说，但绝对是中国本土化最好的片了。"
28$1862151$疯狂的石头$👹天神的审判$2018-04-12 13:10:24$34$很不错的电影，从这里认识黄渤的，很有才的一个人！
29$1862151$疯狂的石头$别人老公$2017-02-08 17:25:04$44$再搞笑也弥漫着挥之不去的浓重黑色，不知道为什么我看到的是绝望，一部回味无穷的老电影
30$1862151$疯狂的石头$汝就做吾的犬吧$2008-06-08 13:19:33$47$几乎07年所有的流行语都出自这一部电影
31$1862151$疯狂的石头$大志的小耳朵$2017-05-15 20:09:26$27$宁浩的经典喜剧，演员选的真好，形象贴合。演技都很棒，好玩搞笑。
32$1862151$疯狂的石头$冰红深蓝$2016-08-04 17:22:45$34$三星半。盖里奇式的多线索交叉叙事与凌厉剪辑，搭配后现代气息十足的技法拼贴与恶搞。可惜幽默度还是不够。不管怎么说，宁浩的本土化改造还是挺有含金量。（7.5/10）
33$1862151$疯狂的石头$元宝宝$2017-02-26 12:39:31$17$真的挺不错的，幽默又不失深意的一部作品！各个角色都很有特点！
34$1862151$疯狂的石头$杨大志°$2017-04-13 23:45:19$18$剧情不错，演员不错，是一部好电影
35$1862151$疯狂的石头$随风的蒲公英$2017-02-27 20:51:33$13$我觉得很好啊，是黑色幽默喜剧，里面有好多的笑点让人捧腹大笑！里面的几个演员真的演的很好！
36$1862151$疯狂的石头$bird$2012-12-20 22:44:07$16$那时小的看这片还有些智力困难
37$1862151$疯狂的石头$昵称被占不开心$2017-03-09 19:43:55$14$不错的喜剧片
38$1862151$疯狂的石头$蓝下老婆$2017-04-26 11:26:39$13$很诙谐的幽默，这部剧火了黄渤，郭涛
39$1862151$疯狂的石头$你爹语重心长$2017-04-11 14:05:28$27$现象级的电影了。
40$1862151$疯狂的石头$蓝色啄木鸟$2017-04-26 13:17:29$10$这搭配不错，很有戏！
41$1862151$疯狂的石头$徐若风$2012-10-05 10:13:42$7$国产独立里程碑作品
42$1862151$疯狂的石头$斑斑点点$2017-02-27 12:51:55$37$黑色幽默，发人深省
43$1862151$疯狂的石头$shield$2017-02-11 12:16:51$51$这算是黑色喜剧吗？理解不了
44$1862151$疯狂的石头$bornfreeyolo$2017-05-11 19:39:04$11$大爱的一部，太接地气太有意思了，小人物的搞笑，笑点密集贴近生活，全程无尿点！！
45$1862151$疯狂的石头$索扣天天儿$2017-04-12 22:37:33$7$满满的中国味儿的喜剧电影，接地气儿，各种梗接连不断，从头笑到尾，哈哈
46$1862151$疯狂的石头$新桥妖妖$2017-06-02 16:18:13$7$黄渤和徐峥从这里开始出名……
47$1862151$疯狂的石头$柠檬海盐$2017-04-03 20:33:55$7$搞笑
48$1862151$疯狂的石头$月涩$2017-02-18 21:16:31$44$从这部剧开始知道了黄式幽默，认识了这个双智极高的男人。
49$1862151$疯狂的石头$沧海一小生$2017-04-26 06:27:40$8$黑色幽默，剧情不错，演员更不错，个个演技派！
50$1862151$疯狂的石头$少数派的报告$2017-05-27 11:22:33$21$笑点在哪？
51$1862151$疯狂的石头$墨明棋妙$2018-05-11 08:11:42$8$搞笑够疯狂黄渤从这电影里出来
52$1862151$疯狂的石头$:-O一觉醒来$2017-03-25 12:42:30$17$我是石头，我很疯狂
53$1862151$疯狂的石头$Vamei$2012-11-21 13:32:28$9$国产经典，很有本土黑色幽默味道。
54$1862151$疯狂的石头$娜莉梦游仙境$2017-02-23 21:49:41$8$笑的根本停不下来的一部影片！几位主演真的是很用心的表演！
55$1862151$疯狂的石头$櫛森隅$2017-04-02 20:19:50$8$挺有趣的黑色幽默影片，重庆话版真接地气。
56$1862151$疯狂的石头$无尤$2017-04-07 12:13:54$8$大陆喜剧经典之作，黄渤最后从井底爬出看一次笑一次
57$1862151$疯狂的石头$sosovipp$2012-04-05 14:49:01$4$语录：像真的也就是说不是真的。
58$1862151$疯狂的石头$miseria❀$2011-07-01 09:40:51$11$中国式恶搞由此片迈出了重要的一步
59$1862151$疯狂的石头$慕詩$2017-03-18 18:46:34$25$问我为什么那么喜欢黄勃，无条件的去支持他的电影，就是因为疯狂的石头啊
60$1862151$疯狂的石头$高詩遠$2019-11-26 21:25:27$3$前面感觉有点看不懂，可是到后面大家都为了石头费尽心机一下子把我拉进剧情了。川话真的好接地气啊，而且这片子的搞笑也不是那种把观众当傻子的搞笑，这在十几年后今天的国产喜剧片中已经很少了。看完以后不知道为什么留在我脑子里的是那个五万元钱的可乐瓶盖。
61$1862151$疯狂的石头$番茄炒蛋不加蛋$2017-04-16 08:38:48$2$很欢乐，还不错的电影
62$1862151$疯狂的石头$Song³$2008-12-09 12:23:32$4$模仿《两杆大烟枪》，讲究的是线索
63$1862151$疯狂的石头$花落  思量错$2017-05-04 08:36:23$4$黑色幽默的喜剧效果，用反讽的方式映射出人生百态。
64$1862151$疯狂的石头$搬砖侠$2015-05-03 18:31:27$5$国产黑色喜剧的巅峰
65$1862151$疯狂的石头$熊仔俠$2010-02-09 21:26:04$2$黄渤依旧正！故事很紧。
66$1862151$疯狂的石头$Panda的影音$2012-08-07 01:56:42$4$石头不是很疯狂，赛车觉得更疯狂。
67$1862151$疯狂的石头$游坦$2009-12-28 12:51:49$3$借助一句年度流行语来概括本片，那就是《疯狂的石头》这部电影继承了黑色幽默电影的光荣的传统。盖里奇、汤姆提威克、昆汀塔伦蒂诺及所有无厘头港片在这一刻灵魂附体！在这一刻，宁浩不是一个人在拍片，他不是一个人！在他身后，至少还有几千张DVD。
68$1862151$疯狂的石头$战国客$2007-10-22 11:05:35$4$具有中国特色的黑色幽默片，令人捧腹之处比比皆是，好看~~
69$1862151$疯狂的石头$幸运遇见你$2017-03-25 10:34:29$9$好看      喜欢黄渤    这是第一部吧
70$1862151$疯狂的石头$连城易脆$2014-01-01 16:41:21$4$开中国小成本喜剧片的先河！
71$1862151$疯狂的石头$王写写$2009-07-14 21:05:12$4$虽然盖·里奇味儿浓厚，但它就是引人入胜
72$1862151$疯狂的石头$李厂长📖$2017-11-03 13:22:31$2$真好看啊，粗制作但是耐不住演员演技好和环环相扣的剧情
73$1862151$疯狂的石头$苏苏$2011-02-17 01:09:21$0$充满笑点
74$1862151$疯狂的石头$庹博雅$2012-07-12 11:07:47$0$小信号和小手机，加顶你个肺，最后还了结了两条生命……
75$1862151$疯狂的石头$第七大陸$2017-06-01 17:06:36$2$迷影少年本土化环形叙事经典
76$1862151$疯狂的石头$Sancruz$2010-11-08 13:18:27$0$不错，喜欢
77$1862151$疯狂的石头$花椰小C$2011-01-19 21:31:21$0$with u~
78$1862151$疯狂的石头$会笑的昨天$2016-04-13 20:43:31$2$寺庙中的追逐戏在极富中国味道的场景里，配以纯粹的地方戏剧音乐，非常有趣。
79$1862151$疯狂的石头$爱情海$2017-04-25 23:11:16$9$黄渤，黑色幽默效果非常好，笑疯了。
80$1862151$疯狂的石头$一人吃瓜难$2008-11-04 17:09:11$0$我只是不喜欢西川话
81$1862151$疯狂的石头$荔枝超人$2007-03-14 16:24:59$4$31/07/06
82$1862151$疯狂的石头$的云$2007-12-27 22:52:54$0$闹归闹，乐归乐。
83$1862151$疯狂的石头$cassidy$2009-02-23 22:34:58$2$大爱用锤子砸取面包
84$1862151$疯狂的石头$阿罗海$2018-03-04 11:05:18$8$让这块石头砸过来吧！剧里的人都这么想的
85$1862151$疯狂的石头$0932313$2008-03-14 23:37:43$0$Haiz...
86$1862151$疯狂的石头$MAO1BING$2007-03-08 12:25:45$0$还可以~
87$1862151$疯狂的石头$shawnj$2006-07-16 16:52:56$4$模仿盖·里奇和SABU像那么回事，幽默的地方能让人发笑，比很多人强得多
88$1862151$疯狂的石头$炫3D$2017-03-24 18:36:07$6$这是我第一次知道重庆的样子，多年后我去了重庆，这座城市真的与众不同。
89$1862151$疯狂的石头$Hunter$2011-10-12 03:33:33$0$没有两杆大烟枪好看，但已经着实不错了
90$1862151$疯狂的石头$暖暖的阳光$2017-04-27 16:42:15$4$黑色幽默电影
91$1862151$疯狂的石头$圣无常$2010-07-10 22:04:34$0$我以前没标记“看过”么？
92$1862151$疯狂的石头$阿朽$2020-06-07 11:05:51$3$在2006很有趣味了。
93$1862151$疯狂的石头$筱蓝$2008-08-10 22:51:28$0$值得表扬的国产片儿，认真滴搞幽默的人都是值得表扬的
94$1862151$疯狂的石头$Bill$2007-03-13 00:30:02$1$石头
95$1862151$疯狂的石头$文文周$2007-03-02 23:18:33$0$不是神仙但是一条路
96$1862151$疯狂的石头$小A$2013-04-08 05:46:04$5$8 拍得真够糙的，演得也就那么回事，剪辑节奏也有点快……但是毕竟是小制作，人家好歹也花了力气编剧，没有功劳也有苦劳，没有苦劳也有疲劳……
97$1862151$疯狂的石头$yuanhan$2011-02-27 18:58:17$0$《无人区》被毙了!
98$1862151$疯狂的石头$🫀Psyche$2011-04-30 08:18:03$3$第四遍看疯狂的石头，感受那年的郭涛多么会演，杜媛老师的剪辑多么值得一帧一帧来看，值得学习，那年的国产喜剧多么有意思，这两年萎的什么跟什么一样
99$1862151$疯狂的石头$=_=秋叶$2011-01-03 17:42:41$0$难得大陆拍的这么精彩黑色幽默电影
100$1862151$疯狂的石头$一片云$2006-07-27 10:41:21$1$笑，大笑，暴笑。你还想奢求多少快乐？
101$1862151$疯狂的石头$yuanhan$2011-02-27 18:58:17$0$《无人区》被毙了!
102$1862151$疯狂的石头$blb$2009-08-14 00:47:14$0$10年后重看，仍然觉得好，仍然是宁浩最好的。
103$1862151$疯狂的石头$=_=秋叶$2011-01-03 17:42:41$0$难得大陆拍的这么精彩黑色幽默电影
104$1862151$疯狂的石头$夏夏夏夏夏夏夏$2010-08-09 18:48:29$0$猛戳我笑点！！！！！！！萌的一塌糊涂！！！！！！！！！
105$1862151$疯狂的石头$三番目の真红$2006-08-07 01:26:01$2$疯狂并快乐着的中国本土电影
106$1862151$疯狂的石头$月球漫舞者$2008-09-09 11:11:54$0$没有追捧的那么好
107$1862151$疯狂的石头$鹿丸の伪装$2017-05-14 01:02:35$5$重温。感叹各种铺设几近完美！
108$1862151$疯狂的石头$小小白药不能停$2011-04-22 15:54:46$0$有才。
109$1862151$疯狂的石头$豆瓣天后董小姐$2010-11-05 16:09:14$4$NB
110$1862151$疯狂的石头$🌙e-L°。$2010-03-26 04:45:47$1$媽呀  笑死我了   &gt; &lt;，中前段非常好。后面有点闷，不过已经很好了，估计是近几年来，内地最好的影片
111$1862151$疯狂的石头$井行$2012-06-06 19:37:00$1$竟然没有标注过！
112$1862151$疯狂的石头$趙小漁$2008-05-05 00:28:48$0$國內電影人的一次小嘗試，結果還不壞……
113$1862151$疯狂的石头$小变态$2007-08-11 20:42:14$0$因为有老烟枪在，只能评4分，这个没办法。
114$1862151$疯狂的石头$玩儿少$2021-09-29 16:06:23$1$挺有意思的，四方人因为翡翠闹出的一出荒诞喜剧，重庆话也非常接地气
115$1862151$疯狂的石头$★冰凌宫★$2010-05-28 23:40:28$0$不是吧，我记得之前收藏过啊，去看房回来的路上，车子放的本来还以为很灾难呢，结果不错啊！
116$1862151$疯狂的石头$BIGD$2007-09-02 11:02:06$0$笑笑足矣
117$1862151$疯狂的石头$克里斯朵嘎$2011-01-03 13:04:18$0$挺搞笑的片子，拍摄手法令人印象深刻
118$1862151$疯狂的石头$忏聒$2010-05-21 21:53:08$0$抽象 具象都是笑料
119$1862151$疯狂的石头$之彦$2010-02-11 16:17:46$1$黑色幽默，很喜欢
120$1862151$疯狂的石头$避开目光$2008-12-13 14:59:12$0$这也是SKA
121$1862151$疯狂的石头$Anni P$2010-10-12 01:08:13$0$哈哈啊。。搞＝3＝
122$1862151$疯狂的石头$虹口一条龙$2009-02-06 16:18:47$2$公共厕所吗，想来就来想走就走？中国的电影，投资越小，反响越好。
