$movie_id$movie_title$comment_user$comment_time$comment_vote$comment_text
0$1961963$长江七号$颜良辰$2008-02-12 12:13:47$2352$"你相信我看这部片看哭了吗。
我真的太敏感。"
1$1961963$长江七号$蛮爷$2008-02-22 12:13:44$1064$怎么说呢，大家都在骂，我想说两句好听的，可不知道从哪说起。
2$1961963$长江七号$17950$2008-04-24 16:40:50$1798$你们的良心都被恶搞吃干净了
3$1961963$长江七号$蓝下老婆$2017-03-03 18:20:16$727$挺好看的电影啊，长江七号很可爱*^o^*，家里还留着公仔呢，徐娇演得假小子真不错
4$1961963$长江七号$甜椒Oli$2017-03-12 09:24:59$796$啥都不记得了。只记得满大街到处都是七仔玩偶。
5$1961963$长江七号$大头绿豆$2008-01-30 14:11:52$669$从第一个镜头开始就做作到极点。星爷已经和以前不一样了，他脱离底层太久，只剩下空洞无力简单粗暴的穷富、善恶、好坏两分法。富人一律丑角，仙女一律仙女。不再草根的星爷。
6$1961963$长江七号$爱情海$2017-03-03 21:59:48$283$不一样的星爷也不错，7仔很萌，偶尔看一下这种的，让心情放松，感觉还可以。
7$1961963$长江七号$开膛手菲欧娜$2017-02-12 12:15:29$305$我竟然没有打分？记得这个电影还蛮可爱的。故事情节比现在好多电影好太多了，演员演技都很好。
8$1961963$长江七号$芦哲峰$2008-02-03 07:49:32$280$看周星驰的电影，感受的是一种善良。表现小人物的辛酸，给予小人物以希望。
9$1961963$长江七号$影志$2008-02-15 00:27:35$366$"""爸爸，天上好像有飞碟~ 儿子，那是你眼睛里的眼屎~"" 娱乐至上，贺岁片就应该这样，有哭有笑，很放松，适合减压！适合很多人一起看个个笑的像个傻逼似的……"
10$1961963$长江七号$不吵的猫$2017-02-18 23:51:35$342$"这部电影看哭了唉
七仔真的好萌啊"
11$1961963$长江七号$唔破司$2012-11-04 22:30:44$197$巨讨厌这部片！巨讨厌！还有那个丑死的公仔！
12$1961963$长江七号$斑斑点点$2017-03-03 14:54:59$288$周星驰自编自导自演的作品。一只外星小狗的故事。
13$1961963$长江七号$墨一石$2022-01-12 16:43:26$48$同期的片子，有哪一个大导演，把镜头对准了农民工这个城市的无声背景？
14$1961963$长江七号$梦梦梦梦$2017-03-03 15:36:06$157$这个电影当时特别火，我看完之后，除了感觉七仔挺可爱，其他没有太大感觉。
15$1961963$长江七号$grace-xhu$2018-04-21 00:40:22$104$曾经一度以为徐娇是男孩子的举手。长江七号好萌啊！
16$1961963$长江七号$欣欣向荣$2018-03-14 10:06:08$87$徐娇小时候就是个男孩子，现在好像很喜欢cosplay，七仔很可爱。
17$1961963$长江七号$shield$2017-03-01 00:42:12$278$还是挺感人的片子
18$1961963$长江七号$八月$2018-04-20 20:55:54$62$从这部电影认识到星爷，认识到无厘头的搞笑，知道一部电影除了能单纯拥有搞笑的剧情外，也能从搞笑里感叹温情，一部电影不仅仅能逗笑观众，也能感动观众，认识到那搞笑的言语面孔之下人内心最纯粹的感情，那才动人
19$1961963$长江七号$炫3D$2017-06-05 08:47:24$33$难得的星女郎这么小，也难得的周星驰把电影题材放到孩子的背景上来，记忆深刻
20$1961963$长江七号$大笨象騎士$2016-10-20 14:21:57$21$七仔真係好得意！
21$1961963$长江七号$。$2019-03-06 11:14:32$25$"新世纪后的周星驰电影里我最喜欢的一部
可能情感比功夫更能打动我这种观众吧
十年了，它应该从烂片的范畴里划出去了，它至少应该7.6分，而不是6.6。"
22$1961963$长江七号$チョウエイ$2017-03-04 14:24:18$48$很早之前看的电影，只记得那时候我确实感动哭了，喜欢长江七号，评分高一点
23$1961963$长江七号$铃儿响叮当$2017-03-11 11:26:01$42$电影是感人的，但不够吸引人！
24$1961963$长江七号$月涩$2017-02-18 21:19:20$30$张雨绮好美，不得不说周星驰的眼光真好。
25$1961963$长江七号$赱馬觀♣$2019-05-22 10:27:27$8$当周星驰蓄须垢面故作深沉之后，仍循笑中含泪理念拍出来的东西就难免滑向做作矫情，因为你煽情的部分失去了等量诙谐的照应与平衡。这是长江七号的最大问题。但也并不意味着，一旦转回以笑为尊还能重现往日辉煌，特别是自己退居幕后借由新人代演之后。这就涉及到伍迪艾伦指出的另个喜剧特质：（邓、林等）你们明明没有喜剧天赋，只是在用戏剧演法去装喜假嗨。
26$1961963$长江七号$托尼·王大拿$2014-06-06 03:43:51$6$"太幼齿了 O__O""…"
27$1961963$长江七号$薄荷$2017-02-18 23:59:04$19$当年那个假小子已经出落个亭亭玉立了
28$1961963$长江七号$阿奇波尔德$2013-04-25 16:28:39$2$.........徐娇才是星女郎
29$1961963$长江七号$石头星$2017-02-28 22:01:30$60$其实周一直在创新和思考，在电影里加上自己想要表达的东西。
30$1961963$长江七号$花落  思量错$2017-03-13 14:58:05$17$特别魔性的喜欢七仔，内容虽然依旧是周星驰似的的夸张搞笑，但反应出来的情感也很真诚，挺好的。
31$1961963$长江七号$Chris  一切由无聊开始$2008-03-27 13:48:44$2$2008.3.27 烂，十岁以上不要看。
