$movie_id$movie_title$comment_user$comment_time$comment_vote$comment_text
0$20435622$环太平洋：雷霆再起$高明的愚人$2018-03-22 17:41:38$1216$我要看大机甲打怪兽。我要听第一部的BGM。不是来看你拖拖拉拉乱七八糟拍一堆文戏。不是来看你蛇皮走位蹦来蹦去打不过就头脑简单一头撞死。不是来看你五年之后特效反向进步十年。Uprising？我看是开倒车。BGM多放会儿说不定还能涨一星。I'm angry！
1$20435622$环太平洋：雷霆再起$一曲绝别$2018-03-22 19:49:19$425$这是一部有景甜都不忍心减分的电影！！！！！燃炸了！！！！！
2$20435622$环太平洋：雷霆再起$同志亦凡人中文站$2018-03-22 14:00:05$3203$剧情其实比1好，1就是机甲打怪兽，2还多了机甲打机甲、开菊兽合体等内容，还有剧情反转。大景甜第一次在合拍片中秀出了存在感。中国元素多到泛滥啊，说中国特供也不为过，难怪外媒会酸，但有句话怎么说来着——不服憋着
3$20435622$环太平洋：雷霆再起$朝暮雪$2018-03-23 02:09:37$6595$1.景甜电影宇宙第三部，《长城》打古代怪兽，《金刚：骷髅岛》打近代怪兽，《环太平洋2》打未来怪兽，怪兽做错了什么要被她打？2.别环太平洋了，去环太平间吧。3.景甜、约翰·博耶加、斯科特·伊斯特伍德，一共三个景甜，一部电影凑齐了全世界所有的景甜。4.打败怪兽的是传说中从天而降的掌法：如来神掌。5.咏春果然还是不行。6.奥特曼太不仗义了，日本生死存亡关键时刻你居然不出手？
4$20435622$环太平洋：雷霆再起$桃桃林林$2018-03-23 13:04:56$1878$我决定重看下第一部，确定下自己当初为什么如此痴迷那部电影。大段的吧啦吧啦以及看不清的乱打，这部到底在做什么？全片毫无记忆点，而上部，我现在还记得集装箱如板砖一样狂拍开菊兽。最可恨的是，这部完全不燃了。已沦为平庸好莱坞大片。
5$20435622$环太平洋：雷霆再起$朝阳区陆依萍$2018-03-23 23:09:35$1057$更荒谬的应该是那个黑人男主吧！他到底是什么来头？为什么哪里都有他，为什么星球大战和这部都要选那个黑人啊，长得很帅吗？身材很棒吗？演技很好吗？下面很厉害吗？
6$20435622$环太平洋：雷霆再起$黎霹雳$2018-03-23 13:50:42$730$我的妈呀景甜到底什么背景。
7$20435622$环太平洋：雷霆再起$𝙎𝙥𝙖𝙧𝙠𝙮 | ✟$2018-03-22 06:21:34$1096$不知道除了主题曲和1块多钱的特效还剩下些什么
8$20435622$环太平洋：雷霆再起$中华解构大字典$2018-03-22 19:14:23$526$打得超级爽的，最后景甜拯救世界，中国万岁。
9$20435622$环太平洋：雷霆再起$蓝毛水怪$2018-03-23 04:31:51$6229$影片放到中段的的时候，景甜突然发现自己并不是反派，于是妆容一下子就变淡了，衣着也变得朴素了。她放下身段从底层做起，由一开始的霸道总裁变成了最后的机械电焊工。
10$20435622$环太平洋：雷霆再起$影志$2018-03-23 22:01:07$111$比大。
11$20435622$环太平洋：雷霆再起$木瓜，瓜$2018-03-22 17:39:12$146$剧情空洞，特效三星，景甜出戏，大家慎看
12$20435622$环太平洋：雷霆再起$Ixtab$2018-03-23 16:22:16$62$菊地凛子就这么officially成为森麻子了……贾秀琰look what you have done
13$20435622$环太平洋：雷霆再起$UrthónaD'Mors$2018-03-23 12:36:50$142$我只想知道日本做错了什么总是让他们一而再再而三碰见怪兽以及大面积居住地被摧毁？菊地凛子做错了什么让她那么早便当？还有景甜到底关系为何那么硬怎么每部打怪兽的国际戏都有她参演？怪兽心里MMP我到底做错了什么刚组装好成为巨型神受结果神威都没显就又要去见列祖列宗（其实这是国际版奥特曼吧）
14$20435622$环太平洋：雷霆再起$Leon Winters W$2018-03-23 00:17:54$365$本片又名变形金刚6之如来神掌大战合体哥斯拉怪兽！编剧继承了女一必须父母双亡靠捡破烂然后拯救世界的套路。想问问编剧，难道美帝人民都是天才吗？捡个垃圾就可以徒手建高达？你把念过书读过PHD的人情何以堪？反派必须最后秒变纸老虎，还要放句狠话:我一定还会回来的！大甜甜毁IP再接再厉吧！
15$20435622$环太平洋：雷霆再起$乌鸦火堂$2018-03-24 09:22:03$45$比之前预想的要好，保留了陀螺的原创构架+构思，机甲和怪兽融合的点子是胖子的遗产（有访谈为证），是对世界观的补完而非续貂。但视觉风格变了，少了首部艺术色彩质感，更加动漫化，但燃点还是必须有的，正片3星，情怀0.5，别再吐槽中国元素了，没有中国资金这片根本没得拍，但跑步机那块还是笑了
16$20435622$环太平洋：雷霆再起$柯里昂$2018-03-22 10:19:09$734$从剧情到打斗场面都透露着一股浓浓的廉价山寨片质感，后半部分干脆拍成了向《超凡战队》看齐的青少年科幻片，怎么鲜艳怎么来。用充斥着无用说教台词的废戏和冷笑话填满100分钟，在其衬托下去年的《变形金刚5》甚至都成了佳作；怪兽和机甲都丑出新高度，只有每次出场都换一套衣服的景甜是美的，嗯。
17$20435622$环太平洋：雷霆再起${莫热}$2018-03-23 08:53:14$241$具备了一个好莱坞爆米花大片该有的良好品相：刺激的打斗和好笑的桥段，安排在白天大场面也尽量满足了普通影迷的期待（我知道你喜欢暗黑系）。故事按照手册写，有反骨、有绝望、有反击，这时候槽点来了：机甲们在被几乎灭门后即刻被修复，而面对大怪兽Boss的终极武器竟是如来神掌。2018年3月GV观影
18$20435622$环太平洋：雷霆再起$张小北$2018-03-24 22:22:15$37$中规中矩，全靠「铁拳砸脸」撑满全场。
19$20435622$环太平洋：雷霆再起$王大根$2018-03-23 12:35:38$241$活在被景甜拯救的世界里我不如去死！我们的美人真剑佑在本片中给人留下的印象就只有一个大粗脖子……
20$20435622$环太平洋：雷霆再起$Esparami$2018-03-23 09:41:24$259$帅气！脑洞大开，牛逼的都藏在正片里了，良心！中国元素真多，景甜的戏份堪比女二。。张晋、蓝盈盈惊喜，基本不太违和。演员太用力，时不时出戏。。
21$20435622$环太平洋：雷霆再起$巨米雨$2018-03-22 19:06:10$1100$太开心，大甜甜尴尬本尬，想演个霸道女王风，结果活脱脱一个乡镇女企业家。悉尼和东京做错了什么，尤其是悉尼天天见的街道风景太熟悉导致有点观感不真实。东京那一仗太爽了，四个机器人都好赞，而且又开发出了新技术，最喜欢女主自己造的跟屎壳郎一样的小机甲，圆滚滚的太可爱灵活。
22$20435622$环太平洋：雷霆再起$木卫二$2018-03-25 00:02:28$101$为什么光天化日，就会魅力全无呢。是技术不达标，还是清风水上漂？恐怕还是整体基调、视觉氛围甚至是机甲&amp;恋兽情怀均不达标的综合原因（我至今都忘不了菊地凛子撑伞在青衣基地出场的画面）。至于影迷津津乐道的 B 级片，其实续集这种 B 级口味爆米花才是吧。
23$20435622$环太平洋：雷霆再起$酸豆角$2018-03-23 22:10:19$113$景甜，算我求你……
24$20435622$环太平洋：雷霆再起$芦苇笑弯了腰$2018-03-23 02:04:05$125$真得是尬。这么好的一副牌，竟然就这样打烂了。最后的决战还不如第一部的开场。第一部硬伤也有，所以就不废话，多打。这一部，废话这个多啊。
25$20435622$环太平洋：雷霆再起$seabisuit$2018-03-23 09:53:24$124$做为第一部的脑残粉，完全不能忍受强势插入中英文混杂拯救世界后大汗淋漓的某星抢去本该属于机甲和怪兽的亮相时刻，就像大招如来神掌时死死抓住甩不掉的小强，被陀螺冷落也不无道理。
26$20435622$环太平洋：雷霆再起$北冥水煮鱼$2018-03-22 21:43:45$530$看到景甜一出来，心里一咯噔… 不过最后看完觉得比我意料中好看太多…
27$20435622$环太平洋：雷霆再起$Indecent time$2018-03-23 13:50:45$30$1.“72分钟。”“啥？”“第一次出现主题曲的时间。”2.“恐龙战队续集。”“啥？这才是这部电影的真名字。”3.“景甜。”“啊！真正的女主角！”
28$20435622$环太平洋：雷霆再起$文泽尔$2018-03-23 16:51:00$24$哈哈哈 外星人都学不会中文 话说回头 无脑机甲爽片的要素都在 可拍三部的内容一部齐活 部分内容还有点儿cult感 打戏之外还在东京卖了情怀 没什么好抱怨的
29$20435622$环太平洋：雷霆再起$甜水园子温$2018-03-23 03:24:17$33$博耶加+小东木+大甜甜，简直就是温格麾下的扎卡伊沃比威尔希尔，称之为“你行你上”三巨头没争议吧，一人一星不过分吧？哎……可喜欢第一部了……当年怒打五星来着……
30$20435622$环太平洋：雷霆再起$寒枝雀静$2018-03-21 19:26:49$37$2.5 / 一部无人物无集中戏剧冲突无丰富镜头只有尴尬笑点的爆米花的正确打开方式便是玩味其中的政治所指。放了大半部国际斗争威胁论烟幕弹之后开始煞有介事地反思赛博格化最终背离第一部原旨反而显得前半部更像重点。戏里戏外景甜都是标准好莱坞视角“中国人”。可BGM一出来还是燃得想哭怎么办……
31$20435622$环太平洋：雷霆再起$巴塞电影$2018-03-26 10:39:09$59$景甜并不是《环太平洋2》最烂的存在
32$20435622$环太平洋：雷霆再起$齐木楠雄$2018-03-27 13:55:34$38$前半段真的太长太无聊了，铺垫不够，新驾驶员的戏份太少了，直接从一帮在宿舍里瞎胡闹的小朋友拉过去开机甲实战，一点心理过度都没有，也不燃，最后半小时还行
33$20435622$环太平洋：雷霆再起$蜉蝣$2018-03-23 15:23:57$60$已经完全没有了机甲和怪兽的独特美学魅力，变成两个物体之间的争斗。毫无人类智慧的无脑爽片。最后的大怪兽看起来分明就是荒原狼嘛。
34$20435622$环太平洋：雷霆再起$左宇$2018-03-22 18:17:01$361$对比第一部比奥斯卡更能体现陀螺的水平
