$movie_id$movie_title$comment_user$comment_time$comment_vote$comment_text
0$2131940$魔兽$隐$2016-06-07 01:00:31$3030$请接着往下拍！
1$2131940$魔兽$谋杀游戏机$2016-06-07 14:48:31$4406$看得热血沸腾，打一两星的我不想跟你们说话...这量级IP算凤毛麟角，能在普通观众和资深玩家之间平衡到这个程度，并保证各方面水准，真的挺难得了。全国首场点映后，KOL都很兴奋，朋友举例狱卒摇脑袋和变羊术，两拨观众能get到不同笑点，细节还原更是泪目。感谢中国壕们没参与制作。三刷完
2$2131940$魔兽$Mona Lishark$2016-06-06 14:51:18$1415$说真的，能从《愤怒的小鸟》读出欧洲难民危机的朋友们，你们去看《魔兽》吧。=）
3$2131940$魔兽$CyberKnight电子骑士$2016-06-06 23:00:14$2127$邓肯很聪明地把故事集中在人类和兽人的矛盾上，让没玩过游戏的人也很容易看懂。主角塑造得都比较丰满。视觉方面非常出色！大量近景造成强烈的代入感和沉浸感。魔法场景特别带感，比很多奇幻大片更强调施法过程。动作及特效场景都不虚浮，有实在感。已经是最棒的游戏改编电影了，邓肯开了个好头！
4$2131940$魔兽$小斑$2016-05-31 04:24:51$1165$不打这款游戏。电影本身不错看，人物性格，世界设定和矛盾源起都介绍得很清楚。场面也挺给劲。兽人还原度都rio高。不过魔法师给设定得这么强，直接拉一排上战场岂不是直接结束战斗了？拉格纳就是性感啊，迷倒个人兽混血分分钟。PS：谁告诉我兽人要肿末接吻？
5$2131940$魔兽$木卫二$2016-06-06 23:42:58$999$生是游戏身，造成电影的感觉依然还是太像游戏的CG和过场动画了——但这不是十年前就可以做到么。近身打斗的真实感和冲击力，大场面的调度和分镜设计都有所欠缺。好在还是特别喜欢绿油油的奇观世界，反正肯定还有要继续拍。这一集超长预告是法师和战士的类型片，术士被黑得极惨。
6$2131940$魔兽$LORENZO 洛伦佐$2016-06-02 05:38:36$1554$扑了，世界观的宏大还是做出来了，只是高精和矮人才几秒钟，坑啊！感觉一整部都在做铺垫，看来铁了心要拍连续剧，和指环王有不小差距，还不如霍比特人。尤其讨厌文戏，吵吵闹闹，简单粗暴，Garona不知道怎么就突然和Lothar好上了，福斯特这么瘦弱不适合演Medivh，至于吴彦祖，呵呵呵你能认的出来么
7$2131940$魔兽$乌鸦火堂$2016-06-08 00:50:28$178$老司机们自然懂，满满的情怀与热血的即视感就不提了，还有wow和war3的视角，不能更赞！从电影角度，视觉效果和打击感极佳，场景纵深强，故事简单通俗易懂，为的就是让没玩过游戏的能看明白，在玩家与普通观众之间找到了平衡。不爽的是世界观未能展开，不过瘾，等续集和那删掉的40分钟。反正我是燃了
8$2131940$魔兽$团小纸$2016-06-06 21:12:21$120$用电影眼光看太紧凑的故事让叙述变得流水，但这也可以看作是个娱乐电影的优点；人物事件都交代的很清晰，非粉不会造成观看障碍，但用粉丝眼光看肯定各种缺失没有精髓；游戏电影改成这样还是值得嘉奖的，几个人物人格魅力也都很突出，佩服杜隆坦那样的领袖，但也感动联盟那句“为了艾泽拉斯”～
9$2131940$魔兽$嘿嘿嘿$2016-06-08 05:01:49$1735$吴彦祖终于没我帅了！
10$2131940$魔兽$桃桃林林$2016-06-08 18:09:04$299$一直以为早就忘记了，却发现还是会带出不少回忆。不过兴奋度大概也只能持续半小时，随后逐渐消减。从作品本身，这只是一部常规的奇幻大片吧，而且视觉水平也并没有想象的突出。大场面也比预想的差太多，且缺少真正出彩的动作场面。不算烂片，但也实在不突出，空有情怀撑场。其实更心疼邓肯琼斯。
11$2131940$魔兽$后皇嘉树$2016-06-07 20:07:56$180$以萨尔的出生开篇，以萨尔给世界带来希望结束。洛萨、杜隆坦、麦迪文、卡德加撑起故事。如果不是这部电影，我真的都忘了还有迦罗娜这么一号人物。杜隆坦打响了反抗古尔丹统治的第一枪，兽人永不为奴
12$2131940$魔兽$掉线$2016-06-08 02:37:32$3326$【C-】我看过剪辑最烂的电影之一，不夸张地说剪辑水平几乎是小时代的级别，基本的剪辑点不对，基本的景别选取不对，基本的素材选取不对，基本的故事剪不清楚，烂到我怀疑环球是不是为了坑传奇故意派的人毁掉电影的。
13$2131940$魔兽$玛丽莲教父$2016-06-08 00:05:56$920$我不关心电影剧情、因为游戏都玩过了；我不关心画质特效、因为在牛B的技术也呈现不了我的回忆；我不关心音乐、因为游戏背景音乐始终在我耳边响起；我只关心、电影上映时身旁是否有曾经的战友陪伴...
14$2131940$魔兽$一碗云吞$2016-06-04 05:38:52$70$作为一个没玩儿过游戏的姑娘，我觉得还可以，不过前面比较难看懂。。。玩儿过游戏的男票说觉得好失望。。。
15$2131940$魔兽$张小北$2016-06-10 10:37:40$49$3星半吧……作为一个零起步的非玩家观众，就是按一部奇幻电影来看的，感觉剧情被删减的很厉害，有几处明显刀口的痕迹。据说被删减了40分钟？故事还是通顺的，人物也还算丰满，但确实世界观和背景设定对普通观众来说有一定门槛。
16$2131940$魔兽$約書亞李$2016-05-30 02:13:12$49$从来没玩儿过这游戏，所以前半个小时完全是在figure out整个世界观。之后的一个半小时就是一个不断上升的享受观影的过程。值得去看。
17$2131940$魔兽$二月鸟语$2016-06-06 19:19:51$2366$点映看两遍，看得昏昏欲睡，无聊至极。故事又老又俗套又狗血不说，故事都没讲明白，打来打去都没高潮，人物性格又太单薄，真是失望。讲真，就整体而言和指环王差了100部变形金刚！这种消耗情怀而不顾观众感受的片子真是够了，回头想想，这其实就是拍给魔兽粉丝看的而已··就像小时代···没必要争
18$2131940$魔兽$ghost$2016-06-08 02:36:03$622$看完了不想睡觉，真想把魔兽争霸3再拿出来玩一遍。媒体评分不是2.1吗？影评人不是清一色的唱衰吗？我倒要看看究竟能打多少分。小时代观众们赶紧跳出来往自己脸上贴金，好像天下之物只要沾了“情怀”两个字就跟小时代同级别同档次了一样呢。为了部落为了联盟为了艾泽拉斯，绝对不会容忍票房低于小时代。
19$2131940$魔兽$爱的镇魂歌$2016-06-08 03:41:22$38$看到熟悉场景在荧幕上焕发恢弘壮美内心充盈感动，变羊和鱼人等小细节也能让玩家会心一笑，高精矮人都事先露脸打个酱油，魔兽庞杂的体系要讲清楚单靠一部电影远远不够，敲碗等续集。片尾没有还原推平暴风城大概是出于照顾非玩家观众的感受，作为LM心满意足。PS：洛萨你..丧子之痛也不能饥不择食啊..。
20$2131940$魔兽$地平线的旧火车$2016-06-08 07:53:24$937$魔兽≈周星驰现在的电影≈小时代……
21$2131940$魔兽$rainmanyuan$2016-06-07 22:59:42$680$故事一般，特效凑合，排片量太大了，ume23:59居然排了8场，加上0点的，2点的午夜场一共11场，太惊人了，营销做得不错，前无古人啊，故事没有太多惊喜！
