$movie_id$movie_title$comment_user$comment_time$comment_vote$comment_text
0$24879858$分手大师$ROXANNE$2014-06-07 17:48:56$1855$两个没演技的比谁更浮夸
1$24879858$分手大师$谢谢你们的鱼$2014-06-26 23:13:08$1034$影片是如此准确地对观众诠释了“装疯卖傻”这四个字的涵义，剧作、节奏、镜头以及剪辑全线崩坏，就算邓超再癫狂、杨幂再可爱都救不了场。
2$24879858$分手大师$在鲸鱼肚子里$2014-06-27 10:58:11$147$看杨幂老出戏，真心觉得豆瓣有些人真的太较真了，如果一部电影让影厅里的人放肆大笑，让人放下一天的烦心事，还被说极差的话，那请问什么又是所谓的好电影呢。
3$24879858$分手大师$绿酱（休假版$2014-06-23 22:20:50$92$大幂幂的脑残粉来了！臭脚梗丧心病狂！邓超太有了！我是男人我都弯腰捡肥皂！三秒弯！本人略黑啊，上面的观众怎么样！此外还有一点，邓超越看越像我的男神锤锤...娘娘意外惊喜，人气明显比老公高哈哈哈哈……
4$24879858$分手大师$littletwo$2014-06-26 21:00:03$2518$看完《分手大师》感觉这不是一部“电影”，连小品也不是。它是……呃……怎么说……它是邓超在公司年会上的一场表演。
5$24879858$分手大师$影志$2014-06-24 16:18:41$1411$邓超果然是鸡血水瓶贱男，太能搞了。全片都在极尽可能的让你笑，观众也的确笑了，不过剧情干瘪，再好笑也觉得无聊。
6$24879858$分手大师$尚茫$2014-06-18 23:45:44$43$喜剧的感觉很足，整部片子都在耍贱，试映会笑声不断。前半部很好，中后段略有一些疲劳和混乱，结尾意料之中。。剧情没太多新意，但也不得不说搞笑的效果得到很好的呈现。。从没想到邓超这么适合演无厘头喜剧。。总体还是值得一看。。想打3星半，就来个四星吧
7$24879858$分手大师$式微$2014-06-17 19:38:19$253$邓超是个好演员，卖力敢拼，一比较之后，才知道徐峥真是好导演～
8$24879858$分手大师$城南草木生$2014-06-21 02:12:29$932$邓超真是拿自己当冯小刚和周润发的合体这么硬拼了，身体力行证明一件事：不是当演员当得好的都可以拍电影。整个电影非常自恋，或者根本就不叫电影，一个不合格的闹剧。
9$24879858$分手大师$惘然$2014-06-19 02:45:21$99$因为把自己放得特别特别低俗，你都不好意思说它什么。
10$24879858$分手大师$墨  尘$2014-07-01 10:20:36$23$哎呀，分数好低好可怜，我来拉高一下评分啊，很好笑啊，搞笑片好笑就行了，剧情是很狗血，但是还是好笑啊。只买到晚点的场次，依然没犯瞌睡看完，这就够了
11$24879858$分手大师$放开那个浪味仙$2014-06-21 00:25:01$632$不黑主演，实话说最初还期待看个顺眼的爱情喜剧…但真心是玩儿过头了，花絮也能剪成电影？毫无剧情逻辑可言，二逼至死。
12$24879858$分手大师$桃桃林林$2014-07-25 18:37:13$56$舞台味与夸张的表演
13$24879858$分手大师$洛风城$2014-06-27 13:13:49$571$妈的，这么多年国产新生代男演员没有一个真正有才华的！
14$24879858$分手大师$老晃$2014-07-18 22:21:45$29$跟着笑了半小时，然后就开始累了。故事和人物，没法让人入戏，搞笑就隔膜了。看周星驰不会，周星驰很懂张弛，笑的地方你尽可笑，哭的地方，你也会真感动，感动一小下。可那一小下，其实很重要。喜剧是难写的，在我看来，电影分两种：电影和喜剧。我不敢写喜剧，喜剧要更多的谦卑和虔诚。
15$24879858$分手大师$华盛顿樱桃树$2014-06-24 23:56:05$602$陆老先生说的很对，这的确不是一部电影。只能说是各种段子的集锦，并非常勉强的将其拼凑在一起。讲述是不顺的，剪辑是乱来的，以至于没有故事没有转场。而在主打的笑料方面也是使劲的咯吱型，不自然很做作。邓超踏上了一条不归路，也称不上喜剧表演，只是说是耍。
16$24879858$分手大师$CCandFF$2018-03-15 09:08:06$13$感觉还可以吧，挺搞笑的，不过相对其他的影片而言有点逊色
17$24879858$分手大师$荔枝超人$2014-06-17 23:53:44$434$2014年的《小时代》，国产片又一次精准的找到了能专属定制的一帮人。至于其他不熟的人，呵呵，这样无逻辑无内容全程挤眉弄眼耍宝犯贱的片段式拼凑根本都没有必要去看了吧。
18$24879858$分手大师$爱情海$2017-04-10 21:08:55$16$整部片子都在耍贱，剧情没太多新意，但搞笑的效果有呈现出来，虽然不是很好，但也没那么烂，三星给邓超首作鼓励。
19$24879858$分手大师$吃多会变胖$2014-06-04 19:20:22$14$可能期望值太低。反而感觉没那么烂
20$24879858$分手大师$无$2014-06-02 13:02:54$735$蠢哭
21$24879858$分手大师$飞天PP猪$2014-06-20 10:20:41$615$2014.06.19，中环城中影，李梦楠，提前看片会。从来没看过一个在娱乐圈混了这么多年的演员这么没理想这么不要脸的。
