$movie_id$movie_title$comment_user$comment_time$comment_vote$comment_text
0$25824686$变形金刚5：最后的骑士$杰尼杰尼$2017-06-20 08:26:37$4481$从初中拍到我工作，一堆废铜烂铁炸了十年。
1$25824686$变形金刚5：最后的骑士$请取关～$2017-06-13 23:23:44$9360$两星半吧 视觉高潮很爽 爽完脑子里也没留下些什么 犹如很有职业道德的性工作者
2$25824686$变形金刚5：最后的骑士$大胡子阿细$2017-07-02 14:21:15$122$我妈，一个严重失眠的人，睡了两小时。
3$25824686$变形金刚5：最后的骑士$blue三点$2017-06-23 00:35:36$6176$150分钟，炸醒三次。
4$25824686$变形金刚5：最后的骑士$馬抠$2017-06-21 15:06:09$2154$比汽车人身体更硬的 是酷狗和二手车的广告植入
5$25824686$变形金刚5：最后的骑士$本来老六$2017-07-02 22:44:42$18$太燃了，迄今为止最好看的变形金刚
6$25824686$变形金刚5：最后的骑士$次等水货$2017-06-23 16:26:31$13428$看睡着的给我点赞。
7$25824686$变形金刚5：最后的骑士$红藕香残玉簟秋$2017-06-21 10:08:41$3656$支撑我看下去的动力只有大黄蜂了，不过从头到尾我也只认得这一个汽车人，每次看汽车人打群架都一脸懵逼
8$25824686$变形金刚5：最后的骑士$朝暮雪$2017-06-23 00:04:09$1588$本片又名《和金刚并没有关系》《汽车人总动员》《小黄车大战小蓝车》《TF男孩拯救世界》《一起又看汽车雨》《如何在广告中插播一部电影》《肾上腺素还没爆，膀胱先爆了》《这电影需要9个编剧？》《骗子，等了2小时也没看见他变成金刚》以及《西部世界特别篇：福特博士玩腻了接待员造个汽车人玩玩》
9$25824686$变形金刚5：最后的骑士$jfflnzw$2017-06-21 17:15:26$555$不管怎么说，我还是超喜欢这个系列了
10$25824686$变形金刚5：最后的骑士$Mona Lishark$2017-06-14 00:25:06$871$迈克贝（又）宣布这是他的“最后一部《变形金刚》”，然而我们都已经看了他的“最后两部”《变形金刚》了，还将看他的最后三部、最后四部和最后十五部也不是不可能。
11$25824686$变形金刚5：最后的骑士$LDT李小安$2017-06-23 02:34:22$1177$感觉在铁匠铺呆了一宿。。。。
12$25824686$变形金刚5：最后的骑士$kakakarl$2017-06-21 21:08:39$572$第一次看动作科幻睡着多次，很多废剧情，还有一些人物线不明所以，黑化洗白靠一句话基情，鼓舞士气也靠嘴炮，画幅不断在变化，并不能感觉视觉震撼，反倒觉得更奇怪，还以为是渲染没完成……
13$25824686$变形金刚5：最后的骑士$本杰明$2017-06-23 01:21:56$598$真不知道你们想对这个电影要求多高 换一角度来看制作这个电影也需要很多用心和投入 你们非想看剧情好拍摄好的觉得这个片子不好 就不要来看 去看那些奥斯卡提名 看那些艺术性高的电影去 非要看完一个商业性大片之后乱吐槽 倒不如换个角度来看 从电影拍摄和特效方面还是可以有个及格分吧 情怀分
14$25824686$变形金刚5：最后的骑士$圣墟$2017-06-21 15:39:55$390$剧情烂不烂无所谓，看个特效就够了
