$movie_id$movie_title$comment_user$comment_time$comment_vote$comment_text
0$25845392$长津湖$摩诃曼珠沙华$2021-09-30 19:02:14$18563$那些牺牲在冰雪中的战士，不应该被遗忘
1$25845392$长津湖$高质量鉴赏达人$2021-09-26 21:17:48$3042$去看了点映，值得票价，三个小时看下来还好，一直战争戏容易麻痹双眼，但是也刺激。我不喜欢红海因为没有对人物的刻画，很可惜，长津湖也没有这种类似的刻画，换句话说文戏很少也就那样。另外我认为这部电影可以分为好几幕镜头，到最后的一个小时才算长津湖，我觉得结局真的潦草，可能有第二部吧。总体看下来比八佰金刚川好看，但是我不认为这只是一个三小时史诗大作该有的表现，理应能更好。
2$25845392$长津湖$觉日尧$2021-09-29 22:11:46$8323$小村庄夜战那段简直了，一看就是林超贤导演的手笔。炮兵、狙击手、机关枪手，扔手雷、近身肉搏，安排得环环相扣，节奏太好了。易烊千玺的扮相和特写也很精彩，没想到这么豁得出去。最后美军发现冻僵的志愿军尸体那里，虽然读书的时候看过这个情节，但还是被戳到了。
3$25845392$长津湖$江上悬鱼$2021-09-30 19:09:31$5222$场面拍得挺好，但总觉得少了点什么。
4$25845392$长津湖$安然$2021-10-01 23:32:47$4921$我看见那句为抗美援朝战争的胜利打下了基础的时候，突然的意识到教科书上这样古板的文字，背后的意义实在太沉重太深刻了。
5$25845392$长津湖$苏樱$2021-09-29 14:35:14$13988$沂蒙山小调一出，仿佛回到了很多年我的家乡，山东省临沂市沂水县下虎峪村，我在听外公讲他抗战时候的故事。他总是说，战场上枪林弹雨，而他的头里一直有一块炮弹弹片，他的耳朵有一只听不见，但他说，比起战友，已经是最幸运的人。
6$25845392$长津湖$mongantagta$2021-09-28 20:02:36$5899$点映观影，场面非常震撼，摄影很有新意。不得不说四字弟弟的表现我个人很满意很惊艳，在电影中他不是偶像他就是那个敢拼敢打像只小兽莽撞向前的伍万里。
7$25845392$长津湖$只是咕咕$2021-09-30 17:30:36$7654$“我们不打，下一代就得打”
8$25845392$长津湖$今天中五百万$2021-09-29 23:00:28$9619$"先看1950他们正年轻，再看长津湖，一边是听觉上听老兵们谈抗美援朝，一边是视觉上重现他们的过往，不得不说，都是非常非常值得观看的电影。

长津湖，吴京yyds！易洋千玺未来之星！
