$movie_id$movie_title$comment_user$comment_time$comment_vote$comment_text
0$25921812$驴得水$心生$2016-10-28 00:28:43$16948$过去的如果就让它过去了，未来只会越来越糟！
1$25921812$驴得水$淘金汉$2016-10-22 22:12:35$30103$这样的剧本，这样的电影，任凭你们怎么说风凉话，都休想模仿出来，国产片的普通货色离它差距太大。
2$25921812$驴得水$bamboo$2016-10-29 19:55:01$5812$悲叹的是被压迫的是女性，欣慰的是觉醒的也是女性
3$25921812$驴得水$有心打扰$2016-10-29 01:06:59$17585$1.库斯图里卡的癫狂、荒诞+法哈蒂的困境、冲突，而这...其实在中国这片土地上随处可见；2.追求自由的人，死了；3.愤怒的人，成了听话的牲口；4.宽容的人，成了小人；5.淳朴的人，成了恶棍；6.正面向上的人，总在行骗；7.就让我们忘掉过去吧，才能继续作为“人”活下去。
4$25921812$驴得水$疼疼（电动版$2016-10-11 07:33:59$4081$这个笑话还真把我看哭了，惊喜之作，比夏洛特烦恼的故事高明，但电影感较弱
5$25921812$驴得水$蝴蝶不梦庄周$2021-02-14 16:25:27$2037$那一枪虽然打空了，但周铁男还是死了
6$25921812$驴得水$谢谢你们的鱼$2016-10-22 19:53:23$1085$非常正点的黑色幽默和荒诞的乡村魔幻现实主义，整部电影的调子很撒，段子很荤，路子很野，故事上有莫泊桑的味道，讽刺加隐喻，上次让人感受到这些的观影体验还是当年的《杀生》。总体上是一部很值得一看的喜剧，新导演技法的生疏和信息处理的失衡可以被原谅。PS：主题曲真的是太有味道了。
7$25921812$驴得水$阿珂$2016-10-28 02:26:07$11515$用喜剧的方式谈悲剧，用讽刺的手法讲人性，为这个故事就值得5星
8$25921812$驴得水$圣诞$2016-10-30 19:03:12$7172$普通观众全嗨了，说这才是国产佳作;电影专业人员全崩溃了，说这是舞台剧不算是电影。讲真，我觉得当一个作品只剩下它的形式能被人吐槽的时候，已经足以证明其成功。不管它是啥，哪怕我是去电影院看话剧了，我还是觉得，甚好，没错过这个乌龙甚好。
9$25921812$驴得水$Mikoto$2020-04-19 16:56:11$1856$"好，现在我们回到片头的部分
驴棚走水，周铁男一马当先，但烟火如故
张一曼想要帮忙，却引火烧身
裴魁山往张一曼身上泼土，叫她出来，可没有伸手拉她
校长大喊，听我指挥，最终驴棚燃起熊熊烈火
孙佳想要阻止，被众人阻拦。

你看，其实这个电影的一切，都缩在这个小片段里。"
10$25921812$驴得水$桃桃林林$2016-10-29 08:28:36$9287$即便评分再高也完全喜欢不来。我们还是太热衷主题与意义了，以至于忽视了传递主题的方式与合理性。影片为了所谓的人性深度，而刻意设计剧情和人物转折，忽视基本的人物行为轨迹，都非常让人不舒服。喜欢有深度的电影，但希望能以更巧妙的方式讲出来，而不该是现在这样。以及形式上，这不就是舞台搬演么
11$25921812$驴得水$大包砸$2016-10-31 22:30:41$1125$说不像电影的，谁规定了电影应该怎样怎样吗。
12$25921812$驴得水$燕子坞主人$2016-11-12 21:26:45$517$看电影的过程，如果你觉得佳佳和铁男幼稚得讨厌，那你已经被这个社会像驴一样驯服
13$25921812$驴得水$张小北$2016-10-29 23:23:15$8339$不能把开心麻花出的所有电影都粗暴地归到「喜剧」里……这种营销思路就会导致我今天观影时遇到的蜜汁尴尬……有一帮观众从开头驴棚着火就开始笑，然后一直笑到结尾枪声……我……真特么……跪了……
14$25921812$驴得水$未命名搪瓷🌈$2016-10-14 16:57:55$1378$作为一部荒诞喜剧片，本片的笑料绝对是够的。虽然有一些看起来比较“污”的段子，但是贱而不淫，丝毫不让人觉得低级。相反，整部影片倒给人一种干干净净的清爽感，几段感情戏都拍的让人心动。因为话剧改编的缘故，故事的幕间分隔有些明显，但演员的表演削弱了话剧感，也算自然。【任素汐的歌声真心棒！
15$25921812$驴得水$影志$2016-10-31 23:42:36$348$还以为《夏洛特烦恼》老一套都市轻喜剧，结果深度过头了，一个多小时都有些不适应。好在最后剪不断理还乱、一个谎言十来圆的“人生镜花缘”，不再开口的张一曼，让这个有些轻狂、癫狂和痴狂的悲剧故事，有了温度和忧伤。“我要美丽的衣裳，为你对镜贴花黄”
16$25921812$驴得水$赫恩曼尼$2016-11-05 22:49:23$661$“过去的如果就让它过去了，未来只会越来越糟！”一句话说得我鸡皮疙瘩都起来了。有些话，因为太过真实，让人胆战心惊。
17$25921812$驴得水$bird$2016-10-22 20:45:22$694$如果懂得中国人的不讲原则聪慧利己，看透历史的反复吊诡悲喜交加。电影经过女性自由的转折，以后则全在解构悲悼历史。它厉害的是道出了曹雪芹所指女性审美在文化中的缺乏，“驴”得“水”，（男性的贪恶屈服对照女性的自由烂漫），“水”最后却又被压榨废弃，暴戮的未来便可预见。不喜剧，倒实悲。
18$25921812$驴得水$momo$2016-10-28 01:57:35$438$比夏洛特好看太多
19$25921812$驴得水$邓安庆$2016-10-30 13:16:25$247$因为《夏洛特烦恼》本来有点抗拒开心麻花的电影，看了后感觉比前者好太多了。话剧舞台风还是很明显的，又荒诞又心疼。演员真是个顶个的，好喜欢任素汐。
20$25921812$驴得水$押沙龙$2016-12-14 17:09:16$225$打一星骂话剧腔的真是恶心。
