$movie_id$movie_title$comment_user$comment_time$comment_vote$comment_text
0$26260853$速度与激情8$阿呆同学$2017-04-12 00:08:19$1701$妈的杰森斯坦森好帅啊好帅啊好帅啊好帅啊！！ IMAX太酷炫了！
1$26260853$速度与激情8$虾坨坨艺仔$2017-04-12 21:09:29$1281$喜爱大场面的朋友们千万不要错过这部汽车版的釜山行。
2$26260853$速度与激情8$钱钱💰$2017-04-13 14:03:16$13403$如果简称为速8容易让人误解为快捷酒店的名称，所以建议大家简称为激8
3$26260853$速度与激情8$同志亦凡人中文站$2017-04-12 17:11:50$651$娱乐性太强就显得故事弱鸡了。我塞隆女王真是美炸了，坏得不行，但真是美炸了。结尾那个名字出来的时候又有点泪目...
4$26260853$速度与激情8$幻觉的黎明$2017-04-09 10:36:08$345$内地票房25亿起步！
5$26260853$速度与激情8$康德$2017-04-12 02:26:42$7114$嗖嗖嗖，砰砰砰，duang duang duang, we are 伐木累！电影结束！（广告位出租！）
6$26260853$速度与激情8$风间隼$2017-04-14 18:30:55$115$故事还是商业片的老一套，看头知尾。让我惊讶的是，这个系列拍到第八集，场面上居然还能推陈出新。纽约僵尸车阵和最后冰河上汽车大战潜艇两段都是别开生面的好创意，加上商业大片的执行力，相当可观。
7$26260853$速度与激情8$李小丢$2017-04-16 01:06:33$106$郭达斯坦森真的非常适合喜剧路线啊，本片最亮眼没有之一，想想那部《女间谍》2333，最有化学反应的CP也非郭达和巨石强森莫属哈哈哈哈哈哈哈。要是没有他俩这部片最多也就两分了，多姆特别适合去演TVB啊，一家人就是要齐齐整整，你饿不饿啊，我天台BBQ给你吃啊……
8$26260853$速度与激情8$雷梅苔丝$2017-04-14 02:36:38$6076$自己家人的命是命，其他人的都不是。
9$26260853$速度与激情8$瓦力$2017-04-12 13:01:24$3505$跟5和7没法比，场面创意已近枯竭，“遥控车”和“汽车雨”哪新奇了？分别升级自《终结者3》和《2012》嘛！不过近半小时潜艇大战是值回票价的...最难接受是为凑明星狂洗白Shaw兄弟，上集丧心病狂斯坦森如今丧心病狂卖萌，与family牵手进餐，考虑过韩和神奇女侠的感受吗？这狗屁family也太胡闹了！5.5/10
10$26260853$速度与激情8$朝暮雪$2017-04-12 05:52:06$3108$"《速度与激情8（F8）》，又名《速度与光头》《比F4厉害两倍的团队》《TFBOYS（脱发男孩）》《无发可说》《我的“光头光环”升到了满级》《头发越短越容易活下来》，以及《有种动我一根头发试试》。
这一部和《速激6》犯了同样的错误，就是过于追求大场面而失去了趣味。
全片只有大铁球那段最有意思，僵尸车和潜水艇那两段表面上很壮观其实很无趣，很容易让观众审美疲劳，比《速激5》和《速激7》差多了。
多米尼克、莱蒂、埃琳娜三人的关系仍然处理得很差，莱蒂竟然对埃琳娜、埃琳娜的儿子一点意见都没有，没有丝毫的冲突。
肖本可以打造成一个给人留下深刻印象的大反派，却被强行洗白，甚至和多米尼克握手言和，韩和吉赛尔都白死了。
温子仁好不容易拍了部《速激7》为速激系列挽回了一些声誉，《速激8》一部电影就把本系列打回原形，骂声不断。"
11$26260853$速度与激情8$茴香包子$2017-04-12 13:53:15$2713$所以导演想用一个塞隆留住男性颜狗观众，就彻底不管女性颜狗的感受了呗？没了保罗沃克，三个大块头光头真的吃不下啊！
12$26260853$速度与激情8$The 星星$2017-04-15 14:32:30$809$你们不仔细看片尾演职员表怎么可能发现彩蛋！？本集的彩蛋是发型部门只有一个人……
13$26260853$速度与激情8$桃桃林林$2017-04-16 10:34:42$560$阵容以及场面都已经竭尽所能了，这个片强大的地方在于把钱花在了明处，你能看到钱是怎么烧的。唯一的问题在于审美疲劳吧，越来越强，再这么下去就要星球大战了
14$26260853$速度与激情8$what'swilliam$2017-04-15 00:37:57$74$3.9星。1.这片子和“手撕鬼子”难道不是一个路数么？只不过是两亿美金预算的那种。2.反派虽美但弱智，不接受反驳。3.听够了“we are family”这论调。4.郭达好萌。5.僵尸车蛮屌。6.本系列下一部《速度与激情9：变形金刚》。7.听到布莱恩在电影里永远幸福还是蛮感人。8.其实蛮爽，一夜情的那种。
15$26260853$速度与激情8$皮卡皮卡皮卡啾$2017-04-12 09:57:16$2622$速度与激情就是老太太的裹脚布，又臭又长，有完没完。
16$26260853$速度与激情8$掉线$2017-04-15 01:41:20$1985$【C】干脆给布莱恩设个灵堂好了，每集结尾让范迪塞尔上柱香，再眼眶含泪的说一句伐木累，倍儿有情怀。这个系列再拍下去，复仇者联盟都打不过他们。
17$26260853$速度与激情8$文泽尔$2017-04-14 15:51:12$71$开车都能灭核潜艇了 爽片还需要讲什么逻辑 看得开心就好
18$26260853$速度与激情8$呆萌小七$2018-03-08 14:39:51$28$重温速度与激情，惊险刺激，我觉得8也挺好看的！
19$26260853$速度与激情8$Leon Winters W$2017-04-13 12:44:50$719$"看到儿子叫布莱恩想起了保罗戳中泪点，还有洗白郭达斯坦森真的好吗？神奇女侠和韩的棺材板都压不住跳出来骂:虚伪的伐木累！速6打坦克，速7打飞机，速8打潜艇，
讲道理速9会和变形金刚一起拍，素鸡系列如果真的想变成神作，其实很简单：唐老大真TM叛变了！"
20$26260853$速度与激情8$电影那件小事$2017-04-12 10:14:58$581$速激系列在第七部顺势完结是最好的选择（因为后面的必将黔驴技穷陷入尴尬境地），飙潜艇也并不比飙汽车更令人热血沸腾，让人激动的是速激系列所展示的团队凝聚力及家人之间的感情，而非越飙越大的交通工具
21$26260853$速度与激情8$黄挂锄$2017-04-11 23:37:33$425$震惊！反人类蛇蝎美女和反物理光头硬汉相斗，郭达或成最大赢家！
22$26260853$速度与激情8$花间一壶酒$2017-04-04 12:03:55$1280$再拍就该打外星人了吧……
23$26260853$速度与激情8$李阿斗$2017-04-13 03:30:59$385$这种family简直不能羡慕更多，做大哥的女人甚至不用体会生孩子的痛苦，直接“从天而降”一个萌到流泪的儿子。广泛播种就是好啊，meet the most important person in my universe, little Brain. 孩子妈安息吧口可口可。
24$26260853$速度与激情8$神猪尝百草$2017-04-12 09:46:52$351$我是对范迪塞尔审美疲劳了，他真的是永远跳不出这种人设了
25$26260853$速度与激情8$朝阳区陆依萍$2017-04-10 15:37:04$739$郭达真的太帅了，又gentle又萌！但除了丧尸车那一段，几乎所有引以为傲的炫目场面都毫无想象力，看的好累....#斯科特·伊斯特伍德是要立志成为美国景甜吗？在大片里混眼熟#
26$26260853$速度与激情8$荔枝超人$2017-04-13 18:10:51$288$花费巨大的家和万事兴宣传片。
27$26260853$速度与激情8$扭腰客$2017-04-16 00:33:41$265$逼神迪塞尔飙车俩小时，不敌郭达嘴炮五分钟。还有，上哪儿都能找到天台BBQ，果然和TVB是一个套路，“一家人，就是要齐齐整整”。以及，海伦·米伦也太像蔡明了吧，果然只有“蔡明”才能整得了“郭达”。
