$movie_id$movie_title$comment_user$comment_time$comment_vote$comment_text
0$26270502$绣春刀II：修罗战场$小鬼家的师公$2017-07-15 17:06:00$1696$“由于经费用完，所以只能自己做了”
1$26270502$绣春刀II：修罗战场$Mona Lishark$2017-07-13 15:54:52$17774$哪有什么天长地久的爱情，三个月后，沈炼这个渣男就爱上了刘诗诗。
2$26270502$绣春刀II：修罗战场$早安甜心$2017-07-15 18:59:46$28240$你们可以都过去再把桥砍断的吧
3$26270502$绣春刀II：修罗战场$你什么都不知道$2017-07-18 13:53:50$14107$为什么大家不一起过吊桥再把吊桥砍断？？？？？？？？？
4$26270502$绣春刀II：修罗战场$Estrella$2017-07-16 18:51:50$8652$我从心理到生理都无法接受张震为了杨幂搞这么大一个局 为什么要用杨幂！为什么要用杨幂！为什么要用杨幂！没有杨幂我可以打四颗星啊！
5$26270502$绣春刀II：修罗战场$mumudancing$2017-07-19 23:04:07$1078$张震小时候就长了一张“长大了杀人不眨眼（但很善良）”的脸，现在长大了，证明了确实是。
6$26270502$绣春刀II：修罗战场$琦殿$2017-07-19 12:54:48$7147$北斋被拖入水时我想，要是沈炼不救她，就是神作了。
7$26270502$绣春刀II：修罗战场$道臣岚$2017-07-14 01:17:16$14213$还是第一部的疑问：这个世界上怎么会有女人不爱张震？
8$26270502$绣春刀II：修罗战场$Veronika$2017-07-18 16:47:28$13030$如果没有张震，我就爱上张译和雷佳音了。张震和杨幂从头到尾的感情线，末了还不如最后张译抬手欲抚辛芷蕾那一个镜头。
9$26270502$绣春刀II：修罗战场$闵思嘉$2017-07-15 16:29:37$8059$绣春刀系列应该改名叫，《这个世界为什么有女人不爱张震？》
10$26270502$绣春刀II：修罗战场$Ti$2017-07-15 17:22:38$5125$北斋说，我梦想有一天不再是阉党当道，而英文则是would have the freedom of speech。这个人物和历史车轮下的知识分子实在相似，都不过是时代的装点和鱼肉。创作者有心了。
11$26270502$绣春刀II：修罗战场$sisnow$2017-07-05 14:55:48$591$张震就天生的古龙风格的主角啊，什么萧十一郎，傅红雪完美契合啊！
12$26270502$绣春刀II：修罗战场$王大根$2017-07-19 21:12:38$2696$他们直接一起过了吊桥然后把吊桥砍了不就完了吗？哦那张震就跟杨幂去了杭州快活，没后面刘诗诗的事了……
13$26270502$绣春刀II：修罗战场$城南草木生$2017-07-19 22:50:54$4795$路阳真是爱张震，也真的是怕他的角色太完美，所以沈炼除了对女人品味差以外真的好完美。
14$26270502$绣春刀II：修罗战场$李濛Lemon$2017-07-23 00:16:56$3485$最爱的男演员和最讨厌的女演员同时出现在一部电影里演对手戏是什么感受？答：提心吊胆地盯着屏幕，生怕他们亲上。杨幂啊杨幂，说她点什么好呢，硬是把北斋这个有才华、有骨气的奇女子演成了娇滴滴的等待男人去拯救的青楼小妹，要不是看重她的人气，片中随便一个女配都比她更适合这个角色。
15$26270502$绣春刀II：修罗战场$SydneyCarton$2017-07-14 02:02:58$2596$“西路军全军覆没……”戏全在配角身上。看到金士杰就烦，用同一种套路同一条声线演无数不同角色的“演技派”。
16$26270502$绣春刀II：修罗战场$Augenstern$2017-07-13 12:43:21$3169$其实如果去掉杨幂那条线可以给五星，大时代背景下的离人悲叹和身不由己。 PS：四季循序，不变的是张震的那张英气逼人的脸啊！
17$26270502$绣春刀II：修罗战场$芦哲峰$2017-07-21 12:43:21$2104$和上一部的问题都是一样的：女主如鸡肋，情戏是软肋。按照导演选择女主的眼光来判断，估计下一部的女主应该是杨颖，或者景甜。
