$movie_id$movie_title$comment_user$comment_time$comment_vote$comment_text
0$26289144$滚蛋吧！肿瘤君$付玲$2015-08-08 21:43:39$4735$作为一个癌症患者，我没什么好说的。
1$26289144$滚蛋吧！肿瘤君$千金难买爷乐意$2015-08-05 23:21:14$3736$作为一枚肿瘤君，必须给四星。最喜欢的细节是老爸买薯片时，努力研究口味的时候，心碎的感觉忽然袭来，再也无法靠意志压制住身体的颤动，默声痛哭，跟记忆中老爸为我哭过的那次一模一样。可惜后来的戏太少了。
2$26289144$滚蛋吧！肿瘤君$马达$2015-08-08 23:56:32$2471$生命那么短，还是要做一个有趣的人
3$26289144$滚蛋吧！肿瘤君$影志$2015-08-02 16:45:48$2052$“我吃了那个药就想吐，吃了止吐的药又便秘，吃了止便秘的药又头疼，你说我还要不要吃止头疼的药啊？”哈哈…真是笑着哭死哭着笑死，白百合演活熊顿，可能也是演的最好的一次。因为老妈去年脑肿瘤手术挺过来了，那段陪伴时光就是电影写照，4星给真实乐观的记忆。“人不能害怕失去就不去拥有”
4$26289144$滚蛋吧！肿瘤君$徐若风$2015-08-08 21:40:35$968$《白日梦想家》版《抗癌的我》，小妞的《遗愿清单》，成年人的《星运里的错》。前半小时虽有烂片感，但马上开始脱力回春。弱情节、重感染力，却出奇不单薄，就像是情绪炸弹，全程笑泪，可能是国产小妞片的巅峰之作。鼓励分四星。
5$26289144$滚蛋吧！肿瘤君$Maria$2015-08-12 09:06:17$2968$《被偷走的那五年》《分手合约》《滚蛋吧，肿瘤君》，白百合癌症电影三部曲
6$26289144$滚蛋吧！肿瘤君$love7朵$2015-08-15 09:33:52$3293$熊顿快来看，吴彦祖演你男朋友了！
7$26289144$滚蛋吧！肿瘤君$水木丁$2015-08-06 10:00:44$627$开头二十分钟有烂片端倪，但是随着白百合咣当一声倒地，剧情正式展开，就开始渐入佳境了，完成度相当高的成熟之作，导演的审美，理解力，人生观等综合素质都八十分以上，这部电影是优等生交出来的作业……
8$26289144$滚蛋吧！肿瘤君$蜉蝣$2015-08-08 21:32:30$644$因着那些有点俗套的小段子调和，把一个让人不太忍心接受的故事戏剧化，变成了小女生的可爱成长史。看的时候就在想，可能熊顿也没有真的在喜欢医生吧，只是想有个帅帅的神拯救自己而已。
9$26289144$滚蛋吧！肿瘤君$阿柴$2015-08-12 17:10:12$403$故事本身略显单薄，友情戏中，主角们穿上貂皮大衣就是小时代的即视感。但哭了，确实哭了，周围人都哭了，没有虐，有的是一种积极和感动。
10$26289144$滚蛋吧！肿瘤君$黄青蕉$2015-07-31 13:25:00$2226$可惜了一道好菜，厨子不行。一个在绝症晚期活得风生水起的可爱女孩子，条漫里那么多鲜活的苦中作乐，温暖的亲情友情，全被弱智化成到死也要谈恋爱的浅薄花痴。中间的脑补幻想太多太长，特效又渣，全靠白百何一个人努力撑戏。最后，彦祖真的老了，大银幕看到他拉长的人中蜡黄的脸是我哭得最伤心的一刻
11$26289144$滚蛋吧！肿瘤君$桃桃林林$2015-08-13 13:53:57$990$三星半，受原作乐观态度的影响，让这个原本应该很伤感的故事包装在一个喜剧的、充满幻想的、嬉闹的形式下。使得影片传递出乐观的、积极的态度，就是我们该如何面对在绝症以及死亡。日子总要过，人还是要试着让自己快乐起来，去珍惜与家人朋友的每一天。影片尺度也很好，并未过度煽情，结尾告白加分
12$26289144$滚蛋吧！肿瘤君$五色全味$2015-08-14 19:05:04$467$對這類拍法和不太理邏輯的劇作無感，一度覺得很悶，看過也就忘了。但題材本身是善良的，也輸出正能量，散場見到一個生了病的孩子開心地與海報拍合照，於是想到：拍電影能予一些人力量，也就夠了。
13$26289144$滚蛋吧！肿瘤君$汤阿春$2015-08-09 19:10:23$493$哭哭笑笑成了傻逼
14$26289144$滚蛋吧！肿瘤君$罗荒野$2015-08-13 11:52:29$760$插曲closer很好听，熊顿的故事很励志，虽然她本人的遗愿是自己的这部漫画将来能被改编成电影，但谁都不想被改编的这么难看。中间看的无聊了，跑出去买了两个粉墨汉堡吃了，玫瑰堡明显好吃过钻石堡，炸鸡馅太不健康了吃着。
15$26289144$滚蛋吧！肿瘤君$方枪枪$2015-08-08 22:37:15$346$三星半。都市二逼乐观少女身残志坚励志故事。这样的题材很讨巧，爱情，友情，亲情还关乎生死，无论多少总会击中人心里那根弦。感动的故事，不是撕裂了生活所有悲伤给人看，反而是那些笑中带泪，面对困境，认清真相后依然热爱的人们最催泪，这点，韩延和白白何交了一份满意的答卷。白百何真是绝症专业户
16$26289144$滚蛋吧！肿瘤君$王大根$2015-08-13 20:49:29$287$编剧真屌，开场五分钟，就用在新郎新娘宣誓时迟到、扯断新娘礼服带等把卖蠢当成卖萌的桥段，寥寥几笔奠定了女主的烦人形象，使得我全程看了十五次手表问了八遍女主怎么还不死。恶搞美剧韩剧？这是网络剧才会用的伎俩吧？但是此生居然能看到吴彦祖的弩哥扮相，听他在星你主题曲下用韩语说韩剧台词，值了
17$26289144$滚蛋吧！肿瘤君$fake invoice$2015-08-14 01:59:56$268$2.5。不算烂片，但是贼乱。
18$26289144$滚蛋吧！肿瘤君$吉本興業です$2015-08-13 01:07:46$297$可怕，白百合特别适合演这类人物
19$26289144$滚蛋吧！肿瘤君$鱼川页$2015-08-12 22:22:48$159$悲观或许能博得他人同情，但乐观却能让世界感动。而且之力量是不可比拟的，即便是在不可抗力面前也是伟大而闪耀的。 中国这种类型电影的很大进步啊，怒打五星 
20$26289144$滚蛋吧！肿瘤君$高歌$2015-08-15 20:38:39$108$"非常平庸。
给吴彦祖多打一星。"
21$26289144$滚蛋吧！肿瘤君$糯米哄$2015-08-12 19:23:11$158$让我看得哭哭笑笑的好电影。上一部看哭的国产片是归来。喜欢熊顿因为自己也喜欢画漫画，因为自己也有她那样逗逼的性格，但她比我勇敢太多，想到自己曾经拉黑便就绝望了一个春节…虽然说的是她抗癌的故事，但没有韩剧式的凄惨，家人朋友的温暖，熊顿的乐观和正能量太感动人了！愿现实中的她在天堂安好。
22$26289144$滚蛋吧！肿瘤君$同志亦凡人中文站$2015-10-12 08:49:25$121$留在二次元不挺好的，非要改编成电影，白百合夸张做作的演技（？）恶到我了。送这种商业类型片去申报奥斯卡，不知道的还以为中国电影得绝症了呢...
23$26289144$滚蛋吧！肿瘤君$羚羊的灵魂$2015-08-08 22:53:14$189$解塑料袋那 脑中自带BGM是Firework
24$26289144$滚蛋吧！肿瘤君$大奇特(Grinch)$2015-08-14 00:13:47$91$难能可贵的是在绝症片里做到了不狗血，煽情部分点到即止。且运用类型片戏仿的形式表现患者对悲观现实的乐观态度。死亡是结果，活着的过程才重要。红围巾——想象中的红假发——红塑料袋——红气球，也构成了对“自由”的渴望。遗憾的是剧本并没把熊顿创作漫画的部分融入到剧情之中，做到虚与实的对照。
25$26289144$滚蛋吧！肿瘤君$不如归去$2015-08-08 23:14:54$82$用朋友的话说“是一个伤心的故事，却是一部开心的电影。”白百合很适合演这种角色，二却不傻。张子萱本色出演勇敢自黑哈哈哈。吴彦祖，帅就一个字，我不需要多说一次。穿白袍的医生彦祖帅得人合不拢腿。泪点很多，煽情也恰到好处，整场都默默流泪，散场看到很多女生的眼睛也哭红了……
