$movie_id$movie_title$comment_user$comment_time$comment_vote$comment_text
0$26654146$解忧杂货店$风扇$2017-12-29 22:30:04$553$"为什么豆瓣才5点几分，很好看啊
你们考虑过看了 机器之血、妖猫传、奇门遁甲的观众的感受了吗……
跟他们一比，这片真的逻辑严密、故事全程在线啊
😷😷😷"
1$26654146$解忧杂货店$朝阳区陆依萍$2017-12-24 22:45:50$5713$比烂片更浪费时间的，就是这种平淡无奇、冗长缓慢、矫揉造作、明星拼贴的鸡汤电影，你们都很励志，你们都有梦想...ok,fine！
2$26654146$解忧杂货店$明河$2017-12-29 00:08:54$2284$24号看了点映，一直没有来评。每一分钟都不能错过的好电影！破除了日本IP翻拍魔咒😂
3$26654146$解忧杂货店$小龙同学$2017-12-20 22:42:47$1334$总的来说，这是部奇幻又暖心的电影。片中三位主演胜在自然清新，给人很强的新鲜感。尤其是董子健，演技已经很老练了，却仍然青春扑面不显油腻。当然，比较惊喜的一众大咖绿叶，成龙大哥虽然是客串，却给出了诚意满满的表现，更不必说李鸿其、秦昊、郝蕾，他们带来的不仅仅是阵容，更是电影品质的保证。
4$26654146$解忧杂货店$巴塞电影$2017-12-29 12:22:38$725$三星半。无论是小说还是电影，它们的内核却是一致的：它们真正想表达的是人与人之间的温暖，是来自陌生人的抚慰，以及自我认同的正能量——这对韩杰来说，实在温情的难得一见。
5$26654146$解忧杂货店$梦里诗书$2017-12-27 19:32:45$2326$根据东野圭吾的奇幻同名小说改编，韩杰所执导的中国版《解忧杂货店》给人带来的只是彻头彻尾的失望，电影在剧情基本忠于原著的框架下，却并没有能做出富含镜头语言的转化，而只是照本宣科的熬出了一锅寡淡无味的鸡汤，凌乱的叙事更是使电影且不谈何般感动，反令“解忧”变成了如坐针毡的忧虑。
6$26654146$解忧杂货店$六元的小凶许$2017-12-24 17:27:08$627$没看过原著不带任何滤镜和偏见去看还是能看的，杂货店和福利院的互相联系，开头和结尾的相呼应，几个故事主人公都互相有关联，虽然全程没什么高潮但是都很贴近生活可以就当发生在身边或者自己身上的事来看，有时候你不经意间的一句话做的一件事都可能改变一个人的一生，所以谨言慎行吧。
7$26654146$解忧杂货店$Tang兔跑得快$2017-12-29 01:44:27$1027$三个看似叛逆的孩子就像一把钥匙打开尘封已久的解忧筒把一幕幕生活中的人物故事串联起来。人物塑造有骨血，故事有内容，内核有养分，该档期国产电影的清新之作
8$26654146$解忧杂货店$黄悦_$2017-12-29 08:47:26$941$如果不是热巴我根本懒得评 太难看了。美工服饰场景镜头都走心了 然而国产电影中往往形式过大的内容都铁定水 没想到如此高宣传气焰的大IP也中了邪。三段式故事矫情造作 这馊到吐的鸡汤除了恶心观众毫无警醒治愈作用 本来极具日腔特色的桥段奇怪地掺杂了中国风格 注定了是不伦不类的失望。
9$26654146$解忧杂货店$王大根$2017-12-29 18:36:36$395$如果不管小说只对着电影解读的话，这故事根本就是在讲追求音乐梦想就会死、小孩不听爹妈话就会父母双亡、勤劳致富会被人抄家绑架嘛……
10$26654146$解忧杂货店$Escalin$2017-12-24 15:53:38$421$希望迪丽热巴去“梦想女声” 放弃演戏
11$26654146$解忧杂货店$儒家颜路$2018-01-12 20:15:13$221$怎么说呢，是我最近看过的几部电影中比较烂的一部了，说实话，到最后都没看到小董在哪，还是朋友告诉我的。那个热巴，额，怎么说呢，她可以演那种艳丽的角色，太清汤挂面的不适合她感觉，不是电影脸。王俊凯我觉得比青云志进步很大。
12$26654146$解忧杂货店$桃桃林林$2017-12-29 07:38:15$4090$如果说日版拍出原书50%的水平，那这一版又在日版上再打个对折。要说多烂多雷也不至于，而是平庸，毫无才华的平庸，真是让人失望。同时，问题显然不光出在几个流量明星上面，因为那些成名演员的表现同样让人失望。真是白瞎了这么好一个故事，平庸乏味温吞水，毫无亮点的东西。化妆也是要命，搞得好丑
13$26654146$解忧杂货店$喻鸣$2017-12-29 00:38:31$429$所有答案都不在牛奶箱里，而在自己心中。“如果自己不想积极认真地生活，不管得到什么样的回答都没有用。”年末小确丧？东野圭吾鸡汤大酬宾嘞！王俊凯是该多接些少年本色戏。
14$26654146$解忧杂货店$悦安、$2017-12-25 20:28:52$282$从我09年开始玩豆瓣到现在，到后来多少人开始说别人是装逼er但不自知。客观说这部电影主要还真不是演员的问题，到觉得是导演拍出了学生作业的感觉，要么就用力过猛不克制，要么就太中规中矩，以至于看片的时候我宁愿多看下王俊凯的脸。
15$26654146$解忧杂货店$基瑞尔$2017-12-24 18:14:46$237$陈都灵的舞女造型有趣，董子健一秒变猛1了。好在三主演其实拿到的戏份并不多，所以没有特别的槽点。不过整个故事的“离地”问题依然如其他几个中改日一样特别影响观感，尤其是最后一个故事--堪称理财+公益大型硬广（中国散户看了想跳楼）。期待还在画饼的日版明年国内也上映，再读一遍原著顺顺心。
16$26654146$解忧杂货店$团小纸$2017-12-25 16:24:06$354$没看过原作和日版所以先入为主的觉得还可以，有韩寒在本土化的还不错，就是隐约有种韩国片的调调。有点能get董子健的演技。以及一直想买王俊凯那双匡威……就孤儿院的孩子的鞋有点太好了，出戏= =
17$26654146$解忧杂货店$遇见彩虹🌈$2018-02-06 11:11:01$100$没看过原著小说，感觉主演们没什么存在感，小董稍稍好一些，三个故事都像是彩虹之家公益广告。不过觉得在小镇上真有家这样的杂货店也不错，有的时候人只是希望得到别人的鼓励吧。
18$26654146$解忧杂货店$扭腰客$2017-12-26 21:37:22$4517$原著本来就是一本肤浅的鸡汤故事会，再加上所谓的中国特色，不伦不类到浑然天成。
19$26654146$解忧杂货店$有心打扰$2017-12-24 17:15:16$2593$那我该把信寄给谁？谁来帮我解忧？看完电影满心忧伤，如同平安夜里经历一场寒流，凄凄惨惨戚戚。
20$26654146$解忧杂货店$E=mcc$2017-12-26 23:30:40$509$每一个写信咨询的人，其实心里都有了答案，只是需要一个坚定的鼓励！wangXX全程面瘫，减一星，演技还是不行
21$26654146$解忧杂货店$白日梦蓝$2017-12-20 22:23:48$675$点映归来，没看过原著，但能感觉出原著的故事细腻，片中多处细节体现了诚意如MJ，如报纸上的国家领导接见外宾。另外从浓浓的青岛元素中感受到了归属感。
22$26654146$解忧杂货店$柒柒♀$2018-01-11 18:53:26$126$感觉这部电影不至于很烂，但真的很平很一般，之前因为主演所以算是很期待了，但是电影看完真的是没啥感觉，剧情真的很拖，剧情没有让人很期待惊喜的感觉，明明是解忧杂货店，治愈暖心，但说真的看完我都莫名忧愁了，剧情真的是很无聊了，感觉有点强行煽情的感觉
