$movie_id$movie_title$comment_user$comment_time$comment_vote$comment_text
0$26790961$闪光少女$哪吒男$2017-06-30 16:22:47$2378$二次元少女看了想入党
1$26790961$闪光少女$桃桃林林$2017-07-21 13:20:59$4877$三星半，这是一部优缺点都非常明显的片子，对二次元的夸张与一些民族的世界的喊法，总是 有些别扭。不过，这儿片子有些地方太亮了，那些青春的、快乐的、无忧无虑的情绪，看几遍都会很开心，这是华语青春片非常少见的，真正的、难得的青春感，也是喜欢这部电影的原因。以及，表白千指大人
2$26790961$闪光少女$水怪$2017-07-08 20:07:22$4071$这才是青春片该有的样貌啊。虽然对其中选取的中西音乐和二次元动漫自己都不够了解，有部分台词和情感设置，感觉也是有些粗和尬。但内地大银幕上这几年真的没有出现过这么干净的青春片啊，青春片止于青春，砍掉中老年的意淫青春，就瞬间回血一半。鮑京京还是蛮用心和厉害的。
3$26790961$闪光少女$影志$2017-07-22 21:47:29$908$鼓励大过毛病。
4$26790961$闪光少女$shininglove$2017-07-15 19:10:14$879$如果说《失恋33天》是灵气乍现，《闪光少女》就是匠气逼人，稚嫩的灵气和成熟的匠气都令人羡慕。
5$26790961$闪光少女$内陆飞鱼$2017-07-08 20:13:28$3218$好看，国产音乐电影、青春片这么拍就对路了，和风、二次元文化用得好，民乐与西洋乐之争就是传统与现代之争，学音乐的同学，让孩子学音乐的家长必看，结奏紧凑，演员自然，剪辑漂亮，小号范晓萱、小号多部未华子可爱，燃点与喜感交织，陈奕迅演的老干部是惊喜。年度华语十佳，四星半推荐。
6$26790961$闪光少女$柯里昂$2017-07-16 19:45:52$323$以为是部小片，没想到野心颇大，以校园视角和更轻松的方式达到了《百鸟朝凤》想要的目的，同时还塞进多个或大或小的主题；成功将诸如《初恋这首情歌》等同类型片的精华元素本土化，前半段关于民乐的大主题讲通了后，结尾萤火虫的万年老梗都显得没那么俗了；拍了这么多年的校园青春片，终于有部惊喜之作
7$26790961$闪光少女$胤祥$2017-07-22 01:36:20$272$最后还是决定手松一下加点分凑个四星咯。其实问题真的并不少，但是1）二次元和民乐绝对不是强行拼贴，人物和情节基本确实是动漫逻辑，2）主题虽说飘忽不定但是乐团散伙那场至少打到了二次元与三次元逻辑的冲突，3）没有滥用可能的话语权力。我才不会告诉你们我被那两场演出燃哭了呢……😂
8$26790961$闪光少女$齊克斯尼力佐飛$2017-07-08 16:56:48$245$梁翘柏请收下我的膝盖，配乐和原声做得太棒了，激动得我差点“哇”一声哭出来！
9$26790961$闪光少女$大奇特(Grinch)$2017-06-30 16:27:05$1127$鲍鲸鲸的优势是台词（是优点也是缺点），导演和表演上很稚嫩、夸张，拍起来捉襟见肘。好就好在立意新，是正发生着的青春，不是老导演们的怀春。也能用新颖的形式去表达传统文化（鲍鲸鲸原来就是学民乐的），用武侠门派拍中西学科，再结合二次元文化（虽然现实的二次元并不是这样）擦出不一样的火花。
10$26790961$闪光少女$王大根$2017-07-08 17:32:10$705$基本就是照搬了《摇摆少女》的套路，去掉所谓“二次元”的部分应该算是部体面的青春片，但是为了迎合他们臆想中的年轻观众，让主人公组了个乐团叫“二点五次元乐团”，说着“为了写好古风歌曲我把中国通史看了四遍”……喂！不要变成那种长大后就把比自己年轻的人当成大傻逼的人啊！
