$movie_id$movie_title$comment_user$comment_time$comment_vote$comment_text
0$27605698$西虹市首富$LORENZO 洛伦佐$2018-07-28 23:45:13$7573$论同性婚姻合法化的重要性，要是二奶合法继承了，还有他王多鱼什么事
1$27605698$西虹市首富$朝暮雪$2018-07-27 13:04:23$29804$"又名《当王思聪是怎样一种体验》，表面上是喜剧片，其实内在无比黑暗。
有钱可以让最高傲强势的经理俯首帖耳，可以让最思想崇高的教育家唯命是从，可以让股神陪你吃饭，可以让王力宏去你家开演唱会。
但有钱同样也可以让你实现最不可能实现的梦想，可以让你追到最不可能追到的女生，可以让你和高不可攀的球队踢球，可以让你在朋友有生命危险的时候有能力救Ta。
钱是王八蛋，钱也是救命药。
有钱之后瞎几把投的股票都可以增值，瞎几把投的项目都可以爆赚，钱像有繁殖能力一样越用越多。
但这又怎样呢？那些告诉你“钱不重要”“平平淡淡才是真”的电影只是毒鸡汤，这种提倡“钱很重要、有钱可以做想做的事、有钱可以提高实现梦想的几率”、号召大家认真工作努力赚钱的电影不才是正确的价值观吗？
电影只是说了人人都知道，但人人都不愿意接受的事。"
2$27605698$西虹市首富$花大叔爱电影$2018-07-25 15:56:29$1406$1、相比较，《夏洛》文本更出色，但是《西虹市》的电影感更强，整个作品更立体，闫非彭大魔作为电影导演的进步很大；2、全程彩蛋，笑点密集；3、和《猛虫过江》撞了一半演员，可却比它好笑十倍，所以演员不应该为烂片背锅；4、演员该集体减肥了，连常远都肿了，张一鸣肿成个球，沈腾就没消过肿
3$27605698$西虹市首富$乔~$2018-07-27 23:08:53$5101$其实我就不懂了 为啥现在人的要求就那么高了？人家纯粹的就是为了逗你开心 你哪来这么多事 是不是觉得自己可伟大了？
4$27605698$西虹市首富$gtxyxyz$2018-07-28 03:30:19$687$我也是个讨厌低俗文化的人，但是如果什么东西你都觉得低俗，生活也够无聊了。
5$27605698$西虹市首富$齐木楠雄$2018-07-27 12:45:45$5171$除了尴尬的台湾女主其他人都很好笑，沈腾和常远一出场大家就笑，本来是8-9分的好笑程度，因为女主演技稀烂扣掉2星，最后金先生承认自己是二奶好评，电影现在能公开带一点同性恋内容也不容易
6$27605698$西虹市首富$kiki204629$2018-07-27 09:06:24$1172$这个团队对剧本的打磨和设计还是有一定功力的，总体很接地气。喜剧最高境界就是让你看出泪，呐，笑点密集的背后是我们普通人的烦恼，啥时候痛快的做个败家玩意儿呢？
7$27605698$西虹市首富$华盛顿樱桃树$2018-07-24 23:06:28$1426$作为一个笑点还比较高的人，一度笑崩溃了。亮点很多，惊喜密集。而难得的是，阐述了喜剧比较高级的力量，对当今社会做了不同角度和程度的讽刺。
8$27605698$西虹市首富$乌鸦火堂$2018-07-27 09:11:39$679$“孙子，接受这项挑战吧！”小目标主题：赚他一个亿和花光十个亿，哪个更难？这部电影告诉我们答案。算是今夏最有趣的电影了，依旧是夏洛特烦恼那样“日常の不可能”的爆笑励志，算是不走寻常路的高档爆米花作品，并在其中掺入了心灵鸡汤，格调不高，但真的好笑哦！沈腾真不错，宋芸桦是亮点，‘二奶“笑喷，里面有几处夏洛特的彩蛋，比如出租车司机和冬梅大桥，看来还真是一个世界观的作品
9$27605698$西虹市首富$桃桃林林$2018-07-28 12:03:37$488$中间如何花钱的部分比较好笑。不过，宋芸桦重复了一个类似的角色。
10$27605698$西虹市首富$胤祥$2018-07-25 01:59:13$226$作为翻拍本土化做得还不错，虽说品味并不高级女主也比较尬，而且电影化程度有限，剧作也有些问题（反对力量不太够），不过在喜剧里面对人性和国民性有探讨，对现实问题有寓言式的揭示（结尾简直太狠了），比同行们还是好那么一些的。
11$27605698$西虹市首富$次等水货$2018-07-29 22:46:07$157$情节设计有高级的地方，比如放错录像带那里，让我想起数学题，得预设多少种结果得录多少视频呢，两个不同情绪的视频前后放在一起，喜剧效果立马就有了。更为难得的是结尾为同志说话，希望能对观众奏效吧。
12$27605698$西虹市首富$天亮天黑$2018-07-28 22:21:14$299$一部喜剧让人一直乐，就已经很及格了，没必要一直抓着什么内涵意义价值观不放。何况这也不是没有内涵意义价值观啊。资本市场的荒唐，过度营销带来的诡异效果，现代人对健康尤其是肥胖的焦虑，都有啊。可有些人根本看不明白电影里夸张的讽刺，硬是给理解成恶俗的意淫，不活该去电影院找尴尬和不痛快么。
13$27605698$西虹市首富$姨妈的鸭$2018-07-27 19:27:37$198$虽然评分不高，剧情不佳，女主赶客，但是笑点的编排非常努力，我也靠波波的剧情和周围的观众几乎保持了笑点一致。
14$27605698$西虹市首富$宋小君$2018-08-01 11:08:02$142$有钱，真的可以为所欲为。好笑就对了，什么低俗不低俗的。
15$27605698$西虹市首富$樹$2018-07-30 19:39:24$91$特理解为什么会打低分，也特理解为什么会打高分。
16$27605698$西虹市首富$掉线$2018-07-25 04:55:14$4698$【C】对我而言，最大的看点就是看男主肆无忌惮的挥霍财产，给穷屌丝我一种起点爽文的生理快感，但这个快感很快随着行为的重复而削弱。而在该进入到正经的煽情与讽刺环节时，垮了，球场戏尬到我将头扭向一边。剧本其实有出彩的点，但导演所选取的展现方过于浮夸，这种浮夸在笑点上是有用的，但却让电影天马行空到有些不可理喻，难以共情。夏洛特烦恼也不写实，也舞台化，但至少还有那接地气的一碗面。西虹市只有钱，飘满天的钱，但钱多了，也就不值钱了。
17$27605698$西虹市首富$橘猫爱吃鱼$2018-07-27 07:18:12$1124$看来沈腾和马丽单飞后的电影真的不怎样，故事缺少内涵，搞笑套路无新意，不及铁拳。
18$27605698$西虹市首富$Agent阿神$2018-07-30 01:08:24$56$承认钱就是那么重要，有那么难吗？
19$27605698$西虹市首富$Peter Cat$2018-07-29 21:57:40$22$很好奇波米1分是哪来的？谁能给我概括概括？
20$27605698$西虹市首富$嘟嘟熊之父$2018-07-27 21:24:53$2670$十亿元很难花掉吗？投资一部《阿修罗》，瞬间就赔光了啊。这设定太没说服力了。
21$27605698$西虹市首富$风间隼$2018-07-27 18:29:11$134$继承百亿遗产，怼翻穷酸文人，取个台湾太太，生一百个孩子，典型小市民梦想，只是落伍，倒还不算反动。笑料和剧情都中规中矩，拍得没什么电影感。沈腾跟宋芸桦真的可以荣膺年度最违和情侣了。
22$27605698$西虹市首富$哪吒男$2018-07-28 21:05:07$82$喜剧要告诉你钱可以生钱，悲剧（我的人生）可以告诉你穷只能生穷。
23$27605698$西虹市首富$metaphor17$2018-07-24 19:14:06$3224$连羞羞的铁拳这样的完成度都达不到，只剩YY和恶俗，像是吃了一口屎还噎在喉咙里……
24$27605698$西虹市首富$琦殿$2018-07-27 13:25:31$92$沈腾一开始表演就有种别样的性感，但片儿不好看
25$27605698$西虹市首富$深夜的阿斯伯格$2018-07-28 13:59:15$163$看着影院里的男男女女前仰后合，听着他们的笑声，我觉得自己很孤独。
26$27605698$西虹市首富$Mr. Infamous$2018-07-24 22:06:59$426$去年在香港，看闫非彭大魔跟沈腾马丽一起乐呵呵地聊《资本接班人》，想着这《夏洛特烦恼》的升级版，相当可期了。只是马丽消失，而《夏》曾被诟病的思想与趣味，反倒变本加厉，难怪招惹那么多非议。有不少地方，段位低了些，属于不好回味的那种。而贪图插入某种正向情感，有时却嚼不烂了。不过，沈腾在喜剧表演上真有一套，很多笑点还是被他撑了起来，很喜欢他捂眼哭叫那段。宋芸桦开始不搭调，但后面不搭调成了挺有意思的主调，可能因为我太喜欢滕丽名，时而恍惚。生育梗比烧钱梗更厉害。火箭女孩那首羞耻的歌也是超洗脑。片末有个谋算许久的大梗大为不当，其实理应传达的信息该是——同性婚姻是如此迫在眉睫。不过对张晨光，倒有好感上窜。鉴于一夜间能反超狄仁杰的猫腻，很掉价。两星半。
27$27605698$西虹市首富$张小北$2018-07-30 19:24:11$68$原来它并不是一部开心麻花的喜剧……
28$27605698$西虹市首富$所有团的团长$2018-07-24 20:58:10$511$应该是买了版权的，但是讽刺都是浅尝辄止，喜剧部分又有点硬咯吱人，给我一种看缝纫机乐队的感觉，为了搞笑就咯吱人，为了感人，就莫名其妙煽情。故事性比较弱，始终难以入戏。旁边也有人笑的挺开心，我只能偶尔尬笑。5分。
29$27605698$西虹市首富$唐书钰$2018-07-27 15:34:54$389$如果王多鱼没有爱上夏竹，终极测试怎么玩？
30$27605698$西虹市首富$王大根$2018-07-28 12:32:45$234$现代版东宫娘娘烙大饼，不仅完·全·不·好·笑，足球的部分也太模仿《少林足球》了。王力宏竟然还是蛮帅的，1999年的《不可能错过你》比当代垃圾歌还是好听多了
31$27605698$西虹市首富$寒枝雀静$2018-07-27 17:29:01$150$1.5 / 49年的分离逐渐形成了两种体制中对待金钱的态度。三十年后的创举让资本的作用力重新统一，却形成了另一种所谓“完善”对“粗俗”的金钱道德俯视，乃至形成暴发户式的地域刻板印象。即便遗传的财富能一时逆市场之力，即便爱情能够让异化的人际关系稍显温情，即便一个“工”字的主场让底层挣扎的蛆虫爆发出了空前的凝聚力，却依然难逃无穷增殖的资本网络。最终代代相传的缠绕之蛇不是血缘，不是一家亲的文化传统，更不是前三十多年的官方共识，而成为了资本。这便是后社会主义时代的困局。然而即便有这么多屁话可以解读，即便偶尔有段落能让我笑到呕吐，这依然是一部刻板、粗糙、油腻、男权癌的稀烂作品。其中假模假式的批判，都只会毫无意义地沦为它所批判的一部分。
32$27605698$西虹市首富$橙曦羽潞$2018-07-27 16:37:21$78$单单冲着沈腾和开心麻花去看
33$27605698$西虹市首富$SELVEN$2018-07-27 11:12:47$123$50/100 一种类型的喜剧方式恨不得用八百次，丝毫不知节制的配乐和表演，开心麻花宇宙里目前为止最平庸的一部。至于这种传播对金钱的道德洁癖观念的商业片，也是玩儿不出非cliche的东西来了，穷人就继续用“钱是冰冷的，我是有爱心的”这种观念来麻醉自己好了。
34$27605698$西虹市首富$贝加尔海豹$2018-07-26 21:12:09$3134$尴尬到极点的笑点，波浪线一样的剧情
35$27605698$西虹市首富$心生$2018-07-28 22:30:23$87$这就有点糙了，从故事到执行都显得比较粗糙，努力在闹剧中加入讽刺、情感、足球热血励志等等，但最终还是闹到收不住，各成分混乱不融合、违和感强烈。沈腾的那种幽默劲儿，我还挺喜欢的，但是放到这个角色上还是感觉不怎么合适，他跟宋芸桦也是没啥化学反应，以至于后面会觉得好牵强（这也加重了宋芸桦在本片中的不适感，个人觉得她在表现上是大体没问题的，跟角色跟剧本都算契合，但就是跟片子整体不契合，她的可爱与情感，被浪费在了每一场跟男主的戏里，完全不搭）……其实这个本子是有潜力的，但是没遇到一群合适的人。PS：“放错”那里算是为数不多的有趣中的一次。
36$27605698$西虹市首富$恶魔的步调$2018-07-28 20:28:44$31$王思聪这王力宏的钱花的值…居然是大型ＬＧＢＴ宣传片…就是笑点太用力只能尬笑
37$27605698$西虹市首富$樱花飞舞时$2018-08-02 21:24:01$20$开场的笑点蛮尬的，后面好转了很多，反讽设计还行。
38$27605698$西虹市首富$朝阳区陆依萍$2018-07-24 13:39:17$2442$太难看了！真的难看了！比春晚小品和《阿修罗》都难看！给《羞羞的铁拳》提鞋都不配啊！#终于知道为什么王力宏演唱会门票3折都卖不出去#
39$27605698$西虹市首富$紫烟$2018-07-27 08:35:06$1620$这是传播了什么价值观，现在的孩子被毒害的还不够吗？《我不是药神》人家笑中有泪，传播的是正能量。这是什么，恶俗吗？人体宴都上来了，还有什么不能演的。小品喜欢，电影失望。
40$27605698$西虹市首富$罗里吧嗦$2018-07-26 17:21:12$2305$把低俗当喜剧，难看至极。隔靴搔痒的电影，除了哗众取宠还有什么？给一分是因为豆瓣没有办法打零分。
41$27605698$西虹市首富$银河系梦游$2018-07-27 09:55:08$242$很多人说这个电影荒诞，但在我看来它很现实，因为它告诉我不管两人多么不合适，只要有钱女人就可以成为男人的附属，就会有爱情。所以年轻人应该寻根问祖，看看自己有没有富裕的祖辈。
42$27605698$西虹市首富$汪金卫$2018-07-29 13:40:32$63$"买了版权翻拍并加以本土化喜剧化，不过真正好笑的地方并不多。剧情还是夏洛成名暴富后回归真爱那一套冷饭，找台湾演员生拉硬扯上台湾关系。想讽刺又放不开手脚，只能嘲笑穷酸文人。最让我感慨的是：那年，低成本影片《夏洛特烦恼》片方没能谈拢买下周杰伦歌曲的版权，所以只能把《菊花台》等歌改调改词插在片中，插曲《咱们屯里人》是模仿刘德华声音，片中出现的那英杰伦也都是演员模仿其造型。今年，投资成本翻了N番的《西虹市首富》，请到真王力宏唱自己的歌。还有郎咸平张绍刚客串。确实证明了电影极力展现的：有钱确实可以为所欲为！两星半
"
43$27605698$西虹市首富$谢谢你们的鱼$2018-07-24 20:58:05$63$宋芸桦超正！麻花这一次真的挺冒险的，赌上了大家的期待玩转讽刺喜剧，现实意义高于笑点，看到了当年《百万英镑》的味道，有些情节精简一点就好了。
44$27605698$西虹市首富$有心打扰$2018-07-27 14:19:38$31$有一种大现实是有钱人只会更有钱；有一种小幸运是成为有钱人身边钟爱的那条狗。
45$27605698$西虹市首富$darkcat$2018-07-28 17:36:43$71$莫名其妙得了十亿、莫名其妙的足球赛、莫名其妙的感情线、莫名其妙的王力宏、莫名其妙的“二奶”，沈腾你看看人家艾伦都瘦了。
46$27605698$西虹市首富$芦哲峰$2018-07-30 17:48:04$27$问世间钱为何物，直教人原形毕露。沈腾天赋“笑能”，自带“笑果”，明显已成周星驰之后最具喜剧价值的演员，期待他能与周星驰来一场“喜剧之王”的合作。
47$27605698$西虹市首富$刘康康$2018-08-04 17:22:44$20$三观还行吧，反正在我这《夏洛特烦恼》的三观就已经跌破眼镜了，之后的几部都觉得三观勉强比《夏洛特烦恼》要强些，而且老拿三观评价R级喜剧也挺蛋疼的（在我这R级喜剧的三观底线是《一夜大肚》，不能比《一夜大肚》再低了）。剧作上，第三幕崩得一塌糊涂，那场足球赛硬煽情真的非常尴尬，而且跟故事主线毫无关系，观众明明关心的是能不能把10亿花光！剧作最大的问题是反派存在感太稀薄，那两个基金经理明明可以起到更大的阻碍作用，结果使了个美人计、买通了个教育家，就完全没后手了。其实我更希望看到的是结尾男主角如何巧妙利用规则反败为胜，不过那就变成《颠倒乾坤》了。编剧还是太偷懒。但话说回来，沈腾确实是当下最有实力的喜剧演员，国内无人能出其右。真希望他弄一个好点的喜剧剧本。
48$27605698$西虹市首富$纤纤$2018-07-28 10:03:11$22$开心麻花搞笑的水准还是有的，作为让你笑一笑的片子基本合格。
49$27605698$西虹市首富$蜉蝣$2018-08-01 14:30:22$373$看这个电影，能感受到主创团队骨子里的坏和恶，爱情戏太恶心。（波米老师骂太狠，根本不敢承认自己其实被小包袱还逗笑了几次…
50$27605698$西虹市首富$t0psh1t$2018-07-27 20:44:19$45$宋芸桦堪称演唱会粉丝中的人生赢家 
51$27605698$西虹市首富$蜜思丝$2018-07-27 08:12:24$1375$恶俗 典型的把恶俗当幽默
52$27605698$西虹市首富$丁小云$2018-07-28 16:30:35$28$这个本来也挺期待的，看了同样挺失望的。奔着看了会疯狂爆笑的期待去看了，结果只能尬笑几声。几乎没有层层推进的埋梗儿式笑点，几乎都是现抖机灵式笑点。作为看球又踢球的足球迷，足球比赛那段看得太尴尬了。看得想骂人了。但看到身边不远处的女孩看这段却看哭了。
53$27605698$西虹市首富$Jonathan$2018-07-27 11:59:10$857$当人们普遍解决了温饱问题，谁还穿开裆裤挖野菜？同理，当人们的审美能力上去了，社会整体的修养上去了，观影者的口味上去了，谁还会看这类片子？有时候不要抱怨制片方，他们是金钱主义，再低俗只要有票房就可以。关键还是国人的审美水平问题。一方逐利无下限，一方傻乐无底线，中国的电影市场能好才怪了。
54$27605698$西虹市首富$把噗$2018-07-28 22:27:29$34$还是有点好笑的。笑不出来的点几乎都因从舞台直接移置导致，笑出来的点则深得电影非戏剧的精髓。这才是商业喜剧片不必过问现实的例子（不同于《我不是药神》），虚构成了发展故事的驱力，但电影取景现实的前提说明它不能像在舞台上那样玩得过火。
55$27605698$西虹市首富$尉迟上九$2018-07-29 00:11:38$47$烂归烂，笑归笑，大部分观众其实分得很清楚，只求轻松娱乐，要求不高，只要后者达标即可，影院笑声一片，火过狄仁杰也就不意外了；戏里王多鱼随随便便就把钱给花了，戏外开心麻花轻轻松松就把钱给赚了；很多时候人性在钱面前一文不值；脂肪脸一人撑起了整部电影，得分杯大羹，周星星说什么也得分杯小羹；走出影院一想无非就是一场胡搞瞎搞的闹剧，仅停留在肤浅而庸俗的层面，难登大雅之堂。
56$27605698$西虹市首富$蚂蚁没问题$2018-07-27 13:13:46$43$像把十来年的春晚小品串起来了
57$27605698$西虹市首富$mOco$2018-08-04 22:07:00$35$草根直男的意淫梦，女性不过是被利用的工具、旁观者与胜利品。
58$27605698$西虹市首富$娱乐圈梗姐$2018-07-27 10:22:34$1102$很久没有冲动给一部电影打五星了！看完《西虹市首富》后非常激动，两位导演打磨的剧本近乎满分，沈腾和宋芸桦这对CP也非常的恶搞有爱，而且电影中的喜剧笑点张弛有度，真的做到了让观众笑着哭。相比第一部电影《夏洛特烦恼》，个人感觉本片完美超越，期待最终的票房成绩吧！
59$27605698$西虹市首富$柯里昂$2018-07-27 23:48:19$666$行吧，开心麻花也可以正式从电影界拉黑了，造成的厌恶程度不亚于《缝纫机乐队》，前几部商业上成功造成的夜郎自大，实际上是创作者乞讨姿态和肚里无货的原形毕露。吃相尤其难看，一部从台前到幕后，从主题到内容，从计划到手段，从初衷到目标，都急不可耐地向10个亿看齐的影片，也就这么点骨气了。
60$27605698$西虹市首富$深蓝$2018-07-28 00:06:54$337$这个6.4绝对是被黑了，这个水平至少有7.5以上，笑点一点不比其他的麻花作品有任何缩水，品质是保持住了的。
61$27605698$西虹市首富$第七大陸$2018-07-27 14:50:14$519$物化女性直男癌，硬尬功夫足球，开心麻花这么愿意做这样的喜剧：比之前两部硬尬低俗只多不少，讽刺力度一部一部弱下去，变成段子拼贴和逮住一个点就死磕，无线索无逻辑无智商。这与好的喜剧是完全两条道路，醒醒！
