$movie_id$movie_title$comment_user$comment_time$comment_vote$comment_text
0$30128916$夺冠$段尽欢$2020-09-25 21:33:46$3224$彭昱畅长大之后果真变成了黄渤😂
1$30128916$夺冠$阿德$2020-09-24 22:38:11$4102$陈可辛还是厉害，算是国内体育题材的新高度了。从国家到集体到个人，看完这个片对女排精神会有更多的理解。以及巩皇和白浪演的真好啊。2021.1.15，二刷with toto。
2$30128916$夺冠$科林$2020-09-23 23:01:37$1624$比想象中好。平行剪辑剪得淋漓畅快，节奏行云流水。女排真实队员演技也不俗，不错！ 当年机场的速溶咖啡苦如药，如今机场的瑞幸咖啡香饽饽；当年国人为女排精神振奋上街摇旗呐喊，如今哪儿还有这份狂热与躁动？陈可辛点题点到了关键，使得后半段猛于前半段。结局收尾得恰到好处，简单、有力量！最后王菲+那英的片尾曲动听极了！ （彭昱畅被黑得好惨…哈哈，也很可爱~）
3$30128916$夺冠$BARRYoung$2020-09-25 00:57:04$3478$反对逢煽情就批判的另类政治正确，这样的题材就应该有这样的张力。陈可辛是实打实的细节狂魔与情绪大师，从袁伟民到陈忠和到郎平，三代脊梁，选的片段太过合适。前期争议很大的“和平大战”的魅力在于中国教练、中国理念与中国技术的碰撞，这就是最“中国”的女排故事，又完美地串联起女排的兴替脉络，远比单纯的胜利来得更重要。看过很多十几年前报道的老球迷表示白浪太像她妈了，陈忠和的形象没有半毛钱歪曲，而巩俐就是郎平，她的表演是精准而立体的。当然，郎平也值得这样的戏份，一把斧凿起中国女排经久不衰过去和将来的铁榔头，一个把“夺冠”两个字从一种结果上升到一种艺术的女人，值得这种精彩的铭记方式！
4$30128916$夺冠$lanmons$2020-09-26 10:55:01$7069$是中国女排好看，而不是电影好看。
5$30128916$夺冠$壹安²$2020-09-25 10:56:29$1270$【年前观影团】“为什么我们那么在意一场排球赛的输赢？因为他们太看重赢”能借郎平之口说出这句话我觉得够了，中国银幕上应该听到一些不同的声音。女排精神、国际标准…能看出来陈可辛把两个时代的碰撞感拍出来了，他真的明白不能单一的教育式拍电影，他真的很会抓重点。后半段确实撞了《绝杀慕尼黑》，可能每个故事的奇迹，都需要一个偏执的疯子。
6$30128916$夺冠$安心$2020-09-23 12:14:28$553$谁说的丑化陈忠和？明明塑造得超级伟光正好吗！这是一部你知道所有剧情但也依然会看得超级激动、热泪盈眶的电影，女排姑娘们太棒了，女排精神太棒了！
7$30128916$夺冠$风城十三郎$2020-09-25 20:37:40$164$尴尬的情感，无中生有强行煽情
8$30128916$夺冠$影志$2020-09-22 15:15:10$2352$大小点都很好，情绪饱满，泪点一环扣一环。当你在影院正被热血和辛酸感动，吴刚就会蹦出一句“别哭”制止你。朱婷那个“为了爸妈、为了成为你” 简直暴击，梦想面前，我们卑微的只能做好当下事，理由还重要吗？国歌响起时，巩皇语音给黄渤听，太细了，那是我们在演唱会打给心里惦记的人才做的事…成为一个优秀的运动员，还是一个优秀的人？放下历史包袱，轻装上阵，内心不够强大，赢才是唯一标准。时代变了，我们还需要女排精神吗？这个时候出来一部这样的电影，适合不过。女排是一个很好的精神支点和指明灯，它的辉煌浮沉，值得我们停下来去想一想。从电视直播，我们只能看到一个赛场，而从电影，能看到一个世界…这是一部让我们审视自己的时代意义电影。
9$30128916$夺冠$朝阳区陆依萍$2020-09-24 21:40:59$3686$非常不满意巩俐的表演，纸片人的演法，看似气场满满，但空如纸老虎。
10$30128916$夺冠$西楼尘$2020-09-25 21:47:44$287$那代人背上家国的包袱，攻防的是民族的尊严。因为不够强大，输了比赛将后悔一生。这代人卸下民族的重担，触碰的是世界的摸高。只管享受体育，不再需要成为任何人。她赢了此生最想输的比赛，他弃了此生最想要的职位，冲出亚洲的呐喊言犹在耳，走向世界的标语字迹已干，墙上的球印却凿进了每一代人心里。
