$movie_id$movie_title$comment_user$comment_time$comment_vote$comment_text
0$35131346$隐入尘烟$马掰掰$2022-07-09 15:04:12$22216$曹贵英常有，而马有铁不常有。
1$35131346$隐入尘烟$双晚$2022-02-14 08:41:45$4334$B. 可以是一部好电影，却也是一部远可以更好的中国电影。仅从抒情的角度看，它是精明且有效的。全片事无巨细地展现农村生活，却能牢牢锚定“土”（耕种的地和建筑的泥）的核心意象，将情感增厚，为羁绊赋形，做到形散神不散：穷人的命运就是扎根土地，风吹雨打，仍在默默隐忍中开出自己的麦花。但从一个了解电影语境的中国观众角度出发，这种将逆来顺受浪漫化的温吞做法背后，又有多少结构性的顽疾被草草略过？这片土地有太多值得且亟需被讲述的故事，它们绝不该隐入尘烟。2022.2.13 Berlinale
2$35131346$隐入尘烟$涂笛$2022-07-13 22:16:02$14321$向城市一次次无偿输血的，是农民。
3$35131346$隐入尘烟$大妇女$2022-07-07 00:26:46$11060$"沉稳、沉浸但不沉闷，细节动人，还有一些别致的趣味。海清饰演的村妇贵英，实在太好了，让我看时候一度觉得自己都残忍，诗意也是一种残忍了。能吃苦的人会有越来越多的苦给他吃，能忍受的人会越来越能忍，可一旦见识过活着的美好、爱的感觉，一切也不再想忍了，活着比死还难受。以及，再惨再苦的男人，都会有比他更惨的女人。"
4$35131346$隐入尘烟$无糖吐槽$2022-02-13 00:58:16$4062$“温良中国人”的乡土叙事，放在当下，显得尤为苍白。
5$35131346$隐入尘烟$奥兰少$2022-02-21 01:29:06$10991$22.2.20@小西天。1.我给你雨槽的哨音、莜麦的麦芒、燕子的归巢。我给你一个双脚扎根于土地的人的温厚。我给你从四季轮转中获得的全部智慧，以及桥头女人们津津乐道的丈夫对妻子的珍视。我给你一码归一码自己挣来的风衣，母鸡下的第一枚荷包蛋。我给你一起上一次城，美美地浪浪的许诺，和麦粒在腕上留下的一朵梅痕。但我还是无法从厄运中留住你。2.上学时一次坐绿皮，看到一对满面风霜的农民夫妻，其乐融融地分享一只快腐烂的桃子。那种相濡以沫的暖意毫无虚假，这不是什么对苦难的浪漫化。贫者拼命挣扎才能生活，但也在努力创造和守护自己的诗意时刻。3.已尽可能在尺度内保持一点锐利叙说农村的变与常：一面是新农村改造补贴款和扶贫房，一面仍是千年不改的佃农被吸血的命运。4.就因弄明白了这么多耕种和垒房的细节，我也喜欢这部电影。
6$35131346$隐入尘烟$我就是表情包$2022-07-10 12:55:19$10489$上映第二天就没什么排片了。昨天有人问我一大早去看这片子至于么？矫情点说，我国的小众电影可能真的就差我的一张电影票
7$35131346$隐入尘烟$柴犬妹妹$2022-07-17 13:51:34$11443$虽然感觉是8.5，但是要给五星。我就是一普通人，但我知道，如果再对这种电影“平和”，对资本宽容，那等待我的就只有屎了。
8$35131346$隐入尘烟$陆小鸟$2022-02-23 02:11:31$9059$“他不能死。有些时候不是你想死就能死的。”关于结尾字幕的最后一句话，导演说。
9$35131346$隐入尘烟$黑狗成$2022-02-13 18:36:17$7204$如果你觉得自己真的很关注中国底层农村女性的命运和生存现状，月底公映时可以花3、50块看一下本片。
10$35131346$隐入尘烟$LORENZO 洛伦佐$2022-02-13 01:16:50$5122$在全民脱贫的今天看这样一部电影感觉心很疼，穷人的血和尿一样不值钱。治疗贫困竟也让燕雀离巢故土不在，时代的洪流终究让一切化作一缕尘烟，仅剩念旧的家畜回望追缅。男主记忆点太深刻了，摄影配乐俱佳，末段有个情节转折突兀，收尾节奏则可以加快一点。不过我始终认为这是个妥协的结局，四哥已随风而逝：真*三宅一生。
