$movie_id$movie_title$comment_user$comment_time$comment_vote$comment_text
0$35312437$奇迹·笨小孩$25%$2022-02-01 16:10:01$17927$过程才是现实，结尾只是理想。
1$35312437$奇迹·笨小孩$米兰核心丹尼尔$2022-02-01 10:15:13$11904$做好电影容易，做好人很难，现实中可遇不到这么多好人。
2$35312437$奇迹·笨小孩$江湖江鹄$2022-02-01 11:53:32$16006$感觉像不得不交的作业
3$35312437$奇迹·笨小孩$炸酥肉小朋友$2022-02-04 11:34:24$3871$这个故事没有药神打动人心，因为每个人都知道他们最后一定会成功，所以他们满是坚毅倔强和勇敢决心，却没有我们面对生活的压力绝望和不安无助。
4$35312437$奇迹·笨小孩$稚笔$2022-02-01 10:20:06$7052$小人物奋斗史，有笑点有泪点，四字的表演越来越娴熟了。同《药神》相比还是少了些打动人心的力度，三星半。
5$35312437$奇迹·笨小孩$ever$2022-02-01 10:29:07$2899$坚持就能看到明天的太阳
6$35312437$奇迹·笨小孩$野虎仙豆$2022-02-01 16:14:05$5015$我不是药神告诉你有一种病是穷病，奇迹告诉你穷病可以自救。小人物的光芒也是光芒，新年的第一剂的元气鸡汤。
7$35312437$奇迹·笨小孩$春山可望$2022-02-01 10:56:01$2697$3.5，合格的春节档作品，一些追车桥段过于夸张，以致到了不合理的程度。结合时事和春晚，本片里坚韧勇敢的女性角色让人热泪盈眶。（四字真是优质原始股啊）
8$35312437$奇迹·笨小孩$Phoenix$2022-02-01 10:11:11$2279$就，希望普通人都好景常在
9$35312437$奇迹·笨小孩$贝塔$2022-04-28 17:50:24$359$整体不错，结尾的人物归宿，完全没有必要，一下拉低了影片基调，发布会一登台，戛然而止，就可以了
10$35312437$奇迹·笨小孩$念$2022-02-02 21:32:59$1634$金手指爽文，缺少真实生活的应有逻辑
11$35312437$奇迹·笨小孩$beautifuldays$2022-02-18 21:32:15$436$奇迹的意思是发生的概率超低，几无可能。
12$35312437$奇迹·笨小孩$小米$2022-02-01 10:05:43$1788$抱着药神的期待，大年初一一大早去看奇迹… 中规中矩 啥情况啊文牧野
13$35312437$奇迹·笨小孩$RoRo$2022-02-01 17:10:42$1578$命题作文
