$movie_id$movie_title$comment_user$comment_time$comment_vote$comment_text
0$35372742$无名$比目鱼很好$2023-03-05 18:14:08$2$程耳导演真的用心了，从头到尾明明有这么多可以会心一笑的点
1$35372742$无名$四个又$2023-03-13 21:58:06$0$为什么二星是较差三星是还行.. 能不能有个2.5星说一般which means也没有很差也就是so so的地步呢..上一部罗曼蒂克消亡史确实看得很嗨，包括这部电影觉得也不是会自己在家里点开看的类型，美化说就是觉得电影院看更好，还好找了票贩子买的票，原价买应该悔死我，感觉就是故弄玄虚，叙事手法稍微impressive一下，但也就仅此而已，或者为梁朝伟廉颇一样的打戏再加一点分，但流量演戏还是被反噬啊，剧情来说也没什么说的，要真是流量一杆到底不反转我还觉得小惊喜难道不更值得粉丝催演技炸裂眼光好吗，一般般中差的，导演你不该是这个水平！
2$35372742$无名$清风$2023-01-22 11:31:20$161$这都啥？影帝影后恰烂钱挣外快呢，烂的要丝服辣💁
3$35372742$无名$我思故我在$2023-04-16 22:40:33$0$故作深沉，剧情稀碎
4$35372742$无名$开心每一天$2023-01-22 12:07:25$219$白瞎了我的钱啦，心疼
5$35372742$无名$小导演$2023-04-17 00:22:19$1$不是打乱叙事顺序，画面构图唯美就是牛逼电影了，形式大于内容，不痛不痒的故事，低于程导以往的作品水准
6$35372742$无名$Corgi精$2023-02-05 19:38:36$5$质感和想象的一样好，演员表现超出预期，但故事情节令人失望
7$35372742$无名$双鱼石头座$2023-04-12 08:36:34$0$形式大于内容，想走王家卫的路，只有一部分画面类似，台词和剧情简直是灾难。
8$35372742$无名$Oh拉玛干$2023-03-05 14:40:17$4$应该说是春节档里最回归电影本质的一部片子。可以看得出导演坚持自己作者性的表达却无力于资本和市场制度的要挟。影片用插叙完成悬疑这条线，以穷其境的结构美学勾勒大时代下的洪流与小人物。然而最喜欢的是程耳对于爱情和浪漫的表达，叶先生和方小姐的故事如果能展开来讲一定很精彩很好看。好想看导演个人剪辑版啊。
9$35372742$无名$SPACETALK$2023-01-27 05:53:14$63$拍得够漂亮，但故事剧本真的太薄弱了…..
10$35372742$无名$黑白万花筒$2023-03-10 22:37:08$3$不错的，很多细节，值得二刷
11$35372742$无名$.44444444$2023-02-24 01:25:15$0$感觉导演想隐晦的表达很多东西 但可能因为很多原因 导致呈现出来的东西就会让人觉得好像可以这么解释又好像可以那么解释 但有的地又说不通 另外王一博继续磨练一下演技吧
12$35372742$无名$不停干饭$2023-01-23 05:39:41$685$程耳值得
13$35372742$无名$Kevin$2023-04-21 21:38:47$0$至少有一件事能够确定，就是剪辑特喵的嗑药嗑大了。冲突不够剪辑来凑是吧？稀碎、不知所谓、不断重复的镜头，你说你拍个电影水什么时长啊？又不是上星电视剧能多卖点钱，一个蒸排骨出现两三次，咋的排骨里夹着机要电报啊？wyb吃虾还要给个长镜连吃三四只，有他喵什么意义啊？是凸显了人物性格，还是推进了剧情发展？画面、布景再优秀，也得为人物和剧情服务。还有吹爆的那场打戏，打得多卖力结尾就有多疑惑。别说做戏要逼真，把人扔楼下你咋知道不会直接摔一楼去领盒饭呢？这力度这角度控制的，你别说是个人，换成台球找丁俊晖来也没十足把握吧？
14$35372742$无名$花枝丸$2023-01-30 17:45:07$6$中间有点无聊 打戏挺出彩
15$35372742$无名$保护熊熊乐园$2023-01-22 12:04:52$93$看完这个电影 我坐在位置上只有震撼。不愧是程耳啊 我会再次走进电影院去观看的 剧情真的回到家都觉得怎么这么精彩
16$35372742$无名$柠檬打气筒$2023-01-22 11:36:08$42$程耳的画面真的太强了，每一帧都能截下来当屏保，里面很多明暗对比的画面，给人的视觉冲击很强烈，剧情就不过多透露了，是很值得到电影院看的，现在的环境能有这样的电影，真的很感动，希望中国电影越来越好
17$35372742$无名$豆友甜茶$2023-01-22 12:22:16$19$一部不可多得，值得一看再看的电影，程耳真的太懂镜头，太会讲故事了，梁生用谈笑风生演出了暗潮汹涌，王一博用疯批邪气掩盖着自己的真正目的。最后的大反转真的让人目瞪口呆。
18$35372742$无名$妞妞麻麻$2023-01-22 11:40:08$368$梁朝伟，周迅，我说你们还是爱惜点羽毛吧，什么烂片都接吗？这么缺💰，这演的啥呀
19$35372742$无名$锅包肉的锅$2023-02-13 17:42:16$2$感觉一般吧，有点谍战又有点文艺，剧情线太折叠了，观感没有特别好
20$35372742$无名$孤月明寒草$2023-01-22 12:10:25$212$程耳是懂调教演员的!前半部分看梁朝伟的台词功力，后半部分看王一博的演技大爆发!
21$35372742$无名$罗荒野$2023-01-26 02:30:16$45$虽然最后的打戏加的莫名其妙且不合逻辑，但至少程耳证明即使拍动作戏他也能轻松拿捏。
22$35372742$无名$讨厌丑猩猩$2023-01-22 12:00:40$306$啊啊啊啊啊我真的强烈推荐，梁朝伟和周迅不用多说一如既往的稳。王一博也可以，因为我之前没有看过他的剧包括他成名的那部也没有看，所以在这部电影里，我觉得他表演的非常好，很惊讶。特别喜欢他和梁朝伟的那两段打戏，然后我真的要夸夸陈耳导演的镜头美学，真的绝了，我特别喜欢那几个俯拍的镜头，特别震撼！！！特别喜欢！！！然后大鹏和黄磊会给你之前不一样的感觉，然后另两位女演员虽然戏份不是特别多，但是都会让人印象很深刻，两种不同的风格，推荐推荐👍👍，我能说那个狗狗演的都不错吗😊
23$35372742$无名$cyc$2023-01-28 02:45:01$10$春节档，作者性。这是属于程耳的勇气。但论及电影本身，不如《兰心大剧院》。
24$35372742$无名$白龙$2023-04-19 17:20:27$0$故弄玄虚，故事其实很简单，王一博和张婧仪长着一张没有故事的脸，而且演技撑不起来。
25$35372742$无名$廿廿不忘$2023-01-22 11:48:06$108$期待大荧幕上小博的表现，和影帝影后合作碰撞出别样的火花！大银幕上众演员的微表情太震撼啦！难怪都想去拍电影！
26$35372742$无名$豆友来啦$2023-01-22 11:22:13$396$太难看了，简直是受罪。镜头一卡大头，王一博的脸就被放大吓人，别演戏了！中途退场了花钱找罪受。希望流浪地球别让我失望。
27$35372742$无名$爱追剧的某某某$2023-01-22 13:35:07$386$好看！不愧是程耳
28$35372742$无名$慌慌张张$2023-04-16 22:41:41$0$没看明白 打乱的叙述手法 刻意的视听 
29$35372742$无名$洛羽$2023-04-11 16:51:47$0$用魂系的叙事手法讲了一个简单的故事
30$35372742$无名$rkami$2023-02-26 22:52:07$0$梁朝伟和周迅真厉害，重逢简简单单几个动作就让我感动不已
31$35372742$无名$邵君$2023-01-22 13:15:25$25$现在还是不能平复心情，感谢程耳导演！整部戏下来，感受就是我们现在的好生活来之不易，致敬那个时代的无名英雄！
32$35372742$无名$Silencio$2023-01-31 01:05:28$34$镜头与服化道是考究的，寥寥几笔交代日方残酷的戏高效利落。不过感觉叙诡玩失败，变成打乱时间线的插叙，并没有对梁和王两人身份揭露起太大反转作用，毕竟故事足够简单，猜卧底是共是敌对于身经百战的观众来说简直小菜一碟。而且王都偷到地图了，他和梁货车演戏逗笑渡部是为了贡献表情包？进监狱杀渡部更像是脱裤子放屁。第一次深刻体会选角审美的重要性。周迅和梁朝伟一出场就让人放心，且赏心悦目。王一博戏让人皱眉，他的难看不仅在于他的演技，也在于他的颜，这样丑且贫瘠的脸被导演作为戏眼以及ending一遍遍拍特写，显得特别残忍，多么丰富的配乐也拯救不了他激情戏时宛如走神的三白眼。黄磊也很差。也不明白一出事男的就把女的关起来自己扛，这种戏码写多就真信了，忒傻吊。
33$35372742$无名$孤帆远影$2023-01-23 08:59:37$66$期待演员王一博无名
34$35372742$无名$海德薇$2023-04-15 21:43:28$0$真心觉得不是烂片 程耳的风格是真的舒服
35$35372742$无名$Dtechive$2023-01-31 01:23:19$12$“我也是”像一个大熨斗空降而来，把本来很鲜活的人物形象轧得平平整整👍👍
36$35372742$无名$晚枝鱼$2023-02-08 23:54:05$2$电影色调和细节值得两星，剧情有点简单，没有太多悬疑的感觉。
37$35372742$无名$。$2023-01-22 13:23:01$684$有点看不懂
38$35372742$无名$朝阳lilili$2023-04-10 13:50:52$1$程耳有两把刷子
39$35372742$无名$不空$2023-01-22 13:07:41$168$程耳导演腔调还在，这个剪辑风格可能还要细品，但注定是不适合春节档了。
40$35372742$无名$土豆王子$2023-04-23 00:47:45$0$没那么差，也没那么好
41$35372742$无名$努力$2023-01-22 12:59:38$138$差不多得了，天天搞这种题材
42$35372742$无名$那些鱼怎么办$2023-04-10 09:09:26$0$程耳的风格在消亡，变得俗气了，6.5
43$35372742$无名$ZeRann$2023-02-11 22:51:50$3$如果是顺着的时间线可能半小时就能讲清的故事。就逮着长镜头和老演员的演技使劲薅了～～
44$35372742$无名$吃草莓的mm$2023-01-22 11:31:46$264$想看的电影都没，好难看啊，这导演演员都是啥，后悔
