$movie_id$movie_title$comment_user$comment_time$comment_vote$comment_text
0$3734112$风声$蘑菇斯基$2009-09-29 17:34:43$4939$雷点与泪点共存，百合与卖腐齐高。
1$3734112$风声$看不见我$2009-10-06 21:40:00$8919$我不怕死，我怕的是我爱的人不知我因何而死。我身在炼狱留下这份记录， 是希望家人和玉姐原谅我此刻的决定， 但我坚信，你们终会明白我的心情。 我亲爱的人， 我对你们如此无情，只因民族已到存亡，我辈只能奋不顾身，挽救于万一。 我的肉体即将陨灭，灵魂却将与你们同在。
2$3734112$风声$爱未未$2009-10-03 21:13:48$3412$"黄晓明在电影里简直是妇女之友。。不对李冰冰用刑，还给周迅披件衣服。。
"
3$3734112$风声$乔阿酥$2009-10-03 11:14:29$3225$蘇有朋先生您終于找到了適合自己的戲路啊！！
4$3734112$风声$关雅荻$2009-09-18 04:31:29$3881$所有人表演几乎挑不出毛病，对国产电影类型化有重大突破，故事跟小说非常得不同，叙事逻辑虽有个别瑕疵，但整体推进得很靠谱，各方面都相当的到位，在国产片范畴里制作精良，这片要不卖两亿，有点不可想象。看了结局，很不错，还能更好！显然是不得不看！！！
5$3734112$风声$一坨你的猫$2009-09-22 20:46:21$1452$借朋友的光看了媒体专场~虽然真的血腥到变态~但是绝！对！值！得！去！电！影！院！看！肯定不会让你失望，好导演，好演员（除了黄晓明），好画面，好故事！看了不后悔~不看你不会知道自己错过了一部好电影！
6$3734112$风声$研磨_Lynette$2009-10-03 23:51:42$1594$白小年太早挂掉了，我还没看够苏有朋的娘劲儿呢~~张涵予这个男人真有味道~李冰冰和周迅摊牌后对飙演技那段情绪拿捏细腻又到位很是过瘾啊~~英达那个死胖子死得太逗了，本来都没他事了结果非要把自己搞死~~好吧，黄晓明这个大绣花枕头此次也算有进步~~~比较来说風聲比建国大业好看很多~~
7$3734112$风声$赵行德$2009-10-07 17:20:36$1606$我身在炼狱留下这份记录，是希望家人和玉姐原谅我此刻的决定，但我坚信，你们终会明白我的心情。我亲爱的人，我对你们如此无情，只因民族已到存亡之际，我辈之能奋不顾身，挽救于万一。我的肉体即将陨灭，灵魂却将与你们同在。敌人不会了解，老鬼、老枪不是个人，而是一种精神、一种信仰。
8$3734112$风声$荔枝超人$2009-09-22 13:58:26$907$果然是鬼片导演，镜头从头摇到尾。
9$3734112$风声$双子叶$2009-10-02 23:23:02$2797$周迅和李冰冰绝对是天造地设的一对
10$3734112$风声$加菲猫$2009-09-09 23:39:11$2114$很久没看过这一类型的片子，虐心折磨人啊，可还是想看片子刺激这你想要猜出到底谁是“老鬼”。周迅演技永远是无挑，最让人惊艳的是苏有朋，天哪！不可思议的“兔爷”。
11$3734112$风声$Ri-Mei$2009-09-16 12:26:10$1424$看了两遍还想看，每个人都在倾尽所有地演出，最后被感动到忍住流泪。真的很好看！期待DVD能呈现完整版，去TM该死的审查。
12$3734112$风声$两口$2009-09-29 19:46:10$914$"""此片片名不应叫《风声》 应该叫《武田少年事件簿 の 皇军揪内鬼SM大决战》""--同想起少年事件簿:凶手就在我们中间"
