$movie_id$movie_title$comment_user$comment_time$comment_vote$comment_text
0$4873490$失恋33天$哈维尔$2011-11-03 23:55:55$2834$"  真正失恋要经过三个阶段：第一阶段当然丧尽自尊，痛不欲生，听到他的名字都会跳起来。第二阶段故作忘记，避而不提伤心事，可是内心隐隐作痛。到了最后阶段，他的名字与路人一样，不过是个名字，一点儿特别意义都没有。
                                   "
1$4873490$失恋33天$咖啡哲学$2011-10-25 14:30:45$1701$2个已婚人士的装B演出~
2$4873490$失恋33天$大石碎胸口$2011-10-24 20:49:33$524$豆瓣是娘家啊
3$4873490$失恋33天$不动如峰™$2011-11-06 13:07:34$215$仙贱奇侠传
4$4873490$失恋33天$薇羅尼卡$2011-11-06 23:19:46$1398$“如果有一天她看到了这个视频的话……我希望她能永远忘记我。”最动人的竟然是结尾最真实的采访，没有戏剧性、没有高潮、平铺直叙。平平淡淡的生活每天都在继续，直到你习惯失去了TA。
5$4873490$失恋33天$周男神的迷妹YL$2018-01-21 20:56:56$296$王小贱在婚礼摆了黄小仙的前男友一道，无中生有胡说八道一通的时候真的好贱，但也是真的看得过瘾。大概失恋的人看到这里会舒一口气吧，也算是将内心的委屈愤怒又不甘都发泄出来了。如果让我在尊严和爱情之间选一个，我选前者。爱情暂时没有可以等，而失去尊严的爱情万万要不得。
6$4873490$失恋33天$张小北$2011-11-07 00:01:26$349$这是一个从我们的当下生活里生长出来的故事，欢乐而温暖。（好吧，这是讲普通青年、文艺青年和二逼青年如何三位一体的⋯⋯）
7$4873490$失恋33天$卡特兰$2011-11-10 09:58:50$345$当社会缺少爱的时候，我们自己不能没有爱。爱，于社会而言是奢侈品，对我们而言，应该是必需品。
8$4873490$失恋33天$Doublebitch$2011-11-09 21:41:57$232$没有走出失恋阴影的人最好不要看，因为它会唤起很多能将你连根拔起的悲惨记忆；已经走出来的人建议看一看，它会让你更坚定的忘掉那个曾经伤害你的人； 而那些没有谈过恋爱的人建议看前半段，因为爱情真的没有电影里说的那么美好，爱情只是生活的奢侈品，无论你是多么富有，在它面前你都很贫穷
9$4873490$失恋33天$波波维奇$2018-02-10 11:10:08$391$剧是很不错，白百何擅长的小妞电影，文章擅长的贱贱的样子，主演发挥稳定。不过看这几个主演，生活中真是大型出轨现场了，精彩。
10$4873490$失恋33天$尹天雪$2018-02-13 21:02:42$76$看完流行了男闺蜜哈哈哈哈，很逗趣治愈了
11$4873490$失恋33天$恶魔奶爸Sam$2013-07-14 15:30:59$128$我知道我做错了什么，你可不可以原谅我，可不可以再等等我，等等我吧，前路太险恶。世上这么多人，只有你是给我最多安全感的伴侣，请不要就这么放弃我。请你别放弃我，我不再要那些一击即碎的自尊了，我的自信也全部都是空穴来风，我要让你看到，我现在有多卑微，你能不能原谅我。请你原谅我。
