$movie_id$movie_title$comment_user$comment_time$comment_vote$comment_text
0$11498192$齐天乐$乌子虚$2012-11-20 16:00:28$88$看得我好伤感。这才是真正的表演艺术家在表演艺术啊。
1$11498192$齐天乐$千寻亿选$2015-02-14 15:29:56$86$杨导说这台晚会差点被取消，后来虽然保留了，但是时间压缩到两个小时之内且花费不能超过两万元，由于时间被压缩，一些节目被砍掉了。
2$11498192$齐天乐$囧老伯$2012-09-19 22:43:03$7$如果不是蝎子精，西游在女儿国就结束了。何必西天万里遥，欢乐就在今宵。。。
3$11498192$齐天乐$y▓▓▓ton$2016-02-02 18:14:48$57$比现在的春晚好看太多
4$11498192$齐天乐$小白非马$2014-01-24 16:48:18$50$“遥想当年，花果山头，十八层天罗地网，苦斗天兵；西天路上，为保唐僧取经大业，苦战妖魔。”1987年的特别春晚。真的是有诚意的东西百看不厌，当年西游记剧组的用心你们感受下。尼玛，太穿越，太欢乐了。
5$11498192$齐天乐$郁金群$2016-05-13 16:35:40$28$经典到无可替代，一个剧组撑起一个春晚舞台，剧中随便找个配角都是老戏骨，整个春晚是那样的无可挑剔，看的时候边笑边哭，想到经典不复存在，当年的前辈们很多都已去世，真的很不是滋味，最喜欢的是“鹤仙”张京棣老师的唐舞和程之曹铎两位老师的相声
6$11498192$齐天乐$倾情$2015-08-24 11:31:09$17$潸然泪下
7$11498192$齐天乐$杨柳北里19号$2020-09-14 12:25:49$14$时代的催泪弹
8$11498192$齐天乐$猫咪建筑师$2019-12-27 20:41:10$7$其实这部的连贯性要比红楼梦晚会好（虽然后半段节目时长略奇怪），但是因为一些事太唏嘘了所以就看过一遍。顶上光华灿烂，底下脓血一包
9$11498192$齐天乐$瓦。$2013-04-14 20:48:55$10$西游记剧组集体演出的春节迎春晚会，纯开心啊！！！美女才子如云，唱念坐打样样全！
10$11498192$齐天乐$三和后浪える酱$2012-09-19 22:49:02$3$前几年寒假 天涯有个长贴扒这个，就搜来看，现存声画较好的版本被剪辑成4个片段。艾玛好欢乐。我小时候最喜欢杏仙，真心觉得好﹏﹏美﹏﹏﹏啊﹏﹏﹏﹏
11$11498192$齐天乐$芦哲峰$2016-02-04 20:39:31$65$抛开情怀不论，节目确实精彩。唱念做打，各有绝活。这是一个剧组的春晚，却胜过所有央视的春晚。个中奥妙，人人心知说不得，留与后人作笑谈。
12$11498192$齐天乐$孔府小鱼$2021-04-15 08:55:56$1$补标记。
13$11498192$齐天乐$wangzhy$2016-08-07 05:08:02$2$孙正平的旁白；刘江老师不能带妆参加；各位戏曲剧种名家的演唱&amp;舞蹈；闫怀礼，程之，韩善续老师的单口&amp;柳儿&amp;腿子；赵丽蓉老师，朱琳国王
14$11498192$齐天乐$早口小姐$2013-04-07 23:11:06$0$相声小品都特好玩~六小龄童当年真是风流倜傥~英俊潇洒~
15$11498192$齐天乐$李大米$2022-03-07 18:00:06$1$杨洁导演就是神
16$11498192$齐天乐$私享史$2012-07-11 22:40:09$27$这个有才，师徒四人出的节目都很有看点！不同于通常意义上的晚会，这其实是一部事先写好台本，台上台下一起参与演出，再由编导们事后剪辑出来的“剧”，我也不知道该怎么定义了……
17$11498192$齐天乐$路人$2016-06-28 15:26:17$2$唐舞看哭我！
18$11498192$齐天乐$张兮兮$2020-11-14 19:46:47$0$太好看了吧！《西游记》的演员们果然个个身怀绝技啊！
19$11498192$齐天乐$小小斌$2022-10-25 22:41:33$0$真的是满满的回忆啊，今天和父母一起看的这个晚会，他们都惊奇从来都没听说过有这个晚会，这些演员那时候真年轻啊。
20$11498192$齐天乐$耶律冉$2015-05-27 09:07:29$29$这个剧组是用取经的精神完成电视剧的拍摄的，致敬，经典。这个晚会欢乐极了。
21$11498192$齐天乐$clover$2013-04-07 12:51:23$8$童年的回忆啊，虽然像素低，但是考虑到那个时候的技术，相当有诚意啊
22$11498192$齐天乐$猫语猫寻$2017-04-17 17:26:39$10$所有人都在角色里反而显的特别自然，连观众都化着浓妆。还特别说了，没有邀请阎王，阎王听到应该会不高兴的吧……杨洁导演那时候好年轻好有气质。
23$11498192$齐天乐$小袁同学$2020-05-21 17:14:18$7$无意之中，连看两台春晚，竟然有点心酸。那个年代的人们，朴实自然，充满着理想主义色彩。时代在进步，思想在进步，在越来越强调个人主义的今天，曾经的那些团聚动人的时刻已经回不去了。
