$movie_id$movie_title$comment_user$comment_time$comment_vote$comment_text
0$26383524$锁麟囊(京剧)$小浣熊二$2015-05-20 21:38:42$71$"这才是人生难预料，不想团圆在今朝。
回首繁华如梦渺，残生一线付惊涛。
莫再痴嗔休啼笑，教导器儿多勤劳。
今日相逢得此报，愧我当初赠木桃。"
1$26383524$锁麟囊(京剧)$30°⊙$2016-08-23 22:14:52$32$"吉日良辰当欢笑，为什么鲛珠化泪抛？怜贫济困是人道，哪有个袖手旁观在壁上瞧？柳暗花明休啼笑，善果心花可自豪。
种福得福得此报，愧我当初赠木桃。"
2$26383524$锁麟囊(京剧)$苏烨也$2017-08-22 01:26:49$76$“这也是老天爷一番教训 他叫我 收余恨 免娇嗔 且自新 改性情 休恋逝水  苦海回身 早悟兰因”
3$26383524$锁麟囊(京剧)$尖尾雨燕$2018-10-30 15:52:49$31$“此时却又明白了，世上何尝尽富豪。也有饥寒悲怀抱，也有失意痛哭嚎啕。”
4$26383524$锁麟囊(京剧)$隐隐隐隐$2015-05-22 14:09:40$36$"迟老板真的绝了，程派正宗传人啊，看过所有的同辈版本，还是迟老板的最精辟。

据说火丁也要拍电影版的了，比较起来她的水袖更胜迟一筹，也很期待火丁的，程派张韵。"
5$26383524$锁麟囊(京剧)$闲白$2019-03-22 15:15:00$24$薛湘灵和赵守贞🔒死了！给我送去洞房！【等等一个国粹你满脑子也是黄色废料吗？】
6$26383524$锁麟囊(京剧)$Lyanna$2016-05-06 09:46:50$21$迟小秋的唱腔绝美，底蕴浑厚，余韵悠长。“春秋亭”一段端的是荡气回肠，百听不厌。
7$26383524$锁麟囊(京剧)$张卯$2019-09-07 18:11:56$7$最经典梅香！
8$26383524$锁麟囊(京剧)$希声$2020-01-21 09:43:48$16$程派人演程派戏。有道是，一个是施人慎勿念，一个是受施慎勿忘，自古红蓝出CP。梅香battle碧玉，😏😏😏。
9$26383524$锁麟囊(京剧)$Reading King$2016-08-22 19:23:07$11$更喜欢张火丁一些
10$26383524$锁麟囊(京剧)$Showing V1.4.1$2021-05-09 12:10:16$7$人生看的第一部全本京剧！也是先听信老讲了背景知识，翁偶虹先生创作时新加的第一折确实精妙 剧情中因为有梅香这样人物的串场，也丝毫不冷，不愧是1940年代新创作的剧目，很契合现代人眼光，果然很适合入门。另外也算是体会了为何戏曲可以不重剧情，好的演出、精心的编排以及在情感上深挖都能给人享受，这是很不同的体验
11$26383524$锁麟囊(京剧)$小恋$2019-09-25 00:32:38$15$迟小秋不光唱得好 一伸手一抬眉一动眸都美得不行 这才是表演啊啊啊啊
12$26383524$锁麟囊(京剧)$Elio$2017-08-08 00:08:58$8$程派迟小秋。
13$26383524$锁麟囊(京剧)$唐北宸$2019-07-06 17:20:28$10$纪念看得第一个全本。
14$26383524$锁麟囊(京剧)$你看我嘎嘎吗$2022-03-06 02:36:26$8$迟小秋版本惊艳。搜了其他女演员版本的就觉得差点意思。这感觉就像，我第一次吃鱼香肉丝，后来不管别的馆子怎么做，我只认第一次吃的那家。迟小秋是真好～全是带我入京剧坑的演员了～
15$26383524$锁麟囊(京剧)$不爱睡的劳碌命$2015-11-02 22:47:42$8$看的现场版，挺感慨的，人生无常
16$26383524$锁麟囊(京剧)$求诸己$2022-11-16 20:30:25$0$唱念做打，迟团😉
17$26383524$锁麟囊(京剧)$无敌霸王龙$2020-08-29 11:42:11$5$"“我一边儿读书一边儿玩，岂不是比光玩强的多了”
下次我妈批评我一边听音乐一边学习，我就这么回她。"
