$movie_id$movie_title$comment_user$comment_time$comment_vote$comment_text
0$26972694$狐妖小红娘剧场版：月红篇$胡二$2018-04-23 22:22:49$65$主线CP果然是最崇高虐人
1$26972694$狐妖小红娘剧场版：月红篇$SUNTORYYYYYYYY$2017-07-30 00:12:11$113$她可是我的童养媳 苏苏是白月初的 东方月初是涂山红红的 虚空之泪本来就是东方月初送给你的法宝啊
2$26972694$狐妖小红娘剧场版：月红篇$唐某人$2017-06-04 10:40:32$56$看的人泪奔啊，但后面大boss感觉还是有点生硬啊，比起《犬夜叉》还是差一点点，但真情动人，很燃啊。
3$26972694$狐妖小红娘剧场版：月红篇$Feem$2017-05-30 12:26:41$61$用最美与最丑的容貌拼凑成一道爱情的选择题。笑点泪点恰到好处，真是国漫爱情界不可多得的好剧！
4$26972694$狐妖小红娘剧场版：月红篇$jiade$2019-06-21 10:10:09$2$各种回忆穿插，使得整片的节奏都乱掉了，按20分钟一集的电视动画看问题也许还不算严重，但整合到一起就不行了。
5$26972694$狐妖小红娘剧场版：月红篇$川$2017-05-08 00:00:20$28$甜到腻的爱情故事在大陆总是很有市场的。我不知道其他地区是怎样的情况，但在大陆这片土地上，爱情是非常吃得开的，是普罗大众喜闻乐见的。
6$26972694$狐妖小红娘剧场版：月红篇$叶不羞的嘲讽脸$2018-01-17 10:57:47$105$前世你是我的二货道士我是你妖仙姐姐，这一世我是你的小蠢货你是我的道士哥哥！
7$26972694$狐妖小红娘剧场版：月红篇$然悔悟$2018-01-15 10:53:07$27$为什么不让他们在一起?为什么？😭😭
8$26972694$狐妖小红娘剧场版：月红篇$千山暮雪5$2018-01-27 12:11:21$38$最喜欢月红篇了，东方美人
9$26972694$狐妖小红娘剧场版：月红篇$林小七$2018-10-03 17:09:34$8$这个结局真是……
10$26972694$狐妖小红娘剧场版：月红篇$乱.$2019-11-18 10:05:25$21$月红真的意难平！月红和白苏真的不能共存吗 红红啊！都给我看！！！
11$26972694$狐妖小红娘剧场版：月红篇$Panda的影音$2021-03-01 23:42:38$4$经过《下沙篇》与《王权篇》的铺垫，在观看《月红篇》时体验到了类似于2020年12月观看《一人之下 第二季》时的快感。2021.03.01：月红总集篇 一/二，2021.03.02：月红总集篇 三/四。
12$26972694$狐妖小红娘剧场版：月红篇$mpor2$2023-02-19 14:32:07$1$大合集~补标一下~
13$26972694$狐妖小红娘剧场版：月红篇$awu$2017-06-17 22:40:07$10$涂山雅雅好酷~
14$26972694$狐妖小红娘剧场版：月红篇$清笛寒影$2019-09-19 17:16:54$8$交付性命，彼此不弃。红红和东方月初的故事很感人，但我总觉得，白月初虽然是东方月初的转世，但确是不同的人。同样的，涂山苏苏也不是涂山红红......希望苏苏和道士哥哥有个好结果吧，哪怕看到现在我也没觉得他俩之间有爱情存在...
15$26972694$狐妖小红娘剧场版：月红篇$tangmm$2017-12-29 14:11:03$0$这其实也不算主线剧情
16$26972694$狐妖小红娘剧场版：月红篇$方枪枪$2018-05-23 19:31:45$11$先看的《一人之下》，再看的这一系列，说实话，在人设以及人物能力上，两者不少雷同。
17$26972694$狐妖小红娘剧场版：月红篇$小鱼henry$2018-03-21 00:46:42$20$前作王权富贵篇结尾涂山红红的现身让人为之动容。本以为在主要讲述东方月初与红红故事的月红篇会有更多的感动。很明显制作组在情节上用力过猛了，过去与现今时间的穿插也稍显混乱。不少搞笑元素也很尴尬，故事的张力不够，情绪调动不起来。虽略为失望，却不失为一部优秀的作品。
