$movie_id$movie_title$comment_user$comment_time$comment_vote$comment_text
0$3037329$遥望南方的童年$窗边的小豆豆$2019-08-13 21:05:29$1210$这个片子，我想打一万分。推荐所有人去看。如果以后等我退休后 中国还是有这样的地方 我会考虑去；如果是成为坐拥财富者，我一定要去建学校。实际上大学时代支教过两次，当时环境不比片中好 甚至当时一个地方连电和水都不同。这也就是十多年前的事情 历历在目，有一个当时只有四岁的小朋友一直和我保持联络到现在。这片子让我回忆起很多那时候的时光，特别感动，片中这老师太值得倾佩。虽然我拿我们这些博士的学术成果对社会的贡献来比较他的教书育人对社会的贡献是不妥帖甚至是无法比较的，但是我的确深感我自己对社会的贡献还远不及他的九牛一毛，尽管他连普通话都说不标准，但这却更显示出来了这位老师的高尚之处。感谢大象放映室让我了解到这部片子。
1$3037329$遥望南方的童年$局外人psy$2018-12-23 22:55:36$349$真实到可怕，这就是我的童年，这就是农村教育现状。
2$3037329$遥望南方的童年$范突宁$2019-07-13 21:24:53$489$今天去了单向空间的放映活动，总结一下导演说的：1）拍摄不易：前期投入30万，拍了19天，导演处女作，剧组其他人经验也不是很足；2）全部演员都是当地人而非职业演员，为了表演更容易让所有人说的方言而不是普通话；3）演易老师的是导演三哥，当时确实开了个幼儿园，剧中幼儿园的滑梯是导演赞助买的；4）三哥拍完电影曾想去当演员，被导演劝阻，曾经也去深圳工作过但是最终还是选择回到家乡当老师；5）导演很喜欢伊朗电影，这部电影也有些伊朗电影的特点6）片头和秀秀妈妈回深圳时的歌曲改编自赣南民歌牡丹调，其余配乐由于资金有限是合成的，导演也吐槽有点央视味。电影反映出在农村搞教育的种种困难与无奈，向乡村教师们致敬。
3$3037329$遥望南方的童年$豆瓣酱$2019-08-16 20:18:28$373$2019年全面脱贫的最后一年，10多年前的电影里的一幕会不会不再出现？
4$3037329$遥望南方的童年$亦可寻陳$2019-05-01 20:13:33$298$伯伯，我爸爸在哪？在深圳。深圳在哪？在南方。南方在哪？南方在……你看山那边就是了。遥望的又何止是童年？聚焦农村，聚焦教育，聚焦留守儿童，所有的题眼都和我的童年不谋而合，故而共情满溢，几度哽咽。窘迫的大环境下我们会因易老师的存在而感恩，也会因孩子们的渴望的神情而感动。这是我的童年，也可能会是千千万万农村出身的人的童年：极目远眺，望不到边。
5$3037329$遥望南方的童年$京畿部长$2019-08-14 20:36:56$251$我们这个社会太坚韧了，我们这个民族太伟大了。
6$3037329$遥望南方的童年$nicebei$2013-07-16 13:33:41$168$易老师不善言辞，师母喜欢骂人。他们不是一开始就想做好事，但逐渐放不开这个责任。易老师在几次和乡里人接洽中，不多解释一句，也不多安慰一句，但却做到了最大程度的帮忙！相比他而言，会觉得自己的生命很渺小而无所作为。
7$3037329$遥望南方的童年$何足道$2009-02-22 10:35:19$136$因为真实所以温暖
8$3037329$遥望南方的童年$Panda的影音$2016-09-10 15:11:49$81$因为真实质朴，所以深有感触：⒈易老师，教师节快乐，不过，说实在的，您的普通话比不上您妻子，我有个小学语文老师和您一样普通话也不好；⒉不觉得学阿巴斯，毕竟中国诸如此类的农村题材作品也不少；⒊缺乏电影质感，但情感真挚，很多人物事件台词都很生活，非职业演员的表现也值得称赞，值得推荐。
9$3037329$遥望南方的童年$影杂志$2019-07-09 19:05:09$19$编剧层面上太多bug，一个呆在乡村几十年的人，村里很多人不认识倒是有点奇怪，小孩儿问深圳在哪里有点刻意，结尾托孤更是有点神经病。正因为这些毛病，反而让它的原生态有了一丝力量，非专业演员，只能采用这种纪录片式的表演，镜头拉得远远的或躲着他们，这种处理让片子只能小众。其实题材非常好，只要把演员调教对了，把摄影机再推近一点，这个题材片子是可以拿国际大奖的。作为留守儿童本人，00年代比他们07年代还要好一点，但是我知道即便今天，还有无数留守儿童过着那样拖板车的生活。感动和我个人身上的影子还挺多，透漏出的理想主义很让人感动，只是文革后把老师扁的一无是处，也导致了老师在一些农民面前抬不起头，哎，同样亚洲其它地方老师，就不会这样了，悲哀…
10$3037329$遥望南方的童年$彩色笔收藏家$2018-08-27 18:09:53$214$可悲可怕的农村教育环境，不难想象这些从环境那么差的地方出来的人们迷失在大都市的原因。穷怕了的人谁会跟钱过不去。当村里人知道易老师夫妻办学的事情后他们的议论听起来就相当的刺耳。坨坨不见的时候易老师发疯似的找孩子。李响是个好姑娘。秀秀的妈妈真是苦命，辛苦操劳打工回来孩子不认自己老公外遇，替她不值啊
11$3037329$遥望南方的童年$而已$2018-10-22 15:14:09$197$充满悲悯情怀的电影，看了让我担忧所有人的命运。人也不是不自私，也不是圣人，然而还是有不忍有爱，人间就可以了。
12$3037329$遥望南方的童年$丹心$2016-04-24 16:27:20$22$儿童是未来的希望，请不要把希望掐灭在摇篮。真的非常不能理解那些把孩子生出来又不好好陪伴的父母，再多的苦衷都是借口！给不了孩子温暖就请放过他们。
13$3037329$遥望南方的童年$胡子一大把$2010-09-22 09:23:35$147$宜春的故事…
14$3037329$遥望南方的童年$猎隼$2019-05-09 11:23:19$21$片子很动人，不加修饰也没什么技巧，但也不需要。不过最让我感慨的不是片子本身，而是我查了一下导演的作品履历，发现他除了这一部和另一部获奖电影之外，参与过的作品要么默默无闻，要么就是烂片。这说明什么？说明导演超水平发挥了吗？显然不是。我很佩服他，在这样的创作环境下依然能坚持拍出自己真正想拍的东西，他和片中的易老师一样平凡而伟大。
15$3037329$遥望南方的童年$此处是吾乡$2018-11-11 20:13:55$124$年纪越大，越来越看不得老好人，自己活得太苦了，跟着她的人也会很委屈。
16$3037329$遥望南方的童年$托托洛夫斯基$2009-05-25 22:30:44$120$简单，纯粹，感动
17$3037329$遥望南方的童年$噬$2019-11-23 15:03:47$71$感觉看到了小时候的自己，农村父母外出打工，每年过年我都会坐在门槛上等他们，童年的回忆总是在旁边小孩的你爸妈不要你了的言语中度过，到了现在感觉和父母总是有很多距离感，和他们住在一起总是感觉很拘谨和陌生。是爷爷奶奶陪伴我度过美好的童年，感恩！！！
