$movie_id$movie_title$comment_user$comment_time$comment_vote$comment_text
0$34964209$“黄河之水天上来”国宝音乐会$眯眯眼的敏敏$2020-02-08 00:22:40$7$很爱两首国乐，特别喜欢开场的象王行。黄河的主题挑的很好，表演和文物也相辅相成。P.S. 这个词条是我加的哟，嘻嘻！
1$34964209$“黄河之水天上来”国宝音乐会$Nova_W$2020-02-10 15:30:08$14$「昏君的快乐是你们无法想象」
2$34964209$“黄河之水天上来”国宝音乐会$吴地越人$2020-02-08 16:22:17$5$终于有人建了词条，么么哒！
3$34964209$“黄河之水天上来”国宝音乐会$头文字🏍️D$2020-02-18 08:56:25$2$"黄河之水天上来只有李太白才能写出的豪迈流经9省 奔腾5464公里孕育华夏5000年文明请来宗次郎真是绝葱省只知道消费这一山一水一圣人了结尾不同水文站取来当地的黄河水辅以讲述当地某段最辉煌的历史让人产生共鸣热血沸腾更能体会母亲河的意义"
4$34964209$“黄河之水天上来”国宝音乐会$沐珑秋刀$2020-02-25 01:57:45$3$舞、乐、诗、史融为一体，拍案叫绝。黄河篇有了，期待再来个长江篇。
5$34964209$“黄河之水天上来”国宝音乐会$小狐腻$2020-12-18 03:42:24$1$这叫我怎么说，反手就是一个满分
6$34964209$“黄河之水天上来”国宝音乐会$Aeolia$2020-06-15 23:09:09$1$敕勒川又要听哭了，关大洲真的是神仙！
7$34964209$“黄河之水天上来”国宝音乐会$蒜 | BOY A✎$2020-02-07 14:53:02$3$所选的文物都是比较适合演化成歌舞节目的，而且不失文物本身的价值，比较有心了。当最后黄河沿线的博物馆们，将流经家乡的黄河水放在一起的时候，点燃了整场晚会的高潮。
8$34964209$“黄河之水天上来”国宝音乐会$junoeng$2021-02-07 00:50:54$1$音乐和舞蹈都是艺术，需要传承和发展，虽然有的音乐我觉得并不好听，但也不失特色。文化需要传承，这种节目可以接着做下去。张国立坐下来听弹奏，然后从斜坡上滑下来那段特别可爱，一般主持人做不到这种效果。不过我觉得宣誓那段，可不可以不要每个人都来大喊保护国宝之类，保护传承之类的，听得太多了就不舒服。张国立老师总结一下就行了。
9$34964209$“黄河之水天上来”国宝音乐会$寒鲲$2020-02-20 05:03:30$2$用黄河沿岸诸省的文物知识、历史背景与乐舞演绎全景式展现传统文化中与乐舞相关的魅力，实乃一场色香味俱全、雅俗共赏的视听盛宴，礼赞。
10$34964209$“黄河之水天上来”国宝音乐会$XI$2021-01-25 13:55:06$0$将每一段音乐舞蹈都赋予它历史文化的意义，真的是太棒了
11$34964209$“黄河之水天上来”国宝音乐会$胖不墩儿$2022-12-04 16:36:36$0$好感动呀🥹 真的永远爱这个节目，太有民族自豪感了，主旋律和春晚都按照这个标准来好吗。每次最高兴的还是在里面看到舞蹈节目了，古丽米娜真的太美了。最后取黄河水很感动，很有仪式感
12$34964209$“黄河之水天上来”国宝音乐会$云动竹响$2020-02-10 04:36:42$2$太棒了！用国宝串起了黄河，用音乐讲述了文明！有太多经典点评：善战着，无赫赫之功！最后的黄河水泪目了。
13$34964209$“黄河之水天上来”国宝音乐会$很饱的贼$2021-11-15 23:47:57$0$精彩绝伦
14$34964209$“黄河之水天上来”国宝音乐会$H$2020-02-08 15:42:23$5$最精彩的就是音乐会最后那个再次采集黄河水的节目，和之前春晚那次呼应并对比。不知道是不是背景的原因，这次的河水明显的清了很多，我更相信是水质改善的原因。日常催更第三季～
15$34964209$“黄河之水天上来”国宝音乐会$闲为仙人扫落花$2021-11-28 18:29:23$0$这个也好看～～尤其是最后倒水，开二倍速，慷慨激昂哈哈哈。
16$34964209$“黄河之水天上来”国宝音乐会$未读$2020-02-07 14:46:39$0$终于专注于歌舞表演了
