$movie_id$movie_title$comment_user$comment_time$comment_vote$comment_text
0$35288735$TME Live 吴青峰「16叶」线上演唱会$莱克尔博德$2020-12-21 11:33:58$8$"我们在听吴青峰的时候，听的是什么？是丢掉脆弱的自己，站在外人面前，嬉皮笑脸的勇敢。是沉浸在热爱中，并没想过会获得多少喜欢，甚至对喜欢有本能害怕的柔软。小心翼翼保护的，是纯粹的自己。所以你去听「柔软」，听「最难的是相遇」，亦或是「蔓延」，总有种脆弱的，但是强迫症般的精益求精在操纵着，是独属于吴青峰的魅力。"
1$35288735$TME Live 吴青峰「16叶」线上演唱会$kinder23$2020-12-20 21:48:50$1$天赏的声音，看他那么自如在台上唱歌，真是赏心悦目。
2$35288735$TME Live 吴青峰「16叶」线上演唱会$Panda的影音$2020-12-20 20:20:09$4$继《五月天“突然好想见到你”线上演唱会》后，第二次观看线上演唱会直播。TME Live | 吴青峰「16叶」线上演唱会 VIP区 No.00134130 2020/12/20 08:00PM —— 惊喜：小威现身打的电动竟然是小时候不知道玩过且通关过多少次的《影子传说 / 影の伝説》；遗憾：《歌颂者》唱完后，专辑控的我还期待下册歌曲能像上册一样按曲目顺序演唱下来，结果就唱了《一点点》和《迷幻》两首而已（注意到末尾演唱会的时间是 2020.11.01，那时候下册还未完整发布）；附注： 2020-12-18 … 你好! 你所提交的吳青峰「16葉」線上演唱會豆瓣上已经存在了 … 感谢你为豆瓣添砖加瓦。… → 此前申建此条目但被豆友抢先创建成功了。 -12288
3$35288735$TME Live 吴青峰「16叶」线上演唱会$话匣子老霍$2022-12-21 15:00:36$0$听吴青峰的歌还是现场版最好。
4$35288735$TME Live 吴青峰「16叶」线上演唱会$苏烨也$2021-05-25 00:49:47$0$太短了吧！
5$35288735$TME Live 吴青峰「16叶」线上演唱会$Hello_Way$2020-12-21 17:29:46$1$昨晚打开看了，喜欢这个现场，感觉live版更好听了！记得《柔软》《歌颂者》《一点点》《太空人》《别找我麻烦》……都很棒！
6$35288735$TME Live 吴青峰「16叶」线上演唱会$sakurai summer$2021-02-28 01:34:43$0$不够看啊！！！
7$35288735$TME Live 吴青峰「16叶」线上演唱会$顾一$2021-01-08 11:30:50$1$线上live表现力都到如此难以想象现场的震撼力，把海的意象用声音展现的淋漓尽致，灯光,手写字和背景以及故事性的互配更好的将人吸收进海的漩涡，最惊艳的还是青峰的台风和声音把控力＆talking（bushi）总而言之现场真的绝！个人最爱的一场线上live
8$35288735$TME Live 吴青峰「16叶」线上演唱会$Ying.$2020-12-21 14:59:03$2$我会为你哭成无人看过的海洋。青，我爱你。
9$35288735$TME Live 吴青峰「16叶」线上演唱会$鹤梦$2020-12-23 02:40:00$3$不知道为什么直播比专辑好听
10$35288735$TME Live 吴青峰「16叶」线上演唱会$yvonne$2020-12-21 14:38:35$1$開頭的「費洛蒙小姐」依舊驚艷 接著的「最難的是相遇」差點聽哭 唱「歌頌者」時只想說你值得 「你的影子是我的海」中間屏幕海水漫上配合你的哼唱真的心空 最後的「太空人」全場大合唱也太感動了吧 talking就一如既往吳青峰式吐槽和深情💚
11$35288735$TME Live 吴青峰「16叶」线上演唱会$已销户$2020-12-20 21:59:18$1$一与一的与一呢？？？
12$35288735$TME Live 吴青峰「16叶」线上演唱会$河树獭$2021-03-06 14:19:44$1$這比專輯好聽太多了！每一首都比之前聽專輯感受要好，背景也做得好，現場幾度被感動。背對觀眾唱《歌頌者》，與熒幕上的自己與觀眾相對；翻唱《別找我麻煩》《迷幻》，特別驚喜的是翻唱/對唱許美靜的《蔓延》。路嘉欣好評。
13$35288735$TME Live 吴青峰「16叶」线上演唱会$建厚今天不开心$2021-04-17 23:50:02$0$真的看不够！他真的很会唱！好想看演唱会 好想他🥲
14$35288735$TME Live 吴青峰「16叶」线上演唱会$我情绪零碎KAI$2021-01-11 15:23:28$0$在YouTube上看完 新专好感有提升 但爱的还是不在里面的那几首
15$35288735$TME Live 吴青峰「16叶」线上演唱会$百分白兔$2020-12-20 21:26:32$2$只要去听，青峰就没有不好听的。
16$35288735$TME Live 吴青峰「16叶」线上演唱会$谧思微$2021-01-01 18:33:53$1$吴青峰的live简直比专辑还要棒！阿兹海默听到鸡皮疙瘩狂起
17$35288735$TME Live 吴青峰「16叶」线上演唱会$榅桲$2021-01-31 00:46:12$1$喜欢，想去现场听！
18$35288735$TME Live 吴青峰「16叶」线上演唱会$忍野咩咩$2020-12-21 20:29:44$1$这场的阿兹海默好好听
19$35288735$TME Live 吴青峰「16叶」线上演唱会$Annie$2020-12-21 14:41:45$2$“音乐是一场太空人的旅行，而你们是永远会承接我的那片陆地。”by吴青峰。        幸而还能看到《十六葉》分之一场，遗憾的是这还远远远远不过瘾。&lt;阿兹海默&gt;的痛彻心扉&lt;歌颂者&gt;的感动泪流&lt;我会我会&gt;的小小幸福&lt;迷幻&gt;的情不自禁……噢，五颗怎么够，我要给他亿万颗星。        什么时候才能再去台下看他在不远处肆意歌唱呀，想到就心酸～&lt;等&gt;着吧。
20$35288735$TME Live 吴青峰「16叶」线上演唱会$壁虎漫步$2020-12-20 23:18:16$0$有点感动的
21$35288735$TME Live 吴青峰「16叶」线上演唱会$Hedgehog$2020-12-24 19:56:37$1$能说啥呢 葛格就是优秀
22$35288735$TME Live 吴青峰「16叶」线上演唱会$JowenSomething$2020-12-20 22:05:07$2$「你只有誠實，才有辦法讓這些音樂源源不絕地從你心中發散出來。」
23$35288735$TME Live 吴青峰「16叶」线上演唱会$花茶_$2021-03-26 10:27:15$0$我真的太喜欢老吴的live了 好想看演唱会啊
24$35288735$TME Live 吴青峰「16叶」线上演唱会$明空不是照$2022-02-11 19:23:26$0$🤔🤔
25$35288735$TME Live 吴青峰「16叶」线上演唱会$求同存异$2021-01-30 06:28:54$0$好想去看青峰演唱会不愧是豆瓣，这都有词条
26$35288735$TME Live 吴青峰「16叶」线上演唱会$irrelevant$2021-01-02 20:07:03$0$一定要看一场livehouse
27$35288735$TME Live 吴青峰「16叶」线上演唱会$慢舞$2021-03-03 09:37:28$0$全五分，太赞了，感动，听青峰唱歌几度想哭，唱到了心里，感受你的感受，爱青峰
28$35288735$TME Live 吴青峰「16叶」线上演唱会$Contour$2021-01-04 01:14:17$0$视听盛宴
29$35288735$TME Live 吴青峰「16叶」线上演唱会$楠$2022-12-24 10:44:56$0$今天才发现吴青峰声音有点嗲嗲的。
30$35288735$TME Live 吴青峰「16叶」线上演唱会$Natacha$2021-05-01 10:08:34$0$真不错——复习和演唱会永远是绝配🐶
31$35288735$TME Live 吴青峰「16叶」线上演唱会$丁敏$2020-12-22 18:45:23$1$阿兹海默哭了
32$35288735$TME Live 吴青峰「16叶」线上演唱会$xxxxxxxx$2021-05-17 18:49:25$0$青，好想你啊
33$35288735$TME Live 吴青峰「16叶」线上演唱会$Summer Apple$2021-12-04 00:08:11$0$非常好，跪着听完的
34$35288735$TME Live 吴青峰「16叶」线上演唱会$wonderfulzhu$2021-02-12 20:14:45$0$无敌的live
35$35288735$TME Live 吴青峰「16叶」线上演唱会$吴青峰的女朋友$2020-12-24 18:53:00$1$一人血书跪求出控碟
36$35288735$TME Live 吴青峰「16叶」线上演唱会$叉烧煲仔饭$2021-05-06 14:25:48$0$終於有合適的時機看這一場，青峰始終是我心裡最美的歌者。「或許我們會再相遇，當你鼓起勇氣飛行」，我好像又能相信得更多一點了。
37$35288735$TME Live 吴青峰「16叶」线上演唱会$是小胡啊$2020-12-21 22:29:33$1$阿兹海默，海也沉默。 话说当吴青峰唱歌颂者把麦递给粉丝那刻，泪目了。
