$movie_id$movie_title$comment_user$comment_time$comment_vote$comment_text
0$10430306$梅兰芳的舞台艺术 上集$关外蛮姨$2011-09-0522:21:39$15$“看了梅先生的手，我们当今舞台上所有演员的手都要被砍掉！”这句话说的没错。
1$10430306$梅兰芳的舞台艺术 上集$mimamima$2017-05-1621:46:53$4$神。看到年轻的梅葆玖，还有参加会议的徐玉兰，不禁低呼了一声。
2$10430306$梅兰芳的舞台艺术 上集$TygerTyger$2019-10-0212:12:46$0$80年代初，跟我家老太爷去影院看的复映。如今重看，发现开头的实录段落完全记不得了。欧阳予倩、梅兰芳的口音蛮好玩，大会上报告发言，“的”字念“di”，“创造”念“闯造”，哈哈~
3$10430306$梅兰芳的舞台艺术 上集$瑞波恩$2018-09-1913:01:46$1$难得一见的艺术珍品，膜拜大师。
4$10430306$梅兰芳的舞台艺术 上集$zen$2021-09-1810:11:57$1$《断桥》和《宇宙锋》
5$10430306$梅兰芳的舞台艺术 上集$高玉宝$2022-11-0901:09:44$0$又是个重复词条，那就给个五星吧。
6$10430306$梅兰芳的舞台艺术 上集$唐北宸$2021-03-0922:12:31$0$2021-3-9@中国电影资料馆（小西天）高清修复。分为序、《断桥》和《宇宙锋》三部分。20分钟的序介绍了梅先生求学从艺的简要经历，蓄须照片一闪而过，在工厂慰问演出的场景放到现在也很有冲击力。昆区《断桥》是金山寺后的一折，梅先生看不出已过花甲之年，叉腰的小梅先生很萌，许仙惹不起青姐，说话前后用了两种腔，很是细腻。京剧《宇宙锋》录了修本、金殿2折，娇憨的梅先生真是太好看了，把骂秦二世的话借疯癫态的赵女之口当面说出，也是艺术观照现实的表现。唯一缺憾是自己预习不够，好多唱词不熟悉，更遑论唱腔了，期待下周有贵妃醉酒的下部。
7$10430306$梅兰芳的舞台艺术 上集$卡特里娜小姐$2019-03-1307:54:27$3$说实话没有字幕不知道唱啥呢,建国初期的电影镜头语言有一些尬，竟然也看到了没有拆掉的城楼城墙和骆驼，隔五六十年，隔万古千秋。
8$10430306$梅兰芳的舞台艺术 上集$枫露茶$2019-10-2022:11:40$0$珍贵资料呀。
9$10430306$梅兰芳的舞台艺术 上集$daniel李慕白$2018-02-1200:11:16$0$大师！
10$10430306$梅兰芳的舞台艺术 上集$梅龙果冻$2021-03-1810:16:10$0$美滋滋在资料馆看，等戏开演发现没·有·字·幕，大惊失色，赶紧掏出手机搜剧本ಠ_ಠ上集是《断桥》和《宇宙锋》，梅葆玖好瘦，扮小青愣愣的，《宇宙锋》嘟起嘴来装疯真是极为可爱
11$10430306$梅兰芳的舞台艺术 上集$昱宁$2023-03-3021:16:58$0$一步一段皆是戏，一颦一蹙总关情。经典永不过时。
12$10430306$梅兰芳的舞台艺术 上集$爱影$2020-03-2810:51:38$0$骓不逝兮可奈何！
13$10430306$梅兰芳的舞台艺术 上集$尾生$2018-05-3108:43:58$0$可以跳过前20分钟再看
14$10430306$梅兰芳的舞台艺术 上集$王菊笙$2015-04-0216:51:47$0$不经意间，《霸王别姬》成了我现场看过最多次的节目，而每次看，都能给我巨大的心理享受，真是非常奇妙
15$10430306$梅兰芳的舞台艺术 上集$ricecream$2021-03-2111:23:26$0$昆曲白蛇传略尴尬特别是梅葆玖的青蛇太像个小子了与之相比梅兰芳可真是天神下凡宇宙锋非常牛逼梅兰芳的唱腔太好听了神情动作也都很美真是大师国宝啊@中国电影资料馆
16$10430306$梅兰芳的舞台艺术 上集$丁满$2012-07-1922:55:40$0$这是让我喜欢上陈凯歌的重要著作
17$10430306$梅兰芳的舞台艺术 上集$下午三點$2012-09-2521:52:45$0$虽然不懂京剧，但是当看到当时已61岁高龄的梅兰芳扮起虞姬，仍然被震撼
18$10430306$梅兰芳的舞台艺术 上集$丁吃饭$2020-07-0602:43:09$0$极传神！因为在b站自己做了有字幕的视频，第一次做，技术跟生疏，看了五遍，要不是这么传神恐怕我要吐了哈哈哈
19$10430306$梅兰芳的舞台艺术 上集$Toffee$2012-04-0213:16:17$0$已有太多的赞美对于它。我就不用再锦上添花。
20$10430306$梅兰芳的舞台艺术 上集$Jessie$2020-06-1621:45:02$1$抗金兵、霸王别姬·巡营和宇宙锋三出戏。
21$10430306$梅兰芳的舞台艺术 上集$小雨哗啦啦$2021-01-0520:27:56$0$虞姬：唉，大王啊！（唱歌）汉兵已略地，四面楚歌声。君王意气尽，贱妾何聊生！（按）前一段念白里面虞姬所极力压抑的情感，在这四句唱中声泪俱下地全部发泄出来。大为触动，所谓声泪俱下，所谓历代兴亡的沧桑，所谓美，所谓情，所谓艺术，真正感受到了。
22$10430306$梅兰芳的舞台艺术 上集$九莉$2012-07-2917:55:48$0$可悲可笑可怜
23$10430306$梅兰芳的舞台艺术 上集$逍遥游$2022-10-2708:17:13$0$不明觉厉，可能不是梅先生的巅峰期，但依旧优秀。居然没有字幕，好在弹幕有替代作用
24$10430306$梅兰芳的舞台艺术 上集$西瓜大侠女$2016-06-3016:26:37$2$614在资料馆小厅看的，下雨。本来是为了学习，想看纪录片的，结果纪录片也就十几分钟，后面都是戏曲片，《断桥》和《宇宙锋》，没字幕。宇宙锋还行，断桥看惯了昆曲的，他们演的还是各种别扭。看跑了好几个观众，然后621下集就没勇气看了……
25$10430306$梅兰芳的舞台艺术 上集$自闲$2012-07-2508:43:37$0$还是看不得皮黄，太闹腾
26$10430306$梅兰芳的舞台艺术 上集$Tr_spotting$2021-11-0920:52:09$0$大师就是大师
27$10430306$梅兰芳的舞台艺术 上集$sagesam$2012-02-2722:40:29$1$那个时代的巅峰之作
28$10430306$梅兰芳的舞台艺术 上集$方多病$2014-07-0417:23:53$0$私人秘藏；人生必看经典！
29$10430306$梅兰芳的舞台艺术 上集$伟大的张伟达$2020-09-1520:30:09$0$在B站上看的版本还挺清晰，这部片子要配上徐城北的《梅兰芳百年祭奠》和梅兰芳的自传《舞台艺术四十年：梅兰芳回忆录》以及喜马拉雅上王佩瑜的《京剧坤生王佩瑜：京剧其实可以很好玩》才美味，这只是第一遍，相信未来的岁月里，我还会因为看了某本书，受到了某种触动等等原因再来重新看此片的，它值得从多个维度解读，值得收藏。
30$10430306$梅兰芳的舞台艺术 上集$伍岳凌$2019-02-2600:15:42$0$《断桥（昆）》《宇宙锋》
31$10430306$梅兰芳的舞台艺术 上集$泱泱$2017-03-0918:08:27$0$霸王别姬真是绝了，那一声声大王，腔调真是把凄婉发挥到极致！
32$10430306$梅兰芳的舞台艺术 上集$东土大唐$2018-01-1523:18:11$0$梅师60岁时的演出仍如此动人，让人领略东方女性之美。一出昆剧，一出京戏，可谓文武昆乱不挡。水袖还得看程祖，所以程祖的双手一般都是藏在水袖之中。而梅师的双手不时露出，让人欣赏其美，被誉为“世界上最美的一双手”。
33$10430306$梅兰芳的舞台艺术 上集$郑$2021-11-1020:23:48$0$娇姿如弱柳，媚眼如春雨
34$10430306$梅兰芳的舞台艺术 上集$舒克$2021-07-1723:42:28$0$第一部彩色人物专题纪录片，用大量珍贵镜头记录了京剧表演大师梅兰芳先生的艺术成就与生活场景……本片中选取梅派经典剧目《断桥》和《宇宙锋》二折。前者为昆曲，乃属《白蛇传》中最精彩片段。梅大师与其子梅葆玖合作白娘子和小青。那时候梅葆玖真是年轻，镜头上一看就是“小杆子”的样子。显然，那年代化妆术还不算高明；后者则是梅派京剧中最广受赞誉的作品。这是其中《金殿装疯》一段，梅大师尽管已经年过六十，但扮演一个在宫廷上装疯卖傻，借机痛斥皇帝昏庸的少妇形象，依旧十分鲜活！
35$10430306$梅兰芳的舞台艺术 上集$空空$2021-12-2000:56:09$0$高清修复1955年《梅兰芳舞台艺术》完整版.mp4942M
36$10430306$梅兰芳的舞台艺术 上集$空中鸟?$2019-04-2112:43:31$0$先为中国传统文化点个赞，然后说一下，王佩瑜老师一直想拯救的中国戏剧，会死在戏剧本身的规矩和模式上面，起于时代消于时代，很难再辉煌了
37$10430306$梅兰芳的舞台艺术 上集$MIss_三三三$2020-03-0716:55:31$0$2020.02.07📍B站本来以为是一部正经纪录片，结果只有前十分钟做了简单的政治铺垫，后面是昆曲《白蛇传》和京剧《宇宙锋》实录…好吧，tips一下：《白蛇传》正经是对比出了父子之间的差距，葆玖大师是大器晚成的典范；《宇宙锋》是梅兰芳大师一生中投入心血最多的一出戏，但由于故事情节限制，观众买账也是少，前一阵看了李胜素的版本，很是精彩。《舞台生活四十年》中，他说“我这四十年来，哪一天不是想在艺术上有所改进呢？而且又何尝不希望一下子就能改得尽善尽美呢？可是事实与经验告诉了我，这里面是天然存在着它的步骤的。”大师把他的艺术经验毫无保留地留给了后人，并且，后浪推前浪的结果是让人欣喜的。
38$10430306$梅兰芳的舞台艺术 上集$momo$2023-04-0712:49:10$0$梅兰芳大师
39$10430306$梅兰芳的舞台艺术 上集$stoa！$2012-12-2517:41:43$0$有没有高清的说~
40$10430306$梅兰芳的舞台艺术 上集$八月$2019-03-1310:12:01$0$前面报幕的字体真是好看，之后大部分就都是戏了，看“宇宙锋”时候睡着了……@电影资料馆
41$10430306$梅兰芳的舞台艺术 上集$百变女王$2021-11-1017:19:43$0$不看唱词应该还是会睡着的😂有唱词看《宇宙锋》的时候，觉得梅老很可爱
42$10430306$梅兰芳的舞台艺术 上集$七紫三羊不应$2017-05-1623:53:40$0$170516谁也拦不住我大屏幕舔飞飞
43$10430306$梅兰芳的舞台艺术 上集$刻舟求剑$2012-02-2220:41:49$1$汉兵已略地四面楚歌声啊啊啊啊啊
44$10430306$梅兰芳的舞台艺术 上集$玻璃灯和绿镜子$2021-08-1723:04:05$0$就真是舞台艺术纪录片，这镜头分切还没现在的CCTV11做得好。倒是开头二十分钟对当时北京的政治文化生活的记录很宝贵，那时候戏曲戏剧工作者的发言真是红专，十七年都这样了。
45$10430306$梅兰芳的舞台艺术 上集$小芒果$2012-03-2409:13:03$1$张国荣肯定就是程蝶衣，肯定就是！！！
46$10430306$梅兰芳的舞台艺术 上集$为棉$2020-11-0400:30:25$1$B+.抢救性保存。
47$10430306$梅兰芳的舞台艺术 上集$lalalalid$2021-03-0716:57:40$0$建议现在的zf重新看看当初拍的这部纪录片，好好反思一下现在怎么对待艺术的。
48$10430306$梅兰芳的舞台艺术 上集$自习$2023-04-0420:40:42$0$纪录片+断桥+宇宙锋，没有字幕，劝退
49$10430306$梅兰芳的舞台艺术 上集$紙剪青春$2020-03-0611:51:50$0$2020.3.5B站上部---断桥+宇宙峰1.有点欣赏不来断桥，总感觉昆曲、京剧里的小生莫名猥琐且渣，自古男儿多薄幸，百无一用是书生，当文人讽刺剧看吧2.宇宙峰是梅先生最重视的剧作（受六爷启发）觉得赵艳荣装疯之后尤其美
50$10430306$梅兰芳的舞台艺术 上集$NL.capj$2018-09-1121:43:04$1$没有字幕对于零基础观众真的太不友好了，但是仅仅看表演就很精彩了。
51$10430306$梅兰芳的舞台艺术 上集$Peter$2017-05-1620:32:20$0$到底算纪录片还是戏曲电影？虽然外行也能看的出梅先生的好，看个热闹。
52$10430306$梅兰芳的舞台艺术 上集$Ingmar&amp;Akira$2022-06-3008:12:10$0$好珍贵的影像资料61岁的梅兰芳唱腔还是那么优美《断桥》《宇宙锋》梅大师还会昆曲序中的台下看到徐玉兰我还找王文娟呢！好像看到新凤霞，吴祖光是她老公都是大师啊！都留下经久不衰的作品
53$10430306$梅兰芳的舞台艺术 上集$ajiang8081$2021-06-2001:12:11$0$看过留痕
54$10430306$梅兰芳的舞台艺术 上集$知不到$2022-11-0820:33:07$0$刘连荣扮的霸王感觉气场不够啊，应该说是梅大爷气场太强，但是毕竟年纪太大，舞剑绵绵的，早年的舞剑片段看着还是非常凌厉的。
55$10430306$梅兰芳的舞台艺术 上集$古侠猴$2021-03-0921:24:28$0$7
56$10430306$梅兰芳的舞台艺术 上集$肛裂女子$2021-03-0920:49:31$0$电影资料馆。没字幕真的太惨了，大部分听不懂在唱什么。镜头语言不错，不愧是苏联专家把刀。《宇宙锋》接受度比《白蛇传》要高，口语化台词多装疯卖傻搞笑度也高。门槛还是略高，适合对京剧有一定了解的观众看。
57$10430306$梅兰芳的舞台艺术 上集$大豐起兮$2019-03-1307:23:13$0$没字幕，看的太痛苦了
58$10430306$梅兰芳的舞台艺术 上集$知宜$2017-05-1620:31:42$0$怪自己戏曲修养太差，没有字幕实在听不懂……《断桥》里的许仙不像文弱郎中，倒有几分奸佞相，也是不太懂。做了一回只凑半场热闹的外行。
59$10430306$梅兰芳的舞台艺术 上集$酒井小莉$2022-05-0516:11:21$0$没字幕差评
60$10430306$梅兰芳的舞台艺术 上集$豆豉不抗风$2023-04-0419:45:05$0$没字幕，听不懂京剧唱词、台词。听懂一句：青青，都是法海的不是，你饶恕他（许仙）吧。
61$10430306$梅兰芳的舞台艺术 上集$雪斋随笔$2021-02-0322:19:23$0$大师梅兰芳的舞台艺术，有重要的史料价值
62$10430306$梅兰芳的舞台艺术 上集$无忧的热雨$2020-03-2822:25:22$0$前面意外地有纪录片，其红光满面的新气象与后面的戏配合起来，再想想后来的事真是绝妙讽刺，不过重要的还是戏曲记录。《断桥》欣赏不来，完全找不到点，除了最后的步态与神情让人眼前一亮，另外和儿子同台儿子彼时还是青涩有余。《宇宙锋》就极妙了，含蓄温婉的疯癫，可爱在其中，刚烈在其中，一眼一指一声直令人叫好不迭。
63$10430306$梅兰芳的舞台艺术 上集$林译珑$2021-06-3021:50:30$2$一抬眼的情态，一推手的力道，每一声腔都表演得恰到好处，这种精准跟早期默片时代演员（比如卓别林）相似，但电影可以剪辑，舞台剧不能，尽管对戏曲艺术还谈不上喜欢，也惊叹于梅兰芳大师深厚的功底。更重要的如影片开始所介绍的那样，他的勤苦练习和爱国主义精神。节选的两个片段《断桥》《宇宙锋》代表弱者的悲愤以及对强权的反抗，正是当时代最振奋的鼓舞和最主流的呐喊（修复画质感人，真的感人）
64$10430306$梅兰芳的舞台艺术 上集$婉晴$2011-12-2622:23:15$0$极品电影中国人中国艺术中国
65$10430306$梅兰芳的舞台艺术 上集$爬春雨$2018-10-2421:22:57$0$霸王别姬
66$10430306$梅兰芳的舞台艺术 上集$宫若梅$2021-03-1010:26:36$0$开头二十分钟，想起张充和对梅程两人的评价，梅先生是中正平和的聪明人。
67$10430306$梅兰芳的舞台艺术 上集$KA$2012-12-1621:38:38$0$虽然有哥哥但还是不及原著
68$10430306$梅兰芳的舞台艺术 上集$hihirico$2021-03-1000:03:33$0$啊，断桥真好听！！！（虽然我对这个故事无感
69$10430306$梅兰芳的舞台艺术 上集$醉驾男主角$2020-02-2711:10:58$0$大师，膜拜
70$10430306$梅兰芳的舞台艺术 上集$Mewyy$2021-05-0223:21:48$0$纪录，平面布景昆曲断桥京剧宇宙锋梅先生艺术永存
71$10430306$梅兰芳的舞台艺术 上集$imcap$2012-04-2923:55:05$0$无语
72$10430306$梅兰芳的舞台艺术 上集$Iris$2018-02-0819:37:26$0$纪录片里第一次听到梅老板说话，说的竟然不是京片子！难道我对北京话有什么误会www纪录片拍到了各种珍贵片段，断桥和宇宙锋娇媚可爱，甜到傻笑，对于这一版考试周循环的宇宙锋还是很有感情滴，不过就画面来说反二黄一段还是更喜欢春节晚会版给的镜头
73$10430306$梅兰芳的舞台艺术 上集$孤筏重洋$2021-06-0617:59:00$0$虽然是彩色的，但效果很一般，梅兰芳老态毕现，让人很失望，且没有字幕，根本不知道上面的宾白和唱词，看得自然无比痛苦。第一出戏《断桥》里，他儿子梅玖葆演的青蛇，表情木讷，很煞风景。
74$10430306$梅兰芳的舞台艺术 上集$林家铺子$2020-01-0907:48:06$0$看得∨CD，梅大师的代表作品的完美展现，成片六年后，大师辞世。
75$10430306$梅兰芳的舞台艺术 上集$程方圆$2020-01-0522:22:12$0$吴祖光真神人
76$10430306$梅兰芳的舞台艺术 上集$Iven$2011-09-1213:08:07$0$无话可说
77$10430306$梅兰芳的舞台艺术 上集$Vega$2022-03-2923:09:40$0$不看台本基本上听不懂，尤其是断桥，对于没有戏剧基础的我来看这部电影，纯粹是当艺术的欣赏了。但是有一说一，梅兰芳老师的眼神真的太到位了。
78$10430306$梅兰芳的舞台艺术 上集$忽大猫$2022-12-2404:24:34$0$2019/03/12@中国电影资料馆，小西天，北京
79$10430306$梅兰芳的舞台艺术 上集$喜欢温暖$2012-10-2808:12:02$0$京剧啊。。。没有看完，晚年的梅兰芳先生跟我的期望有距离，遂没看完。
