$movie_id$movie_title$comment_user$comment_time$comment_vote$comment_text
0$10430307$梅兰芳的舞台艺术 下集$CaryC$2012-08-0817:50:54$1$珏美
1$10430307$梅兰芳的舞台艺术 下集$zen$2021-09-1908:08:37$0$霸王别姬贵妃醉酒
2$10430307$梅兰芳的舞台艺术 下集$宿命论$2012-08-2022:47:13$0$為啥體梅蘭芳和俞振飛搭戲就噶有喜感呢？
3$10430307$梅兰芳的舞台艺术 下集$TygerTyger$2019-10-0212:13:27$0$俺第一次见识萧长华、姜妙香的风采，就是在这里头的《贵妃醉酒》一折~
4$10430307$梅兰芳的舞台艺术 下集$NYMPHAL$2012-10-1821:21:17$0$男人献媚的极致就是自己都认为自己是女人了
5$10430307$梅兰芳的舞台艺术 下集$九命猫@victor-eyes$2014-10-0620:09:10$0$这个是《贵妃醉酒》。
6$10430307$梅兰芳的舞台艺术 下集$瑞波恩$2018-09-1913:00:06$1$梅老师人很儒雅，演起虞姬和玉环却比女人还女人，举手投足顾盼神飞。
7$10430307$梅兰芳的舞台艺术 下集$不徐$2023-04-1120:16:46$0$资料馆的戏曲电影能不能来字幕啊啊
8$10430307$梅兰芳的舞台艺术 下集$修齐$2013-03-1108:45:56$0$3.10看了原创音乐剧《断桥》，借此宝地以致记录。
9$10430307$梅兰芳的舞台艺术 下集$投射性認同$2011-12-0813:21:20$0$海岛冰轮。
10$10430307$梅兰芳的舞台艺术 下集$尾生$2018-05-3108:48:48$0$霸王别姬
11$10430307$梅兰芳的舞台艺术 下集$舒行$2010-11-1616:29:29$2$三个男人一场戏。
12$10430307$梅兰芳的舞台艺术 下集$一日看尽长安花$2013-01-1816:17:49$0$呀呀啐~
13$10430307$梅兰芳的舞台艺术 下集$我们在一九八四$2020-04-3015:52:16$0$梅兰芳真牛啊！爱上京剧爱上昆曲！
14$10430307$梅兰芳的舞台艺术 下集$芥末蘸酱$2012-11-0322:55:27$0$会唱.
15$10430307$梅兰芳的舞台艺术 下集$高玉宝$2022-11-0901:10:20$0$重复词条，那就重复给五星吧。
16$10430307$梅兰芳的舞台艺术 下集$ricecream$2021-03-2111:27:45$0$梅兰芳真是人间极品啊个人相比贵妃醉酒更喜欢霸王别姬唱词优美唱腔甜美富于女性魅力@中国电影资料馆
17$10430307$梅兰芳的舞台艺术 下集$关外蛮姨$2011-09-1120:10:25$0$看着像喜剧。。。不过梅老板这一推一拉着实经典。
18$10430307$梅兰芳的舞台艺术 下集$daniel李慕白$2018-02-1200:11:30$0$大师！
19$10430307$梅兰芳的舞台艺术 下集$小杨树$2017-08-0717:33:22$0$为国粹点赞。
20$10430307$梅兰芳的舞台艺术 下集$梅龙果冻$2021-03-1810:23:49$1$20210317资料馆《霸王别姬》和《贵妃醉酒》虞姬的行头真好看啊！暗自抹泪的几下十分动人。没怎么看过京剧，剑舞使人很困惑，京剧的舞蹈感觉就是“比划比划”，虽然其实是很难的，也很漂亮，但看惯别的舞再看总好像没太使劲儿，是一种很不同的审美。《贵妃醉酒》原本是粉戏吧？？贵妃最后的要求改成“要喝酒”和“要皇帝”，也很好，很不错，但还是想看粉戏版_(:_」∠)_另外，这个电影里四部戏的布景都很成功，不简陋呆板，不矫饰堆砌，在虚实之间，《宇宙锋》的赵高府和金殿沉郁、空旷、威严，《霸王别姬》镜头一转竟有透视的小小军帐延伸到远处，好适合古装大片借鉴
21$10430307$梅兰芳的舞台艺术 下集$王菊笙$2015-04-0216:45:16$0$老梅的，不比不知道，一比确实好
22$10430307$梅兰芳的舞台艺术 下集$杏花杨柳飘$2016-07-2510:00:27$0$梅兰芳大师
23$10430307$梅兰芳的舞台艺术 下集$海月凯琪$2011-05-1820:38:05$0$经典！
24$10430307$梅兰芳的舞台艺术 下集$【长啸不止】$2016-06-2121:46:42$0$霸王别姬的两场，和贵妃醉酒。前者颇让我感动，后者则几乎睡到底，可能是累了。电影资料馆，2016.6.21
25$10430307$梅兰芳的舞台艺术 下集$精红$2020-01-2318:12:32$1$比《上》值得。
26$10430307$梅兰芳的舞台艺术 下集$玻璃灯和绿镜子$2021-08-2221:33:52$0$与上集相反，拍摄《霸王别姬》和《贵妃醉酒》里端庄大气、雍容华贵的梅兰芳已经不需要任何镜头语言的加持。
27$10430307$梅兰芳的舞台艺术 下集$明暗双打$2012-04-1102:00:34$1$敢情这出里许仙是丑角么。梅大师的白娘子扮相肥腴性格软弱，见不着刚毅柔美，梅小师更像个木桩。此外诸人除了眸子仿佛都戴着面具做戏～果然还是俺不懂戏么～
28$10430307$梅兰芳的舞台艺术 下集$空空$2021-12-2000:59:18$0$高清修复1956年《梅兰芳舞台艺术》下篇.mkv3.54G
29$10430307$梅兰芳的舞台艺术 下集$丁吃饭$2020-07-0701:56:42$0$贵妃醉酒简直神了，雍容华贵又可爱，真的把我惊艳到了。上下集放在一起四个作品，各有各的特色，不愧是梅先生
30$10430307$梅兰芳的舞台艺术 下集$舒克$2021-07-2211:45:09$0$教科书级别的戏剧经典，大师梅兰芳的演绎，同样为大师的吴祖光先生用电影胶片，影像形式，将梅先生《霸王别姬》《贵妃醉酒》两部经典记录下来，供后人效仿学习
31$10430307$梅兰芳的舞台艺术 下集$狐肆我$2011-12-0622:41:11$0$看过第二遍，还是更为大师的艺术魅力倾倒了。
32$10430307$梅兰芳的舞台艺术 下集$大豐起兮$2019-03-2007:15:54$1$方寸之间，淋漓尽致，风华绝代，仪态万方
33$10430307$梅兰芳的舞台艺术 下集$泱泱$2017-03-0918:14:14$0$这出贵妃醉酒，真是美极了，如画如烟。
34$10430307$梅兰芳的舞台艺术 下集$伍岳凌$2019-02-2600:15:01$0$《霸王别姬》《贵妃醉酒》
35$10430307$梅兰芳的舞台艺术 下集$MIss_三三三$2020-03-0717:11:53$0$2020.03.07📍B站《霸王别姬》和《贵妃醉酒》的京剧实录。题外话：梅兰芳先生一生钻研旦角，台上走得进去，台下走得出来，这是最让我感叹的地方。有些反串演员，走进太深，走火入魔，也是可叹的。
36$10430307$梅兰芳的舞台艺术 下集$郑$2021-11-1621:19:43$0$贵妃醉酒真的难演啊！
