$movie_id$movie_title$comment_user$comment_time$comment_vote$comment_text
0$35044551$TME live 刘若英“陪你”线上演唱会$👊阿童木🪄$2020-04-3019:07:43$1$机会都是给有准备的人的：陪伴与温暖，1·5亿让热度飙升，不仅是宅家憋到爆，也是演出质量不错，更为全球巡演做了好的铺垫
1$35044551$TME live 刘若英“陪你”线上演唱会$蒜|BOYA✎$2020-04-2820:10:05$6$循环了好几遍，奶茶的声音特别亲切，就像邻居的大姐姐在家里直播，陪你说说话，谈谈心事，唱朋友的歌，给儿子讲故事，超温暖。好几首一响起，眼眶就湿了，她的歌是青春回忆，是我们爱情的象征，是陪伴我们一起长大到变老，今天又是特殊时期的相互守望。在小剧院里，看她轻盈的步伐，俏皮的表情，像个孩子一样，最后感谢所有幕后工作人员，把这份温暖传递到每个人身上，这种感动和难忘是最大的力量
2$35044551$TME live 刘若英“陪你”线上演唱会$不良生$2020-04-2820:49:23$9$人生就像越过一座座山丘。在越过了青春年代先后迷恋的王菲、莫文蔚、孙燕姿、蔡健雅们之后，如今更爱这样叙述者语气的女歌手，像万芳、黄韵玲、刘若英。似老友，与晚风。
3$35044551$TME live 刘若英“陪你”线上演唱会$灰色堡垒$2020-04-3015:41:11$11$刘若英实在是太适合开线上演唱会了，看出了一种老朋友闲聊的感觉。她唱歌的时候好可爱，忘词也很可爱。有些东西就是超越技术和好坏的，就比如跟着喜欢的人一起变老，被音乐治愈，眼里带着泪，然后努力拥抱温情和美好。
4$35044551$TME live 刘若英“陪你”线上演唱会$Mr.Infamous$2020-04-2612:48:27$3$头一次看奶茶的现场，虽然是线上，情绪还是可以比歌声更丝滑明丽。只唱了两首自己的歌，《成全》和《后来》，但翻唱别人的音乐，还是她自己晴暖淡苦的味道。很喜欢，听她唠叨也愉悦。音乐会在内湾大戏院举办，老去的时光灰尘一样飘舞，昔日繁华都沾满了。墙上很多很多海报，同是电影人的刘若英说起自己光影里的青春，参演的《美丽在唱歌》（1997）、《征婚启事》（1998）、《天下无贼》（2004）、《生日快乐》（2007）、《全城热恋》（2010）、《全球热恋》（2011）……都在。20200417
5$35044551$TME live 刘若英“陪你”线上演唱会$出木彬彬$2020-04-2700:25:59$6$她从来不是靠唱功取胜的歌手，有走音有忘词，但深情和让人共鸣是才她打动人的特质。这是真正有温度的线上live而不是为了打歌而唱到索然无味。几乎也没有演唱会一路展示歌手的选曲品味一路唱下来一次听到黄韵玲魏如萱李剑青那我懂你意思了真的好过瘾PS:居然通过这场开始慢慢get到白安果然唱商真的很重要
6$35044551$TME live 刘若英“陪你”线上演唱会$kakakarl$2020-04-3018:59:49$10$奶茶真的太可爱了，有哽咽，有忘词，还有被摄像机挡住看不见题词器。回答观众评论能不能点歌说要看版权贵不贵，为儿子立马唱没有版权的五月天～《后来》有一半交给观众唱，最后一曲在前台后台环绕给每一个工作人员露脸机会～2020年看livehouse，演唱会的新方式，家里用投影看临场感更强一些。
7$35044551$TME live 刘若英“陪你”线上演唱会$浅。$2020-05-1715:40:43$8$跑调很多次，还有忘词，可是谁在乎呢。在这样的特殊时期，听一听这些温暖的歌，就真的像在喝一杯热乎乎的奶茶，顺便想一想年少时候的心情，好舒适。ps：歌单好评！
8$35044551$TME live 刘若英“陪你”线上演唱会$小年左$2020-04-2616:10:16$2$谁能想到啊，有生之年这样看演唱会
9$35044551$TME live 刘若英“陪你”线上演唱会$西决$2020-07-1409:20:57$1$刘若英真可爱，没有观众还是张开双臂带着屏幕前的歌迷唱成全那段太可爱了，一起唱成全的兰兰也可爱，喜欢这个世界每一个可爱的人！
10$35044551$TME live 刘若英“陪你”线上演唱会$莱克尔博德$2020-04-2613:52:17$1$「我敢」世界巡回演唱会听了好多遍，这次的线上也可以循环起来了。
11$35044551$TME live 刘若英“陪你”线上演唱会$黑桃皇后$2020-04-2510:54:19$6$没赶上直播，当天晚上知道的时候已经结束了，遗憾好几天。昨天复播了，一个人，一杯酒，对着手机又哼又笑。青春年少听奶茶，只觉得直白又朗朗上口。如今人到中年，听出更多感悟，回味甘甜。谢谢奶茶，在这特殊时候有“陪你”陪我。
12$35044551$TME live 刘若英“陪你”线上演唱会$空山$2020-04-2708:39:24$6$哪能想到她五十了呢～
13$35044551$TME live 刘若英“陪你”线上演唱会$斯琰🌈🍭$2020-04-2623:40:35$1$表现50分，选歌100分，意义120分。从《这个世界》到《快乐天堂》，那些情感的流露与祝福的传达，超越了常规意义上优良好坏的评价，打动人心，也让人倍觉安慰。冥冥之中，她也变成了她的师父陈昇，已不去在意音准与“好听”，就靠着一腔深情歌唱与共振。
14$35044551$TME live 刘若英“陪你”线上演唱会$Яανeη$2020-07-1309:06:03$0$隔空让观众合唱后来还说不行没听到重来一定要大声~
15$35044551$TME live 刘若英“陪你”线上演唱会$半掩门儿的~$2020-04-2700:34:36$4$感谢她抚慰人心，告解那些人生没有那么难。
16$35044551$TME live 刘若英“陪你”线上演唱会$Floria$2020-06-0114:40:38$0$这一天，一边科研，一边音乐。
17$35044551$TME live 刘若英“陪你”线上演唱会$Ted$2020-04-2611:39:07$5$姜还是老的辣。刘若英给后代文青们上了一课，怎么样才能叫做温暖、有意思，而不是干巴巴搞什么新歌首唱会🙄不过刘若英真是黄袍加身呢，那么多滚石伙伴的加持，音乐想做的没温度，没人文精神都难！
18$35044551$TME live 刘若英“陪你”线上演唱会$Foley$2020-05-0513:10:40$0$后来我总算学会了如何去爱。
19$35044551$TME live 刘若英“陪你”线上演唱会$longer$2020-05-1003:29:53$1$很棒很有诚意的演出！成全和后来完整了整个表演，好想安哥啊！
20$35044551$TME live 刘若英“陪你”线上演唱会$张兮兮$2020-04-2611:22:02$1$真的就像是一杯奶茶，整个人都暖和起来了
21$35044551$TME live 刘若英“陪你”线上演唱会$没有办法的事$2020-04-2722:14:00$0$奶茶的唱功可能不够优秀，但她的歌声如此温暖，恰好陪伴身旁。这一期的选曲真的加分太多了
22$35044551$TME live 刘若英“陪你”线上演唱会$Marvin$2020-04-3023:41:42$0$一边讲故事一边唱，很温暖的演唱会。
23$35044551$TME live 刘若英“陪你”线上演唱会$廢匪肥·老🐰$2020-04-3013:33:03$1$用她並不完美的真實的一面（走音、忘詞、NG、卡殼、尬聊、爆短）呈現目前（就像一個人在家打開K歌軟件），用極其用心的選歌編織起一張人情和回憶的巨網，從《這個世界》到《快樂天堂》，一首首他人作品被賦予她的解讀和溫度，真是禁閉很久才能喝上的🥤，人文派文青典範。我們只可沮喪、不可絕望。Guitar屠衡竟然是屠穎的👦❓
24$35044551$TME live 刘若英“陪你”线上演唱会$宇宙辉$2020-04-2616:02:43$1$想起在微信群里安利奶茶的线上演唱会，闺蜜说“奶茶是谁？”，真是有趣啊。
25$35044551$TME live 刘若英“陪你”线上演唱会$宰鱼$2022-05-2800:07:40$1$看了这么多场线上演出，每次都忍不住提一句刘若英，觉得刘姐真的是TOP。这场2020年的线上演唱会，后者没人比她更有诚意，更会选歌，甚至连场地的选择也都用了心。那次我跟L在线上一起看，甚至有了和她一起坐在现场边看演出边聊天的感觉。听歌也听出了眼泪，刘姐依旧爱讲话，可她讲的话又偏偏很动听。后来还出了录音专辑，新歌也好、翻唱也好，每首都让我满分喜欢。这就是我看过的最好的一次线上演唱会，最好的，没有之一哦！
26$35044551$TME live 刘若英“陪你”线上演唱会$1874$2020-05-0109:07:03$3$听到了ShallWeTalk和滚石三十主题曲快乐天堂，今晚就赚到了！选在电影院开场，墙上还挂着美丽在唱歌和生日快乐的海报，隔着云端把话筒投给我们，一起高歌“我对你付出的青春这么多年”和“后来我总算学会了如何去爱！”最后一首快乐天堂，把话筒递给每一位工作人员，和他们一起大合唱，传递出的是温柔而有力的能量。她真的还是当年青春的模样，不愧是我的偶像哈哈！滚石出生的歌手有种正统风，听着她们诚恳的唱腔，总会获得满足和幸福感。很棒的线上直播演唱会，她不仅仅只会唱后来。
27$35044551$TME live 刘若英“陪你”线上演唱会$低****口$2020-04-2802:54:40$0$最用心的一个
28$35044551$TME live 刘若英“陪你”线上演唱会$ShowingV1.4.1$2020-04-2812:20:13$0$第一次线上演唱会，还是刘若英
29$35044551$TME live 刘若英“陪你”线上演唱会$下午三點$2020-07-0814:01:45$0$好暖！虽然唱功不是最好，虽然长相不是最美，但是安安静静的坐下唱歌，真的，好暖。
30$35044551$TME live 刘若英“陪你”线上演唱会$展不开$2020-04-2617:44:47$1$能云看有质量的live真是太好了。
31$35044551$TME live 刘若英“陪你”线上演唱会$kt$2020-06-0302:12:35$0$人生没有这么难
32$35044551$TME live 刘若英“陪你”线上演唱会$只为你而来$2020-06-1022:21:15$0$后来2020年了线上都开演唱会了有些人错过就不在只有回忆了
33$35044551$TME live 刘若英“陪你”线上演唱会$鸿禧$2020-04-2823:19:30$0$和羊远程一起听的，纪念
34$35044551$TME live 刘若英“陪你”线上演唱会$小朱吃的饱饱$2021-02-1310:24:49$0$唱错了叫停整个band说重来就很不演唱会
35$35044551$TME live 刘若英“陪你”线上演唱会$GeeMusou$2020-05-0100:25:57$0$免费唱给你听你害想咋的
36$35044551$TME live 刘若英“陪你”线上演唱会$一只狼在放哨$2020-05-0513:07:43$0$陪我再过二十年
37$35044551$TME live 刘若英“陪你”线上演唱会$kinder23$2020-04-2710:59:50$0$听到《后来》还要隔空大合唱时，还是很感动的。
38$35044551$TME live 刘若英“陪你”线上演唱会$可不可以爱$2020-09-1001:48:49$0$妈妈我好想念你的温柔啊我也想让我爱的人幸福啊我看见孤身在寒风中不低头的枝枒仿佛听见你说人生没有这么难你无需去猜未来的答案
39$35044551$TME live 刘若英“陪你”线上演唱会$Fornever$2020-04-2704:50:44$1$好棒。作为一个贪心的观众，希望她可以换个身份（比如刘若男？）再来一场轻快的。
40$35044551$TME live 刘若英“陪你”线上演唱会$ECHO$2020-12-2500:43:15$0$歌声里泛起的回忆，点点滴滴，被她感动到泪流。
41$35044551$TME live 刘若英“陪你”线上演唱会$lushrene$2020-05-0418:29:08$0$振奋了半个月的精神食粮，好评好评好评！
42$35044551$TME live 刘若英“陪你”线上演唱会$葡葡葡提子$2020-06-2413:13:03$0$vlog第一人还自嘲是原始人。白衬衫一穿，二十年也没差。你是最奶的！
43$35044551$TME live 刘若英“陪你”线上演唱会$1806$2020-04-2700:28:01$2$她是太多人的青春了，所以纵使现在关于她过于文艺过于作的风评不断，但以她现在的年纪和经历，仍然表现出一种看似做作的真实，大大方方拥抱自己的每一面，其实是很难得的事，毕竟所谓理性的“真实”面具戴多了，长久之后就真的看不到自己的滤镜了。Talking中看似有小娇气的瞬间，都是她对成人世界的无声防御，这就够了
44$35044551$TME live 刘若英“陪你”线上演唱会$falldown$2022-12-0511:56:22$0$后来，我总算学会了如何去爱，可惜你，消失在人海，后来，终于学会了等待
45$35044551$TME live 刘若英“陪你”线上演唱会$籣$2020-05-0910:31:37$0$在这种特殊时期用直播的形式开个人演唱会精心的选址选歌随性的表达蛮感人的
46$35044551$TME live 刘若英“陪你”线上演唱会$王阿胖™$2020-05-1119:04:43$1$对你付出的青春这么多年
47$35044551$TME live 刘若英“陪你”线上演唱会$Ulliel$2020-04-2821:23:28$1$我总是感动于温柔。大概知道没有一份专属的爱，所以对这种普世的温柔就有依赖般的好感。奶茶真好啊，她真温柔。你也很好啊，你也温柔。
48$35044551$TME live 刘若英“陪你”线上演唱会$Momolog$2020-05-0501:27:46$0$很喜欢。
49$35044551$TME live 刘若英“陪你”线上演唱会$魚小樂$2020-07-1309:19:28$0$诚意满满，只是前面采访有些尴尬冗长
50$35044551$TME live 刘若英“陪你”线上演唱会$十五$2020-05-3123:08:48$0$虽然没唱几首自己的歌，但这样的线上演唱会才更能带给大家温暖，明天专辑就要到了。开心！
51$35044551$TME live 刘若英“陪你”线上演唱会$zvjbxbm$2020-05-1622:42:17$0$谢谢你给的温暖，好像有些小情绪被你用歌声表达出来了，自己就没那么沉溺了。
52$35044551$TME live 刘若英“陪你”线上演唱会$Leo🌊$2020-07-1111:37:53$0$听奶茶唱歌，就像是娓娓道来的故事，亲和温暖。
53$35044551$TME live 刘若英“陪你”线上演唱会$是菜菜啊$2020-05-1520:46:56$0$永远的刘若英，还是那么爱她！
54$35044551$TME live 刘若英“陪你”线上演唱会$斯卡哈的卡$2020-07-1212:04:40$0$真乃一场很文艺的演出，从静静的歌唱到温软的声音！以及有种居家感。
55$35044551$TME live 刘若英“陪你”线上演唱会$jennie.H$2020-05-2916:27:55$0$后来，我依然在听后来
56$35044551$TME live 刘若英“陪你”线上演唱会$_somerset$2020-05-0201:38:01$0$坚定又温柔
57$35044551$TME live 刘若英“陪你”线上演唱会$廢話打字員$2020-04-2619:41:28$1$喜歡看她緊張地採訪幕後工作人員，喜歡看她緊張地忘記了歌詞，喜歡看她控制不了洶湧的情緒要求再唱一次，喜歡看她神經刀似得播放劍青的語音和唱歌給兒子聽。一路陪伴我們的不是唱功無敵的劉若英，而是將濃烈情緒放在歌裡的奶茶。
58$35044551$TME live 刘若英“陪你”线上演唱会$1997$2022-12-1123:43:24$0$谢谢奶茶
59$35044551$TME live 刘若英“陪你”线上演唱会$任小只$2023-04-1723:24:52$0$標錯了哈哈，三年記。永遠喜歡這樣可愛的劉奶茶，真用心啊，場地，選歌，念白，真是一場特別的演唱會呢。
60$35044551$TME live 刘若英“陪你”线上演唱会$千寻$2020-06-1603:25:39$0$开篇的《这个世界》选曲太棒了，听到《爱的代价》瞬间泪目。
61$35044551$TME live 刘若英“陪你”线上演唱会$废话大王-$2020-05-2603:38:38$0$现在版权意识很重不敢随便唱歌好悲哀，唉
62$35044551$TME live 刘若英“陪你”线上演唱会$μлêαSу$2020-07-1121:38:18$0$奶茶依然那么治愈那么温暖！
63$35044551$TME live 刘若英“陪你”线上演唱会$Irene$2020-06-0219:46:41$0$这才是诚意十足无比动人
64$35044551$TME live 刘若英“陪你”线上演唱会$泡泡$2020-04-2823:10:12$0$T.T
65$35044551$TME live 刘若英“陪你”线上演唱会$龙舌头🌈$2020-06-0422:57:19$0$选歌都太文艺了，有的甚至没听过，不过总体还是很棒的，亲近的听刘若英唠唠嗑也是一种享受。
66$35044551$TME live 刘若英“陪你”线上演唱会$……$2020-06-2717:20:46$0$温暖人心。。。
67$35044551$TME live 刘若英“陪你”线上演唱会$Zoe喜欢吃菠萝$2021-01-1423:00:34$0$Supreme！！！！温暖熨帖，心都柔软了。
68$35044551$TME live 刘若英“陪你”线上演唱会$栗子树$2020-05-3019:20:03$0$为你付出的青春这么多年
69$35044551$TME live 刘若英“陪你”线上演唱会$一只特特呦$2020-07-2908:35:08$0$温暖治愈
70$35044551$TME live 刘若英“陪你”线上演唱会$ShadowPlay$2020-04-2613:09:34$0$还是我深爱的奶茶啊
71$35044551$TME live 刘若英“陪你”线上演唱会$白开水$2020-04-3022:40:53$0$在旧旧的影院里演唱，坐在那一把椅子上，灯光只照向她，画面就很美，就像幕后人员说的，这是适合奶茶的方式。唱了一些不是她的歌而是她喜欢的歌。讲了一些与这些歌有关的故事。有忘词有重来，但是也顺畅的带着听众演唱了两个多小时。
72$35044551$TME live 刘若英“陪你”线上演唱会$言筱易$2021-06-1220:52:11$0$我活了。语言不能表达所有内容，所以就不要强求一定用话说出来，听歌吧。
73$35044551$TME live 刘若英“陪你”线上演唱会$crescentmoon$2020-05-2420:56:55$0$只会唱后来……不过年岁长了，又有新的体会
74$35044551$TME live 刘若英“陪你”线上演唱会$不懂$2020-06-2413:35:07$0$有这么长时间的吗😜，我怎么忘了
75$35044551$TME live 刘若英“陪你”线上演唱会$来罐可乐$2020-04-2821:59:30$0$温暖。
76$35044551$TME live 刘若英“陪你”线上演唱会$Tommy$2020-05-1313:17:13$0$很温暖，我居然看完了。
77$35044551$TME live 刘若英“陪你”线上演唱会$醉鬼盼安生$2020-05-0103:07:21$0$刘若英的线上演唱会真的太太太好哭了感觉全场最佳是歌颂者❤️❤️❤️
78$35044551$TME live 刘若英“陪你”线上演唱会$芳华正茂$2020-04-3019:27:21$0$有生之年，独此一家，永生难忘。
79$35044551$TME live 刘若英“陪你”线上演唱会$mojiantoto$2020-05-0202:55:29$0$不是因为唱得有多好听，可是处处可见用心，可见想法，可见想要传达的情绪。奶茶的絮叨也温暖可爱，常常说到一半，或者找不到合适的说法或者嗓子哽住，然后说就是这样。就很真实。奶茶想做的事情，大概都会做成吧。
80$35044551$TME live 刘若英“陪你”线上演唱会$jenemomo$2020-05-0515:39:05$0$治愈
81$35044551$TME live 刘若英“陪你”线上演唱会$liuml07$2020-04-2613:17:45$0$超赞
82$35044551$TME live 刘若英“陪你”线上演唱会$哦基桑要勇气$2020-11-2400:46:26$0$看得出的用心和诚意。
83$35044551$TME live 刘若英“陪你”线上演唱会$阳光$2020-06-0522:23:24$0$补标。shallwetalk，成全，奶茶好可爱。
84$35044551$TME live 刘若英“陪你”线上演唱会$RedFence$2020-04-3023:32:18$0$满满的都是回忆...
85$35044551$TME live 刘若英“陪你”线上演唱会$BcChan$2020-06-0209:52:54$0$2020.6.2
86$35044551$TME live 刘若英“陪你”线上演唱会$Benieal$2020-05-0610:41:08$0$聽聽聽
87$35044551$TME live 刘若英“陪你”线上演唱会$野生丹尼🎾$2020-04-2821:52:33$0$后来真的太好哭了
88$35044551$TME live 刘若英“陪你”线上演唱会$筱故事$2021-08-1203:09:35$0$刘奶茶，无时不在的温暖。
89$35044551$TME live 刘若英“陪你”线上演唱会$河树獭$2021-01-0123:42:28$1$一定要看視頻！！之前聽線上專輯覺得hmm曲子好少而且編排毫無章法甚至也唱得沒有亮點，今天看書當BGM播放視頻時不時抬頭看一眼，wow這也太好了吧！線上專輯因為版權原因只收錄少量曲目，而且剪掉了所有的talking，可以說是直接去除了精華。這個演唱會真的有一種和聽眾在一起、陪聽眾說話、為聽眾唱（自己）喜歡的歌的溫暖感，很自在，有情緒，有重來，但很舒適。雖然沒有觀眾在場卻把雲合唱互動留了出來，最後的《快樂天堂》更是跑遍全場前台後台把話筒遞給工作人員分唱，為感謝工作人員拍的拆場片花也很溫暖。確實是陪伴、分享與鼓勵。
90$35044551$TME live 刘若英“陪你”线上演唱会$壁虎漫步$2020-09-2310:11:34$0$很温暖
91$35044551$TME live 刘若英“陪你”线上演唱会$noname$2020-04-3021:26:37$0$陪伴2010,2020
92$35044551$TME live 刘若英“陪你”线上演唱会$抽风$2020-04-3019:21:31$0$只看了一半
93$35044551$TME live 刘若英“陪你”线上演唱会$我不叫阿龙$2020-05-1217:07:14$0$昨晚，观赏了刘若英线上演唱会。每当听起《后来》《漂洋过海来看你》还有许多首经典歌曲时，会有回忆，有感触。想起逗趣的童年，莽撞的年少。错过了，就要努力把ta找回。
94$35044551$TME live 刘若英“陪你”线上演唱会$灰太mo$2020-05-1221:05:59$0$喜欢奶茶
95$35044551$TME live 刘若英“陪你”线上演唱会$BoSoleil$2020-05-1020:16:17$0$最爱结尾的《快乐天堂》，温柔又有力量
96$35044551$TME live 刘若英“陪你”线上演唱会$lyb$2020-07-1621:02:14$0$亲切
97$35044551$TME live 刘若英“陪你”线上演唱会$Charon$2020-05-0323:58:07$0$太温柔了
98$35044551$TME live 刘若英“陪你”线上演唱会$ほほ$2020-05-0422:55:32$0$没想到第一次看奶茶的演唱会是这样的方式。尽管也有商业的元素，但对于听众而言，也是诚意满满。
99$35044551$TME live 刘若英“陪你”线上演唱会$Smilececi$2020-05-0114:25:20$0$奶茶还是这么温暖，娓娓道来的同时轻轻唱起各种经典曲目，从飘洋过来看你到后来到快乐天堂，都太治愈了！
100$35044551$TME live 刘若英“陪你”线上演唱会$卢子$2021-01-1001:25:48$0$有时候看到刘若英就没有那么怕老她好像从年轻到老人设都没变也没崩塌都那么与世无争从容又善良虽然初中高中时候的我长得和她很像但是今天好像已经没那么像了我觉得我变了我想和时间赛跑想和世界抗争想入世想给人生加杠杆想让世界变成更美好的地方希望10年后20年后刘若英还出来开演唱会她让我觉得50岁的我也可以是初中的我
101$35044551$TME live 刘若英“陪你”线上演唱会$弥生$2020-04-2613:42:11$0$很温暖很感动
102$35044551$TME live 刘若英“陪你”线上演唱会$amigo$2020-04-3023:49:41$0$听奶茶唱歌真的很治愈啊，虽然只有两首自己的歌，可是其他翻唱的选取也很有意思。似水流年，慢慢陪伴。现场的布置和场景运用也很用心，真的是有在好好地做一场线上演唱会。
103$35044551$TME live 刘若英“陪你”线上演唱会$灰太mo$2020-05-1221:05:59$0$喜欢奶茶
104$35044551$TME live 刘若英“陪你”线上演唱会$BoSoleil$2020-05-1020:16:17$0$最爱结尾的《快乐天堂》，温柔又有力量
105$35044551$TME live 刘若英“陪你”线上演唱会$羽揚$2021-01-2808:36:41$0$PelotonSingAlong
106$35044551$TME live 刘若英“陪你”线上演唱会$lyb$2020-07-1621:02:14$0$亲切
107$35044551$TME live 刘若英“陪你”线上演唱会$陈$2020-06-1312:54:36$0$哭了！！！！！！爱的代价用的是念念张艾嘉的编曲！！！找到你哭了！后来以为不会哭的，奶茶说，我要听你们唱，还是哭了！“奶茶什么时候来哈尔滨”“想很想很快等我”
108$35044551$TME live 刘若英“陪你”线上演唱会$Charon$2020-05-0323:58:07$0$太温柔了
109$35044551$TME live 刘若英“陪你”线上演唱会$ほほ$2020-05-0422:55:32$0$没想到第一次看奶茶的演唱会是这样的方式。尽管也有商业的元素，但对于听众而言，也是诚意满满。
110$35044551$TME live 刘若英“陪你”线上演唱会$Smilececi$2020-05-0114:25:20$0$奶茶还是这么温暖，娓娓道来的同时轻轻唱起各种经典曲目，从飘洋过来看你到后来到快乐天堂，都太治愈了！
111$35044551$TME live 刘若英“陪你”线上演唱会$沙漠你爱吗$2020-05-0318:44:39$0$选歌水平是王者段位了
112$35044551$TME live 刘若英“陪你”线上演唱会$L$2020-06-0709:14:05$0$歌都很好听，讲话占了一半的时间…
113$35044551$TME live 刘若英“陪你”线上演唱会$橘子$2021-01-0102:37:50$0$《妈妈》忘词重唱，《派对动物》随意唱了两句，结尾《快乐天堂》肆意发挥……这就是Live最最最动人的随机性啊！是疫情期间看过的最温暖的线上音乐会。
114$35044551$TME live 刘若英“陪你”线上演唱会$nooomi$2020-04-2820:57:13$0$当然是瞬间回到十七岁仲夏，你吻我的那个夜晚
115$35044551$TME live 刘若英“陪你”线上演唱会$铁石心肠的船长$2020-04-2719:19:44$0$不一样的配方一样的味道！就像是一位熟人，温柔的在你身边唱好听的歌，不仅温柔还给你力量。
116$35044551$TME live 刘若英“陪你”线上演唱会$库洛塞$2020-05-0723:35:49$0$这是我看过最柔软的演唱会了！
117$35044551$TME live 刘若英“陪你”线上演唱会$三冬。$2020-10-3118:25:31$0$《媽媽》可能是今年冬天我最愛的一首歌，劉若英的聲綫太殺我。
118$35044551$TME live 刘若英“陪你”线上演唱会$污肖$2020-07-1901:46:28$0$直播那天是我喜欢奶茶十年零一天。是你啊，我心里的白月光。评论说这一场她的选歌很加分。其实她在选歌方面优秀很久了，她几年来在上海简单生活节的表演，选曲都是这样让人惊喜。即使是第一次听她现场，也会相信她的感染力就是天后级别。
