$movie_id$movie_title$comment_user$comment_time$comment_vote$comment_text
0$35268240$星期五练习生 第二季$左无双$2022-03-1704:15:01$1$我真的会难过
1$35268240$星期五练习生 第二季$打死泥塑$2022-06-0320:20:05$2$迷弟收割哪家强，长江国际黄宇航
2$35268240$星期五练习生 第二季$我次啊噗$2021-10-0717:51:16$1$回不去了…
3$35268240$星期五练习生 第二季$魚魚餅餅$2022-01-1614:41:26$2$为航鑫落泪…
4$35268240$星期五练习生 第二季$流星主义$2021-08-1503:32:25$1$台四🚬
5$35268240$星期五练习生 第二季$Stella$2022-07-1710:30:41$0$还是黄其淋啊那时候
6$35268240$星期五练习生 第二季$雅雅雅雅哈哈哈$2023-02-1217:07:43$0$补标
7$35268240$星期五练习生 第二季$江湖騙紙$2020-11-2716:53:03$2$五练永远的神
8$35268240$星期五练习生 第二季$GaMioo$2022-02-0620:46:08$2$比狗想哭b综艺…还我眼泪啊黄锐
9$35268240$星期五练习生 第二季$songenuitete$2022-06-1820:44:59$0$没有gametime的五练是不完整的
10$35268240$星期五练习生 第二季$冰下一帆$2021-09-0811:18:45$0$时代的眼泪，台四。。
11$35268240$星期五练习生 第二季$山山有川$2020-12-0710:31:00$0$这季我记得SP去的那个温泉我也去过确实还可以（关注点错×
12$35268240$星期五练习生 第二季$akira999$2022-06-1713:46:27$0$来看小其
13$35268240$星期五练习生 第二季$PassionFruit$2021-03-1212:24:59$0$除了第三期的游戏部分(好嗑又好笑)都soboring观看五分钟跑神两小时
14$35268240$星期五练习生 第二季$淡白$2021-08-1118:31:53$0$@2020-12-0208:40:04
