电影名,评分,导演,卡司,id
我不是药神,9.0,文牧野,"徐峥, 王传君, 周一围, 谭卓, 章宇",26752088
流浪地球,7.9,郭帆,"吴京, 屈楚萧, 李光洁, 吴孟达, 赵今麦",26266893
霸王别姬,9.6,陈凯歌,"张国荣, 张丰毅, 巩俐, 葛优, 英达",1291546
哪吒之魔童降世,8.4,饺子,"吕艳婷, 囧森瑟夫, 瀚墨, 陈浩, 绿绮",26794435
西虹市首富,6.6,"闫非, 彭大魔","沈腾, 宋芸桦, 张一鸣, 张晨光, 常远",27605698
让子弹飞,9.0,姜文,"姜文, 葛优, 周润发, 刘嘉玲, 陈坤",3742360
绿皮书,8.9,彼得·法雷里,"维果·莫腾森, 马赫沙拉·阿里, 琳达·卡德里尼, 塞巴斯蒂安·马尼斯科, 迪米特·D·马里诺夫",27060077
大话西游之大圣娶亲,9.2,刘镇伟,"周星驰, 吴孟达, 朱茵, 蔡少芬, 蓝洁瑛",1292213
少年的你,8.2,曾国祥,"周冬雨, 易烊千玺, 尹昉, 周也, 吴越",30166972
大话西游之月光宝盒,9.0,刘镇伟,"周星驰, 吴孟达, 罗家英, 蓝洁瑛, 莫文蔚",1299398
红海行动,8.2,林超贤,"张译, 黄景瑜, 海清, 杜江, 蒋璐霞",26861685
一出好戏,7.1,黄渤,"黄渤, 舒淇, 王宝强, 张艺兴, 于和伟",26985127
唐人街探案2,6.6,陈思诚,"王宝强, 刘昊然, 肖央, 刘承羽, 尚语贤",26698897
毒液：致命守护者,7.2,鲁本·弗雷斯彻,"汤姆·哈迪, 米歇尔·威廉姆斯, 里兹·阿迈德, 斯科特·黑兹, 瑞德·斯科特",3168101
夏洛特烦恼,7.8,"闫非, 彭大魔","沈腾, 马丽, 尹正, 艾伦, 王智",25964071
战狼2,7.1,吴京,"吴京, 弗兰克·格里罗, 吴刚, 张翰, 卢靖姗",26363254
飞驰人生,6.9,韩寒,"沈腾, 黄景瑜, 尹正, 张本煜, 尹昉",30163509
无名之辈,8.0,饶晓志,"陈建斌, 任素汐, 潘斌龙, 章宇, 王砚辉",27110296
功夫,8.8,周星驰,"周星驰, 元秋, 元华, 黄圣依, 梁小龙",1291543
我和我的祖国,7.6,"陈凯歌, 张一白, 管虎, 薛晓路, 徐峥, 宁浩, 文牧野","黄渤, 张译, 韩昊霖, 杜江, 葛优",32659890
你好，李焕英,7.7,贾玲,"贾玲, 张小斐, 沈腾, 陈赫, 刘佳",34841067
无双,8.0,庄文强,"周润发, 郭富城, 张静初, 冯文娟, 廖启智",26425063
唐人街探案,7.7,陈思诚,"王宝强, 刘昊然, 佟丽娅, 陈赫, 肖央",26311973
美人鱼,6.7,周星驰,"邓超, 罗志祥, 张雨绮, 林允, 徐克",19944106
芳华,7.7,冯小刚,"黄轩, 苗苗, 钟楚曦, 杨采钰, 李晓峰",26862829
羞羞的铁拳,6.8,"宋阳, 张吃鱼","艾伦, 马丽, 沈腾, 田雨, 宋阳",27038183
驴得水,8.3,"周申, 刘露","任素汐, 大力, 刘帅良, 裴魁山, 阿如那",25921812
疯狂的外星人,6.4,宁浩,"黄渤, 沈腾, 汤姆·派福瑞, 马修·莫里森, 徐峥",25986662
湄公河行动,8.0,林超贤,"张涵予, 彭于晏, 孙淳, 陈宝国, 冯文娟",25815034
唐人街探案3,5.3,陈思诚,"王宝强, 刘昊然, 妻夫木聪, 托尼·贾, 长泽雅美",27619748
人再囧途之泰囧,7.5,徐峥,"徐峥, 王宝强, 黄渤, 陶虹, 谢楠",10574622
动物世界,7.2,韩延,"李易峰, 迈克尔·道格拉斯, 周冬雨, 曹炳琨, 王戈",26925317
无问西东,7.5,李芳芳,"章子怡, 黄晓明, 张震, 王力宏, 陈楚生",6874741
老炮儿,7.5,管虎,"冯小刚, 许晴, 张涵予, 刘桦, 李易峰",24751756
白蛇：缘起,7.8,"黄家康, 赵霁","张喆, 杨天翔, 唐小喜, 刘薇, 张遥函",30331149
中国机长,6.6,刘伟强,"张涵予, 欧豪, 杜江, 袁泉, 张天爱",30295905
疯狂的石头,8.6,宁浩,"郭涛, 刘桦, 连晋, 黄渤, 徐峥",1862151
妖猫传,6.9,陈凯歌,"黄轩, 染谷将太, 张雨绮, 秦昊, 张榕容",5350027
邪不压正,7.0,姜文,"彭于晏, 廖凡, 姜文, 周韵, 许晴",26366496
误杀,7.5,柯汶利,"肖央, 谭卓, 陈冲, 姜皓文, 秦沛",30176393
末代皇帝,9.3,贝纳尔多·贝托鲁奇,"尊龙, 陈冲, 邬君梅, 彼得·奥图尔, 英若诚",1293172
钢铁侠3,7.9,沙恩·布莱克,"小罗伯特·唐尼, 盖·皮尔斯, 格温妮斯·帕特洛, 本·金斯利, 唐·钱德尔",3231742
七月与安生,7.5,曾国祥,"周冬雨, 马思纯, 李程彬, 李萍, 蔡纲",25827935
超时空同居,6.8,苏伦,"雷佳音, 佟丽娅, 张衣, 于和伟, 王正佳",27133303
碟中谍6：全面瓦解,8.1,克里斯托弗·麦奎里,"汤姆·克鲁斯, 亨利·卡维尔, 文·瑞姆斯, 西蒙·佩吉, 丽贝卡·弗格森",26336252
活着,9.3,张艺谋,"葛优, 巩俐, 姜武, 牛犇, 郭涛",1292365
大鱼海棠,7.0,"梁旋, 张春","季冠霖, 苏尚卿, 许魏洲, 金士杰, 杨婷",5045678
西游记之大圣归来,8.3,田晓鹏,"张磊, 林子杰, 吴文伦, 童自荣, 刘九容",26277313
中国合伙人,7.6,陈可辛,"黄晓明, 邓超, 佟大为, 杜鹃, 王真儿",11529526
八佰,7.5,管虎,"王千源, 张译, 姜武, 黄志忠, 张俊一",26754233
乘风破浪,6.8,韩寒,"邓超, 彭于晏, 赵丽颖, 董子健, 金士杰",26862259
捉妖记,6.7,许诚毅,"白百何, 井柏然, 姜武, 金燕玲, 钟汉良",25723907
色，戒,8.6,李安,"梁朝伟, 汤唯, 陈冲, 王力宏, 庹宗华",1828115
人在囧途,7.8,叶伟民,"徐峥, 王宝强, 李曼, 李小璐, 左小青",4237879
流浪地球2,8.4,郭帆,"吴京, 刘德华, 李雪健, 沙溢, 宁理",35267208
影,7.2,张艺谋,"邓超, 孙俪, 郑恺, 王千源, 王景春",4864908
后会无期,7.2,韩寒,"冯绍峰, 陈柏霖, 钟汉良, 王珞丹, 袁泉",25805741
失恋33天,7.2,滕华涛,"白百何, 文章, 张嘉益, 王耀庆, 张子萱",4873490
