电影名,评分,导演,卡司,id
记忆大师,7.1,陈正道,"黄渤, 段奕宏, 徐静蕾, 杨子姗, 梁杰理",25884801
叶问,7.8,叶伟信,"甄子丹, 任达华, 熊黛林, 池内博之, 林家栋",3041806
催眠大师,7.6,陈正道,"徐峥, 莫文蔚, 胡静, 吕中, 王耀庆",24743711
新龙门客栈,8.7,李惠民,"张曼玉, 林青霞, 梁家辉, 甄子丹, 熊欣欣",1292287
悲伤逆流成河,5.8,落落,"赵英博, 任敏, 辛云来, 章若楠, 朱丹妮",27102569
绣春刀II：修罗战场,7.2,路阳,"张震, 杨幂, 张译, 雷佳音, 辛芷蕾",26270502
非诚勿扰,7.2,冯小刚,"葛优, 舒淇, 范伟, 方中信, 胡可",3313801
来电狂响,5.7,于淼,"佟大为, 马丽, 霍思燕, 乔杉, 田雨",30377703
心迷宫,8.7,忻钰坤,"霍卫民, 王笑天, 罗芸, 杨瑜珍, 孙黎",25917973
卧虎藏龙,8.4,李安,"周润发, 杨紫琼, 章子怡, 张震, 郎雄",1301168
长城,4.9,张艺谋,"马特·达蒙, 景甜, 佩德罗·帕斯卡, 刘德华, 威廉·达福",6982558
夺冠,7.1,陈可辛,"巩俐, 黄渤, 吴刚, 彭昱畅, 白浪",30128916
烈火英雄,6.4,陈国辉,"黄晓明, 杜江, 谭卓, 杨紫, 欧豪",30221757
喜欢你,6.7,许宏宇,"金城武, 周冬雨, 孙艺洲, 奚梦瑶, 杨祐宁",26816383
少林足球,8.1,周星驰,"周星驰, 吴孟达, 谢贤, 莫文蔚, 张柏芝",1297747
爱情公寓,3.2,"韦正, 齐峻","陈赫, 袁弘, 娄艺潇, 邓家佳, 孙艺洲",24852545
左耳,5.7,苏有朋,"陈都灵, 欧豪, 杨洋, 马思纯, 段博文",25745752
奇迹·笨小孩,7.4,文牧野,"易烊千玺, 田雨, 陈哈琳, 齐溪, 公磊",35312437
解救吾先生,7.7,丁晟,"刘德华, 刘烨, 王千源, 吴若甫, 林雪",25798448
老师·好,6.6,张栾,"于谦, 汤梦佳, 王广源, 秦鸣悦, 徐子力",27663742
