电影名,评分,导演,卡司,id
霸王别姬,9.6,陈凯歌,"张国荣, 张丰毅, 巩俐, 葛优, 英达",1291546
茶馆,9.5,"谢添, 焦菊隐, 夏淳","于是之, 郑榕, 蓝天野, 英若诚, 黄宗洛",1461403
背靠背，脸对脸,9.5,"黄建新, 杨亚洲","牛振华, 雷恪生, 李强, 句号, 王劲松",1307856
高山下的花环,9.5,谢晋,"吕晓禾, 唐国强, 何伟, 童超, 盖克",1422283
山河令生来知己演唱会,9.5,,"龚俊, 周也, 马闻远, 孙浠伦, 李岱昆",35430794
太阳伞,9.5,哈斯朝鲁,冯瓅,2037432
锁麟囊(京剧),9.5,黎涛,"郎石林, 黄世骧, 徐孟珂, 李海青, 迟小秋",26383524
罗大佑 北京-香港演唱会,9.5,,罗大佑,35479277
大闹天宫,9.4,万籁鸣,"邱岳峰, 富润生, 毕克, 尚华, 于鼎",1418019
横空出世,9.4,陈国星,"李雪健, 李幼斌, 高明, 陈瑾, 滕汝骏",1464526
永不消逝的电波(舞剧),9.4,"韩真, 周莉亚","朱洁静, 王佳俊",34841525
棱角杯,9.4,迪力木拉提·穆罕穆德,"哈力木拉提·吾买尔, 阿迪力·米吉提, 毛吾兰·尼牙孜, 吐尔洪·依明, 地里夏提·巴拉提",26672579
TME Live 吴青峰「16叶」线上演唱会,9.4,,吴青峰,35288735
牡丹亭,9.4,方荧,张继青,4731050
末代皇帝,9.3,贝纳尔多·贝托鲁奇,"尊龙, 陈冲, 邬君梅, 彼得·奥图尔, 英若诚",1293172
活着,9.3,张艺谋,"葛优, 巩俐, 姜武, 牛犇, 郭涛",1292365
鬼子来了,9.3,姜文,"姜文, 香川照之, 袁丁, 姜宏波, 丛志军",1291858
芙蓉镇,9.3,谢晋,"刘晓庆, 姜文, 郑在石, 张光北, 徐松子",1297880
遥望南方的童年,9.3,易寒,"易志兵, 何伟欣, 谢媛",3037329
狐妖小红娘剧场版：王权富贵,9.3,王昕,"杨天翔, 刘校妤, 乔诗语, 魏超, 阎萌萌",26946612
狐妖小红娘剧场版：月红篇,9.3,"王昕, 董易","杨天翔, 刘校妤, 张杰, 张予佟, 张凯",26972694
大宅门,9.3,郭宝昌,"斯琴高娃, 陈宝国, 刘佩琦, 蒋雯丽, 何赛飞",5301572
哀乐中年,9.3,桑弧,"石挥, 朱嘉琛, 沈扬, 李浣青, 韩非",4719384
花为媒,9.3,方荧,"宋桂岚, 庄珏珍, 新凤霞, 李忆兰, 李文治",2357317
齐天乐,9.3,杨洁,"六小龄童, 马德华, 闫怀礼, 迟重瑞, 赵丽蓉",11498192
2008年北京奥运会闭幕式,9.3,张艺谋,"大卫·贝克汉姆, 鲍里斯·约翰逊, 姚明, 福原爱, 成龙",34875547
张学友1/2世纪世界巡回演唱会,9.3,,张学友,33425521
“黄河之水天上来”国宝音乐会,9.3,于蕾,"张国立, 于魁智, 莫华伦, 宗次郎, 赵聪",34964209
大话西游之大圣娶亲,9.2,刘镇伟,"周星驰, 吴孟达, 朱茵, 蔡少芬, 蓝洁瑛",1292213
哪吒闹海,9.2,"王树忱, 严定宪, 徐景达","梁正晖, 邱岳峰, 毕克, 富润生, 尚华",1307315
天书奇谭,9.2,"王树忱, 钱运达","丁建华, 毕克, 苏秀, 程晓桦, 施融",1428581
天堂回信,9.2,王君正,"石晨, 李丁, 肖雄, 赵子岳, 刘仲元",1418076
剃头匠,9.2,哈斯朝鲁,"靖奎, 由立平, 宋戈",3097352
金猴降妖,9.2,"特伟, 严定宪, 林文肖","李扬, 谈鹏飞, 洪融, 吴鲁生, 战车",1780256
极限公益联欢会,9.2,"任静, 严敏","张艺兴, 罗志祥, 黄渤, 黄磊, 孙红雷",26830080
2008年第29届北京奥运会开幕式,9.2,"张艺谋, 张继钢, 陈维亚","周涛, 李宁, 郎朗, 林妙可, 芭芭拉·布什",3173528
借东风,9.2,岑范,"马连良, 叶盛兰, 谭富英, 萧长华, 裘盛戎",25802874
群英会,9.2,岑范,"马连良, 谭富英, 叶盛兰, 裘盛戎, 袁世海",3069861
猫咪小贝,9.2,曹小卉,"房露, 张美娟, 纪元, 吴犀",30142123
优雅卫士：内斯塔,9.2,天下足球,"亚历山德罗·内斯塔, 张路, 朱晓雨",30290562
首楞严演义,9.2,张迪,桑吉平措,30307233
贵妃醉酒,9.2,董克娜 / 李秉忠,梅兰芳 / 姜妙香,26268508
“向后看 向前走”五条人线上音乐会,9.2,张晓舟,"仁科, 茂涛",35205443
陆游与唐琬,9.2,杨小青,"茅威涛, 江瑶, 洪瑛",10877448
盘妻索妻,9.2,王艳霞,王君安,4724721
牧马人,9.1,"谢晋, 黄蜀芹","朱时茂, 丛珊, 刘琼, 牛犇, 雷仲谦",1308038
城南旧事,9.1,吴贻弓,"沈洁, 张丰毅, 张闽, 郑振瑶, 严翔",1300894
变脸,9.1,吴天明,"朱旭, 周任莹, 赵志刚, 潘虹",1293237
神女,9.1,吴永刚,"阮玲玉, 黎铿, 章志直, 唐槐秋, 李君磐",1302210
荒唐事件,9.1,李新,"赵有亮, 管宗祥, 张天喜, 陈祖荣, 佟家琪",11584063
姊姊妹妹站起来,9.1,陈西禾,"梁明, 李纬, 石挥, 程晨, 崔超明",2208890
决战之后,9.1,"李前宽, 肖桂云","古月, 李法曾, 叶庆林, 葛优, 宋戈",1980790
荒山泪,9.1,吴祖光,"程砚秋, 胡学礼, 钱宝森",3724033
红楼梦,9.1,岑范,"徐玉兰, 王文娟, 吕瑞英, 金采风, 周宝奎",1329969
五女拜寿,9.1,"陆建华, 于中效","茅威涛, 何赛飞, 陶慧敏",1903720
丝路花雨,9.1,颜学恕,"贺燕云, 张宏, 李为民, 史敏",3804492
魔天伦世界巡回演唱会,9.1,,"周杰伦, 孙燕姿, 李玟, 陈信宏, 陈慧琳",34809305
难夫难妻,9.1,"张石川, 郑正秋","王病僧, 丁梦鹤",2057398
越剧红楼梦,9.2,胡雪扬,单仰萍,4827535
河南卫视元宵节特别节目—河南博物院元宵奇妙夜,9.1,"路红莉, 钱林林, 宿依楠","汪苏泷, 周延, 杨俊, 易星艳",35375238
TME live 刘若英“陪你”线上演唱会,9.1,,刘若英,35044551
国家宝藏·国宝音乐会,9.1,,李祥霆,34929639
三岔口,9.1,陈怀皑,"张春华, 蔡淑卿",6839142
狂流,9.1,程步高,"胡蝶, 龚稼农, 王献斋, 汤杰, 谢云卿",1999999
杰拉德：永不独行,9.1,天下足球,"史蒂文·杰拉德, 斯文-约兰·埃里克松, 若泽·穆里尼奥, 刘嘉",30291567
学友.光年世界巡回演唱会,9.1,王君樱,张学友,33425522
筑梦青春——中央电视台2016年“五月的鲜花”全国大中学生文艺会演,9.1,,"尼格买提·热合曼, 李思思, 刘昊然, 王俊凯, 王紫凝",34996350
化茧成蝶：2016年欧洲杯纪录片,9.1,天下足球,"保罗·博格巴, 罗伊·霍奇森, 乔·哈特, 克里斯·科尔曼, 克里斯蒂亚诺·罗纳尔多",27124569
关爱之家,9.1,"艾晓明, 胡杰",,2995169
杨门女将,9.1,肖朗,"李胜素, 于魁智",26580012
余英时访谈录,9.1,,余英时,27167015
智收姜维,9.1,李鸣,张秀兰,26303567
我不是药神,9.0,文牧野,"徐峥, 王传君, 周一围, 谭卓, 章宇",26752088
让子弹飞,9.0,姜文,"姜文, 葛优, 周润发, 刘嘉玲, 陈坤",3742360
大话西游之月光宝盒,9.0,刘镇伟,"周星驰, 吴孟达, 罗家英, 蓝洁瑛, 莫文蔚",1299398
大决战之辽沈战役,9.0,"杨光远, 李俊","古月, 苏林, 赵恒多, 吴志远, 孙海英",1424552
疯狂的小镇,9.0,王凤奎,"赵登峰, 刘廷尧, 李廷栋, 崔慕燕, 李铁峰",1297795
bilibili晚会二零一九最美的夜,9.0,宫鹏,"朱广权, 陈超, 周延, 彭磊, 赵梦",34930755
袁隆平,9.0,史凤和,"果靖霖, 徐筠, 袁隆平, 翟乃社, 曹艳艳",3737287
秦时明月之一舞倾城,9.0,沈乐平,"罗玉婷, 沈磊",4804209
出嫁女,9.0,王进,"陶慧敏, 剧雪, 沈蓉, 吉雪萍, 池华琼",2029785
端午奇妙游,9.0,,"栾西子, 耿源, 刘璐瑶, 李佳颖, 吴圆圆",35494375
霸王别姬(京剧),9.0,滕俊杰,"尚长荣, 史依弘, 傅希如",20645019
女出租车司机,9.0,王英权,"邱云鹤, 张蓓蓓",26387698
梅兰芳的舞台艺术 下集,9.0,吴祖光,"梅兰芳, 梅葆玖, 萧长华, 姜妙香",10430307
熊猫的故事,9.0,岛村达雄,"丁建华, 刘广宁, 童自荣",2121871
TFBOYS三周年演唱会,9.0,,"易烊千玺, 王俊凯, 王源",35209654
游园惊梦,9.0,许珂,"梅兰芳, 言慧珠, 俞振飞",11593132
秦香莲,9.0,郭维,"张君秋, 马长礼, 裘盛戎, 马连良, 李多奎",4720779
红楼梦文艺晚会,9.0,王扶林,"陈晓旭, 欧阳奋强, 邓婕, 陈力, 利智",33425594
黑籍冤魂,9.0,"张石川, 管海峰","张石川, 洪警铃, 黄幼雅, 查天影",6309399
紫陀螺,9.0,张忠华,"张 智, 王 艺, 许小周",2361040
穆桂英挂帅,9.0,徐苏灵,马金凤,2340950
追风少年,9.0,天下足球,"迈克尔·欧文, 格伦·霍德尔, 黄健翔, 斯文-约兰·埃里克松, 刘嘉",30292834
坐在人生边上——杨绛,9.0,,"杨绛, 钱锺书",26803826
当潮不让·你好·牛——2021年河南省春节晚会,9.0,"陈雷, 陈琳","庞晓戈, 韩佳, 刘雯, 李洋, 嘉宝",35362402
狼图腾：一人一生一座城,9.0,,"弗朗切斯科·托蒂, 克里斯蒂安·维耶里, 亚历山德罗·德尔·皮耶罗, 马西米利亚诺·阿莱格里, 莱昂内尔·梅西",27119392
北纬三十八度,9.0,"韦廉, 宋业明","丁笑宜, 贺镪, 洪涛, 姚居德, 孙飞鹏",10535442
降魔成道,9.0,陈海涛 陈琦,,26837989
星期五练习生 第二季,9.0,黄锐,"孙亦航, 丁程鑫, 林墨, 敖子逸",35268240
抬花轿,9.0,陈献玉,丁岚,4728526
陈仓已冬,9.0,魏龙彪,贾彬,25851736
寰宇地理之二战启示录,9.0,,,4832295
声音的漫游,9.0,"朱哲琴, 罗斯·考夫曼",朱哲琴,3739987
诸葛亮吊孝,9.0,陈怀皑,"何全志, 申凤梅, 陈静, 穆百成",6872241
绿皮书,8.9,彼得·法雷里,"维果·莫腾森, 马赫沙拉·阿里, 琳达·卡德里尼, 塞巴斯蒂安·马尼斯科, 迪米特·D·马里诺夫",27060077
阳光灿烂的日子,8.9,姜文,"夏雨, 宁静, 陶虹, 耿乐, 斯琴高娃",1291875
可可西里,8.9,陆川,"多布杰, 张垒, 奇道, 赵雪莹, 马占林",1308857
葫芦兄弟,8.9,"胡进庆, 周克勤, 葛桂云","黄笑嬿, 詹佳, 冯骏骅, 谢添天",3062897
过年,8.9,黄健中,"赵丽蓉, 李保田, 葛优, 六小龄童, 丁嘉丽",1296218
大决战之淮海战役,8.9,"李俊, 蔡继渭, 韦廉, 杨光远, 景慕逵, 翟俊杰","古月, 苏林, 卢奇, 傅学诚, 刘锡田",1424551
西岳奇童,8.9,"靳夕, 刘蕙仪","丁建华, 乔榛",1466114
女驸马,8.9,刘琼,"严凤英, 王少舫, 潘璟琍, 张云风, 熊少云",2059622
梅兰芳的舞台艺术 上集,8.9,吴祖光,梅兰芳,10430306
西厢记,8.9,杨小青,茅威涛,11500290
野猪林,8.9,"崔嵬, 陈怀皑","李少春, 袁世海, 杜近芳, 刘元汉",1498721
巴拉克：战车之魂,8.9,天下足球,"米夏埃尔·巴拉克, 菲利普·拉姆, 刘嘉, 黄健翔, 张路",34990857
C罗曼联的红色记忆,8.9,天下足球,"克里斯蒂亚诺·罗纳尔多, 弗格森爵士, 刘嘉, 韦恩·鲁尼, 迪米塔·贝尔巴托夫",35040433
欲望的火焰,8.9,张郁强,"萨仁高娃, 黄小雷, 张嬿, 杨扬",1747393
范尼：禁区之王,8.9,天下足球,"弗格森爵士, 鲁德·范·尼斯特鲁伊, 刘嘉",34990464
我爱我爹,8.9,路振隆,"王希玲, 刘志学, 任宏恩",10462938
徐策跑城,8.9,应云卫,周信芳,10796588
沧桑梨园情,8.9,"马崇杰, 孙永田",赵鸿飞,6601412
七奶奶,8.9,"杜琪峰, 林岭东",马金凤,3598383
功夫,8.8,周星驰,"周星驰, 元秋, 元华, 黄圣依, 梁小龙",1291543
东邪西毒：终极版,8.8,王家卫,"张国荣, 林青霞, 梁朝伟, 张学友, 张曼玉",3726072
神兵小将,8.8,"黄玉郎, 乔彧","杨青倩, 谢楠, 常索妮, 胡静, 杨莹",3012377
阿Q正传,8.8,岑范,"严顺开, 王苏娅, 李纬, 孙道临, 阙云祥",1306506
我们俩,8.8,马俪文,"宫哲, 金雅琴, 张淑芳, 孙捷, 罗忠学",1756073
喜丧,8.8,张涛,"郁凤云, 王士兰, 李宝明, 阮凤鸣",26671361
大决战之平津战役,8.8,"李俊, 韦廉","古月, 苏林, 马绍信, 鲁继先, 史崇仁",1307729
易烊千玺2019玊尔演唱会,8.8,,易烊千玺,35182891
我这一辈子,8.8,石挥,"石挥, 魏鹤龄, 崔超明, 沈扬, 李纬",1422020
我们天上见,8.8,蒋雯丽,"朱旭, 姚君, 朱一诺, 刘烨, 马思纯",3732800
天狗,8.8,戚健,"富大龙, 朱媛媛, 刘子枫, 高昌昊",1947270
孤儿泪,8.8,周力,"曹翠芬, 廉冠, 孙敏, 黄宗洛, 樊志刚",1464570
战争子午线,8.8,冯小宁,"富大龙, 牛萌萌, 齐冰, 江韵辉",1464535
莫麟传奇,8.8,王艺,"严丽祯, 谢元真, 王肖兵, 罗玉娟, 谢安琪",5960613
小巷名流,8.8,从连文,"任伟民, 孙才华, 朱旭, 袁茂川, 葛建军",2004547
回家,8.8,王海兵,,2343735
东方红,8.8,"王苹, 李恩杰","李光羲, 杨和柏, 寇家伦, 雷良萍, 白慧雯",1457435
王菲：幻乐一场,8.8,Jennifer Chan,"王菲, 窦靖童, 马云, 章子怡, 马天宇",27059170
大红灯笼高高挂,8.8,张艺谋,,26694491
笨人王老大,8.8,郭维,"梁庆刚, 顾谦, 陈志坚, 陈立中, 王云霞",4073861
追鱼,8.8,应云卫,"王文娟, 徐玉兰, 周宝奎, 魏小云, 徐惠琴",1937852
古剑奇谭2：永夜初晗,8.8,鼻涕妞,陈光,25779712
穆桂英挂帅(京剧),8.8,夏钢,"李胜素, 于魁智, 袁慧琴, 杨赤, 杜喆",26421039
情探,8.8,"黄祖模, 陈鹏","傅全香, 陆锦花, 张桂凤",4739983
宋士杰,8.8,"应云卫, 刘琼","周信芳, 童芷苓, 筱文林, 秋云芳, 李盛佐",23230619
阎瑞生,8.8,任彭年,"陈寿芝, 邵鹏, 王彩云, 顾肯夫",2057405
阿狸·妈妈,8.8,王欢,,26386736
绝境求生,8.8,"周放生, 文禾, 李涓, 曹晨辉",,26920265
1350KM,8.8,常河,,6905207
佛说阿弥陀经,8.8,阿芒,,6523906
红娘,8.8,徐彬,"宋长荣, 陈玉华, 陈云秋",4728534
尚小云舞台艺术,8.8,桑夫,"尚小云, 尚长荣",10600292
236号麋鹿,8.8,,,3118101
挥师三江,8.8,"田亚平, 邵振堂",,26928839
李二嫂改嫁,8.8,刘国权,"郎成芬, 杨瑞卿, 武韬, 靳惠心",1495939
周信芳的舞台艺术,8.8,"应云卫, 杨小仲",周信芳,25770540
九品芝麻官,8.7,王晶,"周星驰, 吴孟达, 张敏, 徐锦江, 钟丽缇",1297518
新龙门客栈,8.7,李惠民,"张曼玉, 林青霞, 梁家辉, 甄子丹, 熊欣欣",1292287
心迷宫,8.7,忻钰坤,"霍卫民, 王笑天, 罗芸, 杨瑜珍, 孙黎",25917973
岁月神偷,8.7,罗启锐,"吴君如, 任达华, 钟绍图, 李治廷, 蔡颖恩",3792799
大红灯笼高高挂,8.7,张艺谋,"巩俐, 马精武, 何赛飞, 曹翠芬, 周琦",1293323
盲山,8.7,李杨,"黄璐, 杨幼安, 贺运乐, 张玉玲, 张友平",2063528
那山那人那狗,8.7,霍建起,"滕汝骏, 刘烨, 赵秀丽, 陈好, 龚业珩",1307766
熊出没之过年,8.7,丁亮,"张秉君, 张伟, 辛媛, 万丹青, 谭笑",21359690
小城之春,8.7,费穆,"李纬, 韦伟, 石羽, 张鸿眉, 崔超明",1323746
黑炮事件,8.7,黄建新,"刘子枫, 盖尔哈德·奥尔谢夫斯基, 高明, 杨亚洲, 汪漪",1434269
孝子贤孙伺候着,8.7,"陈佩斯, 曾剑锋","陈佩斯, 赵丽蓉, 丁嘉丽, 魏宗万, 刘江",1462243
T省的84·85年,8.7,杨延晋,"叶志康, 达式常, 郭允泰, 王伟平, 鲁非",3369426
乌鸦与麻雀,8.7,郑君里,"赵丹, 上官云珠, 孙道临, 李天济, 黄宗英",1424627
周恩来,8.7,丁荫楠,"王铁成, 郑小娟, 张云立, 陈惠良, 蓝天野",1448751
我的九月,8.7,尹力,"张萌, 张国立, 陶泽如, 沈丹萍, 邢丹丹",1467748
铁扇公主,8.7,"万籁鸣, 万古蟾, 万涤寰, 万超尘","白虹, 姜明, 韩兰根, 殷秀岑, 万籁鸣",1466022
桃源镇,8.7,熊郁,"戈治均, 雷恪生, 杜宁林, 李丁, 杨本勤",4812790
柳毅传书,8.7,蔡振亚,"竺水招, 筱水招",2346499
孤儿救祖记,8.7,张石川,"郑小秋, 王献斋, 王汉伦, 郑鹧鸪, 周文珠",2057408
孟姜女,8.7,沙丹,杨俊,6952649
春闺梦,8.7,郭宝昌,"刘子蔚, 李佩红",5298980
