电影名,评分,导演,卡司,id
春闺梦,8.7,郭宝昌,"刘子蔚, 李佩红",5298980
中秋奇妙游,8.7,路红莉,"周深, 王艺涵, 李浩旭, 苏海陆, 孙科",35564186
我的黄金时代,8.7,毛钧,"蔡楠, 黄鹤",2279570
花木兰,8.7,"刘国权, 张辛实","汤兰香, 常香玉",4281835
对花枪,8.7,林丰,马金凤,2340946
决战兰州,8.7,,,30290841
重逢的日子,8.7,王蔚,"邵玉华, 董万华, 张燕生",4848095
毛毛和哈利,8.7,,"董浩, 刘纯燕",2246001
恋习课,8.4,"胡景, 胡景","黄觉, 麦子",27085647
哔哩哔哩2016拜年祭,8.7,,,30419843
中美舞林冠军对抗赛2015,8.7,,"朱洁静, 唐诗逸, 刘福洋, 安龙",26331830
远山姐弟,8.7,"陈力, 马树超","周鸣晗, 吴若甫, 马树超",1783545
爸爸，我捡到一瓶眼药水,8.7,刘竞,"林晓梦, 林鹤踪",20411171
人生AB剧,8.7,浙江卫视,林栋甫,27062669
色，戒,8.6,李安,"梁朝伟, 汤唯, 陈冲, 王力宏, 庹宗华",1828115
疯狂的石头,8.6,宁浩,"郭涛, 刘桦, 连晋, 黄渤, 徐峥",1862151
青蛇,8.6,徐克,"张曼玉, 王祖贤, 赵文卓, 吴兴国, 马精武",1303394
万箭穿心,8.6,王竞,"颜丙燕, 陈刚, 焦刚, 李现, 赵倩",10537853
精武英雄,8.6,陈嘉上,"李连杰, 中山忍, 钱小豪, 蔡少芬, 周比利",1292895
小武,8.6,贾樟柯,"王宏伟, 郝鸿建, 左夏初",1291851
