,words,counts
0,中国,264
1,科幻,259
2,电影,259
3,地球,234
5,特效,154
7,流浪,126
8,说,123
9,煽情,96
10,科幻电影,88
11,人类,85
12,故事,85
13,科幻片,84
14,人物,84
15,没,83
16,真的,79
17,中,79
18,里,78
19,希望,76
20,更,74
21,国产,73
22,太,72
23,原著,72
24,拍,70
25,台词,70
26,好莱坞,69
27,剧情,69
28,硬,67
29,设定,66
30,吴京,64
31,一部,62
32,这部,58
33,想,58
34,木星,55
35,大片,54
36,刘,53
37,情感,51
38,感觉,51
39,尴尬,51
40,鼓励,50
41,太空,47
42,刘慈欣,47
43,观众,45
44,灾难片,45
45,角色,44
46,不错,43
47,做,43
48,宇宙,43
49,值得,41
50,完,41
51,片子,41
52,分,40
53,三星,40
54,点,40
55,拯救,39
56,导演,38
57,细节,38
58,演技,37
59,叙事,37
60,片,37
61,影片,36
62,星际,36
63,穿越,35
64,挺,35
65,元年,35
66,战狼,34
67,一点,34
68,水平,33
69,特别,33
70,灾难,33
71,类型,33
72,情节,33
73,剪辑,33
74,演员,33
75,小说,33
76,戏,32
77,作品,32
78,意义,31
79,感,31
80,星,30
81,地方,30
82,确实,30
83,年,30
84,世界,29
85,场面,29
86,画面,29
87,镜头,29
88,喜欢,29
89,场景,28
90,一种,28
91,剧本,28
92,讲,28
93,终于,27
94,节奏,27
95,感动,27
96,宏大,27
97,技术,27
98,只能,26
99,「,26
100,尬,26
101,整体,26
102,空间站,26
103,水准,26
104,计划,25
105,牺牲,25
106,出,25
107,精神,25
108,死,25
109,逻辑,25
110,五星,24
111,内核,24
112,东西,24
113,吹,24
114,带,24
115,好看,24
116,救援,24
117,真,23
118,式,23
119,工业,23
120,表演,22
121,高,22
122,制作,22
123,背景,22
124,新,22
125,硬核,22
126,人性,22
127,想象力,22
128,这是,22
129,套路,22
130,关系,21
131,预期,21
132,春节,21
133,前,21
134,地下城,21
135,文化,21
136,美国,21
137,实在,20
138,文明,20
139,时,20
140,救,20
141,本片,20
142,算,20
143,主角,20
144,一星,19
145,理解,19
146,缺点,19
147,朵朵,19
148,期待,19
149,标准,19
150,国内,19
151,点燃,19
152,浪漫,18
153,成功,18
154,回家,18
155,情绪,18
156,依然,17
157,全球,17
158,英雄主义,17
159,广播,17
160,价值观,17
161,评分,17
162,编剧,17
163,四星,17
164,逼,17
165,想象,17
166,三体,16
167,情怀,16
168,视觉,16
169,视效,16
170,社会,16
171,格局,16
172,笑,16
173,地心引力,16
174,生硬,16
175,成,16
176,家庭,16
177,塑造,16
178,完整,16
179,差,16
180,特色,16
181,呈现,16
182,钱,15
183,命运,15
184,那种,15
185,一句,15
186,不好,15
187,科技,15
188,加,15
189,半,15
190,黑,15
191,肯定,15
192,可惜,15
193,英雄,15
194,效果,15
195,未来,15
196,表现,15
197,里程碑,15
198,令人,14
199,算是,14
200,本来,14
201,够,14
202,合格,14
203,硬伤,14
204,之间,14
205,绝望,14
206,选择,14
207,时代,14
208,走,14
209,2001,14
210,科学,14
211,华语,14
212,显得,14
213,价值,14
214,市场,14
215,孩子,14
216,发动机,14
217,失望,13
218,主题,13
219,两个,13
220,漫游,13
221,配音,13
222,泪,13
223,一半,13
224,概念,13
225,瑕疵,13
226,哭,13
227,郭帆,13
228,改编,13
229,看过,13
230,全片,13
231,元素,13
232,电影院,13
233,超越,12
234,发展,12
235,国家,12
236,豆瓣,12
237,太阳,12
238,韩,12
239,糟糕,12
240,第一部,12
241,毁灭,12
242,全世界,12
243,观影,12
244,表达,12
245,全程,12
246,更是,12
247,像是,12
248,层面,12
249,票房,12
250,充满,12
251,过程,12
252,致敬,12
253,吴孟达,12
254,后半段,12
255,展现,12
256,几个,12
257,屈楚,11
258,男,11
259,足够,11
260,完成度,11
261,写,11
262,面前,11
263,倒,11
264,前半段,11
265,人文,11
266,没想到,11
267,感情,11
268,请,11
269,牛,11
270,至少,11
271,国际,11
272,优点,11
273,题材,11
274,混乱,11
275,没什么,11
276,级,11
277,理性,11
278,那段,11
279,两行,11
280,惊喜,11
281,震撼,11
282,解决,11
283,接受,10
284,事情,10
285,商业,10
286,3.5,10
287,吃,10
288,配乐,10
289,bug,10
290,化,10
291,搞,10
292,国产电影,10
293,方式,10
294,理智,10
295,粗糙,10
296,主旋律,10
297,后天,10
298,美术,10
299,一段,10
300,话,10
301,自我,10
302,剧作,10
303,好像,10
304,萧,10
305,爆,10
306,能力,10
307,结构,10
308,核心,10
309,经典,10
310,顶级,10
311,人类文明,10
312,完美,10
313,刻意,10
314,激动,10
315,电影工业,10
316,全,10
317,末日,10
318,出戏,9
319,之外,9
320,二,9
321,营造,9
322,创作,9
323,妹妹,9
324,基础,9
325,质感,9
326,联合政府,9
327,时间,9
328,风格,9
329,过度,9
330,扎实,9
331,拍出,9
332,熟悉,9
333,明明,9
334,缺乏,9
335,上海,9
336,少,9
337,作用,9
338,赞,9
339,越来越,9
340,集体,9
341,时刻,9
342,精彩,9
343,想到,9
344,小时,9
345,远,9
346,亲情,9
347,红海,9
348,中国式,9
349,现实,9
350,所有人,9
351,少年,9
352,线,9
353,想起,9
354,太多,9
355,强,9
356,单薄,9
357,开头,9
358,低,9
359,强行,9
360,爱,9
361,导致,9
362,恢弘,9
363,忍不住,9
364,推进,9
365,演,9
366,儿子,9
367,历史,9
368,年轻,9
369,美学,9
370,人设,8
371,迷,8
372,"
",8
373,无论是,8
374,女性,8
375,讨厌,8
376,档,8
377,结局,8
378,一场,8
379,评价,8
380,心,8
381,结尾,8
382,设计,8
383,唯一,8
384,拍摄,8
385,不到,8
386,视觉效果,8
387,看不到,8
388,梗,8
389,救援队,8
390,李,8
391,总体,8
392,有没有,8
393,剩下,8
394,原作,8
395,冲突,8
396,语言,8
397,行,8
398,框架,8
399,原因,8
400,更好,8
401,幼稚,8
402,亲人,8
403,扁平,8
404,团队,8
405,史诗,8
406,忽略,8
407,满分,8
408,高潮,8
409,片尾,8
410,!,8
411,燃烧,8
412,对不上,8
413,不想,8
414,世界末日,8
415,刘启,8
416,父子,8
417,矛盾,8
418,仿佛,8
419,家,8
420,渲染,8
421,民族,8
422,软,8
423,不行,8
424,2019,8
425,代表,8
426,危机,8
427,相比,8
428,一分,8
429,分钟,8
430,父亲,8
431,转折,8
432,火种,8
433,北京,8
434,创意,8
435,亮点,8
436,问,7
437,骄傲,7
438,家国,7
439,交代,7
440,不住,7
441,铺垫,7
442,这片,7
443,自然,7
444,银幕,7
445,是因为,7
446,3D,7
447,告诉,7
448,换,7
449,恢宏,7
450,太尬,7
451,定义,7
452,有人,7
453,发现,7
454,泪点,7
455,到位,7
456,展示,7
457,烂片,7
458,全人类,7
459,初中生,7
460,脑洞,7
461,关键,7
462,瑕不掩瑜,7
463,明白,7
464,户口,7
465,末世,7
466,开启,7
467,之作,7
468,爆炸,7
469,太阳系,7
470,音乐,7
471,反正,7
472,科学家,7
473,版,7
474,视角,7
475,集体主义,7
476,刻画,7
477,一步,7
478,起点,7
479,演讲,7
480,世界观,7
481,伦理,7
482,整部,7
483,社会主义,7
484,一颗,7
485,小孩,7
486,地面,7
487,用心,7
488,感受,7
489,探索,7
490,最终,7
491,天体,7
492,架构,7
493,思考,7
494,生命,7
495,诚意,7
496,场,7
497,可怕,7
498,放弃,7
499,环境,7
500,骂,7
501,符合,7
502,及格,7
503,难看,7
504,超出,7
505,電影,7
506,共同体,7
507,真实,7
508,视听,7
509,面对,7
510,影子,7
511,动作,7
512,程度,7
513,审美,7
514,尝试,6
515,找到,6
516,宏伟,6
517,男人,6
518,营救,6
519,国外,6
520,带来,6
521,两星,6
522,莫名其妙,6
523,10,6
524,深刻,6
525,撞,6
526,冰封,6
527,成熟,6
528,跑,6
529,模仿,6
530,厉害,6
531,专业,6
532,怕,6
533,外壳,6
534,印象,6
535,掉,6
536,推动,6
537,间,6
538,一部分,6
539,一波,6
540,干嘛,6
541,日本,6
542,⭐,6
543,延续,6
544,质量,6
545,扣,6
546,新意,6
547,科幻世界,6
548,永远,6
549,加一星,6
550,好评,6
551,火石,6
552,打分,6
553,亿,6
554,狼,6
555,国人,6
556,回来,6
557,影视,6
558,找,6
559,国产片,6
560,机会,6
561,级别,6
562,不算,6
563,努力,6
564,几处,6
565,难,6
566,50,6
567,朋克,6
568,样子,6
569,2012,6
570,心情,6
571,政治,6
572,第一次,6
573,地下,6
574,人工智能,6
575,无比,6
576,反转,6
577,发生,6
578,路,6
579,男主,6
580,证明,6
581,年代,6
582,外国,6
583,引力,6
584,动机,6
585,看似,6
586,记得,6
587,不用,6
588,关怀,6
589,史,6
590,穿,6
591,打动,6
592,部,6
593,外国人,6
594,煽,6
595,语境,6
596,家园,6
597,直,6
598,看着,6
599,后期,6
600,懂,6
601,稳,6
602,愚公移山,6
603,千万条,6
604,内容,6
605,客观,6
606,奇怪,6
607,生活,6
608,过年,6
609,冷静,6
610,旁白,6
611,建立,6
612,道路,6
613,渺小,6
614,吐,6
615,笑点,6
616,阻塞,6
